Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551222443,2019-02-26T23:07:23Z,CAL102,"22.572109,120.342178",0,0,272
1551222539,2019-02-26T23:08:59Z,CAL102,"22.571947,120.342407",0,2,264
1551222582,2019-02-26T23:09:42Z,CAL102,"22.571936,120.342812",0,9,230
1551222614,2019-02-26T23:10:14Z,CAL102,"22.572098,120.343086",0,9,202
1551222642,2019-02-26T23:10:42Z,CAL102,"22.572319,120.343246",0,9,180
1551222662,2019-02-26T23:11:02Z,CAL102,"22.572529,120.343231",0,9,182
1551222686,2019-02-26T23:11:26Z,CAL102,"22.572784,120.343231",0,2,182
1551222712,2019-02-26T23:11:52Z,CAL102,"22.573013,120.343239",0,2,182
1551222736,2019-02-26T23:12:16Z,CAL102,"22.573238,120.343262",0,9,182
1551222758,2019-02-26T23:12:38Z,CAL102,"22.573483,120.343216",0,9,196
1551222782,2019-02-26T23:13:02Z,CAL102,"22.573704,120.343224",0,9,222
1551222802,2019-02-26T23:13:22Z,CAL102,"22.573914,120.343338",0,10,250
1551222827,2019-02-26T23:13:47Z,CAL102,"22.574007,120.343567",0,2,272
1551223025,2019-02-26T23:17:05Z,CAL102,"22.57403,120.343071",0,18,272
1551223031,2019-02-26T23:17:11Z,CAL102,"22.57403,120.342812",0,21,272
1551223039,2019-02-26T23:17:19Z,CAL102,"22.574041,120.342545",0,23,270
1551223045,2019-02-26T23:17:25Z,CAL102,"22.574055,120.342255",0,25,270
1551223056,2019-02-26T23:17:36Z,CAL102,"22.574066,120.341782",0,16,272
1551223069,2019-02-26T23:17:49Z,CAL102,"22.574076,120.341431",0,16,272
1551223078,2019-02-26T23:17:58Z,CAL102,"22.574308,120.341209",0,21,337
1551223084,2019-02-26T23:18:04Z,CAL102,"22.574518,120.341202",0,23,2
1551223092,2019-02-26T23:18:12Z,CAL102,"22.574926,120.34124",0,23,2
1551223099,2019-02-26T23:18:19Z,CAL102,"22.575171,120.341248",0,20,2
1551223109,2019-02-26T23:18:29Z,CAL102,"22.575462,120.34124",0,19,351
1551223118,2019-02-26T23:18:38Z,CAL102,"22.57568,120.341026",0,18,326
1551223127,2019-02-26T23:18:47Z,CAL102,"22.575737,120.340729",0,17,292
1551223134,2019-02-26T23:18:54Z,CAL102,"22.575714,120.340393",0,20,267
1551223141,2019-02-26T23:19:01Z,CAL102,"22.575706,120.340141",0,23,270
1551223149,2019-02-26T23:19:09Z,CAL102,"22.575726,120.339684",0,25,272
1551223158,2019-02-26T23:19:18Z,CAL102,"22.575729,120.339409",0,22,272
1551223168,2019-02-26T23:19:28Z,CAL102,"22.575748,120.338905",0,22,270
1551223182,2019-02-26T23:19:42Z,CAL102,"22.57576,120.338318",0,24,272
1551223192,2019-02-26T23:19:52Z,CAL102,"22.575783,120.337761",0,24,272
1551223200,2019-02-26T23:20:00Z,CAL102,"22.575787,120.337433",0,23,272
1551223211,2019-02-26T23:20:11Z,CAL102,"22.575809,120.336838",0,25,272
1551223222,2019-02-26T23:20:22Z,CAL102,"22.575829,120.336411",0,22,272
1551223233,2019-02-26T23:20:33Z,CAL102,"22.57584,120.335785",0,24,270
