Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551155643,2019-02-26T04:34:03Z,CAL104,"25.078823,121.230583",0,0,140
1551155714,2019-02-26T04:35:14Z,CAL104,"25.079111,121.230324",0,11,140
1551155734,2019-02-26T04:35:34Z,CAL104,"25.079361,121.230125",0,11,123
1551155755,2019-02-26T04:35:55Z,CAL104,"25.079611,121.229866",0,11,87
1551155775,2019-02-26T04:36:15Z,CAL104,"25.079634,121.229515",0,11,56
1551155789,2019-02-26T04:36:29Z,CAL104,"25.07951,121.229301",0,11,47
1551155942,2019-02-26T04:39:02Z,CAL104,"25.079807,121.229538",0,19,30
1551155952,2019-02-26T04:39:12Z,CAL104,"25.080193,121.229454",0,22,331
1551155961,2019-02-26T04:39:21Z,CAL104,"25.080448,121.229042",0,25,281
1551155967,2019-02-26T04:39:27Z,CAL104,"25.080402,121.228767",0,25,253
1551155977,2019-02-26T04:39:37Z,CAL104,"25.080105,121.228371",0,25,225
1551155987,2019-02-26T04:39:47Z,CAL104,"25.07975,121.227936",0,29,227
1551155998,2019-02-26T04:39:58Z,CAL104,"25.079344,121.227417",0,32,227
1551156007,2019-02-26T04:40:07Z,CAL104,"25.078903,121.22686",0,15,227
1551156017,2019-02-26T04:40:17Z,CAL104,"25.078365,121.226173",0,17,230
1551156028,2019-02-26T04:40:28Z,CAL104,"25.077816,121.225471",0,18,227
1551156038,2019-02-26T04:40:38Z,CAL104,"25.077236,121.224739",0,18,227
1551156048,2019-02-26T04:40:48Z,CAL104,"25.076654,121.223999",0,18,230
1551156058,2019-02-26T04:40:58Z,CAL104,"25.076143,121.223351",0,16,227
1551156073,2019-02-26T04:41:13Z,CAL104,"25.075445,121.222458",0,33,227
1551156094,2019-02-26T04:41:34Z,CAL104,"25.074509,121.221275",0,16,227
1551156104,2019-02-26T04:41:44Z,CAL104,"25.073982,121.22065",0,30,219
1551156110,2019-02-26T04:41:50Z,CAL104,"25.07373,121.220612",0,28,177
1551156119,2019-02-26T04:41:59Z,CAL104,"25.07325,121.220955",0,31,137
1551156130,2019-02-26T04:42:10Z,CAL104,"25.072792,121.221405",0,29,137
1551156140,2019-02-26T04:42:20Z,CAL104,"25.072403,121.221771",0,27,140
1551156154,2019-02-26T04:42:34Z,CAL104,"25.071896,121.222252",0,22,137
1551156166,2019-02-26T04:42:46Z,CAL104,"25.071638,121.222496",0,19,137
1551156176,2019-02-26T04:42:56Z,CAL104,"25.071373,121.222748",0,16,137
1551156197,2019-02-26T04:43:17Z,CAL104,"25.070894,121.223198",0,17,137
1551156218,2019-02-26T04:43:38Z,CAL104,"25.07032,121.22374",0,22,137
1551156231,2019-02-26T04:43:51Z,CAL104,"25.069862,121.224174",0,26,140
1551156241,2019-02-26T04:44:01Z,CAL104,"25.069487,121.224541",0,29,140
1551156262,2019-02-26T04:44:22Z,CAL104,"25.068512,121.225456",0,32,137
1551156270,2019-02-26T04:44:30Z,CAL104,"25.068157,121.2258",0,32,140
1551156593,2019-02-26T04:49:53Z,CAL104,"25.061049,121.223511",0,15,135
1551156606,2019-02-26T04:50:06Z,CAL104,"25.060989,121.223778",0,14,109
1551156666,2019-02-26T04:51:06Z,CAL104,"25.062298,121.225342",0,44,47
1551156689,2019-02-26T04:51:29Z,CAL104,"25.068857,121.233688",0,130,50
1551156702,2019-02-26T04:51:42Z,CAL104,"25.074326,121.240593",125,151,49
1551156708,2019-02-26T04:51:48Z,CAL104,"25.077621,121.244713",425,148,47
1551156715,2019-02-26T04:51:55Z,CAL104,"25.080204,121.247917",675,146,48
