Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551328024,2019-02-28T04:27:04Z,CAL104,"25.077866,121.229286",0,0,137
1551328057,2019-02-28T04:27:37Z,CAL104,"25.078087,121.229065",0,9,140
1551328087,2019-02-28T04:28:07Z,CAL104,"25.078342,121.228821",0,9,143
1551328107,2019-02-28T04:28:27Z,CAL104,"25.078493,121.2286",0,9,168
1551328133,2019-02-28T04:28:53Z,CAL104,"25.078714,121.228455",0,9,210
1551328158,2019-02-28T04:29:18Z,CAL104,"25.078949,121.228577",0,0,49
1551328235,2019-02-28T04:30:35Z,CAL104,"25.078947,121.228577",0,0,180
1551328261,2019-02-28T04:31:01Z,CAL104,"25.078785,121.228363",0,15,230
1551328270,2019-02-28T04:31:10Z,CAL104,"25.078598,121.228134",0,19,230
1551328281,2019-02-28T04:31:21Z,CAL104,"25.078365,121.227837",0,20,230
1551328305,2019-02-28T04:31:45Z,CAL104,"25.077608,121.226875",0,23,230
1551328315,2019-02-28T04:31:55Z,CAL104,"25.077587,121.22654",0,17,264
1551328327,2019-02-28T04:32:07Z,CAL104,"25.077866,121.226265",0,21,323
1551328336,2019-02-28T04:32:16Z,CAL104,"25.078068,121.22583",0,25,278
1551328346,2019-02-28T04:32:26Z,CAL104,"25.077759,121.225395",0,25,222
1551328352,2019-02-28T04:32:32Z,CAL104,"25.077587,121.225189",0,26,227
1551328358,2019-02-28T04:32:38Z,CAL104,"25.077412,121.22496",0,28,227
1551328368,2019-02-28T04:32:48Z,CAL104,"25.077015,121.224464",0,31,230
1551328378,2019-02-28T04:32:58Z,CAL104,"25.076569,121.223907",0,34,227
1551328388,2019-02-28T04:33:08Z,CAL104,"25.076084,121.223289",0,15,230
1551328397,2019-02-28T04:33:17Z,CAL104,"25.075665,121.222748",0,30,227
1551328408,2019-02-28T04:33:28Z,CAL104,"25.075356,121.222366",0,24,230
1551328418,2019-02-28T04:33:38Z,CAL104,"25.075024,121.221939",0,27,230
1551328434,2019-02-28T04:33:54Z,CAL104,"25.074432,121.221191",0,32,227
1551328444,2019-02-28T04:34:04Z,CAL104,"25.074013,121.220673",0,26,227
1551328455,2019-02-28T04:34:15Z,CAL104,"25.073616,121.220589",0,25,165
1551328465,2019-02-28T04:34:25Z,CAL104,"25.073244,121.220955",0,28,135
1551328474,2019-02-28T04:34:34Z,CAL104,"25.072826,121.221367",0,26,137
1551328489,2019-02-28T04:34:49Z,CAL104,"25.072311,121.221848",0,21,137
1551328500,2019-02-28T04:35:00Z,CAL104,"25.072069,121.222084",0,16,137
1551328526,2019-02-28T04:35:26Z,CAL104,"25.071686,121.222443",0,10,137
1551328593,2019-02-28T04:36:33Z,CAL104,"25.071417,121.222702",0,9,137
1551328632,2019-02-28T04:37:12Z,CAL104,"25.071138,121.222961",0,9,137
1551328673,2019-02-28T04:37:53Z,CAL104,"25.070707,121.223381",0,13,137
1551328690,2019-02-28T04:38:10Z,CAL104,"25.070301,121.223755",0,21,137
1551328700,2019-02-28T04:38:20Z,CAL104,"25.069952,121.224091",0,26,137
1551328710,2019-02-28T04:38:30Z,CAL104,"25.069553,121.224464",0,29,137
1551328730,2019-02-28T04:38:50Z,CAL104,"25.068624,121.225349",0,32,140
1551328740,2019-02-28T04:39:00Z,CAL104,"25.068192,121.225761",0,30,137
1551328746,2019-02-28T04:39:06Z,CAL104,"25.067928,121.226006",0,26,140
1551329203,2019-02-28T04:46:43Z,CAL104,"25.062355,121.222397",0,19,194
1551329214,2019-02-28T04:46:54Z,CAL104,"25.062119,121.222435",0,13,185
1551329225,2019-02-28T04:47:05Z,CAL104,"25.061897,121.222633",0,17,151
1551329245,2019-02-28T04:47:25Z,CAL104,"25.061726,121.222839",0,2,140
1551329301,2019-02-28T04:48:21Z,CAL104,"25.061363,121.223167",0,17,137
1551329314,2019-02-28T04:48:34Z,CAL104,"25.06106,121.223549",0,20,118
1551329320,2019-02-28T04:48:40Z,CAL104,"25.061037,121.223778",0,16,106
1551329372,2019-02-28T04:49:32Z,CAL104,"25.061703,121.224617",0,20,50
1551329413,2019-02-28T04:50:13Z,CAL104,"25.074966,121.241661",300,146,50
1551329425,2019-02-28T04:50:25Z,CAL104,"25.080093,121.24868",850,140,51
1551329431,2019-02-28T04:50:31Z,CAL104,"25.082439,121.251854",1125,137,50
1551329438,2019-02-28T04:50:38Z,CAL104,"25.084812,121.254967",1375,134,50
1551329450,2019-02-28T04:50:50Z,CAL104,"25.089468,121.261078",1600,141,49
1551329464,2019-02-28T04:51:04Z,CAL104,"25.095381,121.268745",1750,160,50
1551329474,2019-02-28T04:51:14Z,CAL104,"25.101562,121.276649",1850,175,49
1551329487,2019-02-28T04:51:27Z,CAL104,"25.108601,121.285538",1975,196,49
1551329493,2019-02-28T04:51:33Z,CAL104,"25.112278,121.290306",2075,206,49
1551329500,2019-02-28T04:51:40Z,CAL104,"25.116257,121.295471",2200,216,49
1551329506,2019-02-28T04:51:46Z,CAL104,"25.120239,121.300713",2400,224,49
1551329518,2019-02-28T04:51:58Z,CAL104,"25.128845,121.311241",2825,236,47
1551329529,2019-02-28T04:52:09Z,CAL104,"25.138628,121.322433",3225,251,45
1551329541,2019-02-28T04:52:21Z,CAL104,"25.147751,121.33255",3700,258,45
1551329553,2019-02-28T04:52:33Z,CAL104,"25.158234,121.344093",4350,263,45
1551329565,2019-02-28T04:52:45Z,CAL104,"25.16954,121.356812",4825,272,45
1551329571,2019-02-28T04:52:51Z,CAL104,"25.174845,121.362854",5050,277,45
1551329582,2019-02-28T04:53:02Z,CAL104,"25.185928,121.375427",5600,282,46
1551329596,2019-02-28T04:53:16Z,CAL104,"25.196165,121.389442",5950,297,56
1551329603,2019-02-28T04:53:23Z,CAL104,"25.201035,121.402336",6200,308,71
1551329610,2019-02-28T04:53:30Z,CAL104,"25.203102,121.410172",6475,311,74
1551329618,2019-02-28T04:53:38Z,CAL104,"25.205755,121.421005",6775,312,74
1551329624,2019-02-28T04:53:44Z,CAL104,"25.209248,121.434837",7200,316,74
1551329638,2019-02-28T04:53:58Z,CAL104,"25.215485,121.458885",7700,330,73
1551329652,2019-02-28T04:54:12Z,CAL104,"25.220745,121.478683",8050,342,73
1551329665,2019-02-28T04:54:25Z,CAL104,"25.226238,121.498894",8600,346,73
1551329678,2019-02-28T04:54:38Z,CAL104,"25.231964,121.519928",9200,349,73
1551329691,2019-02-28T04:54:51Z,CAL104,"25.239029,121.545464",9700,360,73
1551329705,2019-02-28T04:55:05Z,CAL104,"25.24498,121.567177",9925,376,73
1551329716,2019-02-28T04:55:16Z,CAL104,"25.251114,121.589409",10325,384,73
1551329728,2019-02-28T04:55:28Z,CAL104,"25.25687,121.610519",10775,389,73
1551329739,2019-02-28T04:55:39Z,CAL104,"25.263931,121.636253",11400,392,73
1551329752,2019-02-28T04:55:52Z,CAL104,"25.270203,121.659241",12000,394,73
1551329784,2019-02-28T04:56:24Z,CAL104,"25.287918,121.723938",13600,399,73
1551329818,2019-02-28T04:56:58Z,CAL104,"25.305098,121.786972",14875,412,73
1551329847,2019-02-28T04:57:27Z,CAL104,"25.321976,121.848907",16200,415,73
1551329880,2019-02-28T04:58:00Z,CAL104,"25.340153,121.915695",17350,426,73
1551329891,2019-02-28T04:58:11Z,CAL104,"25.347042,121.940933",17800,433,73
1551329947,2019-02-28T04:59:07Z,CAL104,"25.380249,122.063545",19850,449,73
1551330011,2019-02-28T05:00:11Z,CAL104,"25.418406,122.2043",21900,464,72
1551330072,2019-02-28T05:01:12Z,CAL104,"25.464865,122.343544",23650,480,69
1551330110,2019-02-28T05:01:50Z,CAL104,"25.503084,122.428268",24475,486,54
1551330119,2019-02-28T05:01:59Z,CAL104,"25.516493,122.44574",24650,489,49
1551330125,2019-02-28T05:02:05Z,CAL104,"25.524399,122.456001",24775,490,49
1551330195,2019-02-28T05:03:15Z,CAL104,"25.624447,122.590012",27125,489,50
1551330261,2019-02-28T05:04:21Z,CAL104,"25.722153,122.721405",28575,503,50
1551330300,2019-02-28T05:05:00Z,CAL104,"25.77914,122.79818",29375,509,50
1551330370,2019-02-28T05:06:10Z,CAL104,"25.885557,122.942032",30725,523,50
1551330413,2019-02-28T05:06:53Z,CAL104,"25.952499,123.032616",31375,531,50
1551330573,2019-02-28T05:09:33Z,CAL104,"26.200287,123.369781",34800,521,50
1551330630,2019-02-28T05:10:30Z,CAL104,"26.286163,123.487259",35500,526,51
1551330666,2019-02-28T05:11:06Z,CAL104,"26.34149,123.563179",36125,522,51
1551330761,2019-02-28T05:12:41Z,CAL104,"26.486618,123.762337",36900,531,51
1551330824,2019-02-28T05:13:44Z,CAL104,"26.585037,123.898163",37000,538,51
1551330884,2019-02-28T05:14:44Z,CAL104,"26.679382,124.028854",37000,533,50
1551330948,2019-02-28T05:15:48Z,CAL104,"26.779404,124.162247",37000,526,50
1551331011,2019-02-28T05:16:51Z,CAL104,"26.878656,124.295197",37000,529,50
1551331075,2019-02-28T05:17:55Z,CAL104,"26.977999,124.429092",37000,528,50
1551331143,2019-02-28T05:19:03Z,CAL104,"27.081436,124.568741",37000,525,50
1551331185,2019-02-28T05:19:45Z,CAL104,"27.147915,124.658539",37000,529,50
1551331276,2019-02-28T05:21:16Z,CAL104,"27.291229,124.853142",37000,530,50
1551331338,2019-02-28T05:22:18Z,CAL104,"27.389427,124.987015",37000,532,50
1551331399,2019-02-28T05:23:19Z,CAL104,"27.483744,125.114632",37000,532,50
1551331462,2019-02-28T05:24:22Z,CAL104,"27.584854,125.251114",37000,534,50
1551331526,2019-02-28T05:25:26Z,CAL104,"27.68541,125.387589",37000,533,50
1551331586,2019-02-28T05:26:26Z,CAL104,"27.780188,125.516525",37000,534,50
1551331650,2019-02-28T05:27:30Z,CAL104,"27.87973,125.652451",37000,532,50
1551331711,2019-02-28T05:28:31Z,CAL104,"27.974077,125.781715",37000,532,50
1551331775,2019-02-28T05:29:35Z,CAL104,"28.074509,125.919586",37000,535,50
1551331838,2019-02-28T05:30:38Z,CAL104,"28.173386,126.056023",37000,533,50
1551331897,2019-02-28T05:31:37Z,CAL104,"28.266129,126.184212",37000,530,50
1551331960,2019-02-28T05:32:40Z,CAL104,"28.365442,126.321823",37000,532,50
1551332021,2019-02-28T05:33:41Z,CAL104,"28.459896,126.453125",37000,536,50
1551332085,2019-02-28T05:34:45Z,CAL104,"28.559984,126.592712",37000,534,51
1551332145,2019-02-28T05:35:45Z,CAL104,"28.653879,126.724281",37000,533,51
1551332209,2019-02-28T05:36:49Z,CAL104,"28.75285,126.863388",37000,535,51
1551332463,2019-02-28T05:41:03Z,CAL104,"29.147381,127.42234",37000,533,51
1551333425,2019-02-28T05:57:05Z,CAL104,"30.628813,129.589996",37000,547,52
1551333488,2019-02-28T05:58:08Z,CAL104,"30.726746,129.737823",37000,542,52
1551333554,2019-02-28T05:59:14Z,CAL104,"30.824249,129.885376",37000,537,52
1551333615,2019-02-28T06:00:15Z,CAL104,"30.908981,130.038589",37000,542,58
1551333679,2019-02-28T06:01:19Z,CAL104,"30.994341,130.197876",37000,545,58
1551333740,2019-02-28T06:02:20Z,CAL104,"31.074692,130.349762",37000,548,58
1551333804,2019-02-28T06:03:24Z,CAL104,"31.158577,130.509064",37000,553,58
1551333867,2019-02-28T06:04:27Z,CAL104,"31.243973,130.672134",37000,556,58
1551333926,2019-02-28T06:05:26Z,CAL104,"31.322388,130.822388",37000,555,58
1551333991,2019-02-28T06:06:31Z,CAL104,"31.407852,130.986816",37000,555,58
1551334054,2019-02-28T06:07:34Z,CAL104,"31.494078,131.153351",37000,563,58
1551334114,2019-02-28T06:08:34Z,CAL104,"31.574614,131.30986",37000,562,58
1551334179,2019-02-28T06:09:39Z,CAL104,"31.659622,131.475494",37000,564,59
1551334238,2019-02-28T06:10:38Z,CAL104,"31.740572,131.633896",37000,561,59
1551334301,2019-02-28T06:11:41Z,CAL104,"31.825745,131.801498",37000,560,59
1551334363,2019-02-28T06:12:43Z,CAL104,"31.906265,131.960693",37000,560,59
1551334421,2019-02-28T06:13:41Z,CAL104,"31.984406,132.115646",37000,558,59
1551334484,2019-02-28T06:14:44Z,CAL104,"32.065979,132.278244",37000,555,59
1551334589,2019-02-28T06:16:29Z,CAL104,"32.191383,132.553406",37000,556,63
1551334652,2019-02-28T06:17:32Z,CAL104,"32.264332,132.726501",37000,559,65
1551334714,2019-02-28T06:18:34Z,CAL104,"32.324615,132.903915",37000,563,68
1551334774,2019-02-28T06:19:34Z,CAL104,"32.383438,133.07399",37000,561,67
1551334839,2019-02-28T06:20:39Z,CAL104,"32.446609,133.256363",37000,565,67
1551334902,2019-02-28T06:21:42Z,CAL104,"32.510056,133.440384",37000,567,67
