Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551170829,2019-02-26T08:47:09Z,CAL105,"35.776569,140.388824",0,11,329
1551170847,2019-02-26T08:47:27Z,CAL105,"35.776932,140.388565",0,18,329
1551170857,2019-02-26T08:47:37Z,CAL105,"35.777222,140.388367",0,21,331
1551170864,2019-02-26T08:47:44Z,CAL105,"35.7775,140.38829",0,24,348
1551170871,2019-02-26T08:47:51Z,CAL105,"35.777782,140.388504",0,26,31
1551170902,2019-02-26T08:48:22Z,CAL105,"35.778538,140.390106",0,19,59
1551170936,2019-02-26T08:48:56Z,CAL105,"35.778664,140.390366",0,0,60
1551170944,2019-02-26T08:49:04Z,CAL105,"35.778557,140.390137",0,2,59
1551170988,2019-02-26T08:49:48Z,CAL105,"35.778912,140.3909",0,14,59
1551171019,2019-02-26T08:50:19Z,CAL105,"35.778851,140.391891",0,21,120
1551171034,2019-02-26T08:50:34Z,CAL105,"35.778591,140.392532",0,22,115
1551171060,2019-02-26T08:51:00Z,CAL105,"35.777985,140.393875",0,25,132
1551171066,2019-02-26T08:51:06Z,CAL105,"35.778492,140.392761",0,25,143
1551171096,2019-02-26T08:51:36Z,CAL105,"35.776348,140.395111",0,30,149
1551171123,2019-02-26T08:52:03Z,CAL105,"35.774883,140.396179",0,30,149
1551171180,2019-02-26T08:53:00Z,CAL105,"35.772091,140.397141",0,28,205
1551171250,2019-02-26T08:54:10Z,CAL105,"35.769562,140.398209",0,24,115
1551171260,2019-02-26T08:54:20Z,CAL105,"35.769356,140.398727",0,25,118
1551171266,2019-02-26T08:54:26Z,CAL105,"35.769104,140.398972",0,30,151
1551171274,2019-02-26T08:54:34Z,CAL105,"35.768658,140.398987",0,29,185
1551171281,2019-02-26T08:54:41Z,CAL105,"35.768234,140.398941",0,30,182
1551171287,2019-02-26T08:54:47Z,CAL105,"35.767899,140.398926",0,31,182
1551171299,2019-02-26T08:54:59Z,CAL105,"35.767284,140.398636",0,32,216
1551171353,2019-02-26T08:55:53Z,CAL105,"35.764294,140.396469",0,34,205
1551171370,2019-02-26T08:56:10Z,CAL105,"35.763336,140.395935",0,26,205
1551171378,2019-02-26T08:56:18Z,CAL105,"35.763062,140.395782",0,22,205
1551171397,2019-02-26T08:56:37Z,CAL105,"35.762466,140.395447",0,19,202
1551171407,2019-02-26T08:56:47Z,CAL105,"35.762115,140.395248",0,19,202
1551171418,2019-02-26T08:56:58Z,CAL105,"35.761871,140.395111",0,17,205
1551171427,2019-02-26T08:57:07Z,CAL105,"35.761627,140.394989",0,15,205
1551171523,2019-02-26T08:58:43Z,CAL105,"35.759544,140.393829",0,24,205
1551171531,2019-02-26T08:58:51Z,CAL105,"35.759148,140.393616",0,27,205
1551171616,2019-02-26T09:00:16Z,CAL105,"35.754642,140.389877",0,15,205
1551171768,2019-02-26T09:02:48Z,CAL105,"35.744823,140.392227",0,29,149
1551171780,2019-02-26T09:03:00Z,CAL105,"35.744202,140.392212",0,29,208
1551171839,2019-02-26T09:03:59Z,CAL105,"35.745323,140.389282",0,34,329
1551171856,2019-02-26T09:04:16Z,CAL105,"35.751141,140.385101",0,110,329
1551171868,2019-02-26T09:04:28Z,CAL105,"35.757729,140.380341",0,150,329
1551171888,2019-02-26T09:04:48Z,CAL105,"35.770294,140.371109",525,164,328
1551171903,2019-02-26T09:05:03Z,CAL105,"35.779861,140.363617",1175,160,327
1551171914,2019-02-26T09:05:14Z,CAL105,"35.786613,140.358582",1550,159,328
1551171924,2019-02-26T09:05:24Z,CAL105,"35.793457,140.353775",1900,159,330
1551171932,2019-02-26T09:05:32Z,CAL105,"35.7976,140.350861",2100,159,330
1551171944,2019-02-26T09:05:44Z,CAL105,"35.806,140.345078",2500,159,330
1551171954,2019-02-26T09:05:54Z,CAL105,"35.812542,140.340469",2800,159,330
1551171965,2019-02-26T09:06:05Z,CAL105,"35.818966,140.335907",3100,158,329
1551171984,2019-02-26T09:06:24Z,CAL105,"35.831726,140.326706",3550,166,329
1551172001,2019-02-26T09:06:41Z,CAL105,"35.843628,140.318008",3750,188,329
