Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551169491,2019-02-26T08:24:51Z,CAL106,"25.081615,121.234055",0,0,137
1551169585,2019-02-26T08:26:25Z,CAL106,"25.08189,121.233749",0,12,149
1551169601,2019-02-26T08:26:41Z,CAL106,"25.082113,121.233635",0,12,143
1551169615,2019-02-26T08:26:55Z,CAL106,"25.082359,121.233521",0,11,118
1551169636,2019-02-26T08:27:16Z,CAL106,"25.082579,121.233261",0,11,61
1551169707,2019-02-26T08:28:27Z,CAL106,"25.082823,121.233482",0,10,50
1551169739,2019-02-26T08:28:59Z,CAL106,"25.08301,121.233727",0,0,51
1551169826,2019-02-26T08:30:26Z,CAL106,"25.083012,121.233734",0,0,76
1551169948,2019-02-26T08:32:28Z,CAL106,"25.083183,121.23394",0,15,47
1551169963,2019-02-26T08:32:43Z,CAL106,"25.083498,121.234337",0,15,47
1551170035,2019-02-26T08:33:55Z,CAL106,"25.083801,121.234711",0,22,50
1551170046,2019-02-26T08:34:06Z,CAL106,"25.084145,121.235023",0,22,14
1551170057,2019-02-26T08:34:17Z,CAL106,"25.084545,121.234818",0,23,323
1551170067,2019-02-26T08:34:27Z,CAL106,"25.084751,121.234299",0,29,272
1551170076,2019-02-26T08:34:36Z,CAL106,"25.084408,121.23381",0,28,225
1551170083,2019-02-26T08:34:43Z,CAL106,"25.084219,121.233589",0,29,227
1551170093,2019-02-26T08:34:53Z,CAL106,"25.083801,121.23307",0,32,230
1551170108,2019-02-26T08:35:08Z,CAL106,"25.083092,121.232162",0,15,227
1551170118,2019-02-26T08:35:18Z,CAL106,"25.082602,121.231552",0,16,227
1551170128,2019-02-26T08:35:28Z,CAL106,"25.08202,121.230804",0,18,227
1551170138,2019-02-26T08:35:38Z,CAL106,"25.081427,121.230049",0,19,227
1551170149,2019-02-26T08:35:49Z,CAL106,"25.080786,121.229233",0,21,227
1551170159,2019-02-26T08:35:59Z,CAL106,"25.080036,121.228279",0,23,230
1551170170,2019-02-26T08:36:10Z,CAL106,"25.079292,121.227325",0,25,227
1551170190,2019-02-26T08:36:30Z,CAL106,"25.077564,121.225143",0,29,227
1551170201,2019-02-26T08:36:41Z,CAL106,"25.076683,121.224022",0,25,227
1551170211,2019-02-26T08:36:51Z,CAL106,"25.076061,121.223236",0,17,230
1551170221,2019-02-26T08:37:01Z,CAL106,"25.075699,121.222763",0,25,230
1551170231,2019-02-26T08:37:11Z,CAL106,"25.075352,121.222328",0,29,227
1551170240,2019-02-26T08:37:20Z,CAL106,"25.074921,121.221786",0,33,227
1551170251,2019-02-26T08:37:31Z,CAL106,"25.07444,121.221161",0,16,227
1551170261,2019-02-26T08:37:41Z,CAL106,"25.073971,121.220589",0,27,227
1551170271,2019-02-26T08:37:51Z,CAL106,"25.073513,121.220695",0,28,146
1551170281,2019-02-26T08:38:01Z,CAL106,"25.073105,121.221107",0,29,137
1551170292,2019-02-26T08:38:12Z,CAL106,"25.072689,121.221519",0,28,137
1551170302,2019-02-26T08:38:22Z,CAL106,"25.072268,121.221916",0,30,140
1551170311,2019-02-26T08:38:31Z,CAL106,"25.071743,121.222404",0,33,137
1551170337,2019-02-26T08:38:57Z,CAL106,"25.070354,121.223717",0,17,137
1551170362,2019-02-26T08:39:22Z,CAL106,"25.068592,121.225395",0,20,140
1551170372,2019-02-26T08:39:32Z,CAL106,"25.068043,121.225914",0,20,140
1551170415,2019-02-26T08:40:15Z,CAL106,"25.06628,121.225685",0,28,227
1551170421,2019-02-26T08:40:21Z,CAL106,"25.066051,121.22541",0,31,227
1551170427,2019-02-26T08:40:27Z,CAL106,"25.065788,121.225075",0,34,227
1551170434,2019-02-26T08:40:34Z,CAL106,"25.065435,121.224632",0,16,227
1551170608,2019-02-26T08:43:28Z,CAL106,"25.071098,121.236511",0,145,47
1551170622,2019-02-26T08:43:42Z,CAL106,"25.07704,121.244026",275,161,48
1551170628,2019-02-26T08:43:48Z,CAL106,"25.079926,121.247551",575,153,48
1551170639,2019-02-26T08:43:59Z,CAL106,"25.085371,121.254234",1075,149,47
1551170646,2019-02-26T08:44:06Z,CAL106,"25.088425,121.258034",1325,150,48
1551170656,2019-02-26T08:44:16Z,CAL106,"25.094101,121.265205",1600,158,49
1551170663,2019-02-26T08:44:23Z,CAL106,"25.096573,121.268364",1775,159,49
1551170672,2019-02-26T08:44:32Z,CAL106,"25.100687,121.273621",1975,165,49
1551170679,2019-02-26T08:44:39Z,CAL106,"25.10463,121.278687",2075,174,49
1551170687,2019-02-26T08:44:47Z,CAL106,"25.107834,121.282906",2175,181,49
1551170699,2019-02-26T08:44:59Z,CAL106,"25.114235,121.29129",2350,199,50
1551170708,2019-02-26T08:45:08Z,CAL106,"25.122288,121.302223",2525,215,50
1551170715,2019-02-26T08:45:15Z,CAL106,"25.126244,121.307411",2625,224,49
1551170723,2019-02-26T08:45:23Z,CAL106,"25.130356,121.312408",2775,230,48
1551170729,2019-02-26T08:45:29Z,CAL106,"25.135042,121.317879",2925,236,46
1551170741,2019-02-26T08:45:41Z,CAL106,"25.144819,121.329018",3200,251,45
1551170750,2019-02-26T08:45:50Z,CAL106,"25.154755,121.340179",3700,259,45
1551170758,2019-02-26T08:45:58Z,CAL106,"25.160042,121.346069",4025,260,45
1551170769,2019-02-26T08:46:09Z,CAL106,"25.170319,121.357628",4675,261,45
1551170777,2019-02-26T08:46:17Z,CAL106,"25.175446,121.363426",4975,264,45
1551170795,2019-02-26T08:46:35Z,CAL106,"25.191511,121.381775",5600,280,46
1551170807,2019-02-26T08:46:47Z,CAL106,"25.20138,121.394005",6175,284,50
1551170814,2019-02-26T08:46:54Z,CAL106,"25.206036,121.40255",6425,291,62
1551170820,2019-02-26T08:47:00Z,CAL106,"25.210085,121.414993",6775,296,72
1551170826,2019-02-26T08:47:06Z,CAL106,"25.21138,121.41993",6925,298,73
1551170833,2019-02-26T08:47:13Z,CAL106,"25.214676,121.432953",7300,303,74
1551170840,2019-02-26T08:47:20Z,CAL106,"25.216696,121.440956",7550,305,74
1551170853,2019-02-26T08:47:33Z,CAL106,"25.221491,121.460442",8125,311,74
1551170865,2019-02-26T08:47:45Z,CAL106,"25.226303,121.479546",8725,315,74
1551170877,2019-02-26T08:47:57Z,CAL106,"25.23111,121.498161",9325,318,73
1551170891,2019-02-26T08:48:11Z,CAL106,"25.237427,121.521965",10075,321,73
1551170903,2019-02-26T08:48:23Z,CAL106,"25.242392,121.540611",10525,328,73
1551170914,2019-02-26T08:48:34Z,CAL106,"25.247726,121.560463",10750,344,73
1551170926,2019-02-26T08:48:46Z,CAL106,"25.253426,121.581596",11000,361,73
1551170940,2019-02-26T08:49:00Z,CAL106,"25.259583,121.604462",11250,376,73
1551170951,2019-02-26T08:49:11Z,CAL106,"25.265436,121.626373",11700,382,73
1551170962,2019-02-26T08:49:22Z,CAL106,"25.271488,121.648972",12200,388,73
1551170996,2019-02-26T08:49:56Z,CAL106,"25.288851,121.714058",13500,404,73
1551171029,2019-02-26T08:50:29Z,CAL106,"25.306681,121.781067",14775,416,73
1551171062,2019-02-26T08:51:02Z,CAL106,"25.324265,121.847481",16075,423,73
1551171097,2019-02-26T08:51:37Z,CAL106,"25.343491,121.920166",17300,436,73
1551171105,2019-02-26T08:51:45Z,CAL106,"25.348892,121.940712",17700,437,73
1551171167,2019-02-26T08:52:47Z,CAL106,"25.384232,122.074638",19825,455,73
1551171230,2019-02-26T08:53:50Z,CAL106,"25.423016,122.219582",21950,470,71
1551171291,2019-02-26T08:54:51Z,CAL106,"25.469833,122.358093",23800,484,69
1551171354,2019-02-26T08:55:54Z,CAL106,"25.51973,122.507019",25450,500,69
1551171378,2019-02-26T08:56:18Z,CAL106,"25.54298,122.561195",25875,504,57
1551171384,2019-02-26T08:56:24Z,CAL106,"25.551498,122.574615",25975,504,53
1551171395,2019-02-26T08:56:35Z,CAL106,"25.565418,122.592812",26200,502,48
1551171403,2019-02-26T08:56:43Z,CAL106,"25.580036,122.61058",26375,504,47
1551171466,2019-02-26T08:57:46Z,CAL106,"25.679672,122.73661",27550,526,49
1551171530,2019-02-26T08:58:50Z,CAL106,"25.783035,122.868195",28875,541,49
1551171590,2019-02-26T08:59:50Z,CAL106,"25.884109,122.997383",29950,553,49
1551171653,2019-02-26T09:00:53Z,CAL106,"25.989277,123.132286",31875,543,49
1551171713,2019-02-26T09:01:53Z,CAL106,"26.087873,123.258995",33000,547,49
1551171777,2019-02-26T09:02:57Z,CAL106,"26.192596,123.394081",34500,539,49
1551171838,2019-02-26T09:03:58Z,CAL106,"26.290329,123.520424",35500,538,49
1551171902,2019-02-26T09:05:02Z,CAL106,"26.394932,123.65609",36325,541,49
1551171965,2019-02-26T09:06:05Z,CAL106,"26.497953,123.790092",37000,544,49
1551172025,2019-02-26T09:07:05Z,CAL106,"26.597122,123.91951",37000,544,49
1551172089,2019-02-26T09:08:09Z,CAL106,"26.701172,124.056114",37000,545,50
1551172152,2019-02-26T09:09:12Z,CAL106,"26.802979,124.193184",37000,546,50
1551172212,2019-02-26T09:10:12Z,CAL106,"26.898422,124.321442",37000,546,50
1551172277,2019-02-26T09:11:17Z,CAL106,"27.003416,124.462791",37000,546,50
1551172335,2019-02-26T09:12:15Z,CAL106,"27.098431,124.591141",37000,546,50
1551172362,2019-02-26T09:12:42Z,CAL106,"27.140699,124.648453",37000,546,50
1551172451,2019-02-26T09:14:11Z,CAL106,"27.285057,124.844566",37000,547,50
1551172515,2019-02-26T09:15:15Z,CAL106,"27.388412,124.985497",37000,546,50
1551172579,2019-02-26T09:16:19Z,CAL106,"27.491776,125.125053",37000,545,50
1551172640,2019-02-26T09:17:20Z,CAL106,"27.589645,125.257149",37000,548,50
1551172700,2019-02-26T09:18:20Z,CAL106,"27.687561,125.390121",37000,546,50
1551172765,2019-02-26T09:19:25Z,CAL106,"27.791107,125.531029",37000,545,50
1551172825,2019-02-26T09:20:25Z,CAL106,"27.888468,125.664047",37000,544,50
1551172909,2019-02-26T09:21:49Z,CAL106,"28.020081,125.844376",37000,547,50
1551172967,2019-02-26T09:22:47Z,CAL106,"28.118042,125.979118",37000,549,50
1551173029,2019-02-26T09:23:49Z,CAL106,"28.215958,126.114227",37000,548,50
1551173091,2019-02-26T09:24:51Z,CAL106,"28.313461,126.249229",37000,547,50
1551173153,2019-02-26T09:25:53Z,CAL106,"28.416231,126.391998",37000,548,50
1551173177,2019-02-26T09:26:17Z,CAL106,"28.450378,126.439537",37000,548,50
1551173304,2019-02-26T09:28:24Z,CAL106,"28.655602,126.726379",37000,551,51
1551173342,2019-02-26T09:29:02Z,CAL106,"28.7164,126.811737",37000,549,51
1551173443,2019-02-26T09:30:43Z,CAL106,"28.880493,127.043098",37000,547,51
1551174560,2019-02-26T09:49:20Z,CAL106,"30.624483,129.583359",37000,547,52
1551174623,2019-02-26T09:50:23Z,CAL106,"30.721684,129.729645",37000,539,52
1551174688,2019-02-26T09:51:28Z,CAL106,"30.81772,129.874985",37000,533,52
1551174747,2019-02-26T09:52:27Z,CAL106,"30.899918,130.019852",37000,545,58
1551174810,2019-02-26T09:53:30Z,CAL106,"30.983959,130.177826",37000,545,58
1551174873,2019-02-26T09:54:33Z,CAL106,"31.06752,130.335861",37000,545,58
1551174935,2019-02-26T09:55:35Z,CAL106,"31.147497,130.487854",37000,547,58
1551174999,2019-02-26T09:56:39Z,CAL106,"31.231245,130.647491",37000,544,58
1551175061,2019-02-26T09:57:41Z,CAL106,"31.314285,130.806351",37000,544,58
1551175120,2019-02-26T09:58:40Z,CAL106,"31.393154,130.957916",37000,547,58
1551175185,2019-02-26T09:59:45Z,CAL106,"31.469147,131.12323",37000,557,65
1551175247,2019-02-26T10:00:47Z,CAL106,"31.537977,131.291779",37000,555,63
1551175307,2019-02-26T10:01:47Z,CAL106,"31.608318,131.458618",37000,555,63
1551175371,2019-02-26T10:02:51Z,CAL106,"31.679443,131.628326",37000,554,63
1551175400,2019-02-26T10:03:20Z,CAL106,"31.71064,131.70311",37000,555,63
1551175490,2019-02-26T10:04:50Z,CAL106,"31.815802,131.956116",37000,560,64
1551175535,2019-02-26T10:05:35Z,CAL106,"31.864975,132.075104",37000,559,64
1551175625,2019-02-26T10:07:05Z,CAL106,"31.966736,132.322571",37000,564,64
1551175664,2019-02-26T10:07:44Z,CAL106,"32.012009,132.433212",37000,566,64
1551175755,2019-02-26T10:09:15Z,CAL106,"32.112061,132.678864",37000,561,64
1551175816,2019-02-26T10:10:16Z,CAL106,"32.182774,132.853577",37000,567,64
1551175827,2019-02-26T10:10:27Z,CAL106,"32.19429,132.882111",37000,567,64
1551175920,2019-02-26T10:12:00Z,CAL106,"32.297104,133.137878",37000,567,64
1551175999,2019-02-26T10:13:19Z,CAL106,"32.386688,133.362381",37000,569,64
1551176072,2019-02-26T10:14:32Z,CAL106,"32.467667,133.566452",37000,567,64
1551176131,2019-02-26T10:15:31Z,CAL106,"32.534088,133.734482",37000,566,65
1551176220,2019-02-26T10:17:00Z,CAL106,"32.632233,133.98497",37000,565,65
1551176283,2019-02-26T10:18:03Z,CAL106,"32.701218,134.162125",37000,563,65
1551176347,2019-02-26T10:19:07Z,CAL106,"32.769936,134.339249",37000,559,65
1551176410,2019-02-26T10:20:10Z,CAL106,"32.838089,134.515869",37000,562,65
1551176473,2019-02-26T10:21:13Z,CAL106,"32.906147,134.693161",37000,564,65
1551176532,2019-02-26T10:22:12Z,CAL106,"32.97084,134.862503",37000,560,65
1551176596,2019-02-26T10:23:16Z,CAL106,"33.037891,135.039291",37000,552,65
1551176658,2019-02-26T10:24:18Z,CAL106,"33.100643,135.216248",37000,559,71
1551176724,2019-02-26T10:25:24Z,CAL106,"33.143967,135.403961",37000,564,75
1551176787,2019-02-26T10:26:27Z,CAL106,"33.186207,135.595337",37000,563,75
1551176849,2019-02-26T10:27:29Z,CAL106,"33.22694,135.781876",37000,562,75
1551176908,2019-02-26T10:28:28Z,CAL106,"33.266922,135.966187",37000,569,75
1551176972,2019-02-26T10:29:32Z,CAL106,"33.308212,136.158569",37000,573,75
1551177035,2019-02-26T10:30:35Z,CAL106,"33.349091,136.350311",37000,573,75
1551177049,2019-02-26T10:30:49Z,CAL106,"33.358612,136.395325",37000,573,75
1551177137,2019-02-26T10:32:17Z,CAL106,"33.415924,136.667511",36625,578,75
1551177196,2019-02-26T10:33:16Z,CAL106,"33.453964,136.850647",36150,578,75
1551177233,2019-02-26T10:33:53Z,CAL106,"33.476807,136.960403",36000,575,76
1551177311,2019-02-26T10:35:11Z,CAL106,"33.521011,137.207077",36000,591,87
1551177341,2019-02-26T10:35:41Z,CAL106,"33.510681,137.297516",36000,599,104
