Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551256181,2019-02-27T08:29:41Z,CAL106,"25.082417,121.235489",0,0,137
1551256261,2019-02-27T08:31:01Z,CAL106,"25.082403,121.235481",0,0,271
1551256315,2019-02-27T08:31:55Z,CAL106,"25.082623,121.235275",0,13,137
1551256331,2019-02-27T08:32:11Z,CAL106,"25.082829,121.235069",0,13,140
1551256347,2019-02-27T08:32:27Z,CAL106,"25.08308,121.23484",0,13,137
1551256358,2019-02-27T08:32:38Z,CAL106,"25.083309,121.234741",0,13,109
1551256379,2019-02-27T08:32:59Z,CAL106,"25.083498,121.234406",0,9,56
1551256650,2019-02-27T08:37:30Z,CAL106,"25.083584,121.234459",0,13,50
1551256666,2019-02-27T08:37:46Z,CAL106,"25.083906,121.234856",0,21,50
1551256675,2019-02-27T08:37:55Z,CAL106,"25.084162,121.235191",0,26,47
1551256685,2019-02-27T08:38:05Z,CAL106,"25.084545,121.23568",0,31,50
1551256696,2019-02-27T08:38:16Z,CAL106,"25.085104,121.236382",0,16,47
1551256707,2019-02-27T08:38:27Z,CAL106,"25.085621,121.237045",0,18,50
1551256717,2019-02-27T08:38:37Z,CAL106,"25.086151,121.237732",0,34,50
1551256733,2019-02-27T08:38:53Z,CAL106,"25.086651,121.23838",0,21,53
1551256745,2019-02-27T08:39:05Z,CAL106,"25.086639,121.238808",0,22,109
1551256754,2019-02-27T08:39:14Z,CAL106,"25.086376,121.239075",0,19,143
1551256764,2019-02-27T08:39:24Z,CAL106,"25.086105,121.239304",0,17,140
1551256780,2019-02-27T08:39:40Z,CAL106,"25.085779,121.239609",0,17,140
1551256790,2019-02-27T08:39:50Z,CAL106,"25.085518,121.239853",0,18,137
1551256800,2019-02-27T08:40:00Z,CAL106,"25.085266,121.240097",0,22,137
1551256814,2019-02-27T08:40:14Z,CAL106,"25.08474,121.240593",0,27,140
1551256822,2019-02-27T08:40:22Z,CAL106,"25.084396,121.240921",0,30,140
1551256857,2019-02-27T08:40:57Z,CAL106,"25.082602,121.242615",0,32,137
1551256934,2019-02-27T08:42:14Z,CAL106,"25.080585,121.245438",0,24,53
1551256945,2019-02-27T08:42:25Z,CAL106,"25.080986,121.245903",0,28,50
1551257039,2019-02-27T08:43:59Z,CAL106,"25.082159,121.247383",0,13,50
1551257062,2019-02-27T08:44:22Z,CAL106,"25.082233,121.248207",0,27,132
1551257116,2019-02-27T08:45:16Z,CAL106,"25.079599,121.247307",0,46,230
1551257132,2019-02-27T08:45:32Z,CAL106,"25.07555,121.242165",0,105,227
1551257160,2019-02-27T08:46:00Z,CAL106,"25.061909,121.2248",575,163,229
1551257171,2019-02-27T08:46:11Z,CAL106,"25.057114,121.218842",1125,153,228
1551257180,2019-02-27T08:46:20Z,CAL106,"25.052273,121.21283",1550,147,228
1551257191,2019-02-27T08:46:31Z,CAL106,"25.047821,121.207069",1775,151,229
1551257243,2019-02-27T08:47:23Z,CAL106,"25.013901,121.180824",2950,195,174
1551257252,2019-02-27T08:47:32Z,CAL106,"25.005581,121.184586",3275,199,149
1551257264,2019-02-27T08:47:44Z,CAL106,"24.996964,121.192474",3675,203,137
1551257270,2019-02-27T08:47:50Z,CAL106,"24.993256,121.196594",3825,205,135
1551257283,2019-02-27T08:48:03Z,CAL106,"24.9841,121.207481",4025,224,132
1551257294,2019-02-27T08:48:14Z,CAL106,"24.977188,121.219582",4225,250,118
1551257305,2019-02-27T08:48:25Z,CAL106,"24.973042,121.232574",4475,267,107
1551257312,2019-02-27T08:48:32Z,CAL106,"24.972198,121.24308",4750,276,97
1551257335,2019-02-27T08:48:55Z,CAL106,"24.981216,121.273445",5550,302,62
1551257356,2019-02-27T08:49:16Z,CAL106,"24.995432,121.302689",6700,304,62
1551257370,2019-02-27T08:49:30Z,CAL106,"25.005161,121.323006",7575,301,62
1551257386,2019-02-27T08:49:46Z,CAL106,"25.01545,121.344826",8400,302,62
1551257401,2019-02-27T08:50:01Z,CAL106,"25.024933,121.364899",9050,307,62
1551257411,2019-02-27T08:50:11Z,CAL106,"25.031799,121.379547",9525,310,62
1551257426,2019-02-27T08:50:26Z,CAL106,"25.041962,121.401009",10200,314,62
1551257441,2019-02-27T08:50:41Z,CAL106,"25.052124,121.422729",10875,319,62
1551257463,2019-02-27T08:51:03Z,CAL106,"25.066681,121.453499",11600,333,62
1551257469,2019-02-27T08:51:09Z,CAL106,"25.071825,121.464325",11700,340,62
1551257485,2019-02-27T08:51:25Z,CAL106,"25.084351,121.490784",11975,364,62
1551257498,2019-02-27T08:51:38Z,CAL106,"25.094217,121.511742",12175,380,62
1551257528,2019-02-27T08:52:08Z,CAL106,"25.11982,121.566315",12925,407,62
1551257562,2019-02-27T08:52:42Z,CAL106,"25.148962,121.628448",14375,415,62
1551257592,2019-02-27T08:53:12Z,CAL106,"25.176149,121.686333",15650,423,62
1551257626,2019-02-27T08:53:46Z,CAL106,"25.207214,121.752571",16775,437,62
1551257656,2019-02-27T08:54:16Z,CAL106,"25.23527,121.812416",17725,450,62
1551257691,2019-02-27T08:54:51Z,CAL106,"25.268829,121.88446",18900,461,62
1551257750,2019-02-27T08:55:50Z,CAL106,"25.327164,122.010063",21000,473,62
1551257811,2019-02-27T08:56:51Z,CAL106,"25.389999,122.145081",22750,490,62
1551257822,2019-02-27T08:57:02Z,CAL106,"25.401321,122.169418",23075,492,62
1551257914,2019-02-27T08:58:34Z,CAL106,"25.525476,122.359352",25650,505,51
1551257975,2019-02-27T08:59:35Z,CAL106,"25.612793,122.483269",27400,509,52
1551258035,2019-02-27T09:00:35Z,CAL106,"25.70163,122.610115",28800,518,52
1551258097,2019-02-27T09:01:37Z,CAL106,"25.791801,122.739464",30400,519,52
