Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551163395,2019-02-26T06:43:15Z,CAL108,"25.077888,121.229286",0,0,137
1551163439,2019-02-26T06:43:59Z,CAL108,"25.078133,121.229042",0,9,137
1551163467,2019-02-26T06:44:27Z,CAL108,"25.078354,121.228806",0,9,143
1551163493,2019-02-26T06:44:53Z,CAL108,"25.078548,121.228546",0,9,171
1551163518,2019-02-26T06:45:18Z,CAL108,"25.078773,121.228394",0,9,219
1551163655,2019-02-26T06:47:35Z,CAL108,"25.07864,121.228165",0,14,227
1551163676,2019-02-26T06:47:56Z,CAL108,"25.078308,121.227745",0,18,230
1551163686,2019-02-26T06:48:06Z,CAL108,"25.078056,121.227432",0,21,227
1551163697,2019-02-26T06:48:17Z,CAL108,"25.077805,121.227097",0,20,230
1551163706,2019-02-26T06:48:26Z,CAL108,"25.077599,121.226845",0,16,230
1551163716,2019-02-26T06:48:36Z,CAL108,"25.077551,121.226601",0,16,253
1551163726,2019-02-26T06:48:46Z,CAL108,"25.077749,121.226334",0,20,317
1551163736,2019-02-26T06:48:56Z,CAL108,"25.078045,121.226059",0,19,312
1551163747,2019-02-26T06:49:07Z,CAL108,"25.078011,121.225677",0,21,239
1551163757,2019-02-26T06:49:17Z,CAL108,"25.077759,121.225395",0,20,227
1551163767,2019-02-26T06:49:27Z,CAL108,"25.07748,121.225052",0,24,227
1551163777,2019-02-26T06:49:37Z,CAL108,"25.077156,121.224625",0,28,227
1551163792,2019-02-26T06:49:52Z,CAL108,"25.076534,121.223846",0,34,227
1551163803,2019-02-26T06:50:03Z,CAL108,"25.076054,121.223221",0,16,227
1551163813,2019-02-26T06:50:13Z,CAL108,"25.075548,121.222572",0,16,227
1551163822,2019-02-26T06:50:22Z,CAL108,"25.075092,121.222015",0,34,227
1551163833,2019-02-26T06:50:33Z,CAL108,"25.074642,121.22142",0,32,230
1551163843,2019-02-26T06:50:43Z,CAL108,"25.074268,121.220955",0,27,230
1551163853,2019-02-26T06:50:53Z,CAL108,"25.073978,121.220581",0,23,227
1551163863,2019-02-26T06:51:03Z,CAL108,"25.073639,121.220566",0,20,154
1551163873,2019-02-26T06:51:13Z,CAL108,"25.073364,121.220856",0,23,135
1551163883,2019-02-26T06:51:23Z,CAL108,"25.073023,121.221191",0,23,140
1551163893,2019-02-26T06:51:33Z,CAL108,"25.072721,121.221474",0,21,137
1551163902,2019-02-26T06:51:42Z,CAL108,"25.072449,121.221733",0,22,140
1551163912,2019-02-26T06:51:52Z,CAL108,"25.072163,121.222008",0,22,140
1551163923,2019-02-26T06:52:03Z,CAL108,"25.071836,121.222313",0,22,140
1551163933,2019-02-26T06:52:13Z,CAL108,"25.071533,121.222595",0,22,140
1551163972,2019-02-26T06:52:52Z,CAL108,"25.07024,121.223831",0,28,137
1551163983,2019-02-26T06:53:03Z,CAL108,"25.069748,121.224289",0,32,140
1551164005,2019-02-26T06:53:25Z,CAL108,"25.068531,121.225449",0,16,140
1551164214,2019-02-26T06:56:54Z,CAL108,"25.066065,121.225441",0,26,227
1551164223,2019-02-26T06:57:03Z,CAL108,"25.065784,121.225075",0,24,227
1551164239,2019-02-26T06:57:19Z,CAL108,"25.065563,121.224792",0,10,230
1551164721,2019-02-26T07:05:21Z,CAL108,"25.063019,121.222511",0,16,185
1551164729,2019-02-26T07:05:29Z,CAL108,"25.062794,121.222481",0,18,185
1551164741,2019-02-26T07:05:41Z,CAL108,"25.062433,121.222443",0,15,185
1551164753,2019-02-26T07:05:53Z,CAL108,"25.062153,121.222473",0,14,177
1551164767,2019-02-26T07:06:07Z,CAL108,"25.061886,121.222664",0,13,151
1551165107,2019-02-26T07:11:47Z,CAL108,"25.061657,121.222916",0,10,140
1551165127,2019-02-26T07:12:07Z,CAL108,"25.061398,121.22316",0,12,140
1551165147,2019-02-26T07:12:27Z,CAL108,"25.061037,121.223534",0,15,135
1551165159,2019-02-26T07:12:39Z,CAL108,"25.061016,121.223831",0,16,101
1551165167,2019-02-26T07:12:47Z,CAL108,"25.061222,121.224014",0,14,56
1551165189,2019-02-26T07:13:09Z,CAL108,"25.061428,121.224213",0,21,50
1551165199,2019-02-26T07:13:19Z,CAL108,"25.062737,121.225876",0,54,47
1551165209,2019-02-26T07:13:29Z,CAL108,"25.065109,121.228897",0,94,50
1551165229,2019-02-26T07:13:49Z,CAL108,"25.073364,121.239418",125,150,49
1551165240,2019-02-26T07:14:00Z,CAL108,"25.077971,121.245117",525,149,48
1551165250,2019-02-26T07:14:10Z,CAL108,"25.082533,121.250763",925,146,48
1551165259,2019-02-26T07:14:19Z,CAL108,"25.086628,121.255791",1275,148,48
1551165270,2019-02-26T07:14:30Z,CAL108,"25.091904,121.262611",1475,153,50
1551165280,2019-02-26T07:14:40Z,CAL108,"25.096544,121.268959",1575,165,51
1551165291,2019-02-26T07:14:51Z,CAL108,"25.101791,121.276093",1675,180,51
1551165299,2019-02-26T07:14:59Z,CAL108,"25.107193,121.28347",1775,194,50
