Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551335942,2019-02-28T06:39:02Z,CAL108,"25.078777,121.230598",0,0,180
1551336020,2019-02-28T06:40:20Z,CAL108,"25.079006,121.230415",0,11,137
1551336040,2019-02-28T06:40:40Z,CAL108,"25.079227,121.230202",0,11,137
1551336055,2019-02-28T06:40:55Z,CAL108,"25.07946,121.230064",0,11,115
1551336077,2019-02-28T06:41:17Z,CAL108,"25.079659,121.229805",0,12,73
1551336090,2019-02-28T06:41:30Z,CAL108,"25.079613,121.229538",0,12,56
1551336106,2019-02-28T06:41:46Z,CAL108,"25.079487,121.229286",0,11,50
1551336269,2019-02-28T06:44:29Z,CAL108,"25.079681,121.229515",0,18,47
1551336283,2019-02-28T06:44:43Z,CAL108,"25.080208,121.22953",0,24,326
1551336293,2019-02-28T06:44:53Z,CAL108,"25.08046,121.229073",0,28,286
1551336299,2019-02-28T06:44:59Z,CAL108,"25.080391,121.228752",0,29,247
1551336309,2019-02-28T06:45:09Z,CAL108,"25.079967,121.228218",0,15,230
1551336320,2019-02-28T06:45:20Z,CAL108,"25.079401,121.227501",0,20,227
1551336334,2019-02-28T06:45:34Z,CAL108,"25.078285,121.226082",0,25,230
1551336345,2019-02-28T06:45:45Z,CAL108,"25.077496,121.225075",0,26,230
1551336355,2019-02-28T06:45:55Z,CAL108,"25.076672,121.224022",0,28,227
1551336364,2019-02-28T06:46:04Z,CAL108,"25.075905,121.223053",0,24,227
1551336375,2019-02-28T06:46:15Z,CAL108,"25.075247,121.222198",0,19,230
1551336384,2019-02-28T06:46:24Z,CAL108,"25.074745,121.221581",0,15,230
1551336394,2019-02-28T06:46:34Z,CAL108,"25.07436,121.2211",0,27,227
1551336405,2019-02-28T06:46:45Z,CAL108,"25.07412,121.220779",0,19,227
1551336416,2019-02-28T06:46:56Z,CAL108,"25.073851,121.220528",0,19,210
1551336425,2019-02-28T06:47:05Z,CAL108,"25.073547,121.220573",0,21,151
1551336435,2019-02-28T06:47:15Z,CAL108,"25.073364,121.220856",0,13,137
1551336456,2019-02-28T06:47:36Z,CAL108,"25.073158,121.221069",0,9,137
1551336497,2019-02-28T06:48:17Z,CAL108,"25.072838,121.221367",0,14,140
1551336516,2019-02-28T06:48:36Z,CAL108,"25.072279,121.221886",0,24,140
1551336527,2019-02-28T06:48:47Z,CAL108,"25.071911,121.222244",0,28,137
1551336537,2019-02-28T06:48:57Z,CAL108,"25.071442,121.222694",0,31,137
1551336557,2019-02-28T06:49:17Z,CAL108,"25.07037,121.223717",0,16,137
1551336567,2019-02-28T06:49:27Z,CAL108,"25.069782,121.224266",0,34,137
1551336584,2019-02-28T06:49:44Z,CAL108,"25.069113,121.224892",0,24,140
1551336594,2019-02-28T06:49:54Z,CAL108,"25.068832,121.225151",0,21,137
1551336617,2019-02-28T06:50:17Z,CAL108,"25.06838,121.225594",0,15,137
1551336628,2019-02-28T06:50:28Z,CAL108,"25.068134,121.22583",0,15,137
1551336640,2019-02-28T06:50:40Z,CAL108,"25.067917,121.226028",0,11,137
1551336682,2019-02-28T06:51:22Z,CAL108,"25.067717,121.226227",0,9,137
1551337144,2019-02-28T06:59:04Z,CAL108,"25.064415,121.223351",0,12,227
1551337163,2019-02-28T06:59:23Z,CAL108,"25.064243,121.223129",0,10,227
1551337224,2019-02-28T07:00:24Z,CAL108,"25.064037,121.222862",0,11,230
1551337249,2019-02-28T07:00:49Z,CAL108,"25.063759,121.222641",0,11,216
1551337265,2019-02-28T07:01:05Z,CAL108,"25.063557,121.222588",0,9,199
1551337296,2019-02-28T07:01:36Z,CAL108,"25.063341,121.222549",0,2,194
1551337342,2019-02-28T07:02:22Z,CAL108,"25.063042,121.222511",0,11,188
1551337352,2019-02-28T07:02:32Z,CAL108,"25.062836,121.222481",0,13,185
1551337367,2019-02-28T07:02:47Z,CAL108,"25.062515,121.222458",0,12,185
1551337378,2019-02-28T07:02:58Z,CAL108,"25.062309,121.222435",0,13,182
1551337387,2019-02-28T07:03:07Z,CAL108,"25.062103,121.222481",0,12,171
1551337408,2019-02-28T07:03:28Z,CAL108,"25.061874,121.222702",0,2,146
1551337439,2019-02-28T07:03:59Z,CAL108,"25.0616,121.222969",0,11,140
1551337459,2019-02-28T07:04:19Z,CAL108,"25.061234,121.223335",0,15,135
1551337468,2019-02-28T07:04:28Z,CAL108,"25.061094,121.223595",0,16,123
1551337512,2019-02-28T07:05:12Z,CAL108,"25.061337,121.224098",0,2,50
1551337521,2019-02-28T07:05:21Z,CAL108,"25.061327,121.223221",0,2,50
1551337572,2019-02-28T07:06:12Z,CAL108,"25.068974,121.233818",0,130,50
1551337586,2019-02-28T07:06:26Z,CAL108,"25.075378,121.242165",425,143,50
1551337592,2019-02-28T07:06:32Z,CAL108,"25.077784,121.245377",675,140,50
1551337599,2019-02-28T07:06:39Z,CAL108,"25.080252,121.248589",925,138,49
1551337605,2019-02-28T07:06:45Z,CAL108,"25.082794,121.25193",1150,138,49
1551337611,2019-02-28T07:06:51Z,CAL108,"25.085266,121.255241",1325,140,51
1551337617,2019-02-28T07:06:57Z,CAL108,"25.08783,121.258751",1500,143,51
1551337628,2019-02-28T07:07:08Z,CAL108,"25.093002,121.26577",1800,150,51
1551337635,2019-02-28T07:07:15Z,CAL108,"25.095657,121.269325",1950,151,51
1551337641,2019-02-28T07:07:21Z,CAL108,"25.09794,121.27253",2125,152,51
1551337647,2019-02-28T07:07:27Z,CAL108,"25.100876,121.276703",2300,153,52
1551337654,2019-02-28T07:07:34Z,CAL108,"25.103388,121.280251",2450,153,51
1551337661,2019-02-28T07:07:41Z,CAL108,"25.106415,121.284233",2625,154,50
1551337670,2019-02-28T07:07:50Z,CAL108,"25.112,121.291603",2925,158,50
1551337678,2019-02-28T07:07:58Z,CAL108,"25.114792,121.295334",3075,159,50
1551337689,2019-02-28T07:08:09Z,CAL108,"25.120193,121.30233",3275,170,48
1551337701,2019-02-28T07:08:21Z,CAL108,"25.127733,121.311295",3475,184,46
1551337708,2019-02-28T07:08:28Z,CAL108,"25.131546,121.315559",3550,190,45
1551337719,2019-02-28T07:08:39Z,CAL108,"25.139511,121.324196",3675,209,44
1551337725,2019-02-28T07:08:45Z,CAL108,"25.143841,121.328758",3800,216,43
1551337731,2019-02-28T07:08:51Z,CAL108,"25.147984,121.333115",3925,222,43
1551337738,2019-02-28T07:08:58Z,CAL108,"25.153198,121.338608",4025,231,43
1551337749,2019-02-28T07:09:09Z,CAL108,"25.162582,121.348778",4300,246,44
1551337756,2019-02-28T07:09:16Z,CAL108,"25.167526,121.354218",4425,253,45
1551337763,2019-02-28T07:09:23Z,CAL108,"25.172104,121.359306",4525,263,44
1551337776,2019-02-28T07:09:36Z,CAL108,"25.183598,121.372597",4725,279,47
1551337782,2019-02-28T07:09:42Z,CAL108,"25.189911,121.382805",4825,294,58
1551337789,2019-02-28T07:09:49Z,CAL108,"25.193605,121.392082",4925,304,67
1551337796,2019-02-28T07:09:56Z,CAL108,"25.195654,121.398201",5025,309,69
1551337806,2019-02-28T07:10:06Z,CAL108,"25.20076,121.414894",5175,322,71
1551337812,2019-02-28T07:10:12Z,CAL108,"25.204453,121.428207",5400,330,73
1551337828,2019-02-28T07:10:28Z,CAL108,"25.211435,121.454483",5975,338,73
1551337841,2019-02-28T07:10:41Z,CAL108,"25.216928,121.475418",6400,346,73
1551337852,2019-02-28T07:10:52Z,CAL108,"25.22205,121.49511",6900,348,74
1551337864,2019-02-28T07:11:04Z,CAL108,"25.227495,121.515579",7400,351,73
1551337876,2019-02-28T07:11:16Z,CAL108,"25.233501,121.537704",7625,364,73
1551337888,2019-02-28T07:11:28Z,CAL108,"25.239578,121.5597",7975,373,72
1551337900,2019-02-28T07:11:40Z,CAL108,"25.245712,121.581673",8425,377,72
1551337914,2019-02-28T07:11:54Z,CAL108,"25.252029,121.604195",8900,380,72
1551337926,2019-02-28T07:12:06Z,CAL108,"25.258255,121.626434",9375,384,72
1551337937,2019-02-28T07:12:17Z,CAL108,"25.264618,121.649117",9875,390,72
1551337948,2019-02-28T07:12:28Z,CAL108,"25.270649,121.670837",10425,394,72
1551337959,2019-02-28T07:12:39Z,CAL108,"25.276657,121.692253",10900,397,72
1551337975,2019-02-28T07:12:55Z,CAL108,"25.284103,121.719032",11550,401,72
1551337987,2019-02-28T07:13:07Z,CAL108,"25.292221,121.747993",12325,403,72
1551338023,2019-02-28T07:13:43Z,CAL108,"25.310349,121.813148",14025,404,72
1551338054,2019-02-28T07:14:14Z,CAL108,"25.328842,121.879784",15600,409,73
1551338099,2019-02-28T07:14:59Z,CAL108,"25.354385,121.972046",17300,425,73
1551338132,2019-02-28T07:15:32Z,CAL108,"25.373251,122.040489",18550,432,73
1551338192,2019-02-28T07:16:32Z,CAL108,"25.4097,122.173256",20250,463,73
1551338254,2019-02-28T07:17:34Z,CAL108,"25.453491,122.310181",22725,464,69
1551338313,2019-02-28T07:18:33Z,CAL108,"25.498856,122.445122",24475,477,69
1551338379,2019-02-28T07:19:39Z,CAL108,"25.54866,122.594048",26225,490,69
1551338442,2019-02-28T07:20:42Z,CAL108,"25.600891,122.750816",26875,526,69
1551338488,2019-02-28T07:21:28Z,CAL108,"25.644333,122.865395",27475,538,59
1551338494,2019-02-28T07:21:34Z,CAL108,"25.653305,122.879944",27600,537,55
1551338500,2019-02-28T07:21:40Z,CAL108,"25.661921,122.892601",27700,536,52
1551338509,2019-02-28T07:21:49Z,CAL108,"25.675375,122.911621",27850,538,51
1551338574,2019-02-28T07:22:54Z,CAL108,"25.772827,123.049873",28900,535,52
1551338636,2019-02-28T07:23:56Z,CAL108,"25.866028,123.188919",29975,529,54
1551338695,2019-02-28T07:24:55Z,CAL108,"25.952133,123.320084",30975,538,53
1551338759,2019-02-28T07:25:59Z,CAL108,"26.045609,123.464722",32050,537,55
1551338777,2019-02-28T07:26:17Z,CAL108,"26.073441,123.500526",32350,518,43
1551338783,2019-02-28T07:26:23Z,CAL108,"26.08548,123.512344",32475,509,40
1551338792,2019-02-28T07:26:32Z,CAL108,"26.100449,123.525093",32600,500,36
1551338799,2019-02-28T07:26:39Z,CAL108,"26.113571,123.535873",32725,501,36
1551338864,2019-02-28T07:27:44Z,CAL108,"26.23563,123.639503",33800,503,37
1551338931,2019-02-28T07:28:51Z,CAL108,"26.355881,123.741608",34425,512,37
1551338989,2019-02-28T07:29:49Z,CAL108,"26.467438,123.836647",35125,517,37
1551339053,2019-02-28T07:30:53Z,CAL108,"26.590897,123.942261",36075,514,37
1551339113,2019-02-28T07:31:53Z,CAL108,"26.696732,124.053864",36850,534,48
1551339176,2019-02-28T07:32:56Z,CAL108,"26.799316,124.1894",37000,537,49
1551339237,2019-02-28T07:33:57Z,CAL108,"26.895996,124.318489",37000,540,50
