Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551178641,2019-02-26T10:57:21Z,CAL109,"35.776615,140.388626",0,9,303
1551178808,2019-02-26T11:00:08Z,CAL109,"35.776615,140.388809",0,9,326
1551178831,2019-02-26T11:00:31Z,CAL109,"35.776886,140.388611",0,12,329
1551178876,2019-02-26T11:01:16Z,CAL109,"35.777561,140.388168",0,14,337
1551178888,2019-02-26T11:01:28Z,CAL109,"35.777767,140.388336",0,15,19
1551178914,2019-02-26T11:01:54Z,CAL109,"35.778042,140.389084",0,17,61
1551178932,2019-02-26T11:02:12Z,CAL109,"35.778282,140.389572",0,16,59
1551178949,2019-02-26T11:02:29Z,CAL109,"35.778503,140.390045",0,17,59
1551178958,2019-02-26T11:02:38Z,CAL109,"35.778652,140.39035",0,18,59
1551178966,2019-02-26T11:02:46Z,CAL109,"35.778774,140.39061",0,19,59
1551178988,2019-02-26T11:03:08Z,CAL109,"35.779072,140.391342",0,16,70
1551179006,2019-02-26T11:03:26Z,CAL109,"35.778831,140.391937",0,19,120
1551179013,2019-02-26T11:03:33Z,CAL109,"35.778725,140.392212",0,20,118
1551179024,2019-02-26T11:03:44Z,CAL109,"35.778545,140.392624",0,20,118
1551179041,2019-02-26T11:04:01Z,CAL109,"35.778271,140.393326",0,20,118
1551179052,2019-02-26T11:04:12Z,CAL109,"35.778053,140.393784",0,19,123
1551179064,2019-02-26T11:04:24Z,CAL109,"35.77779,140.394058",0,19,146
1551179077,2019-02-26T11:04:37Z,CAL109,"35.777386,140.394363",0,21,151
1551179120,2019-02-26T11:05:20Z,CAL109,"35.775639,140.395615",0,28,149
1551179126,2019-02-26T11:05:26Z,CAL109,"35.775364,140.395813",0,29,149
1551179178,2019-02-26T11:06:18Z,CAL109,"35.773212,140.397369",0,23,149
1551179191,2019-02-26T11:06:31Z,CAL109,"35.772823,140.397507",0,17,171
1551179207,2019-02-26T11:06:47Z,CAL109,"35.772366,140.397293",0,18,199
1551179218,2019-02-26T11:06:58Z,CAL109,"35.772068,140.397125",0,21,202
1551179228,2019-02-26T11:07:08Z,CAL109,"35.771679,140.396912",0,23,205
1551179361,2019-02-26T11:09:21Z,CAL109,"35.768532,140.398956",0,18,182
1551179372,2019-02-26T11:09:32Z,CAL109,"35.768154,140.398941",0,21,182
1551179380,2019-02-26T11:09:40Z,CAL109,"35.767834,140.398911",0,20,185
1551179438,2019-02-26T11:10:38Z,CAL109,"35.765522,140.397156",0,31,205
1551179448,2019-02-26T11:10:48Z,CAL109,"35.764942,140.39682",0,34,202
1551179457,2019-02-26T11:10:57Z,CAL109,"35.764412,140.39653",0,34,205
1551179490,2019-02-26T11:11:30Z,CAL109,"35.762135,140.395264",0,17,205
1551179517,2019-02-26T11:11:57Z,CAL109,"35.760418,140.394318",0,15,205
1551179680,2019-02-26T11:14:40Z,CAL109,"35.753967,140.389526",0,32,205
1551179742,2019-02-26T11:15:42Z,CAL109,"35.750759,140.387939",0,23,165
1551179828,2019-02-26T11:17:08Z,CAL109,"35.745987,140.391388",0,15,149
1551179868,2019-02-26T11:17:48Z,CAL109,"35.744236,140.392334",0,20,213
1551179916,2019-02-26T11:18:36Z,CAL109,"35.743587,140.39064",0,20,267
1551179927,2019-02-26T11:18:47Z,CAL109,"35.74403,140.390213",0,32,329
1551179943,2019-02-26T11:19:03Z,CAL109,"35.74617,140.388672",0,57,329
1551179952,2019-02-26T11:19:12Z,CAL109,"35.749371,140.386368",0,98,329
1551179983,2019-02-26T11:19:43Z,CAL109,"35.765713,140.374237",450,151,327
1551179995,2019-02-26T11:19:55Z,CAL109,"35.77272,140.36853",950,148,326
1551180004,2019-02-26T11:20:04Z,CAL109,"35.778469,140.364136",1300,149,328
1551180024,2019-02-26T11:20:24Z,CAL109,"35.790665,140.355545",1950,150,330
1551180035,2019-02-26T11:20:35Z,CAL109,"35.79718,140.351044",2250,150,330
1551180044,2019-02-26T11:20:44Z,CAL109,"35.803001,140.347015",2525,150,330
1551180054,2019-02-26T11:20:54Z,CAL109,"35.808929,140.34285",2825,150,330
1551180065,2019-02-26T11:21:05Z,CAL109,"35.81543,140.338272",3125,150,330
1551180075,2019-02-26T11:21:15Z,CAL109,"35.821564,140.333923",3375,153,330
1551180085,2019-02-26T11:21:25Z,CAL109,"35.828339,140.329117",3525,165,329
1551180101,2019-02-26T11:21:41Z,CAL109,"35.839233,140.321335",3700,186,329
1551180116,2019-02-26T11:21:56Z,CAL109,"35.851227,140.312714",3900,208,329
1551180132,2019-02-26T11:22:12Z,CAL109,"35.865753,140.302246",4225,237,329
1551180148,2019-02-26T11:22:28Z,CAL109,"35.88377,140.295288",4475,257,354
1551180171,2019-02-26T11:22:51Z,CAL109,"35.909325,140.307327",4875,259,38
1551180182,2019-02-26T11:23:02Z,CAL109,"35.916077,140.31926",5350,254,58
1551180191,2019-02-26T11:23:11Z,CAL109,"35.919056,140.33374",5950,252,80
1551180214,2019-02-26T11:23:34Z,CAL109,"35.91188,140.363617",6950,259,124
1551180221,2019-02-26T11:23:41Z,CAL109,"35.907028,140.370087",7200,260,135
1551180230,2019-02-26T11:23:50Z,CAL109,"35.898193,140.37706",7575,258,151
1551180237,2019-02-26T11:23:57Z,CAL109,"35.888626,140.380432",8050,250,168
1551180243,2019-02-26T11:24:03Z,CAL109,"35.880882,140.381317",8450,245,175
1551180254,2019-02-26T11:24:14Z,CAL109,"35.870316,140.382095",8775,251,176
1551180261,2019-02-26T11:24:21Z,CAL109,"35.862911,140.382599",8900,260,176
1551180272,2019-02-26T11:24:32Z,CAL109,"35.84462,140.383713",9425,272,177
1551180286,2019-02-26T11:24:46Z,CAL109,"35.829208,140.384552",10025,276,177
1551180314,2019-02-26T11:25:14Z,CAL109,"35.793877,140.378036",10600,298,196
1551180322,2019-02-26T11:25:22Z,CAL109,"35.782242,140.373688",10725,311,196
1551180334,2019-02-26T11:25:34Z,CAL109,"35.764755,140.367279",11100,321,196
1551180347,2019-02-26T11:25:47Z,CAL109,"35.747543,140.36116",11725,323,195
1551180358,2019-02-26T11:25:58Z,CAL109,"35.730145,140.355255",12225,329,195
1551180378,2019-02-26T11:26:18Z,CAL109,"35.700817,140.342163",12725,339,207
1551180385,2019-02-26T11:26:25Z,CAL109,"35.691788,140.335297",12825,340,213
1551180392,2019-02-26T11:26:32Z,CAL109,"35.68457,140.328018",13025,338,220
1551180402,2019-02-26T11:26:42Z,CAL109,"35.675034,140.314926",13375,335,230
