Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551133010,2019-02-25T22:16:50Z,CAL223,"35.54781,139.769257",0,10,253
1551133059,2019-02-25T22:17:39Z,CAL223,"35.547867,139.769943",0,10,317
1551133079,2019-02-25T22:17:59Z,CAL223,"35.547707,139.770157",0,10,323
1551133327,2019-02-25T22:22:07Z,CAL223,"35.547558,139.771454",0,20,64
1551133355,2019-02-25T22:22:35Z,CAL223,"35.548172,139.772766",0,27,59
1551133719,2019-02-25T22:28:39Z,CAL223,"35.538559,139.786819",0,16,149
1551133990,2019-02-25T22:33:10Z,CAL223,"35.533058,139.803101",0,23,149
1551133998,2019-02-25T22:33:18Z,CAL223,"35.532429,139.803528",0,23,149
1551134009,2019-02-25T22:33:29Z,CAL223,"35.531445,139.804245",0,23,149
1551134015,2019-02-25T22:33:35Z,CAL223,"35.530758,139.804718",0,20,151
1551134032,2019-02-25T22:33:52Z,CAL223,"35.529671,139.805267",0,31,188
1551134038,2019-02-25T22:33:58Z,CAL223,"35.529331,139.804977",0,31,219
1551134045,2019-02-25T22:34:05Z,CAL223,"35.529041,139.804626",0,32,222
1551134053,2019-02-25T22:34:13Z,CAL223,"35.528629,139.804169",0,34,222
1551134060,2019-02-25T22:34:20Z,CAL223,"35.528297,139.803802",0,15,222
1551134066,2019-02-25T22:34:26Z,CAL223,"35.527969,139.803436",0,15,222
1551134072,2019-02-25T22:34:32Z,CAL223,"35.527679,139.803101",0,16,222
1551134078,2019-02-25T22:34:38Z,CAL223,"35.527325,139.802719",0,16,222
1551134084,2019-02-25T22:34:44Z,CAL223,"35.527096,139.802444",0,34,222
1551134090,2019-02-25T22:34:50Z,CAL223,"35.526737,139.802124",0,27,208
1551134096,2019-02-25T22:34:56Z,CAL223,"35.526443,139.802124",0,28,171
1551134104,2019-02-25T22:35:04Z,CAL223,"35.526188,139.802383",0,29,132
1551134111,2019-02-25T22:35:11Z,CAL223,"35.525864,139.802872",0,28,132
1551134118,2019-02-25T22:35:18Z,CAL223,"35.525642,139.803162",0,30,132
1551134125,2019-02-25T22:35:25Z,CAL223,"35.525311,139.803604",0,28,132
1551134168,2019-02-25T22:36:08Z,CAL223,"35.52541,139.805054",0,18,42
1551134175,2019-02-25T22:36:15Z,CAL223,"35.526295,139.806061",0,46,42
1551134186,2019-02-25T22:36:26Z,CAL223,"35.529453,139.809601",0,96,42
1551134194,2019-02-25T22:36:34Z,CAL223,"35.531799,139.812241",0,120,42
1551134205,2019-02-25T22:36:45Z,CAL223,"35.537842,139.819046",125,147,43
1551134211,2019-02-25T22:36:51Z,CAL223,"35.540073,139.821533",325,144,42
1551134217,2019-02-25T22:36:57Z,CAL223,"35.543106,139.825165",700,140,44
1551134223,2019-02-25T22:37:03Z,CAL223,"35.546173,139.829361",975,137,49
1551134229,2019-02-25T22:37:09Z,CAL223,"35.547821,139.833359",1250,136,68
1551134255,2019-02-25T22:37:35Z,CAL223,"35.542355,139.852798",2200,143,134
1551134265,2019-02-25T22:37:45Z,CAL223,"35.538116,139.856476",2525,145,147
1551134275,2019-02-25T22:37:55Z,CAL223,"35.532207,139.860748",2775,146,150
1551134281,2019-02-25T22:38:01Z,CAL223,"35.528667,139.863205",2950,147,150
1551134288,2019-02-25T22:38:08Z,CAL223,"35.524803,139.865768",3100,148,151
1551134298,2019-02-25T22:38:18Z,CAL223,"35.517635,139.870743",3350,154,150
1551134322,2019-02-25T22:38:42Z,CAL223,"35.501575,139.882782",3650,181,147
1551134335,2019-02-25T22:38:55Z,CAL223,"35.4911,139.891083",3825,199,146
1551134345,2019-02-25T22:39:05Z,CAL223,"35.4841,139.896927",3950,203,144
1551134355,2019-02-25T22:39:15Z,CAL223,"35.476528,139.903229",4175,215,144
1551134364,2019-02-25T22:39:24Z,CAL223,"35.469769,139.909058",4475,219,143
1551134370,2019-02-25T22:39:30Z,CAL223,"35.465591,139.912643",4700,219,143
1551134380,2019-02-25T22:39:40Z,CAL223,"35.455441,139.921234",5225,220,145
1551134390,2019-02-25T22:39:50Z,CAL223,"35.44418,139.926056",5625,231,170
1551134400,2019-02-25T22:40:00Z,CAL223,"35.436539,139.926147",5800,227,183
1551134410,2019-02-25T22:40:10Z,CAL223,"35.422112,139.919189",6150,241,214
1551134420,2019-02-25T22:40:20Z,CAL223,"35.414021,139.910828",6525,244,223
1551134430,2019-02-25T22:40:30Z,CAL223,"35.406559,139.90242",6950,244,224
1551134445,2019-02-25T22:40:45Z,CAL223,"35.392921,139.886108",7750,247,228
1551134460,2019-02-25T22:41:00Z,CAL223,"35.382729,139.868637",8350,246,237
1551134470,2019-02-25T22:41:10Z,CAL223,"35.37772,139.859558",8700,247,237
1551134485,2019-02-25T22:41:25Z,CAL223,"35.36718,139.84082",9625,239,236
1551134500,2019-02-25T22:41:40Z,CAL223,"35.3568,139.822601",10325,239,236
1551134515,2019-02-25T22:41:55Z,CAL223,"35.346821,139.805145",10750,254,234
1551134530,2019-02-25T22:42:10Z,CAL223,"35.337292,139.788574",11325,259,234
1551134545,2019-02-25T22:42:25Z,CAL223,"35.326439,139.769821",11825,259,236
1551134560,2019-02-25T22:42:40Z,CAL223,"35.316021,139.751694",12075,277,234
1551134579,2019-02-25T22:42:59Z,CAL223,"35.299759,139.728638",12375,301,226
1551134605,2019-02-25T22:43:25Z,CAL223,"35.277279,139.694534",12775,314,242
1551134615,2019-02-25T22:43:35Z,CAL223,"35.272442,139.673859",13150,318,258
1551134625,2019-02-25T22:43:45Z,CAL223,"35.2696,139.655869",13500,322,260
1551134635,2019-02-25T22:43:55Z,CAL223,"35.266479,139.637146",13925,323,258
1551134666,2019-02-25T22:44:26Z,CAL223,"35.25705,139.584396",15225,321,257
1551134699,2019-02-25T22:44:59Z,CAL223,"35.245605,139.521332",16875,315,257
1551134733,2019-02-25T22:45:33Z,CAL223,"35.235214,139.463943",18150,315,257
1551134793,2019-02-25T22:46:33Z,CAL223,"35.215603,139.35733",20000,324,257
1551134858,2019-02-25T22:47:38Z,CAL223,"35.194561,139.243011",21950,331,257
1551134920,2019-02-25T22:48:40Z,CAL223,"35.172543,139.124451",23700,340,257
1551134982,2019-02-25T22:49:42Z,CAL223,"35.150246,139.005096",24975,351,257
1551135048,2019-02-25T22:50:48Z,CAL223,"35.126953,138.880524",27050,349,257
1551135109,2019-02-25T22:51:49Z,CAL223,"35.103508,138.756531",28375,364,256
1551135171,2019-02-25T22:52:51Z,CAL223,"35.080765,138.636871",29450,378,256
1551135235,2019-02-25T22:53:55Z,CAL223,"35.055725,138.505203",31500,367,256
1551135296,2019-02-25T22:54:56Z,CAL223,"35.031258,138.37796",33300,357,256
1551135361,2019-02-25T22:56:01Z,CAL223,"35.006744,138.251007",34575,354,256
1551135423,2019-02-25T22:57:03Z,CAL223,"34.983631,138.132187",35650,351,256
1551135488,2019-02-25T22:58:08Z,CAL223,"34.960049,138.011536",37150,332,258
1551135553,2019-02-25T22:59:13Z,CAL223,"34.936619,137.892883",38000,328,257
1551135618,2019-02-25T23:00:18Z,CAL223,"34.912899,137.772812",38000,344,256
1551135683,2019-02-25T23:01:23Z,CAL223,"34.888199,137.648453",38000,363,256
1551135759,2019-02-25T23:02:39Z,CAL223,"34.857605,137.495529",38000,372,256
1551135827,2019-02-25T23:03:47Z,CAL223,"34.820145,137.360001",38000,370,247
1551135838,2019-02-25T23:03:58Z,CAL223,"34.812881,137.343521",38000,373,240
1551135846,2019-02-25T23:04:06Z,CAL223,"34.804176,137.328354",38000,375,234
1551135855,2019-02-25T23:04:15Z,CAL223,"34.794159,137.311615",38000,376,234
1551135920,2019-02-25T23:05:20Z,CAL223,"34.727459,137.197433",38000,377,234
1551135984,2019-02-25T23:06:24Z,CAL223,"34.663822,137.088257",38000,378,234
1551136046,2019-02-25T23:07:26Z,CAL223,"34.599625,136.978851",38000,378,234
1551136109,2019-02-25T23:08:29Z,CAL223,"34.536484,136.871201",38000,380,234
1551136169,2019-02-25T23:09:29Z,CAL223,"34.475281,136.767288",38000,376,234
1551136235,2019-02-25T23:10:35Z,CAL223,"34.409786,136.656189",38000,376,234
1551136301,2019-02-25T23:11:41Z,CAL223,"34.343765,136.544922",38000,371,234
1551136362,2019-02-25T23:12:42Z,CAL223,"34.283535,136.443665",38000,368,234
1551136437,2019-02-25T23:13:57Z,CAL223,"34.20649,136.314301",38025,374,234
1551136499,2019-02-25T23:14:59Z,CAL223,"34.144157,136.210266",38000,379,234
1551136560,2019-02-25T23:16:00Z,CAL223,"34.080872,136.10463",38000,382,234
1551136618,2019-02-25T23:16:58Z,CAL223,"34.020794,136.004852",38000,383,234
1551136685,2019-02-25T23:18:05Z,CAL223,"33.951572,135.889954",38000,386,234
1551136747,2019-02-25T23:19:07Z,CAL223,"33.885361,135.780594",38000,382,233
1551136812,2019-02-25T23:20:12Z,CAL223,"33.819534,135.672302",38000,378,233
1551136871,2019-02-25T23:21:11Z,CAL223,"33.757774,135.570831",38000,378,233
1551136937,2019-02-25T23:22:17Z,CAL223,"33.689621,135.459534",38000,369,233
1551137000,2019-02-25T23:23:20Z,CAL223,"33.625427,135.354477",38000,372,233
1551137067,2019-02-25T23:24:27Z,CAL223,"33.557461,135.243866",38000,374,233
1551137128,2019-02-25T23:25:28Z,CAL223,"33.495895,135.143982",38000,376,233
1551137190,2019-02-25T23:26:30Z,CAL223,"33.429626,135.036713",38000,385,233
1551137253,2019-02-25T23:27:33Z,CAL223,"33.360031,134.929153",38000,391,230
1551137314,2019-02-25T23:28:34Z,CAL223,"33.289692,134.827637",38000,387,230
1551137376,2019-02-25T23:29:36Z,CAL223,"33.220795,134.726974",38000,385,230
1551137439,2019-02-25T23:30:39Z,CAL223,"33.161224,134.616745",38000,381,244
1551137501,2019-02-25T23:31:41Z,CAL223,"33.125874,134.491776",38000,375,253
1551137564,2019-02-25T23:32:44Z,CAL223,"33.095535,134.369003",38000,376,253
1551137624,2019-02-25T23:33:44Z,CAL223,"33.064892,134.245132",38000,378,253
1551137690,2019-02-25T23:34:50Z,CAL223,"33.034195,134.118835",38000,378,254
1551137750,2019-02-25T23:35:50Z,CAL223,"33.004028,133.994583",38000,377,253
1551137811,2019-02-25T23:36:51Z,CAL223,"32.974823,133.874786",38000,375,253
1551137876,2019-02-25T23:37:56Z,CAL223,"32.943855,133.748734",38000,380,253
1551137937,2019-02-25T23:38:57Z,CAL223,"32.912666,133.622116",38000,385,253
1551137997,2019-02-25T23:39:57Z,CAL223,"32.882454,133.500198",38000,385,253
1551138061,2019-02-25T23:41:01Z,CAL223,"32.850376,133.371674",38000,381,253
1551138125,2019-02-25T23:42:05Z,CAL223,"32.817398,133.240051",38000,383,253
1551138184,2019-02-25T23:43:04Z,CAL223,"32.787674,133.121735",38000,384,253
1551138252,2019-02-25T23:44:12Z,CAL223,"32.749191,132.985001",38000,390,245
1551138316,2019-02-25T23:45:16Z,CAL223,"32.695267,132.866577",38000,381,241
1551138380,2019-02-25T23:46:20Z,CAL223,"32.641617,132.750763",38000,379,241
1551138414,2019-02-25T23:46:54Z,CAL223,"32.612137,132.687592",38000,379,241
1551138485,2019-02-25T23:48:05Z,CAL223,"32.552349,132.560318",38000,383,241
1551138574,2019-02-25T23:49:34Z,CAL223,"32.474796,132.395905",38000,382,240
1551138641,2019-02-25T23:50:41Z,CAL223,"32.416855,132.273407",38000,381,240
1551138702,2019-02-25T23:51:42Z,CAL223,"32.3638,132.161469",38000,383,240
1551138764,2019-02-25T23:52:44Z,CAL223,"32.309952,132.048264",38000,386,240
1551138823,2019-02-25T23:53:43Z,CAL223,"32.25769,131.938721",38000,388,240
1551138888,2019-02-25T23:54:48Z,CAL223,"32.201981,131.822418",38000,386,240
1551138948,2019-02-25T23:55:48Z,CAL223,"32.148605,131.711304",38000,384,240
1551139008,2019-02-25T23:56:48Z,CAL223,"32.095734,131.601486",38000,383,240
1551139070,2019-02-25T23:57:50Z,CAL223,"32.042358,131.490906",38000,382,240
1551139133,2019-02-25T23:58:53Z,CAL223,"31.987106,131.37709",38000,379,240
1551139195,2019-02-25T23:59:55Z,CAL223,"31.933044,131.265915",38000,376,240
1551139224,2019-02-26T00:00:24Z,CAL223,"31.908554,131.215652",38000,375,240
1551139317,2019-02-26T00:01:57Z,CAL223,"31.828928,131.052658",38000,376,240
1551139377,2019-02-26T00:02:57Z,CAL223,"31.775719,130.944138",38000,378,240
1551139440,2019-02-26T00:04:00Z,CAL223,"31.72023,130.831284",38000,379,239
1551139501,2019-02-26T00:05:01Z,CAL223,"31.666718,130.722931",38000,379,239
1551139565,2019-02-26T00:06:05Z,CAL223,"31.611111,130.610687",38000,377,239
1551139625,2019-02-26T00:07:05Z,CAL223,"31.557816,130.502762",38000,376,239
1551139688,2019-02-26T00:08:08Z,CAL223,"31.50325,130.393234",38000,373,239
1551139751,2019-02-26T00:09:11Z,CAL223,"31.449575,130.285828",38000,369,239
1551139814,2019-02-26T00:10:14Z,CAL223,"31.395388,130.177551",38000,364,239
1551139876,2019-02-26T00:11:16Z,CAL223,"31.342804,130.072693",38000,363,239
1551139936,2019-02-26T00:12:16Z,CAL223,"31.290274,129.969193",38000,364,237
1551139943,2019-02-26T00:12:23Z,CAL223,"31.284594,129.959473",38000,364,236
1551140032,2019-02-26T00:13:52Z,CAL223,"31.191397,129.819458",38000,364,232
1551140039,2019-02-26T00:13:59Z,CAL223,"31.184555,129.809235",38000,364,232
1551140127,2019-02-26T00:15:27Z,CAL223,"31.093822,129.67366",38000,360,231
1551140190,2019-02-26T00:16:30Z,CAL223,"31.028696,129.576599",38000,359,232
1551140253,2019-02-26T00:17:33Z,CAL223,"30.966797,129.484863",38000,359,231
1551140313,2019-02-26T00:18:33Z,CAL223,"30.903378,129.391037",38000,360,231
1551140378,2019-02-26T00:19:38Z,CAL223,"30.83606,129.291519",38000,363,231
1551140437,2019-02-26T00:20:37Z,CAL223,"30.773962,129.200104",38000,366,231
1551140505,2019-02-26T00:21:45Z,CAL223,"30.704773,129.094955",38000,366,232
1551140566,2019-02-26T00:22:46Z,CAL223,"30.641373,128.998291",38000,369,232
1551140626,2019-02-26T00:23:46Z,CAL223,"30.579933,128.90506",38000,371,232
1551140716,2019-02-26T00:25:16Z,CAL223,"30.487152,128.764832",38000,370,232
1551140735,2019-02-26T00:25:35Z,CAL223,"30.465179,128.731705",38000,369,232
1551140811,2019-02-26T00:26:51Z,CAL223,"30.387205,128.61441",38000,367,232
1551140888,2019-02-26T00:28:08Z,CAL223,"30.306656,128.493408",38000,369,232
1551140950,2019-02-26T00:29:10Z,CAL223,"30.24321,128.398453",38000,368,232
1551141025,2019-02-26T00:30:25Z,CAL223,"30.165985,128.283096",38000,368,232
1551141116,2019-02-26T00:31:56Z,CAL223,"30.070221,128.140808",38000,368,232
1551141176,2019-02-26T00:32:56Z,CAL223,"30.005617,128.044724",38000,367,232
1551141220,2019-02-26T00:33:40Z,CAL223,"29.960276,127.977539",38000,369,232
1551141309,2019-02-26T00:35:09Z,CAL223,"29.866516,127.839241",38000,371,231
1551141373,2019-02-26T00:36:13Z,CAL223,"29.794411,127.741379",38000,377,228
1551141437,2019-02-26T00:37:17Z,CAL223,"29.721863,127.644814",38000,375,229
1551141485,2019-02-26T00:38:05Z,CAL223,"29.668905,127.573837",38000,375,229
1551141586,2019-02-26T00:39:46Z,CAL223,"29.553549,127.417816",38000,371,232
1551141646,2019-02-26T00:40:46Z,CAL223,"29.491541,127.32621",38000,371,231
1551142060,2019-02-26T00:47:40Z,CAL223,"29.04287,126.682541",38000,374,231
1551142121,2019-02-26T00:48:41Z,CAL223,"28.976999,126.588943",38000,374,231
1551142185,2019-02-26T00:49:45Z,CAL223,"28.906008,126.492004",38000,378,229
1551142245,2019-02-26T00:50:45Z,CAL223,"28.838133,126.400993",38000,378,229
1551142308,2019-02-26T00:51:48Z,CAL223,"28.76651,126.304428",38000,382,229
1551142368,2019-02-26T00:52:48Z,CAL223,"28.696518,126.210777",38000,383,229
1551142432,2019-02-26T00:53:52Z,CAL223,"28.624132,126.113892",38000,383,229
1551142492,2019-02-26T00:54:52Z,CAL223,"28.556992,126.018311",38000,381,231
1551142553,2019-02-26T00:55:53Z,CAL223,"28.489969,125.923622",38000,382,231
1551142617,2019-02-26T00:56:57Z,CAL223,"28.418558,125.823402",38000,384,231
1551142676,2019-02-26T00:57:56Z,CAL223,"28.352142,125.730286",38000,384,231
1551142747,2019-02-26T00:59:07Z,CAL223,"28.272949,125.619682",38000,383,231
1551142807,2019-02-26T01:00:07Z,CAL223,"28.205721,125.525749",38000,384,231
1551142868,2019-02-26T01:01:08Z,CAL223,"28.137243,125.430534",38000,387,230
1551142932,2019-02-26T01:02:12Z,CAL223,"28.065445,125.330658",38000,390,230
1551142991,2019-02-26T01:03:11Z,CAL223,"27.997971,125.237167",38000,388,230
1551143055,2019-02-26T01:04:15Z,CAL223,"27.924778,125.135971",38000,386,230
1551143116,2019-02-26T01:05:16Z,CAL223,"27.85611,125.041618",38000,385,230
1551143180,2019-02-26T01:06:20Z,CAL223,"27.783691,124.941757",38000,386,230
1551143243,2019-02-26T01:07:23Z,CAL223,"27.712143,124.843452",38000,386,230
1551143310,2019-02-26T01:08:30Z,CAL223,"27.636749,124.740326",38000,387,230
1551143373,2019-02-26T01:09:33Z,CAL223,"27.564468,124.641502",38000,389,230
1551143437,2019-02-26T01:10:37Z,CAL223,"27.491135,124.541222",38000,388,230
1551143516,2019-02-26T01:11:56Z,CAL223,"27.40237,124.420273",38000,382,230
1551143575,2019-02-26T01:12:55Z,CAL223,"27.334915,124.328476",38000,389,230
1551143638,2019-02-26T01:13:58Z,CAL223,"27.261658,124.229408",38000,392,230
1551143698,2019-02-26T01:14:58Z,CAL223,"27.192839,124.136314",38000,393,230
1551143729,2019-02-26T01:15:29Z,CAL223,"27.155869,124.086327",38000,393,230
1551143815,2019-02-26T01:16:55Z,CAL223,"27.055927,123.951927",38000,395,229
1551143937,2019-02-26T01:18:57Z,CAL223,"26.910919,123.759949",38000,393,229
1551144002,2019-02-26T01:20:02Z,CAL223,"26.836575,123.66169",38000,391,229
1551144062,2019-02-26T01:21:02Z,CAL223,"26.765953,123.568512",38000,393,229
1551144124,2019-02-26T01:22:04Z,CAL223,"26.690277,123.468971",37425,394,229
1551144184,2019-02-26T01:23:04Z,CAL223,"26.621408,123.378311",36450,398,229
1551144248,2019-02-26T01:24:08Z,CAL223,"26.541229,123.273079",35350,419,229
1551144310,2019-02-26T01:25:10Z,CAL223,"26.464575,123.173218",34325,412,229
1551144372,2019-02-26T01:26:12Z,CAL223,"26.385132,123.069473",31575,422,229
1551144434,2019-02-26T01:27:14Z,CAL223,"26.309137,122.97039",29350,417,229
1551144496,2019-02-26T01:28:16Z,CAL223,"26.231209,122.867027",26725,412,230
1551144558,2019-02-26T01:29:18Z,CAL223,"26.158308,122.770683",24575,398,229
1551144620,2019-02-26T01:30:20Z,CAL223,"26.085268,122.674347",22325,384,229
1551144682,2019-02-26T01:31:22Z,CAL223,"26.015717,122.582855",20225,371,230
1551144744,2019-02-26T01:32:24Z,CAL223,"25.946123,122.491432",18100,360,229
1551144778,2019-02-26T01:32:58Z,CAL223,"25.912325,122.44812",16825,364,228
1551144844,2019-02-26T01:34:04Z,CAL223,"25.836819,122.35437",14675,355,228
1551144881,2019-02-26T01:34:41Z,CAL223,"25.797867,122.305756",13575,349,228
1551144912,2019-02-26T01:35:12Z,CAL223,"25.764196,122.263634",12775,337,228
1551144942,2019-02-26T01:35:42Z,CAL223,"25.734776,122.227097",12200,302,228
1551144987,2019-02-26T01:36:27Z,CAL223,"25.695532,122.177917",10975,279,228
1551145007,2019-02-26T01:36:47Z,CAL223,"25.679518,122.157814",10550,277,228
1551145021,2019-02-26T01:37:01Z,CAL223,"25.666344,122.14138",10275,274,228
1551145037,2019-02-26T01:37:17Z,CAL223,"25.654146,122.126198",9950,271,228
1551145052,2019-02-26T01:37:32Z,CAL223,"25.641083,122.109886",9825,269,228
1551145068,2019-02-26T01:37:48Z,CAL223,"25.627121,122.092491",9825,269,228
1551145082,2019-02-26T01:38:02Z,CAL223,"25.615742,122.078262",9800,270,228
1551145097,2019-02-26T01:38:17Z,CAL223,"25.603312,122.062721",9825,270,228
