Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551052106,2019-02-24T23:48:26Z,CAL511,"25.0779,121.229271",0,0,137
1551052313,2019-02-24T23:51:53Z,CAL511,"25.077896,121.229271",0,0,180
1551052485,2019-02-24T23:54:45Z,CAL511,"25.078125,121.229057",0,12,140
1551052508,2019-02-24T23:55:08Z,CAL511,"25.078388,121.228806",0,12,143
1551052528,2019-02-24T23:55:28Z,CAL511,"25.078587,121.228561",0,11,174
1551052555,2019-02-24T23:55:55Z,CAL511,"25.078808,121.228416",0,2,227
1551052690,2019-02-24T23:58:10Z,CAL511,"25.078516,121.228043",0,18,230
1551052700,2019-02-24T23:58:20Z,CAL511,"25.078285,121.22776",0,22,227
1551052715,2019-02-24T23:58:35Z,CAL511,"25.077839,121.227188",0,25,227
1551052725,2019-02-24T23:58:45Z,CAL511,"25.077576,121.22686",0,21,230
1551052735,2019-02-24T23:58:55Z,CAL511,"25.077562,121.226578",0,17,261
1551052747,2019-02-24T23:59:07Z,CAL511,"25.077784,121.226357",0,19,303
1551052756,2019-02-24T23:59:16Z,CAL511,"25.078039,121.226074",0,20,306
1551052766,2019-02-24T23:59:26Z,CAL511,"25.077993,121.225723",0,20,241
1551052776,2019-02-24T23:59:36Z,CAL511,"25.077726,121.225388",0,22,227
1551052786,2019-02-24T23:59:46Z,CAL511,"25.077438,121.225014",0,26,230
1551052802,2019-02-25T00:00:02Z,CAL511,"25.076887,121.224312",0,30,227
1551052812,2019-02-25T00:00:12Z,CAL511,"25.076527,121.223854",0,29,227
1551052818,2019-02-25T00:00:18Z,CAL511,"25.076353,121.223625",0,28,227
1551052827,2019-02-25T00:00:27Z,CAL511,"25.076008,121.223198",0,27,230
1551052837,2019-02-25T00:00:37Z,CAL511,"25.075653,121.222748",0,29,230
1551052847,2019-02-25T00:00:47Z,CAL511,"25.07527,121.222267",0,31,227
1551052858,2019-02-25T00:00:58Z,CAL511,"25.074886,121.221771",0,31,227
1551052867,2019-02-25T00:01:07Z,CAL511,"25.074486,121.22126",0,31,227
1551052878,2019-02-25T00:01:18Z,CAL511,"25.074039,121.220688",0,15,230
1551052887,2019-02-25T00:01:27Z,CAL511,"25.073627,121.220184",0,15,227
1551052899,2019-02-25T00:01:39Z,CAL511,"25.073193,121.21962",0,30,227
1551052913,2019-02-25T00:01:53Z,CAL511,"25.07262,121.218887",0,31,230
1551052923,2019-02-25T00:02:03Z,CAL511,"25.072243,121.218414",0,27,227
1551052934,2019-02-25T00:02:14Z,CAL511,"25.071934,121.218018",0,26,227
