Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551225314,2019-02-26T23:55:14Z,CAL511,"25.0784,121.229843",0,0,5
1551225465,2019-02-26T23:57:45Z,CAL511,"25.078674,121.229576",0,2,5
1551225490,2019-02-26T23:58:10Z,CAL511,"25.078878,121.229401",0,10,5
1551225517,2019-02-26T23:58:37Z,CAL511,"25.079018,121.229187",0,2,5
1551225542,2019-02-26T23:59:02Z,CAL511,"25.079098,121.228981",0,9,5
1551225573,2019-02-26T23:59:33Z,CAL511,"25.078995,121.228691",0,10,5
1551225603,2019-02-27T00:00:03Z,CAL511,"25.078777,121.228409",0,10,5
1551225776,2019-02-27T00:02:56Z,CAL511,"25.079041,121.228714",0,16,5
1551225787,2019-02-27T00:03:07Z,CAL511,"25.079224,121.228958",0,18,5
1551225796,2019-02-27T00:03:16Z,CAL511,"25.07943,121.229225",0,21,50
1551225807,2019-02-27T00:03:27Z,CAL511,"25.079716,121.229515",0,20,30
1551225817,2019-02-27T00:03:37Z,CAL511,"25.080088,121.229469",0,22,331
1551225827,2019-02-27T00:03:47Z,CAL511,"25.080391,121.229149",0,23,300
1551225838,2019-02-27T00:03:58Z,CAL511,"25.080322,121.228714",0,22,239
1551225848,2019-02-27T00:04:08Z,CAL511,"25.080053,121.22834",0,25,227
1551225859,2019-02-27T00:04:19Z,CAL511,"25.079739,121.227936",0,28,227
1551225873,2019-02-27T00:04:33Z,CAL511,"25.079168,121.227211",0,32,230
1551225884,2019-02-27T00:04:44Z,CAL511,"25.078732,121.226654",0,15,227
1551225894,2019-02-27T00:04:54Z,CAL511,"25.078228,121.226028",0,17,227
1551225904,2019-02-27T00:05:04Z,CAL511,"25.077702,121.225372",0,18,227
1551225914,2019-02-27T00:05:14Z,CAL511,"25.077143,121.224648",0,20,230
1551225930,2019-02-27T00:05:30Z,CAL511,"25.076191,121.223427",0,21,230
1551225940,2019-02-27T00:05:40Z,CAL511,"25.075516,121.222588",0,21,227
1551225950,2019-02-27T00:05:50Z,CAL511,"25.074921,121.221832",0,19,230
1551225960,2019-02-27T00:06:00Z,CAL511,"25.074444,121.221214",0,34,227
1551225976,2019-02-27T00:06:16Z,CAL511,"25.073925,121.220604",0,21,210
1551225986,2019-02-27T00:06:26Z,CAL511,"25.073687,121.220581",0,17,5
1551225996,2019-02-27T00:06:36Z,CAL511,"25.07342,121.220787",0,21,140
1551226007,2019-02-27T00:06:47Z,CAL511,"25.073116,121.221085",0,22,137
1551226016,2019-02-27T00:06:56Z,CAL511,"25.072872,121.221329",0,20,140
1551226025,2019-02-27T00:07:05Z,CAL511,"25.072666,121.221527",0,18,5
1551226042,2019-02-27T00:07:22Z,CAL511,"25.072313,121.221863",0,17,5
1551226063,2019-02-27T00:07:43Z,CAL511,"25.071888,121.222267",0,19,5
1551226073,2019-02-27T00:07:53Z,CAL511,"25.071638,121.222511",0,20,140
1551226082,2019-02-27T00:08:02Z,CAL511,"25.071371,121.222771",0,22,140
1551226097,2019-02-27T00:08:17Z,CAL511,"25.070906,121.223206",0,27,140
1551226113,2019-02-27T00:08:33Z,CAL511,"25.070173,121.223907",0,33,137
1551226123,2019-02-27T00:08:43Z,CAL511,"25.069622,121.224419",0,16,140
1551226134,2019-02-27T00:08:54Z,CAL511,"25.069038,121.224976",0,17,137
1551226144,2019-02-27T00:09:04Z,CAL511,"25.068443,121.225533",0,17,140
1551226154,2019-02-27T00:09:14Z,CAL511,"25.067997,121.225967",0,17,140
1551226205,2019-02-27T00:10:05Z,CAL511,"25.06604,121.225433",0,31,227
1551226212,2019-02-27T00:10:12Z,CAL511,"25.065784,121.225113",0,30,230
1551226219,2019-02-27T00:10:19Z,CAL511,"25.065586,121.224854",0,28,230
1551226444,2019-02-27T00:14:04Z,CAL511,"25.061176,121.223412",0,25,126
1551226490,2019-02-27T00:14:50Z,CAL511,"25.067047,121.2314",0,120,50
1551226498,2019-02-27T00:14:58Z,CAL511,"25.07029,121.235519",0,145,47
1551226516,2019-02-27T00:15:16Z,CAL511,"25.079178,121.246742",375,158,48
1551226530,2019-02-27T00:15:30Z,CAL511,"25.08593,121.255432",850,156,49
1551226537,2019-02-27T00:15:37Z,CAL511,"25.089157,121.259712",1050,158,50
1551226549,2019-02-27T00:15:49Z,CAL511,"25.0951,121.267715",1325,169,50
1551226556,2019-02-27T00:15:56Z,CAL511,"25.097992,121.271568",1400,175,50
1551226562,2019-02-27T00:16:02Z,CAL511,"25.101562,121.276245",1500,186,50
1551226573,2019-02-27T00:16:13Z,CAL511,"25.108322,121.285126",1675,203,50
1551226580,2019-02-27T00:16:20Z,CAL511,"25.112183,121.29023",1800,211,50
1551226586,2019-02-27T00:16:26Z,CAL511,"25.116028,121.295319",1925,219,50
1551226598,2019-02-27T00:16:38Z,CAL511,"25.125546,121.305542",2125,238,35
1551226606,2019-02-27T00:16:46Z,CAL511,"25.135025,121.31012",2275,250,16
1551226613,2019-02-27T00:16:53Z,CAL511,"25.142025,121.311607",2450,255,10
1551226640,2019-02-27T00:17:20Z,CAL511,"25.173494,121.302902",3625,264,331
1551226646,2019-02-27T00:17:26Z,CAL511,"25.180252,121.299286",3975,265,335
1551226652,2019-02-27T00:17:32Z,CAL511,"25.187508,121.296471",4275,268,342
1551226659,2019-02-27T00:17:39Z,CAL511,"25.194675,121.294449",4550,271,347
1551226669,2019-02-27T00:17:49Z,CAL511,"25.20529,121.292221",4975,275,349
1551226676,2019-02-27T00:17:56Z,CAL511,"25.216789,121.290359",5400,279,352
1551226684,2019-02-27T00:18:04Z,CAL511,"25.225342,121.289268",5750,281,353
1551226697,2019-02-27T00:18:17Z,CAL511,"25.244347,121.287613",6350,280,355
1551226709,2019-02-27T00:18:29Z,CAL511,"25.26059,121.286568",6675,282,356
1551226721,2019-02-27T00:18:41Z,CAL511,"25.276794,121.285744",6850,289,357
1551226734,2019-02-27T00:18:54Z,CAL511,"25.293972,121.285019",7075,292,357
1551226748,2019-02-27T00:19:08Z,CAL511,"25.310591,121.284401",7650,294,358
1551226758,2019-02-27T00:19:18Z,CAL511,"25.327148,121.283775",8250,295,358
1551226772,2019-02-27T00:19:32Z,CAL511,"25.343628,121.283211",8875,296,358
1551226808,2019-02-27T00:20:08Z,CAL511,"25.394432,121.292435",10500,316,29
1551226822,2019-02-27T00:20:22Z,CAL511,"25.410492,121.308182",10900,334,47
1551226830,2019-02-27T00:20:30Z,CAL511,"25.41893,121.318718",11150,340,48
1551226837,2019-02-27T00:20:37Z,CAL511,"25.425762,121.327408",11325,348,49
1551226844,2019-02-27T00:20:44Z,CAL511,"25.432884,121.336685",11500,356,50
1551226857,2019-02-27T00:20:57Z,CAL511,"25.4482,121.357056",11850,370,50
1551226873,2019-02-27T00:21:13Z,CAL511,"25.465843,121.380478",12225,389,50
1551226907,2019-02-27T00:21:47Z,CAL511,"25.507088,121.434059",13325,417,49
1551226942,2019-02-27T00:22:22Z,CAL511,"25.552664,121.492462",14900,437,49
1551226978,2019-02-27T00:22:58Z,CAL511,"25.600565,121.553665",16725,450,49
1551227015,2019-02-27T00:23:35Z,CAL511,"25.652098,121.619484",18400,467,49
1551227073,2019-02-27T00:24:33Z,CAL511,"25.736452,121.727531",20050,480,49
1551227140,2019-02-27T00:25:40Z,CAL511,"25.84314,121.847031",22900,496,38
1551227201,2019-02-27T00:26:41Z,CAL511,"25.958693,121.941216",25375,512,35
1551227265,2019-02-27T00:27:45Z,CAL511,"26.083008,122.040276",28350,511,35
1551227329,2019-02-27T00:28:49Z,CAL511,"26.203766,122.134132",29000,511,35
1551227391,2019-02-27T00:29:51Z,CAL511,"26.324545,122.22892",29000,509,35
1551227452,2019-02-27T00:30:52Z,CAL511,"26.442993,122.322403",28975,509,35
1551227514,2019-02-27T00:31:54Z,CAL511,"26.561264,122.415634",28975,507,35
1551227575,2019-02-27T00:32:55Z,CAL511,"26.68103,122.510361",28975,506,35
1551227639,2019-02-27T00:33:59Z,CAL511,"26.801193,122.605629",28975,506,35
1551227653,2019-02-27T00:34:13Z,CAL511,"26.829498,122.628128",28975,506,35
1551227951,2019-02-27T00:39:11Z,CAL511,"27.409012,122.846581",29000,434,312
1551228415,2019-02-27T00:46:55Z,CAL511,"27.58429,121.88015",36275,379,280
1551228427,2019-02-27T00:47:07Z,CAL511,"27.588625,121.854752",36725,374,280
1551228550,2019-02-27T00:49:10Z,CAL511,"27.629265,121.617279",37075,386,280
