Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550812133,2019-02-22T05:08:53Z,CAL512,"40.097073,116.611755",2375,175,28
1550812142,2019-02-22T05:09:02Z,CAL512,"40.132217,116.629051",2700,176,29
1550812362,2019-02-22T05:12:42Z,CAL512,"40.101654,116.875183",6825,281,180
1550812388,2019-02-22T05:13:08Z,CAL512,"40.067368,116.875244",8225,286,180
1550812406,2019-02-22T05:13:26Z,CAL512,"40.042236,116.874756",9150,293,180
1550812415,2019-02-22T05:13:35Z,CAL512,"40.03093,116.874634",9575,295,180
1550812448,2019-02-22T05:14:08Z,CAL512,"39.983734,116.874207",10750,320,180
1550812471,2019-02-22T05:14:31Z,CAL512,"39.946381,116.874245",11300,358,179
1550812547,2019-02-22T05:15:47Z,CAL512,"39.81636,116.874573",16850,367,179
1550812583,2019-02-22T05:16:23Z,CAL512,"39.755798,116.874817",18925,378,179
1550812643,2019-02-22T05:17:23Z,CAL512,"39.646027,116.874878",20725,400,180
1550812715,2019-02-22T05:18:35Z,CAL512,"39.514572,116.874588",21475,407,180
1550812774,2019-02-22T05:19:34Z,CAL512,"39.400589,116.878891",24300,418,171
1550812789,2019-02-22T05:19:49Z,CAL512,"39.372253,116.886948",24550,423,164
1550812800,2019-02-22T05:20:00Z,CAL512,"39.351837,116.89537",24600,425,161
1550812860,2019-02-22T05:21:00Z,CAL512,"39.238743,116.944641",26325,425,161
1550812911,2019-02-22T05:21:51Z,CAL512,"39.141495,116.980286",28175,435,174
1550812917,2019-02-22T05:21:57Z,CAL512,"39.131378,116.980751",28350,436,178
1550812941,2019-02-22T05:22:21Z,CAL512,"39.08144,116.970337",29325,435,196
1550813002,2019-02-22T05:23:22Z,CAL512,"38.9632,116.918274",31650,444,199
1550813063,2019-02-22T05:24:23Z,CAL512,"38.845097,116.865845",33100,444,198
1550813126,2019-02-22T05:25:26Z,CAL512,"38.725922,116.81366",33100,434,198
1550813137,2019-02-22T05:25:37Z,CAL512,"38.703186,116.803719",33100,433,198
1550813224,2019-02-22T05:27:04Z,CAL512,"38.538456,116.731995",33100,433,198
1550813287,2019-02-22T05:28:07Z,CAL512,"38.419052,116.680122",33100,434,198
1550813345,2019-02-22T05:29:05Z,CAL512,"38.308868,116.636589",33100,438,188
