Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551069890,2019-02-25T04:44:50Z,CAL512,"40.09721,116.611694",2475,168,28
1551070139,2019-02-25T04:48:59Z,CAL512,"40.074142,116.875122",10600,295,180
1551070150,2019-02-25T04:49:10Z,CAL512,"40.058109,116.874931",11000,303,180
1551070294,2019-02-25T04:51:34Z,CAL512,"39.826694,116.874634",19325,398,180
1551070360,2019-02-25T04:52:40Z,CAL512,"39.702209,116.874886",22950,422,180
1551070419,2019-02-25T04:53:39Z,CAL512,"39.58239,116.874817",24600,437,180
1551070485,2019-02-25T04:54:45Z,CAL512,"39.450508,116.874756",24625,433,180
1551070533,2019-02-25T04:55:33Z,CAL512,"39.352112,116.895668",26625,453,161
1551070541,2019-02-25T04:55:41Z,CAL512,"39.338505,116.901611",26975,456,161
1551070600,2019-02-25T04:56:40Z,CAL512,"39.216442,116.954468",29475,475,161
1551070636,2019-02-25T04:57:16Z,CAL512,"39.140099,116.978088",30775,481,176
1551070661,2019-02-25T04:57:41Z,CAL512,"39.085144,116.971016",31800,473,193
1551070671,2019-02-25T04:57:51Z,CAL512,"39.064312,116.962646",32325,467,198
1551070736,2019-02-25T04:58:56Z,CAL512,"38.932297,116.904625",35250,459,199
1551070797,2019-02-25T04:59:57Z,CAL512,"38.81282,116.851662",37075,456,199
1551070915,2019-02-25T05:01:55Z,CAL512,"38.576534,116.748535",37075,455,198
1551070976,2019-02-25T05:02:56Z,CAL512,"38.456039,116.696121",37075,456,198
1551071038,2019-02-25T05:03:58Z,CAL512,"38.327591,116.64167",37075,460,194
1551071051,2019-02-25T05:04:11Z,CAL512,"38.302963,116.636818",37100,470,185
1551071057,2019-02-25T05:04:17Z,CAL512,"38.289322,116.636116",37100,475,181
1551071081,2019-02-25T05:04:41Z,CAL512,"38.237228,116.645584",37100,493,165
1551071088,2019-02-25T05:04:48Z,CAL512,"38.222225,116.651161",37100,497,163
1551071148,2019-02-25T05:05:48Z,CAL512,"38.086624,116.702736",37075,500,162
1551071200,2019-02-25T05:06:40Z,CAL512,"37.973557,116.74633",37100,500,163
1551071290,2019-02-25T05:08:10Z,CAL512,"37.77351,116.821869",37100,498,163
1551071916,2019-02-25T05:18:36Z,CAL512,"36.396542,117.296761",37100,485,165
1551072005,2019-02-25T05:20:05Z,CAL512,"36.202885,117.360222",37100,487,165
1551072023,2019-02-25T05:20:23Z,CAL512,"36.163651,117.373062",37100,487,165
1551072110,2019-02-25T05:21:50Z,CAL512,"35.972404,117.435371",37100,488,165
1551072209,2019-02-25T05:23:29Z,CAL512,"35.758759,117.504669",37100,488,165
1551072272,2019-02-25T05:24:32Z,CAL512,"35.620609,117.54921",37075,484,165
1551072333,2019-02-25T05:25:33Z,CAL512,"35.488037,117.59182",37075,478,165
1551072648,2019-02-25T05:30:48Z,CAL512,"34.813347,117.802849",37075,465,174
1551072655,2019-02-25T05:30:55Z,CAL512,"34.799801,117.803192",37100,454,179
1551072677,2019-02-25T05:31:17Z,CAL512,"34.756458,117.797012",37100,439,188
1551072713,2019-02-25T05:31:53Z,CAL512,"34.679695,117.799072",37100,467,171
