Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551112425,2019-02-25T16:33:45Z,CAL5133,"41.962898,-87.910873",0,0,0
1551112832,2019-02-25T16:40:32Z,CAL5133,"41.962669,-87.910896",0,11,5
1551112847,2019-02-25T16:40:47Z,CAL5133,"41.96244,-87.910973",0,13,5
1551112865,2019-02-25T16:41:05Z,CAL5133,"41.962234,-87.911255",0,11,5
1551112877,2019-02-25T16:41:17Z,CAL5133,"41.9622,-87.911507",0,12,5
1551113224,2019-02-25T16:47:04Z,CAL5133,"41.9622,-87.911285",0,12,5
1551113235,2019-02-25T16:47:15Z,CAL5133,"41.9622,-87.910973",0,15,5
1551113246,2019-02-25T16:47:26Z,CAL5133,"41.9622,-87.910583",0,17,5
1551113255,2019-02-25T16:47:35Z,CAL5133,"41.9622,-87.910248",0,17,5
1551113263,2019-02-25T16:47:43Z,CAL5133,"41.9622,-87.909996",0,18,5
1551113270,2019-02-25T16:47:50Z,CAL5133,"41.9622,-87.909775",0,17,5
1551113279,2019-02-25T16:47:59Z,CAL5133,"41.962189,-87.909317",0,17,5
1551113285,2019-02-25T16:48:05Z,CAL5133,"41.962189,-87.909103",0,18,5
1551113292,2019-02-25T16:48:12Z,CAL5133,"41.962189,-87.908852",0,19,5
1551113298,2019-02-25T16:48:18Z,CAL5133,"41.9622,-87.908607",0,16,5
1551113310,2019-02-25T16:48:30Z,CAL5133,"41.962269,-87.908211",0,16,5
1551113319,2019-02-25T16:48:39Z,CAL5133,"41.962399,-87.907936",0,18,5
1551113326,2019-02-25T16:48:46Z,CAL5133,"41.962559,-87.907677",0,20,50
1551113335,2019-02-25T16:48:55Z,CAL5133,"41.962711,-87.90744",0,20,50
1551113343,2019-02-25T16:49:03Z,CAL5133,"41.962944,-87.907043",0,25,53
1551113349,2019-02-25T16:49:09Z,CAL5133,"41.963116,-87.906746",0,27,53
1551113357,2019-02-25T16:49:17Z,CAL5133,"41.963425,-87.906197",0,30,50
1551113371,2019-02-25T16:49:31Z,CAL5133,"41.963848,-87.90551",0,32,50
1551113378,2019-02-25T16:49:38Z,CAL5133,"41.964085,-87.904793",0,31,75
1551113390,2019-02-25T16:49:50Z,CAL5133,"41.964111,-87.90403",0,34,90
1551113398,2019-02-25T16:49:58Z,CAL5133,"41.964123,-87.903191",0,16,90
1551113406,2019-02-25T16:50:06Z,CAL5133,"41.964119,-87.902313",0,17,90
1551113414,2019-02-25T16:50:14Z,CAL5133,"41.964123,-87.901535",0,16,90
1551113421,2019-02-25T16:50:21Z,CAL5133,"41.964111,-87.900833",0,15,90
1551113434,2019-02-25T16:50:34Z,CAL5133,"41.964123,-87.899689",0,16,90
1551113441,2019-02-25T16:50:41Z,CAL5133,"41.964119,-87.899101",0,17,90
1551113455,2019-02-25T16:50:55Z,CAL5133,"41.964134,-87.897758",0,27,90
1551113461,2019-02-25T16:51:01Z,CAL5133,"41.96413,-87.89743",0,22,92
1551113470,2019-02-25T16:51:10Z,CAL5133,"41.964134,-87.897133",0,15,5
1551113482,2019-02-25T16:51:22Z,CAL5133,"41.964352,-87.896904",0,18,5
1551113493,2019-02-25T16:51:33Z,CAL5133,"41.96463,-87.896866",0,16,5
