Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548685166,2019-01-28T14:19:26Z,CAL5134,"61.177925,-149.994247",0,0,180
1548685612,2019-01-28T14:26:52Z,CAL5134,"61.177986,-149.993927",0,13,5
1548685618,2019-01-28T14:26:58Z,CAL5134,"61.178032,-149.993713",0,15,5
1548685631,2019-01-28T14:27:11Z,CAL5134,"61.178032,-149.993179",0,13,5
1548685646,2019-01-28T14:27:26Z,CAL5134,"61.177814,-149.992691",0,16,5
1548685654,2019-01-28T14:27:34Z,CAL5134,"61.177692,-149.992447",0,18,5
1548685661,2019-01-28T14:27:41Z,CAL5134,"61.177483,-149.992004",0,21,135
1548685672,2019-01-28T14:27:52Z,CAL5134,"61.177151,-149.991501",0,27,151
1548685681,2019-01-28T14:28:01Z,CAL5134,"61.176704,-149.991119",0,29,160
1548685689,2019-01-28T14:28:09Z,CAL5134,"61.176239,-149.990738",0,28,160
1548685700,2019-01-28T14:28:20Z,CAL5134,"61.175671,-149.990311",0,27,160
1548685706,2019-01-28T14:28:26Z,CAL5134,"61.175388,-149.990112",0,26,160
1548685713,2019-01-28T14:28:33Z,CAL5134,"61.175114,-149.989883",0,25,160
1548685722,2019-01-28T14:28:42Z,CAL5134,"61.174713,-149.989594",0,25,160
1548685731,2019-01-28T14:28:51Z,CAL5134,"61.174366,-149.989349",0,22,160
1548685740,2019-01-28T14:29:00Z,CAL5134,"61.174076,-149.98912",0,20,160
1548685752,2019-01-28T14:29:12Z,CAL5134,"61.173679,-149.988815",0,21,160
1548685759,2019-01-28T14:29:19Z,CAL5134,"61.173458,-149.988663",0,22,160
1548685773,2019-01-28T14:29:33Z,CAL5134,"61.172882,-149.98819",0,22,160
1548685784,2019-01-28T14:29:44Z,CAL5134,"61.172607,-149.988068",0,17,5
1548685793,2019-01-28T14:29:53Z,CAL5134,"61.172386,-149.98822",0,16,5
1548685800,2019-01-28T14:30:00Z,CAL5134,"61.172195,-149.98851",0,18,5
1548685808,2019-01-28T14:30:08Z,CAL5134,"61.172039,-149.988831",0,21,227
1548685815,2019-01-28T14:30:15Z,CAL5134,"61.171875,-149.989243",0,26,227
1548685821,2019-01-28T14:30:21Z,CAL5134,"61.171677,-149.9897",0,24,227
1548685837,2019-01-28T14:30:37Z,CAL5134,"61.171329,-149.990845",0,19,5
1548685843,2019-01-28T14:30:43Z,CAL5134,"61.171291,-149.991241",0,19,258
1548685849,2019-01-28T14:30:49Z,CAL5134,"61.171268,-149.991684",0,21,264
1548685855,2019-01-28T14:30:55Z,CAL5134,"61.171257,-149.992218",0,24,267
1548685862,2019-01-28T14:31:02Z,CAL5134,"61.171246,-149.992813",0,25,270
1548685869,2019-01-28T14:31:09Z,CAL5134,"61.171246,-149.993317",0,24,270
1548685878,2019-01-28T14:31:18Z,CAL5134,"61.171246,-149.994125",0,24,270
1548685885,2019-01-28T14:31:25Z,CAL5134,"61.171246,-149.994629",0,23,270
1548685891,2019-01-28T14:31:31Z,CAL5134,"61.171246,-149.995132",0,23,270
1548685899,2019-01-28T14:31:39Z,CAL5134,"61.171234,-149.995773",0,14,5
1548685992,2019-01-28T14:33:12Z,CAL5134,"61.171234,-149.996078",0,16,5
1548685999,2019-01-28T14:33:19Z,CAL5134,"61.171234,-149.996521",0,23,270
1548686005,2019-01-28T14:33:25Z,CAL5134,"61.171234,-149.997147",0,26,270
1548686011,2019-01-28T14:33:31Z,CAL5134,"61.171234,-149.997665",0,23,270
1548686019,2019-01-28T14:33:39Z,CAL5134,"61.171257,-149.998276",0,19,5
1548686026,2019-01-28T14:33:46Z,CAL5134,"61.171341,-149.998581",0,16,5
1548686083,2019-01-28T14:34:43Z,CAL5134,"61.171577,-149.99881",0,15,5
1548686090,2019-01-28T14:34:50Z,CAL5134,"61.172516,-149.999374",0,39,343
1548686096,2019-01-28T14:34:56Z,CAL5134,"61.173992,-150.000183",0,64,345
1548686102,2019-01-28T14:35:02Z,CAL5134,"61.176216,-150.001419",0,88,345
1548686108,2019-01-28T14:35:08Z,CAL5134,"61.178913,-150.002914",0,110,345
1548686118,2019-01-28T14:35:18Z,CAL5134,"61.1842,-150.005875",0,140,345
1548686135,2019-01-28T14:35:35Z,CAL5134,"61.197372,-150.013306",75,168,344
1548686143,2019-01-28T14:35:43Z,CAL5134,"61.202133,-150.015961",200,173,344
1548686154,2019-01-28T14:35:54Z,CAL5134,"61.21138,-150.022034",625,172,339
1548686161,2019-01-28T14:36:01Z,CAL5134,"61.215729,-150.027145",850,174,326
1548686170,2019-01-28T14:36:10Z,CAL5134,"61.221222,-150.038025",1125,178,313
1548686179,2019-01-28T14:36:19Z,CAL5134,"61.22625,-150.049545",1450,177,312
1548686189,2019-01-28T14:36:29Z,CAL5134,"61.231277,-150.06134",1625,180,310
