Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549335785,2019-02-05T03:03:05Z,CAL5134,"61.173878,-149.990616",0,0,89
1549336105,2019-02-05T03:08:25Z,CAL5134,"61.173912,-149.990372",0,13,5
1549336111,2019-02-05T03:08:31Z,CAL5134,"61.173969,-149.990082",0,17,5
1549336119,2019-02-05T03:08:39Z,CAL5134,"61.174049,-149.98967",0,13,5
1549336135,2019-02-05T03:08:55Z,CAL5134,"61.174004,-149.989197",0,12,5
1549336148,2019-02-05T03:09:08Z,CAL5134,"61.173805,-149.988937",0,16,5
1549336156,2019-02-05T03:09:16Z,CAL5134,"61.17355,-149.988739",0,20,160
1549336164,2019-02-05T03:09:24Z,CAL5134,"61.173328,-149.988571",0,22,160
1549336171,2019-02-05T03:09:31Z,CAL5134,"61.172962,-149.988312",0,24,160
1549336177,2019-02-05T03:09:37Z,CAL5134,"61.17271,-149.988144",0,23,163
1549336183,2019-02-05T03:09:43Z,CAL5134,"61.172504,-149.988144",0,21,188
1549336193,2019-02-05T03:09:53Z,CAL5134,"61.172199,-149.98848",0,22,219
1549336199,2019-02-05T03:09:59Z,CAL5134,"61.17205,-149.988815",0,23,227
1549336209,2019-02-05T03:10:09Z,CAL5134,"61.171783,-149.989441",0,24,230
1549336221,2019-02-05T03:10:21Z,CAL5134,"61.171467,-149.990234",0,24,233
1549336229,2019-02-05T03:10:29Z,CAL5134,"61.171318,-149.990952",0,23,253
1549336235,2019-02-05T03:10:35Z,CAL5134,"61.171268,-149.991455",0,23,261
1549336245,2019-02-05T03:10:45Z,CAL5134,"61.171246,-149.992325",0,25,270
1549336251,2019-02-05T03:10:51Z,CAL5134,"61.171246,-149.992874",0,26,270
1549336258,2019-02-05T03:10:58Z,CAL5134,"61.171246,-149.993484",0,25,270
1549336267,2019-02-05T03:11:07Z,CAL5134,"61.171234,-149.994232",0,22,270
1549336273,2019-02-05T03:11:13Z,CAL5134,"61.171234,-149.99472",0,21,270
1549336280,2019-02-05T03:11:20Z,CAL5134,"61.171234,-149.995117",0,19,5
1549336292,2019-02-05T03:11:32Z,CAL5134,"61.171234,-149.996017",0,22,270
1549336302,2019-02-05T03:11:42Z,CAL5134,"61.171234,-149.996979",0,23,270
1549336311,2019-02-05T03:11:51Z,CAL5134,"61.171234,-149.997559",0,24,272
1549336319,2019-02-05T03:11:59Z,CAL5134,"61.171352,-149.998367",0,25,300
1549336325,2019-02-05T03:12:05Z,CAL5134,"61.171551,-149.998734",0,26,326
1549336372,2019-02-05T03:12:52Z,CAL5134,"61.171978,-149.999039",0,32,343
1549336378,2019-02-05T03:12:58Z,CAL5134,"61.17276,-149.999496",0,38,343
1549336385,2019-02-05T03:13:05Z,CAL5134,"61.174332,-150.000351",0,65,345
1549336396,2019-02-05T03:13:16Z,CAL5134,"61.178158,-150.002472",0,110,345
1549336407,2019-02-05T03:13:27Z,CAL5134,"61.185184,-150.006363",0,150,345
1549336418,2019-02-05T03:13:38Z,CAL5134,"61.193707,-150.011398",350,165,343
1549336425,2019-02-05T03:13:45Z,CAL5134,"61.198177,-150.014236",550,166,342
1549336431,2019-02-05T03:13:51Z,CAL5134,"61.202728,-150.017227",725,170,342
1549336443,2019-02-05T03:14:03Z,CAL5134,"61.212204,-150.024689",1125,177,333
1549336449,2019-02-05T03:14:09Z,CAL5134,"61.216194,-150.03093",1350,178,319
1549336455,2019-02-05T03:14:15Z,CAL5134,"61.219917,-150.038559",1625,177,314
1549336461,2019-02-05T03:14:21Z,CAL5134,"61.223053,-150.045181",1850,175,314
1549336467,2019-02-05T03:14:27Z,CAL5134,"61.226852,-150.05304",2025,176,314
1549336474,2019-02-05T03:14:34Z,CAL5134,"61.230148,-150.060104",2175,177,314
1549336481,2019-02-05T03:14:41Z,CAL5134,"61.23381,-150.067657",2350,178,315
1549336491,2019-02-05T03:14:51Z,CAL5134,"61.241089,-150.082855",2650,178,315
1549336498,2019-02-05T03:14:58Z,CAL5134,"61.244431,-150.089722",2825,178,315
1549336509,2019-02-05T03:15:09Z,CAL5134,"61.251617,-150.10463",3125,180,314
1549336515,2019-02-05T03:15:15Z,CAL5134,"61.255005,-150.111786",3275,182,314
1549336521,2019-02-05T03:15:21Z,CAL5134,"61.258461,-150.119019",3350,187,314
1549336527,2019-02-05T03:15:27Z,CAL5134,"61.262699,-150.128067",3425,193,314
1549336534,2019-02-05T03:15:34Z,CAL5134,"61.266701,-150.136612",3500,200,314
1549336546,2019-02-05T03:15:46Z,CAL5134,"61.27494,-150.154114",3600,215,314
1549336553,2019-02-05T03:15:53Z,CAL5134,"61.279366,-150.163467",3675,223,314
1549336564,2019-02-05T03:16:04Z,CAL5134,"61.288513,-150.182419",3850,236,315
1549336570,2019-02-05T03:16:10Z,CAL5134,"61.292953,-150.191437",3950,241,315
1549336578,2019-02-05T03:16:18Z,CAL5134,"61.29845,-150.202026",4025,247,317
1549336588,2019-02-05T03:16:28Z,CAL5134,"61.307713,-150.214233",4125,259,332
1549336594,2019-02-05T03:16:34Z,CAL5134,"61.318588,-150.220474",4250,270,351
1549336620,2019-02-05T03:17:00Z,CAL5134,"61.349426,-150.207321",4950,283,27
1549336632,2019-02-05T03:17:12Z,CAL5134,"61.36153,-150.187485",5375,284,46
1549336638,2019-02-05T03:17:18Z,CAL5134,"61.366276,-150.173752",5650,283,59
1549336645,2019-02-05T03:17:25Z,CAL5134,"61.369583,-150.158386",5925,282,69
1549336654,2019-02-05T03:17:34Z,CAL5134,"61.37191,-150.1353",6300,282,82
1549336663,2019-02-05T03:17:43Z,CAL5134,"61.371864,-150.109451",6675,283,92
1549336671,2019-02-05T03:17:51Z,CAL5134,"61.370956,-150.085403",7075,284,94
1549336681,2019-02-05T03:18:01Z,CAL5134,"61.370041,-150.060593",7475,285,94
1549336692,2019-02-05T03:18:12Z,CAL5134,"61.368942,-150.027527",7975,288,93
1549336705,2019-02-05T03:18:25Z,CAL5134,"61.367889,-149.9935",8475,290,93
1549336717,2019-02-05T03:18:37Z,CAL5134,"61.366882,-149.959061",8975,293,93
1549336728,2019-02-05T03:18:48Z,CAL5134,"61.366013,-149.92395",9475,296,92
1549336740,2019-02-05T03:19:00Z,CAL5134,"61.365067,-149.888809",9950,298,93
1549336755,2019-02-05T03:19:15Z,CAL5134,"61.364136,-149.854401",10325,304,93
1549336764,2019-02-05T03:19:24Z,CAL5134,"61.363129,-149.817413",10500,317,93
1549336777,2019-02-05T03:19:37Z,CAL5134,"61.362041,-149.779053",10700,330,93
1549336790,2019-02-05T03:19:50Z,CAL5134,"61.361023,-149.740311",10900,343,92
1549336802,2019-02-05T03:20:02Z,CAL5134,"61.359787,-149.700592",11100,355,94
1549336815,2019-02-05T03:20:15Z,CAL5134,"61.357498,-149.65773",11350,366,96
1549336828,2019-02-05T03:20:28Z,CAL5134,"61.354778,-149.613342",11625,376,97
