Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551079859,2019-02-25T07:30:59Z,CAL5134,"61.174358,-149.987122",0,0,228
1551080270,2019-02-25T07:37:50Z,CAL5134,"61.174599,-149.986847",0,18,5
1551080279,2019-02-25T07:37:59Z,CAL5134,"61.174854,-149.986618",0,23,22
1551080286,2019-02-25T07:38:06Z,CAL5134,"61.175179,-149.98645",0,22,8
1551080292,2019-02-25T07:38:12Z,CAL5134,"61.175388,-149.986481",0,23,351
1551080298,2019-02-25T07:38:18Z,CAL5134,"61.175671,-149.986649",0,26,340
1551080306,2019-02-25T07:38:26Z,CAL5134,"61.176052,-149.986923",0,29,340
1551080314,2019-02-25T07:38:34Z,CAL5134,"61.176483,-149.987259",0,24,340
1551080325,2019-02-25T07:38:45Z,CAL5134,"61.176773,-149.98761",0,20,315
1551080331,2019-02-25T07:38:51Z,CAL5134,"61.176876,-149.987946",0,21,295
1551080341,2019-02-25T07:39:01Z,CAL5134,"61.176834,-149.988907",0,25,253
1551080353,2019-02-25T07:39:13Z,CAL5134,"61.176647,-149.989899",0,25,247
1551080360,2019-02-25T07:39:20Z,CAL5134,"61.176453,-149.990433",0,22,216
1551080370,2019-02-25T07:39:30Z,CAL5134,"61.176109,-149.99057",0,21,177
1551080377,2019-02-25T07:39:37Z,CAL5134,"61.17588,-149.990433",0,22,163
1551080400,2019-02-25T07:40:00Z,CAL5134,"61.174873,-149.989685",0,27,160
1551080419,2019-02-25T07:40:19Z,CAL5134,"61.173889,-149.988953",0,31,160
1551080425,2019-02-25T07:40:25Z,CAL5134,"61.173603,-149.988754",0,30,160
1551080431,2019-02-25T07:40:31Z,CAL5134,"61.173283,-149.98851",0,30,160
1551080440,2019-02-25T07:40:40Z,CAL5134,"61.172829,-149.988144",0,25,160
1551080448,2019-02-25T07:40:48Z,CAL5134,"61.173054,-149.988342",0,17,5
1551080481,2019-02-25T07:41:21Z,CAL5134,"61.171795,-149.989426",0,26,230
1551080492,2019-02-25T07:41:32Z,CAL5134,"61.171417,-149.990372",0,23,230
1551080499,2019-02-25T07:41:39Z,CAL5134,"61.171314,-149.990799",0,20,250
1551080505,2019-02-25T07:41:45Z,CAL5134,"61.17128,-149.991226",0,19,5
1551080512,2019-02-25T07:41:52Z,CAL5134,"61.171257,-149.991821",0,20,267
1551080519,2019-02-25T07:41:59Z,CAL5134,"61.171257,-149.992249",0,20,270
1551080525,2019-02-25T07:42:05Z,CAL5134,"61.171257,-149.992691",0,21,270
1551080531,2019-02-25T07:42:11Z,CAL5134,"61.171246,-149.993134",0,21,270
1551080540,2019-02-25T07:42:20Z,CAL5134,"61.171257,-149.993637",0,22,270
1551080550,2019-02-25T07:42:30Z,CAL5134,"61.171246,-149.994644",0,25,270
1551080556,2019-02-25T07:42:36Z,CAL5134,"61.171246,-149.995239",0,28,270
1551080564,2019-02-25T07:42:44Z,CAL5134,"61.171246,-149.996063",0,30,270
1551080573,2019-02-25T07:42:53Z,CAL5134,"61.171234,-149.997467",0,29,270
1551080581,2019-02-25T07:43:01Z,CAL5134,"61.171234,-149.998062",0,23,272
1551080587,2019-02-25T07:43:07Z,CAL5134,"61.171307,-149.998444",0,20,298
