Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551002093,2019-02-24T09:54:53Z,CAL5148,"61.175205,-149.987762",0,0,5
1551002484,2019-02-24T10:01:24Z,CAL5148,"61.175472,-149.987488",0,15,5
1551002496,2019-02-24T10:01:36Z,CAL5148,"61.175785,-149.987213",0,19,5
1551002507,2019-02-24T10:01:47Z,CAL5148,"61.176125,-149.987061",0,18,5
1551002518,2019-02-24T10:01:58Z,CAL5148,"61.176449,-149.987228",0,20,337
1551002530,2019-02-24T10:02:10Z,CAL5148,"61.176785,-149.987595",0,18,5
1551002536,2019-02-24T10:02:16Z,CAL5148,"61.176876,-149.987885",0,18,5
1551002551,2019-02-24T10:02:31Z,CAL5148,"61.176846,-149.988892",0,22,253
1551002558,2019-02-24T10:02:38Z,CAL5148,"61.17675,-149.989395",0,24,250
1551002568,2019-02-24T10:02:48Z,CAL5148,"61.176613,-149.990128",0,24,244
1551002574,2019-02-24T10:02:54Z,CAL5148,"61.176476,-149.990479",0,22,222
1551002581,2019-02-24T10:03:01Z,CAL5148,"61.176189,-149.990631",0,20,180
1551002597,2019-02-24T10:03:17Z,CAL5148,"61.175751,-149.990417",0,19,5
1551002605,2019-02-24T10:03:25Z,CAL5148,"61.17548,-149.990204",0,21,157
1551002611,2019-02-24T10:03:31Z,CAL5148,"61.175262,-149.990036",0,22,160
1551002619,2019-02-24T10:03:39Z,CAL5148,"61.174908,-149.989761",0,24,160
1551002628,2019-02-24T10:03:48Z,CAL5148,"61.17453,-149.989471",0,26,160
1551002634,2019-02-24T10:03:54Z,CAL5148,"61.174236,-149.989243",0,28,160
1551002641,2019-02-24T10:04:01Z,CAL5148,"61.173946,-149.989014",0,28,160
1551002647,2019-02-24T10:04:07Z,CAL5148,"61.173645,-149.988785",0,28,160
1551002653,2019-02-24T10:04:13Z,CAL5148,"61.173317,-149.988571",0,28,160
1551002659,2019-02-24T10:04:19Z,CAL5148,"61.173042,-149.988342",0,27,160
1551002673,2019-02-24T10:04:33Z,CAL5148,"61.17255,-149.988068",0,21,182
1551002681,2019-02-24T10:04:41Z,CAL5148,"61.172272,-149.988373",0,20,216
1551002687,2019-02-24T10:04:47Z,CAL5148,"61.172119,-149.988663",0,21,225
1551002694,2019-02-24T10:04:54Z,CAL5148,"61.171955,-149.989029",0,23,227
1551002700,2019-02-24T10:05:00Z,CAL5148,"61.171795,-149.989441",0,24,230
1551002706,2019-02-24T10:05:06Z,CAL5148,"61.171635,-149.989807",0,24,230
1551002714,2019-02-24T10:05:14Z,CAL5148,"61.171371,-149.990509",0,24,236
1551002721,2019-02-24T10:05:21Z,CAL5148,"61.171291,-149.990936",0,22,253
1551002727,2019-02-24T10:05:27Z,CAL5148,"61.171257,-149.991409",0,21,264
1551002735,2019-02-24T10:05:35Z,CAL5148,"61.171246,-149.992065",0,21,270
1551002741,2019-02-24T10:05:41Z,CAL5148,"61.171257,-149.992508",0,21,270
1551002747,2019-02-24T10:05:47Z,CAL5148,"61.171257,-149.99295",0,21,270
1551002753,2019-02-24T10:05:53Z,CAL5148,"61.171257,-149.993393",0,20,270
1551002759,2019-02-24T10:05:59Z,CAL5148,"61.171257,-149.993805",0,20,270
1551002765,2019-02-24T10:06:05Z,CAL5148,"61.171257,-149.994278",0,20,270
1551002772,2019-02-24T10:06:12Z,CAL5148,"61.171246,-149.994705",0,20,270
1551002778,2019-02-24T10:06:18Z,CAL5148,"61.171246,-149.995148",0,21,270
1551002784,2019-02-24T10:06:24Z,CAL5148,"61.171246,-149.995621",0,21,270
1551002793,2019-02-24T10:06:33Z,CAL5148,"61.171246,-149.996307",0,22,270
