Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551166578,2019-02-26T07:36:18Z,CAL517,"25.082462,121.235428",0,0,5
1551166753,2019-02-26T07:39:13Z,CAL517,"25.082729,121.235168",0,10,5
1551166783,2019-02-26T07:39:43Z,CAL517,"25.083012,121.234894",0,11,5
1551166803,2019-02-26T07:40:03Z,CAL517,"25.083242,121.234688",0,12,5
1551166833,2019-02-26T07:40:33Z,CAL517,"25.083401,121.234344",0,10,5
1551166855,2019-02-26T07:40:55Z,CAL517,"25.083252,121.234093",0,11,5
1551166879,2019-02-26T07:41:19Z,CAL517,"25.083101,121.233887",0,2,5
1551167113,2019-02-26T07:45:13Z,CAL517,"25.083405,121.234238",0,18,5
1551167124,2019-02-26T07:45:24Z,CAL517,"25.083649,121.234543",0,23,50
1551167135,2019-02-26T07:45:35Z,CAL517,"25.083952,121.234924",0,24,47
1551167144,2019-02-26T07:45:44Z,CAL517,"25.084358,121.234947",0,23,331
1551167154,2019-02-26T07:45:54Z,CAL517,"25.084673,121.234581",0,26,298
1551167161,2019-02-26T07:46:01Z,CAL517,"25.084696,121.234299",0,26,264
1551167170,2019-02-26T07:46:10Z,CAL517,"25.084406,121.233849",0,28,227
1551167180,2019-02-26T07:46:20Z,CAL517,"25.08403,121.233368",0,30,227
1551167186,2019-02-26T07:46:26Z,CAL517,"25.083824,121.233101",0,31,227
1551167211,2019-02-26T07:46:51Z,CAL517,"25.082695,121.231667",0,16,227
1551167222,2019-02-26T07:47:02Z,CAL517,"25.082165,121.231003",0,17,227
1551167233,2019-02-26T07:47:13Z,CAL517,"25.08165,121.230339",0,18,227
1551167242,2019-02-26T07:47:22Z,CAL517,"25.081089,121.229637",0,19,230
1551167254,2019-02-26T07:47:34Z,CAL517,"25.08046,121.228828",0,21,230
1551167267,2019-02-26T07:47:47Z,CAL517,"25.079517,121.227638",0,22,230
1551167341,2019-02-26T07:49:01Z,CAL517,"25.074362,121.221085",0,18,230
1551167378,2019-02-26T07:49:38Z,CAL517,"25.072861,121.221352",0,26,137
