Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551012785,2019-02-24T12:53:05Z,CAL518,"40.099678,116.612694",2000,174,27
1551012871,2019-02-24T12:54:31Z,CAL518,"40.174347,116.722748",6500,265,87
1551012944,2019-02-24T12:55:44Z,CAL518,"40.16684,116.841248",10200,304,126
1551012959,2019-02-24T12:55:59Z,CAL518,"40.15004,116.862122",10575,327,142
1551012970,2019-02-24T12:56:10Z,CAL518,"40.135525,116.871811",10900,335,158
1551012976,2019-02-24T12:56:16Z,CAL518,"40.126511,116.874878",11150,336,167
1551012987,2019-02-24T12:56:27Z,CAL518,"40.110672,116.876526",11700,336,179
1551013008,2019-02-24T12:56:48Z,CAL518,"40.075562,116.874695",13075,342,181
1551013045,2019-02-24T12:57:25Z,CAL518,"40.017094,116.873184",15500,355,180
1551013476,2019-02-24T13:04:36Z,CAL518,"39.241768,117.061707",26600,418,176
1551013541,2019-02-24T13:05:41Z,CAL518,"39.11467,117.068344",27625,423,177
1551013601,2019-02-24T13:06:41Z,CAL518,"38.994247,117.075623",30375,434,176
1551013667,2019-02-24T13:07:47Z,CAL518,"38.861664,117.084702",33075,442,176
1551013727,2019-02-24T13:08:47Z,CAL518,"38.734314,117.093361",34600,464,177
1551013788,2019-02-24T13:09:48Z,CAL518,"38.601929,117.10202",35100,476,176
1551013850,2019-02-24T13:10:50Z,CAL518,"38.465286,117.111748",35075,475,175
1551013895,2019-02-24T13:11:35Z,CAL518,"38.367283,117.125366",35075,479,172
1551013932,2019-02-24T13:12:12Z,CAL518,"38.367283,117.125366",35100,482,171
1551013968,2019-02-24T13:12:48Z,CAL518,"38.367283,117.125366",35075,486,170
1551014010,2019-02-24T13:13:30Z,CAL518,"38.367283,117.125366",35100,486,170
1551014072,2019-02-24T13:14:32Z,CAL518,"37.975525,117.203842",35100,486,170
1551014441,2019-02-24T13:20:41Z,CAL518,"37.164185,117.363029",35075,479,171
1551014570,2019-02-24T13:22:50Z,CAL518,"36.879242,117.418175",35100,478,171
1551014611,2019-02-24T13:23:31Z,CAL518,"36.789139,117.435493",35100,478,171
1551014741,2019-02-24T13:25:41Z,CAL518,"36.507614,117.489311",35075,477,171
1551014775,2019-02-24T13:26:15Z,CAL518,"36.432247,117.503632",35100,477,171
1551014868,2019-02-24T13:27:48Z,CAL518,"36.230675,117.541908",35075,478,171
1551014886,2019-02-24T13:28:06Z,CAL518,"36.190872,117.549446",35100,478,171
1551014959,2019-02-24T13:29:19Z,CAL518,"36.030945,117.579636",35100,479,171
1551015052,2019-02-24T13:30:52Z,CAL518,"35.825455,117.618141",35100,480,171
1551015119,2019-02-24T13:31:59Z,CAL518,"35.677216,117.645866",35075,483,171
1551015181,2019-02-24T13:33:01Z,CAL518,"35.541237,117.671173",35075,485,171
1551015205,2019-02-24T13:33:25Z,CAL518,"35.487656,117.681168",35100,486,171
1551015294,2019-02-24T13:34:54Z,CAL518,"35.290375,117.717758",35075,487,171
1551015356,2019-02-24T13:35:56Z,CAL518,"35.150482,117.743561",35100,487,171
1551015421,2019-02-24T13:37:01Z,CAL518,"35.007019,117.769905",35075,485,171
1551015481,2019-02-24T13:38:01Z,CAL518,"34.872849,117.794571",35075,482,171
1551015511,2019-02-24T13:38:31Z,CAL518,"34.806885,117.806114",35075,468,180
1551015517,2019-02-24T13:38:37Z,CAL518,"34.793003,117.804794",35075,461,186
1551015524,2019-02-24T13:38:44Z,CAL518,"34.780388,117.802391",35100,458,189
1551015534,2019-02-24T13:38:54Z,CAL518,"34.761673,117.798958",35100,459,188
1551015568,2019-02-24T13:39:28Z,CAL518,"34.682785,117.800285",35075,478,172
1551015575,2019-02-24T13:39:35Z,CAL518,"34.670246,117.802673",35075,480,170
1551015635,2019-02-24T13:40:35Z,CAL518,"34.538086,117.843056",35075,486,163
1551015699,2019-02-24T13:41:39Z,CAL518,"34.401031,117.892059",35075,486,163
1551015760,2019-02-24T13:42:40Z,CAL518,"34.271244,117.941605",35075,494,156
1551015769,2019-02-24T13:42:49Z,CAL518,"34.253136,117.951851",35075,498,153
1551015777,2019-02-24T13:42:57Z,CAL518,"34.233627,117.964859",35075,503,149
1551015783,2019-02-24T13:43:03Z,CAL518,"34.22176,117.973824",35075,505,147
1551015846,2019-02-24T13:44:06Z,CAL518,"34.101288,118.07769",35100,509,143
1551015911,2019-02-24T13:45:11Z,CAL518,"33.982086,118.182846",35100,509,144
1551015973,2019-02-24T13:46:13Z,CAL518,"33.859955,118.289452",35100,509,143
1551016034,2019-02-24T13:47:14Z,CAL518,"33.744648,118.390274",35075,509,143
1551016101,2019-02-24T13:48:21Z,CAL518,"33.61784,118.500534",35075,511,144
1551016132,2019-02-24T13:48:52Z,CAL518,"33.557739,118.552612",35075,509,144
1551016144,2019-02-24T13:49:04Z,CAL518,"33.534805,118.572472",35075,510,144
1551016245,2019-02-24T13:50:45Z,CAL518,"33.341503,118.741241",35075,511,143
1551016308,2019-02-24T13:51:48Z,CAL518,"33.220367,118.847679",35100,511,144
1551016371,2019-02-24T13:52:51Z,CAL518,"33.100365,118.949814",35100,512,144
1551016433,2019-02-24T13:53:53Z,CAL518,"32.984356,119.04998",35100,511,143
1551016495,2019-02-24T13:54:55Z,CAL518,"32.862442,119.155518",35075,509,143
1551016557,2019-02-24T13:55:57Z,CAL518,"32.744797,119.258331",35100,508,143
1551016620,2019-02-24T13:57:00Z,CAL518,"32.623352,119.363708",35075,506,143
1551016683,2019-02-24T13:58:03Z,CAL518,"32.506393,119.46489",35075,503,143
1551016746,2019-02-24T13:59:06Z,CAL518,"32.389481,119.56591",35100,500,143
1551016811,2019-02-24T14:00:11Z,CAL518,"32.273117,119.678574",35075,501,139
1551016875,2019-02-24T14:01:15Z,CAL518,"32.162243,119.788254",35075,498,140
1551016935,2019-02-24T14:02:15Z,CAL518,"32.05508,119.892174",35075,495,140
1551016996,2019-02-24T14:03:16Z,CAL518,"31.943481,119.999649",35075,492,140
1551017060,2019-02-24T14:04:20Z,CAL518,"31.833298,120.105667",35100,490,140
1551017108,2019-02-24T14:05:08Z,CAL518,"31.75128,120.192459",35075,499,129
1551017116,2019-02-24T14:05:16Z,CAL518,"31.742527,120.205811",35075,501,126
1551017123,2019-02-24T14:05:23Z,CAL518,"31.73103,120.226082",35075,505,122
1551017129,2019-02-24T14:05:29Z,CAL518,"31.724373,120.239647",35075,508,119
1551017136,2019-02-24T14:05:36Z,CAL518,"31.717575,120.255486",35075,510,116
1551017143,2019-02-24T14:05:43Z,CAL518,"31.712036,120.269272",35075,511,115
1551017209,2019-02-24T14:06:49Z,CAL518,"31.64653,120.437408",36050,526,111
1551017271,2019-02-24T14:07:51Z,CAL518,"31.593187,120.611977",37100,551,109
1551017334,2019-02-24T14:08:54Z,CAL518,"31.536575,120.793495",37075,568,110
1551017396,2019-02-24T14:09:56Z,CAL518,"31.479996,120.969971",37075,566,110
1551017459,2019-02-24T14:10:59Z,CAL518,"31.420807,121.152222",37100,564,110
1551017523,2019-02-24T14:12:03Z,CAL518,"31.360661,121.336197",37075,567,110
1551017585,2019-02-24T14:13:05Z,CAL518,"31.301817,121.51593",37100,568,110
1551017650,2019-02-24T14:14:10Z,CAL518,"31.242975,121.694954",37075,569,111
1551017696,2019-02-24T14:14:56Z,CAL518,"31.198334,121.83046",37100,571,111
1551017784,2019-02-24T14:16:24Z,CAL518,"31.113792,122.085571",37100,574,111
1551017848,2019-02-24T14:17:28Z,CAL518,"31.053228,122.267174",37075,575,111
1551017855,2019-02-24T14:17:35Z,CAL518,"31.046082,122.288551",37075,576,111
1551017946,2019-02-24T14:19:06Z,CAL518,"30.999435,122.564713",37100,580,90
1551018008,2019-02-24T14:20:08Z,CAL518,"30.999786,122.759201",37100,580,89
1551018019,2019-02-24T14:20:19Z,CAL518,"30.999893,122.790688",37100,580,89
1551018184,2019-02-24T14:23:04Z,CAL518,"30.874235,123.261932",35225,551,120
1551018545,2019-02-24T14:29:05Z,CAL518,"30.241241,123.636742",31975,461,180
1551018553,2019-02-24T14:29:13Z,CAL518,"30.222923,123.636734",31975,460,180
1551018607,2019-02-24T14:30:07Z,CAL518,"30.110685,123.636948",31975,456,179
1551018696,2019-02-24T14:31:36Z,CAL518,"29.92067,123.637444",32000,454,180
1551018762,2019-02-24T14:32:42Z,CAL518,"29.781189,123.63987",31975,457,176
1551018822,2019-02-24T14:33:42Z,CAL518,"29.655579,123.647423",31975,455,177
1551018881,2019-02-24T14:34:41Z,CAL518,"29.530014,123.65387",31975,452,177
1551018943,2019-02-24T14:35:43Z,CAL518,"29.401154,123.659889",31975,452,177
1551019037,2019-02-24T14:37:17Z,CAL518,"29.203709,123.66954",31975,457,177
1551019070,2019-02-24T14:37:50Z,CAL518,"29.133694,123.672935",32000,459,177
1551019138,2019-02-24T14:38:58Z,CAL518,"28.988892,123.680176",31975,464,177
1551019229,2019-02-24T14:40:29Z,CAL518,"28.792099,123.689842",31975,463,177
1551019238,2019-02-24T14:40:38Z,CAL518,"28.77475,123.690628",32000,463,177
1551020152,2019-02-24T14:55:52Z,CAL518,"27.133205,122.910706",31975,425,204
1551020214,2019-02-24T14:56:54Z,CAL518,"27.021332,122.85498",32000,424,204
1551020277,2019-02-24T14:57:57Z,CAL518,"26.908722,122.798904",31925,422,203
1551020339,2019-02-24T14:58:59Z,CAL518,"26.799591,122.744751",30900,420,203
1551020401,2019-02-24T15:00:01Z,CAL518,"26.692263,122.68998",29975,413,207
1551020459,2019-02-24T15:00:59Z,CAL518,"26.597855,122.619652",30000,403,215
1551020521,2019-02-24T15:02:01Z,CAL518,"26.502562,122.543983",30000,407,215
1551020584,2019-02-24T15:03:04Z,CAL518,"26.406942,122.468666",29975,408,215
1551020646,2019-02-24T15:04:06Z,CAL518,"26.310196,122.393082",29975,409,215
1551020708,2019-02-24T15:05:08Z,CAL518,"26.213654,122.317581",29975,409,215
1551020772,2019-02-24T15:06:12Z,CAL518,"26.116699,122.24202",29675,395,214
1551020833,2019-02-24T15:07:13Z,CAL518,"26.027252,122.173569",28150,372,214
1551020895,2019-02-24T15:08:15Z,CAL518,"25.940369,122.107079",25825,364,214
1551020957,2019-02-24T15:09:17Z,CAL518,"25.854218,122.041367",23450,361,214
1551021018,2019-02-24T15:10:18Z,CAL518,"25.769968,121.976845",21150,358,214
1551021081,2019-02-24T15:11:21Z,CAL518,"25.684525,121.91172",19250,357,214
1551021138,2019-02-24T15:12:18Z,CAL518,"25.614531,121.846153",17900,336,229
1551021173,2019-02-24T15:12:53Z,CAL518,"25.580978,121.797737",17125,334,233
1551021205,2019-02-24T15:13:25Z,CAL518,"25.551872,121.754738",16425,332,233
1551021236,2019-02-24T15:13:56Z,CAL518,"25.523893,121.713173",15650,326,233
1551021267,2019-02-24T15:14:27Z,CAL518,"25.495497,121.671249",14925,328,233
1551021298,2019-02-24T15:14:58Z,CAL518,"25.467844,121.630676",14225,317,232
1551021328,2019-02-24T15:15:28Z,CAL518,"25.440659,121.591187",13375,310,232
1551021361,2019-02-24T15:16:01Z,CAL518,"25.413891,121.552063",12525,305,233
1551021390,2019-02-24T15:16:30Z,CAL518,"25.387848,121.513824",11625,302,233
1551021406,2019-02-24T15:16:46Z,CAL518,"25.375019,121.494949",11225,300,233
1551021422,2019-02-24T15:17:02Z,CAL518,"25.362167,121.476189",10975,292,233
1551021432,2019-02-24T15:17:12Z,CAL518,"25.354752,121.465302",10850,287,233
1551021447,2019-02-24T15:17:27Z,CAL518,"25.34141,121.445877",10625,278,232
1551021463,2019-02-24T15:17:43Z,CAL518,"25.329712,121.42878",10450,270,232
1551021476,2019-02-24T15:17:56Z,CAL518,"25.320229,121.415039",10300,263,232
1551021488,2019-02-24T15:18:08Z,CAL518,"25.311172,121.401825",10075,260,232
1551021504,2019-02-24T15:18:24Z,CAL518,"25.299746,121.385246",9750,259,232
1551021520,2019-02-24T15:18:40Z,CAL518,"25.288479,121.368713",9425,257,233
1551021535,2019-02-24T15:18:55Z,CAL518,"25.277527,121.352692",9075,257,233
1551021545,2019-02-24T15:19:05Z,CAL518,"25.270203,121.34201",8825,256,232
1551021602,2019-02-24T15:20:02Z,CAL518,"25.229544,121.282738",7625,254,232
1551021612,2019-02-24T15:20:12Z,CAL518,"25.22205,121.271751",7375,254,232
1551021628,2019-02-24T15:20:28Z,CAL518,"25.211622,121.256569",7075,252,232
1551021652,2019-02-24T15:20:52Z,CAL518,"25.194031,121.231079",6600,250,232
1551021674,2019-02-24T15:21:14Z,CAL518,"25.178741,121.209007",6125,248,232
1551021700,2019-02-24T15:21:40Z,CAL518,"25.16209,121.184746",5800,246,232
1551021713,2019-02-24T15:21:53Z,CAL518,"25.151962,121.170143",5600,246,232
1551021726,2019-02-24T15:22:06Z,CAL518,"25.143562,121.157799",5375,246,233
1551021736,2019-02-24T15:22:16Z,CAL518,"25.135071,121.145424",5225,246,233
1551021744,2019-02-24T15:22:24Z,CAL518,"25.131039,121.139503",5200,247,233
1551021865,2019-02-24T15:24:25Z,CAL518,"25.19339,121.230164",4075,233,233
1551021943,2019-02-24T15:25:43Z,CAL518,"24.996552,121.024529",3150,177,136
1551021959,2019-02-24T15:25:59Z,CAL518,"24.987984,121.034096",2850,175,134
1551021974,2019-02-24T15:26:14Z,CAL518,"24.979185,121.043785",2600,173,134
1551021984,2019-02-24T15:26:24Z,CAL518,"24.97348,121.050056",2500,172,135
1551021994,2019-02-24T15:26:34Z,CAL518,"24.967642,121.056381",2375,172,135
1551022003,2019-02-24T15:26:43Z,CAL518,"24.962706,121.061722",2325,169,135
1551022014,2019-02-24T15:26:54Z,CAL518,"24.956375,121.068924",2325,169,133
1551022023,2019-02-24T15:27:03Z,CAL518,"24.953293,121.075439",2325,164,118
1551022049,2019-02-24T15:27:29Z,CAL518,"24.959198,121.094719",2325,156,60
1551022058,2019-02-24T15:27:38Z,CAL518,"24.963497,121.100014",2325,155,48
1551022064,2019-02-24T15:27:44Z,CAL518,"24.964966,121.101784",2350,155,48
1551022097,2019-02-24T15:28:17Z,CAL518,"24.981766,121.123146",2275,149,48
1551022154,2019-02-24T15:29:14Z,CAL518,"25.005295,121.152901",1700,131,49
1551022177,2019-02-24T15:29:37Z,CAL518,"25.014038,121.164093",1425,131,49
1551022248,2019-02-24T15:30:48Z,CAL518,"25.042356,121.200035",600,131,49
1551022254,2019-02-24T15:30:54Z,CAL518,"25.044754,121.203056",525,133,49
1551022279,2019-02-24T15:31:19Z,CAL518,"25.054916,121.215973",225,136,49
1551022314,2019-02-24T15:31:54Z,CAL518,"25.068821,121.23365",0,98,47
1551022324,2019-02-24T15:32:04Z,CAL518,"25.071327,121.236824",0,69,50
1551022330,2019-02-24T15:32:10Z,CAL518,"25.072302,121.238068",0,62,47
1551022358,2019-02-24T15:32:38Z,CAL518,"25.076488,121.243385",0,39,47
1551022382,2019-02-24T15:33:02Z,CAL518,"25.078959,121.246544",0,39,47
1551022419,2019-02-24T15:33:39Z,CAL518,"25.0816,121.248756",0,25,317
1551022429,2019-02-24T15:33:49Z,CAL518,"25.081936,121.248436",0,26,317
1551022459,2019-02-24T15:34:19Z,CAL518,"25.082159,121.247421",0,19,236
1551022490,2019-02-24T15:34:50Z,CAL518,"25.081238,121.246246",0,29,227
1551022500,2019-02-24T15:35:00Z,CAL518,"25.080868,121.245781",0,31,230
1551022507,2019-02-24T15:35:07Z,CAL518,"25.080692,121.245544",0,28,227
1551022513,2019-02-24T15:35:13Z,CAL518,"25.080484,121.2453",0,25,230
1551022528,2019-02-24T15:35:28Z,CAL518,"25.08053,121.244598",0,27,312
1551022620,2019-02-24T15:37:00Z,CAL518,"25.080379,121.241943",0,21,230
1551022634,2019-02-24T15:37:14Z,CAL518,"25.079948,121.241386",0,27,230
1551022645,2019-02-24T15:37:25Z,CAL518,"25.079556,121.240883",0,27,230
1551022651,2019-02-24T15:37:31Z,CAL518,"25.079378,121.240662",0,28,227
1551022658,2019-02-24T15:37:38Z,CAL518,"25.079123,121.240334",0,30,230
1551022665,2019-02-24T15:37:45Z,CAL518,"25.07889,121.240036",0,28,230
1551022688,2019-02-24T15:38:08Z,CAL518,"25.078125,121.239067",0,27,227
1551022694,2019-02-24T15:38:14Z,CAL518,"25.077919,121.238808",0,27,227
1551022724,2019-02-24T15:38:44Z,CAL518,"25.07761,121.237885",0,18,298
1551022734,2019-02-24T15:38:54Z,CAL518,"25.077862,121.237617",0,18,317
