Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548651161,2019-01-28T04:52:41Z,CAL5231,"41.962933,-87.914238",0,0,89
1548651281,2019-01-28T04:54:41Z,CAL5231,"41.962692,-87.914238",0,14,5
1548651299,2019-01-28T04:54:59Z,CAL5231,"41.962406,-87.914314",0,12,5
1548651321,2019-01-28T04:55:21Z,CAL5231,"41.962234,-87.914581",0,11,5
1548651334,2019-01-28T04:55:34Z,CAL5231,"41.962177,-87.914848",0,11,5
1548651365,2019-01-28T04:56:05Z,CAL5231,"41.9622,-87.914536",0,13,5
1548651379,2019-01-28T04:56:19Z,CAL5231,"41.9622,-87.914223",0,12,5
1548651663,2019-01-28T05:01:03Z,CAL5231,"41.962223,-87.914017",0,10,5
1548651678,2019-01-28T05:01:18Z,CAL5231,"41.962212,-87.913681",0,14,5
1548651689,2019-01-28T05:01:29Z,CAL5231,"41.962212,-87.913315",0,16,5
1548651695,2019-01-28T05:01:35Z,CAL5231,"41.962212,-87.913094",0,17,5
1548651702,2019-01-28T05:01:42Z,CAL5231,"41.962212,-87.912849",0,19,5
1548651708,2019-01-28T05:01:48Z,CAL5231,"41.962212,-87.912582",0,20,90
1548651714,2019-01-28T05:01:54Z,CAL5231,"41.962212,-87.912315",0,21,90
1548651720,2019-01-28T05:02:00Z,CAL5231,"41.9622,-87.912003",0,21,90
1548651726,2019-01-28T05:02:06Z,CAL5231,"41.9622,-87.91169",0,23,90
1548651734,2019-01-28T05:02:14Z,CAL5231,"41.9622,-87.911285",0,18,5
1548651742,2019-01-28T05:02:22Z,CAL5231,"41.962212,-87.911018",0,19,5
1548651752,2019-01-28T05:02:32Z,CAL5231,"41.962212,-87.910461",0,21,90
1548651758,2019-01-28T05:02:38Z,CAL5231,"41.962212,-87.910164",0,21,90
1548651766,2019-01-28T05:02:46Z,CAL5231,"41.962223,-87.909866",0,22,90
1548651774,2019-01-28T05:02:54Z,CAL5231,"41.962212,-87.909416",0,20,90
1548651781,2019-01-28T05:03:01Z,CAL5231,"41.962212,-87.909119",0,20,90
1548651789,2019-01-28T05:03:09Z,CAL5231,"41.962212,-87.908752",0,18,5
1548651796,2019-01-28T05:03:16Z,CAL5231,"41.962223,-87.908524",0,16,5
1548651804,2019-01-28T05:03:24Z,CAL5231,"41.962292,-87.908241",0,17,5
1548651813,2019-01-28T05:03:33Z,CAL5231,"41.962456,-87.907936",0,18,5
1548651819,2019-01-28T05:03:39Z,CAL5231,"41.962578,-87.907715",0,21,53
1548651826,2019-01-28T05:03:46Z,CAL5231,"41.962727,-87.907433",0,24,53
1548651834,2019-01-28T05:03:54Z,CAL5231,"41.962955,-87.907043",0,22,53
1548651840,2019-01-28T05:04:00Z,CAL5231,"41.963081,-87.906807",0,20,53
1548651848,2019-01-28T05:04:08Z,CAL5231,"41.963219,-87.90657",0,22,53
1548651858,2019-01-28T05:04:18Z,CAL5231,"41.963539,-87.906029",0,24,50
1548651865,2019-01-28T05:04:25Z,CAL5231,"41.963699,-87.905762",0,21,53
1548651873,2019-01-28T05:04:33Z,CAL5231,"41.963825,-87.90554",0,18,5
1548651881,2019-01-28T05:04:41Z,CAL5231,"41.963978,-87.905281",0,17,5
1548651890,2019-01-28T05:04:50Z,CAL5231,"41.964146,-87.905075",0,15,5
1548651906,2019-01-28T05:05:06Z,CAL5231,"41.964397,-87.904968",0,11,5
1548651923,2019-01-28T05:05:23Z,CAL5231,"41.964626,-87.904953",0,14,5
1548651934,2019-01-28T05:05:34Z,CAL5231,"41.964993,-87.904945",0,23,3
1548651941,2019-01-28T05:05:41Z,CAL5231,"41.965313,-87.904968",0,29,355
1548651950,2019-01-28T05:05:50Z,CAL5231,"41.965923,-87.904968",0,15,355
1548651958,2019-01-28T05:05:58Z,CAL5231,"41.966469,-87.904968",0,31,355
1548651964,2019-01-28T05:06:04Z,CAL5231,"41.966801,-87.904968",0,23,355
1548651975,2019-01-28T05:06:15Z,CAL5231,"41.967064,-87.904984",0,16,5
1548651987,2019-01-28T05:06:27Z,CAL5231,"41.967297,-87.905121",0,14,5
