Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549326563,2019-02-05T00:29:23Z,CAL5237,"61.174519,-149.991119",0,0,180
1549326918,2019-02-05T00:35:18Z,CAL5237,"61.174564,-149.990891",0,13,5
1549326929,2019-02-05T00:35:29Z,CAL5237,"61.174656,-149.990356",0,17,5
1549326936,2019-02-05T00:35:36Z,CAL5237,"61.174656,-149.990005",0,17,5
1549326946,2019-02-05T00:35:46Z,CAL5237,"61.17453,-149.989578",0,17,5
1549326954,2019-02-05T00:35:54Z,CAL5237,"61.174324,-149.989304",0,18,5
1549326967,2019-02-05T00:36:07Z,CAL5237,"61.173969,-149.989029",0,19,5
1549326976,2019-02-05T00:36:16Z,CAL5237,"61.173695,-149.988831",0,20,160
1549326985,2019-02-05T00:36:25Z,CAL5237,"61.173397,-149.988586",0,20,160
1549326995,2019-02-05T00:36:35Z,CAL5237,"61.173111,-149.988373",0,20,160
1549327005,2019-02-05T00:36:45Z,CAL5237,"61.17284,-149.988144",0,19,5
1549327012,2019-02-05T00:36:52Z,CAL5237,"61.172562,-149.988068",0,19,5
1549327024,2019-02-05T00:37:04Z,CAL5237,"61.172207,-149.988434",0,21,219
1549327032,2019-02-05T00:37:12Z,CAL5237,"61.17205,-149.988785",0,22,227
1549327041,2019-02-05T00:37:21Z,CAL5237,"61.171795,-149.989395",0,25,227
1549327049,2019-02-05T00:37:29Z,CAL5237,"61.171509,-149.990082",0,26,230
1549327056,2019-02-05T00:37:36Z,CAL5237,"61.171364,-149.99057",0,25,241
1549327062,2019-02-05T00:37:42Z,CAL5237,"61.171291,-149.991104",0,24,255
1549327072,2019-02-05T00:37:52Z,CAL5237,"61.171257,-149.991928",0,25,267
1549327078,2019-02-05T00:37:58Z,CAL5237,"61.171246,-149.992752",0,26,270
1549327085,2019-02-05T00:38:05Z,CAL5237,"61.171246,-149.993378",0,26,270
1549327094,2019-02-05T00:38:14Z,CAL5237,"61.171246,-149.994232",0,25,270
1549327100,2019-02-05T00:38:20Z,CAL5237,"61.171246,-149.994797",0,24,270
1549327112,2019-02-05T00:38:32Z,CAL5237,"61.171234,-149.99585",0,24,270
1549327123,2019-02-05T00:38:43Z,CAL5237,"61.171234,-149.996567",0,22,270
1549327133,2019-02-05T00:38:53Z,CAL5237,"61.171234,-149.997513",0,21,270
1549327140,2019-02-05T00:39:00Z,CAL5237,"61.171234,-149.997971",0,19,270
1549327149,2019-02-05T00:39:09Z,CAL5237,"61.171303,-149.998474",0,17,5
1549327157,2019-02-05T00:39:17Z,CAL5237,"61.171501,-149.998734",0,15,5
1549327214,2019-02-05T00:40:14Z,CAL5237,"61.171955,-149.999008",0,24,343
1549327224,2019-02-05T00:40:24Z,CAL5237,"61.175308,-150.000885",0,92,345
1549327231,2019-02-05T00:40:31Z,CAL5237,"61.178398,-150.00264",0,120,345
1549327237,2019-02-05T00:40:37Z,CAL5237,"61.182083,-150.0047",0,145,345
1549327243,2019-02-05T00:40:43Z,CAL5237,"61.186478,-150.007233",250,156,344
1549327249,2019-02-05T00:40:49Z,CAL5237,"61.190689,-150.009674",600,153,343
1549327255,2019-02-05T00:40:55Z,CAL5237,"61.194672,-150.012329",925,154,341
1549327263,2019-02-05T00:41:03Z,CAL5237,"61.200394,-150.017822",1375,158,329
1549327270,2019-02-05T00:41:10Z,CAL5237,"61.204136,-150.024307",1725,160,318
1549327276,2019-02-05T00:41:16Z,CAL5237,"61.207394,-150.030716",1975,162,315
1549327282,2019-02-05T00:41:22Z,CAL5237,"61.21056,-150.037231",2125,169,314
1549327288,2019-02-05T00:41:28Z,CAL5237,"61.213669,-150.043915",2275,173,313
1549327294,2019-02-05T00:41:34Z,CAL5237,"61.216965,-150.05127",2525,174,313
1549327300,2019-02-05T00:41:40Z,CAL5237,"61.220757,-150.059616",2800,175,313
1549327306,2019-02-05T00:41:46Z,CAL5237,"61.22406,-150.067032",3025,176,312
1549327314,2019-02-05T00:41:54Z,CAL5237,"61.227364,-150.074463",3275,177,312
1549327320,2019-02-05T00:42:00Z,CAL5237,"61.230995,-150.082703",3450,182,312
1549327330,2019-02-05T00:42:10Z,CAL5237,"61.23835,-150.09938",3650,201,312
1549327336,2019-02-05T00:42:16Z,CAL5237,"61.242188,-150.107864",3750,209,313
