Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550945923,2019-02-23T18:18:43Z,CAL5237,"41.962898,-87.914246",0,0,271
1550946006,2019-02-23T18:20:06Z,CAL5237,"41.962658,-87.914253",0,12,5
1550946019,2019-02-23T18:20:19Z,CAL5237,"41.962456,-87.914276",0,13,5
1550946037,2019-02-23T18:20:37Z,CAL5237,"41.962246,-87.914482",0,12,5
1550946052,2019-02-23T18:20:52Z,CAL5237,"41.962189,-87.914703",0,9,5
1550946068,2019-02-23T18:21:08Z,CAL5237,"41.962189,-87.914909",0,2,5
1550946093,2019-02-23T18:21:33Z,CAL5237,"41.962189,-87.914467",0,14,5
1550946103,2019-02-23T18:21:43Z,CAL5237,"41.962189,-87.914162",0,14,5
1550946409,2019-02-23T18:26:49Z,CAL5237,"41.962177,-87.913879",0,10,5
1550946421,2019-02-23T18:27:01Z,CAL5237,"41.962177,-87.913597",0,14,5
1550946432,2019-02-23T18:27:12Z,CAL5237,"41.962177,-87.913193",0,18,5
1550946439,2019-02-23T18:27:19Z,CAL5237,"41.962177,-87.91291",0,20,90
1550946447,2019-02-23T18:27:27Z,CAL5237,"41.962177,-87.912468",0,22,90
1550946453,2019-02-23T18:27:33Z,CAL5237,"41.962177,-87.912148",0,23,90
1550946459,2019-02-23T18:27:39Z,CAL5237,"41.962177,-87.911804",0,24,90
1550946465,2019-02-23T18:27:45Z,CAL5237,"41.962189,-87.911446",0,25,90
1550946471,2019-02-23T18:27:51Z,CAL5237,"41.962177,-87.911087",0,26,90
1550946479,2019-02-23T18:27:59Z,CAL5237,"41.962189,-87.910713",0,26,90
1550946491,2019-02-23T18:28:11Z,CAL5237,"41.962189,-87.909882",0,28,90
1550946502,2019-02-23T18:28:22Z,CAL5237,"41.962189,-87.909073",0,25,90
1550946508,2019-02-23T18:28:28Z,CAL5237,"41.962189,-87.90873",0,23,90
1550946514,2019-02-23T18:28:34Z,CAL5237,"41.962212,-87.908432",0,21,78
1550946523,2019-02-23T18:28:43Z,CAL5237,"41.96236,-87.908043",0,21,56
1550946531,2019-02-23T18:28:51Z,CAL5237,"41.962521,-87.907776",0,17,5
1550946541,2019-02-23T18:29:01Z,CAL5237,"41.962654,-87.907539",0,16,5
1550946554,2019-02-23T18:29:14Z,CAL5237,"41.962864,-87.907166",0,19,5
1550946562,2019-02-23T18:29:22Z,CAL5237,"41.963085,-87.906784",0,23,53
1550946579,2019-02-23T18:29:39Z,CAL5237,"41.963501,-87.906052",0,24,50
1550946591,2019-02-23T18:29:51Z,CAL5237,"41.963795,-87.905571",0,21,53
1550946603,2019-02-23T18:30:03Z,CAL5237,"41.9641,-87.905045",0,16,5
1550946617,2019-02-23T18:30:17Z,CAL5237,"41.964329,-87.904945",0,12,5
1550947332,2019-02-23T18:42:12Z,CAL5237,"41.964539,-87.904945",0,13,5
1550947338,2019-02-23T18:42:18Z,CAL5237,"41.964741,-87.904953",0,18,5
1550947347,2019-02-23T18:42:27Z,CAL5237,"41.965061,-87.904968",0,23,355
1550947354,2019-02-23T18:42:34Z,CAL5237,"41.965317,-87.904968",0,27,355
1550947362,2019-02-23T18:42:42Z,CAL5237,"41.965878,-87.904968",0,31,355
1550947370,2019-02-23T18:42:50Z,CAL5237,"41.966259,-87.904968",0,34,355
1550947381,2019-02-23T18:43:01Z,CAL5237,"41.96703,-87.904968",0,25,355
1550947389,2019-02-23T18:43:09Z,CAL5237,"41.967262,-87.905075",0,15,5
1550947398,2019-02-23T18:43:18Z,CAL5237,"41.967339,-87.905296",0,14,5
1550947410,2019-02-23T18:43:30Z,CAL5237,"41.967384,-87.905609",0,14,5
1550947423,2019-02-23T18:43:43Z,CAL5237,"41.967396,-87.906029",0,20,270
1550947430,2019-02-23T18:43:50Z,CAL5237,"41.967396,-87.906479",0,24,270
1550947437,2019-02-23T18:43:57Z,CAL5237,"41.9674,-87.906929",0,28,270
1550947443,2019-02-23T18:44:03Z,CAL5237,"41.967396,-87.907387",0,32,270
1550947450,2019-02-23T18:44:10Z,CAL5237,"41.967396,-87.907913",0,15,270
1550947456,2019-02-23T18:44:16Z,CAL5237,"41.967388,-87.908447",0,16,270
1550947466,2019-02-23T18:44:26Z,CAL5237,"41.967396,-87.909615",0,16,270
1550947473,2019-02-23T18:44:33Z,CAL5237,"41.967396,-87.910286",0,17,270
1550947480,2019-02-23T18:44:40Z,CAL5237,"41.967384,-87.91082",0,16,270
1550947493,2019-02-23T18:44:53Z,CAL5237,"41.967396,-87.912033",0,16,270
1550947503,2019-02-23T18:45:03Z,CAL5237,"41.967388,-87.913185",0,16,270
1550947509,2019-02-23T18:45:09Z,CAL5237,"41.967384,-87.913803",0,16,270
1550947516,2019-02-23T18:45:16Z,CAL5237,"41.967384,-87.91436",0,16,270
1550947523,2019-02-23T18:45:23Z,CAL5237,"41.967384,-87.914909",0,15,270
1550947533,2019-02-23T18:45:33Z,CAL5237,"41.967388,-87.915825",0,34,270
1550947546,2019-02-23T18:45:46Z,CAL5237,"41.967388,-87.917007",0,34,270
1550947553,2019-02-23T18:45:53Z,CAL5237,"41.967377,-87.917625",0,15,270
1550947563,2019-02-23T18:46:03Z,CAL5237,"41.967377,-87.918808",0,17,270
1550947569,2019-02-23T18:46:09Z,CAL5237,"41.967384,-87.919434",0,17,270
1550947576,2019-02-23T18:46:16Z,CAL5237,"41.967373,-87.920029",0,16,270
1550947583,2019-02-23T18:46:23Z,CAL5237,"41.967384,-87.920418",0,24,275
1550947592,2019-02-23T18:46:32Z,CAL5237,"41.967644,-87.920792",0,22,340
1550947600,2019-02-23T18:46:40Z,CAL5237,"41.967911,-87.920837",0,23,357
1550947608,2019-02-23T18:46:48Z,CAL5237,"41.968239,-87.920837",0,21,357
1550947614,2019-02-23T18:46:54Z,CAL5237,"41.968449,-87.920837",0,20,357
1550947621,2019-02-23T18:47:01Z,CAL5237,"41.968655,-87.920853",0,18,5
1550947642,2019-02-23T18:47:22Z,CAL5237,"41.968941,-87.92067",0,12,5
1550947653,2019-02-23T18:47:33Z,CAL5237,"41.968994,-87.920456",0,11,5
1550947744,2019-02-23T18:49:04Z,CAL5237,"41.968998,-87.920319",0,0,111
1550947793,2019-02-23T18:49:53Z,CAL5237,"41.969006,-87.92009",0,28,87
1550947799,2019-02-23T18:49:59Z,CAL5237,"41.969021,-87.919075",0,37,90
1550947807,2019-02-23T18:50:07Z,CAL5237,"41.969021,-87.916359",0,68,90
1550947816,2019-02-23T18:50:16Z,CAL5237,"41.969032,-87.910271",0,115,90
1550947840,2019-02-23T18:50:40Z,CAL5237,"41.968983,-87.88813",1025,162,90
1550947847,2019-02-23T18:50:47Z,CAL5237,"41.968937,-87.881874",1225,163,90
1550947854,2019-02-23T18:50:54Z,CAL5237,"41.968891,-87.875809",1450,163,90
1550947864,2019-02-23T18:51:04Z,CAL5237,"41.968845,-87.863861",1900,163,90
1550947888,2019-02-23T18:51:28Z,CAL5237,"41.970009,-87.841698",2525,172,80
1550947895,2019-02-23T18:51:35Z,CAL5237,"41.973034,-87.832565",2750,183,55
1550947902,2019-02-23T18:51:42Z,CAL5237,"41.97662,-87.827454",2850,191,43
1550947909,2019-02-23T18:51:49Z,CAL5237,"41.981274,-87.823433",2900,202,29
1550947916,2019-02-23T18:51:56Z,CAL5237,"41.989426,-87.820335",3050,209,10
1550947923,2019-02-23T18:52:03Z,CAL5237,"41.995651,-87.81971",3225,211,3
1550947929,2019-02-23T18:52:09Z,CAL5237,"42.001289,-87.819466",3350,214,1
1550947950,2019-02-23T18:52:30Z,CAL5237,"42.022099,-87.819977",4025,219,357
1550947968,2019-02-23T18:52:48Z,CAL5237,"42.043488,-87.821213",4375,232,357
1550948001,2019-02-23T18:53:21Z,CAL5237,"42.081161,-87.832756",4825,287,351
1550948008,2019-02-23T18:53:28Z,CAL5237,"42.09058,-87.834732",4950,294,351
1550948036,2019-02-23T18:53:56Z,CAL5237,"42.127487,-87.844185",5050,296,348
1550948046,2019-02-23T18:54:06Z,CAL5237,"42.143929,-87.848976",5350,301,347
1550948059,2019-02-23T18:54:19Z,CAL5237,"42.160732,-87.854218",6025,303,346
1550948070,2019-02-23T18:54:30Z,CAL5237,"42.176743,-87.85923",6800,302,346
1550948083,2019-02-23T18:54:43Z,CAL5237,"42.19281,-87.86441",7550,294,346
1550948095,2019-02-23T18:54:55Z,CAL5237,"42.20874,-87.869713",8375,289,346
1550948106,2019-02-23T18:55:06Z,CAL5237,"42.224167,-87.874832",8975,291,346
1550948118,2019-02-23T18:55:18Z,CAL5237,"42.239914,-87.880135",9500,296,345
1550948132,2019-02-23T18:55:32Z,CAL5237,"42.256351,-87.885582",10000,302,346
1550948144,2019-02-23T18:55:44Z,CAL5237,"42.272411,-87.890755",10475,304,346
1550948154,2019-02-23T18:55:54Z,CAL5237,"42.288895,-87.895866",10975,301,347
1550948167,2019-02-23T18:56:07Z,CAL5237,"42.306023,-87.90123",11500,301,346
1550948181,2019-02-23T18:56:21Z,CAL5237,"42.322083,-87.906227",11925,307,346
1550948190,2019-02-23T18:56:30Z,CAL5237,"42.33847,-87.911285",12325,311,347
1550948223,2019-02-23T18:57:03Z,CAL5237,"42.386093,-87.92614",13450,322,346
1550948258,2019-02-23T18:57:38Z,CAL5237,"42.433182,-87.940811",14375,328,346
1550948290,2019-02-23T18:58:10Z,CAL5237,"42.487106,-87.954979",15250,364,352
1550948325,2019-02-23T18:58:45Z,CAL5237,"42.545609,-87.962601",16150,392,355
1550948356,2019-02-23T18:59:16Z,CAL5237,"42.604111,-87.969337",17475,402,355
1550948390,2019-02-23T18:59:50Z,CAL5237,"42.668427,-87.975456",18875,413,357
1550948417,2019-02-23T19:00:17Z,CAL5237,"42.719685,-87.983116",19725,416,347
1550948425,2019-02-23T19:00:25Z,CAL5237,"42.736027,-87.989822",19975,415,341
1550948432,2019-02-23T19:00:32Z,CAL5237,"42.746887,-87.995743",20175,414,338
1550948438,2019-02-23T19:00:38Z,CAL5237,"42.758148,-88.002861",20325,414,334
1550948448,2019-02-23T19:00:48Z,CAL5237,"42.77364,-88.01358",20500,419,332
1550948455,2019-02-23T19:00:55Z,CAL5237,"42.788303,-88.024506",20775,420,331
1550948522,2019-02-23T19:02:02Z,CAL5237,"42.899376,-88.113297",23725,418,329
1550948582,2019-02-23T19:03:02Z,CAL5237,"42.999557,-88.19249",25975,419,329
1550948644,2019-02-23T19:04:04Z,CAL5237,"43.105602,-88.275734",27725,431,330
1550948708,2019-02-23T19:05:08Z,CAL5237,"43.210693,-88.375748",29275,432,322
1550948770,2019-02-23T19:06:10Z,CAL5237,"43.309616,-88.475647",30725,444,324
