Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550502704,2019-02-18T15:11:44Z,CAL5897,"25.092293,121.245827",0,0,5
1550502840,2019-02-18T15:14:00Z,CAL5897,"25.09251,121.24559",0,11,5
1550502861,2019-02-18T15:14:21Z,CAL5897,"25.092739,121.245369",0,12,5
1550502882,2019-02-18T15:14:42Z,CAL5897,"25.092949,121.245178",0,10,5
1550502917,2019-02-18T15:15:17Z,CAL5897,"25.093227,121.245193",0,2,5
1550502947,2019-02-18T15:15:47Z,CAL5897,"25.093437,121.245361",0,2,5
1550502991,2019-02-18T15:16:31Z,CAL5897,"25.093437,121.245361",0,0,5
1550503149,2019-02-18T15:19:09Z,CAL5897,"25.093227,121.245094",0,14,5
1550503159,2019-02-18T15:19:19Z,CAL5897,"25.09306,121.244873",0,16,5
1550503171,2019-02-18T15:19:31Z,CAL5897,"25.092865,121.244621",0,19,5
1550503180,2019-02-18T15:19:40Z,CAL5897,"25.092636,121.244331",0,21,230
1550503191,2019-02-18T15:19:51Z,CAL5897,"25.092354,121.24398",0,24,230
1550503202,2019-02-18T15:20:02Z,CAL5897,"25.092052,121.243591",0,26,227
1550503211,2019-02-18T15:20:11Z,CAL5897,"25.091721,121.243172",0,27,227
1550503222,2019-02-18T15:20:22Z,CAL5897,"25.091412,121.242767",0,26,227
1550503232,2019-02-18T15:20:32Z,CAL5897,"25.091091,121.242393",0,23,222
1550503242,2019-02-18T15:20:42Z,CAL5897,"25.090691,121.242188",0,25,199
1550503252,2019-02-18T15:20:52Z,CAL5897,"25.090237,121.24205",0,25,196
1550503262,2019-02-18T15:21:02Z,CAL5897,"25.089828,121.241875",0,25,208
1550503273,2019-02-18T15:21:13Z,CAL5897,"25.089457,121.241501",0,27,227
1550503283,2019-02-18T15:21:23Z,CAL5897,"25.0891,121.241051",0,29,230
1550503289,2019-02-18T15:21:29Z,CAL5897,"25.088905,121.240807",0,29,227
1550503304,2019-02-18T15:21:44Z,CAL5897,"25.088425,121.240181",0,25,230
1550503320,2019-02-18T15:22:00Z,CAL5897,"25.088161,121.239494",0,27,261
1550503329,2019-02-18T15:22:09Z,CAL5897,"25.088127,121.23896",0,22,264
1550503340,2019-02-18T15:22:20Z,CAL5897,"25.088024,121.238541",0,22,244
1550503355,2019-02-18T15:22:35Z,CAL5897,"25.087612,121.238098",0,22,196
1550503365,2019-02-18T15:22:45Z,CAL5897,"25.087246,121.238228",0,22,149
1550503376,2019-02-18T15:22:56Z,CAL5897,"25.086903,121.238541",0,25,137
1550503386,2019-02-18T15:23:06Z,CAL5897,"25.086536,121.238899",0,28,137
1550503401,2019-02-18T15:23:21Z,CAL5897,"25.08585,121.239532",0,30,137
1550503411,2019-02-18T15:23:31Z,CAL5897,"25.085407,121.23996",0,30,140
1550503417,2019-02-18T15:23:37Z,CAL5897,"25.085197,121.240158",0,31,140
1550503432,2019-02-18T15:23:52Z,CAL5897,"25.084475,121.240845",0,33,137
1550503456,2019-02-18T15:24:16Z,CAL5897,"25.083206,121.242043",0,16,140
1550503468,2019-02-18T15:24:28Z,CAL5897,"25.082556,121.242653",0,32,140
1550503487,2019-02-18T15:24:47Z,CAL5897,"25.081846,121.243332",0,19,5
1550503546,2019-02-18T15:25:46Z,CAL5897,"25.080215,121.241737",0,31,230
1550503552,2019-02-18T15:25:52Z,CAL5897,"25.079983,121.24144",0,31,230
1550503561,2019-02-18T15:26:01Z,CAL5897,"25.079611,121.240959",0,33,227
1550503574,2019-02-18T15:26:14Z,CAL5897,"25.079086,121.240288",0,15,227
1550503580,2019-02-18T15:26:20Z,CAL5897,"25.078869,121.240021",0,15,227
1550503613,2019-02-18T15:26:53Z,CAL5897,"25.077164,121.237846",0,18,227
1550503619,2019-02-18T15:26:59Z,CAL5897,"25.07683,121.237434",0,18,227
1550503626,2019-02-18T15:27:06Z,CAL5897,"25.076481,121.236984",0,19,227
1550503636,2019-02-18T15:27:16Z,CAL5897,"25.075911,121.236244",0,19,230
1550503869,2019-02-18T15:31:09Z,CAL5897,"25.066076,121.225464",0,20,230
1550504064,2019-02-18T15:34:24Z,CAL5897,"25.061432,121.223091",0,13,5
1550504080,2019-02-18T15:34:40Z,CAL5897,"25.061188,121.22332",0,16,5
1550504088,2019-02-18T15:34:48Z,CAL5897,"25.061037,121.223549",0,17,5
1550504159,2019-02-18T15:35:59Z,CAL5897,"25.063457,121.22686",0,76,50
1550504175,2019-02-18T15:36:15Z,CAL5897,"25.068672,121.233482",0,135,50
1550504184,2019-02-18T15:36:24Z,CAL5897,"25.072186,121.237946",0,160,47
1550504194,2019-02-18T15:36:34Z,CAL5897,"25.078342,121.245529",275,169,48
1550504204,2019-02-18T15:36:44Z,CAL5897,"25.083069,121.251472",550,167,49
1550504215,2019-02-18T15:36:55Z,CAL5897,"25.088745,121.258904",850,173,50
1550504221,2019-02-18T15:37:01Z,CAL5897,"25.091795,121.262947",1025,174,49
1550504227,2019-02-18T15:37:07Z,CAL5897,"25.095474,121.2677",1275,174,49
