Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550676448,2019-02-20T15:27:28Z,CAL5897,"25.092495,121.245636",0,12,5
1550676477,2019-02-20T15:27:57Z,CAL5897,"25.092796,121.245331",0,11,5
1550676498,2019-02-20T15:28:18Z,CAL5897,"25.093002,121.245209",0,10,5
1550676518,2019-02-20T15:28:38Z,CAL5897,"25.093204,121.245178",0,9,5
1550676548,2019-02-20T15:29:08Z,CAL5897,"25.093414,121.245331",0,2,5
1550676727,2019-02-20T15:32:07Z,CAL5897,"25.093182,121.245041",0,17,5
1550676737,2019-02-20T15:32:17Z,CAL5897,"25.09296,121.244751",0,21,227
1550676747,2019-02-20T15:32:27Z,CAL5897,"25.092693,121.244415",0,25,227
1550676757,2019-02-20T15:32:37Z,CAL5897,"25.092361,121.243996",0,28,227
1550676768,2019-02-20T15:32:48Z,CAL5897,"25.091972,121.2435",0,32,227
1550676778,2019-02-20T15:32:58Z,CAL5897,"25.091528,121.242943",0,31,227
1550676793,2019-02-20T15:33:13Z,CAL5897,"25.090784,121.242241",0,15,205
1550676803,2019-02-20T15:33:23Z,CAL5897,"25.09012,121.242004",0,16,196
1550676815,2019-02-20T15:33:35Z,CAL5897,"25.089432,121.241478",0,18,225
1550676825,2019-02-20T15:33:45Z,CAL5897,"25.088825,121.240715",0,19,230
1550676835,2019-02-20T15:33:55Z,CAL5897,"25.088316,121.240013",0,17,236
1550676846,2019-02-20T15:34:06Z,CAL5897,"25.088142,121.239258",0,15,264
1550676853,2019-02-20T15:34:13Z,CAL5897,"25.088058,121.238693",0,15,253
1550676866,2019-02-20T15:34:26Z,CAL5897,"25.087498,121.237808",0,17,230
1550676877,2019-02-20T15:34:37Z,CAL5897,"25.08696,121.237122",0,18,227
1550676883,2019-02-20T15:34:43Z,CAL5897,"25.086662,121.236748",0,19,227
1550676893,2019-02-20T15:34:53Z,CAL5897,"25.086105,121.236038",0,20,230
1550676912,2019-02-20T15:35:12Z,CAL5897,"25.084953,121.234573",0,21,227
1550676923,2019-02-20T15:35:23Z,CAL5897,"25.084213,121.233635",0,22,227
1550676933,2019-02-20T15:35:33Z,CAL5897,"25.083561,121.232796",0,22,227
1550676939,2019-02-20T15:35:39Z,CAL5897,"25.083172,121.232315",0,21,227
1550676948,2019-02-20T15:35:48Z,CAL5897,"25.082565,121.231537",0,22,230
1550676960,2019-02-20T15:36:00Z,CAL5897,"25.081881,121.230675",0,22,227
1550676968,2019-02-20T15:36:08Z,CAL5897,"25.081238,121.229858",0,22,227
1550676979,2019-02-20T15:36:19Z,CAL5897,"25.080496,121.228912",0,24,227
1550676990,2019-02-20T15:36:30Z,CAL5897,"25.079727,121.227928",0,26,227
1550677001,2019-02-20T15:36:41Z,CAL5897,"25.078972,121.226974",0,23,227
1550677010,2019-02-20T15:36:50Z,CAL5897,"25.078283,121.226112",0,22,227
1550677020,2019-02-20T15:37:00Z,CAL5897,"25.077621,121.225258",0,22,227
1550677031,2019-02-20T15:37:11Z,CAL5897,"25.076921,121.224373",0,23,227
1550677042,2019-02-20T15:37:22Z,CAL5897,"25.076235,121.223495",0,24,230
1550677051,2019-02-20T15:37:31Z,CAL5897,"25.075481,121.222534",0,24,227
1550677067,2019-02-20T15:37:47Z,CAL5897,"25.074303,121.221031",0,26,230
1550677083,2019-02-20T15:38:03Z,CAL5897,"25.073233,121.219673",0,21,230
1550677094,2019-02-20T15:38:14Z,CAL5897,"25.072628,121.21891",0,19,227
1550677104,2019-02-20T15:38:24Z,CAL5897,"25.072128,121.218277",0,34,227
1550677114,2019-02-20T15:38:34Z,CAL5897,"25.071785,121.217804",0,28,239
1550677124,2019-02-20T15:38:44Z,CAL5897,"25.071877,121.217247",0,30,303
1550677135,2019-02-20T15:38:55Z,CAL5897,"25.072361,121.216743",0,32,317
1550677145,2019-02-20T15:39:05Z,CAL5897,"25.072769,121.216377",0,23,329
1550677156,2019-02-20T15:39:16Z,CAL5897,"25.073139,121.216385",0,21,22
1550677167,2019-02-20T15:39:27Z,CAL5897,"25.073364,121.216599",0,14,5
1550677187,2019-02-20T15:39:47Z,CAL5897,"25.073582,121.216873",0,19,50
1550677193,2019-02-20T15:39:53Z,CAL5897,"25.074406,121.217918",0,52,50
1550677204,2019-02-20T15:40:04Z,CAL5897,"25.076609,121.220711",0,90,50
1550677218,2019-02-20T15:40:18Z,CAL5897,"25.082602,121.228325",0,145,47
1550677230,2019-02-20T15:40:30Z,CAL5897,"25.087326,121.234383",200,147,49
1550677240,2019-02-20T15:40:40Z,CAL5897,"25.091795,121.24025",525,146,50
1550677249,2019-02-20T15:40:49Z,CAL5897,"25.09639,121.246086",825,150,49
1550677260,2019-02-20T15:41:00Z,CAL5897,"25.100739,121.251625",1100,153,48
1550677269,2019-02-20T15:41:09Z,CAL5897,"25.10582,121.258087",1300,169,49
1550677280,2019-02-20T15:41:20Z,CAL5897,"25.112183,121.266121",1550,186,49
1550677288,2019-02-20T15:41:28Z,CAL5897,"25.116795,121.272011",1725,197,49
1550677305,2019-02-20T15:41:45Z,CAL5897,"25.128113,121.286316",2100,226,49
1550677315,2019-02-20T15:41:55Z,CAL5897,"25.1353,121.295265",2300,243,47
1550677324,2019-02-20T15:42:04Z,CAL5897,"25.142944,121.302284",2550,255,36
1550677332,2019-02-20T15:42:12Z,CAL5897,"25.151459,121.306862",2850,259,26
1550677342,2019-02-20T15:42:22Z,CAL5897,"25.164139,121.308846",3325,265,1
1550677363,2019-02-20T15:42:43Z,CAL5897,"25.188171,121.300255",4400,268,332
1550677400,2019-02-20T15:43:20Z,CAL5897,"25.234543,121.286674",6275,287,353
1550677410,2019-02-20T15:43:30Z,CAL5897,"25.247955,121.2854",6575,290,355
1550677421,2019-02-20T15:43:41Z,CAL5897,"25.263107,121.284554",7125,292,357
1550677440,2019-02-20T15:44:00Z,CAL5897,"25.289131,121.283569",8300,293,357
1550677460,2019-02-20T15:44:20Z,CAL5897,"25.314222,121.282845",9425,295,358
1550677472,2019-02-20T15:44:32Z,CAL5897,"25.333145,121.282448",10225,296,358
1550677484,2019-02-20T15:44:44Z,CAL5897,"25.350161,121.28212",10650,309,359
1550677512,2019-02-20T15:45:12Z,CAL5897,"25.392014,121.291145",11400,358,27
1550677518,2019-02-20T15:45:18Z,CAL5897,"25.401043,121.297821",11600,369,36
1550677525,2019-02-20T15:45:25Z,CAL5897,"25.409655,121.30632",11775,381,43
1550677531,2019-02-20T15:45:31Z,CAL5897,"25.417242,121.314819",11925,390,46
1550677537,2019-02-20T15:45:37Z,CAL5897,"25.424923,121.324043",12100,398,47
1550677544,2019-02-20T15:45:44Z,CAL5897,"25.43228,121.333473",12300,405,49
1550677550,2019-02-20T15:45:50Z,CAL5897,"25.439804,121.343483",12575,410,50
1550677582,2019-02-20T15:46:22Z,CAL5897,"25.478027,121.395874",14275,426,50
1550677612,2019-02-20T15:46:52Z,CAL5897,"25.518082,121.449074",16000,445,49
1550677644,2019-02-20T15:47:24Z,CAL5897,"25.559143,121.502075",17625,458,49
1550677676,2019-02-20T15:47:56Z,CAL5897,"25.607874,121.563927",19375,477,48
1550677737,2019-02-20T15:48:57Z,CAL5897,"25.698486,121.679176",22400,505,49
1550677783,2019-02-20T15:49:43Z,CAL5897,"25.767921,121.768105",24475,521,49
1550677877,2019-02-20T15:51:17Z,CAL5897,"25.943096,121.929016",28925,515,36
