Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551107776,2019-02-25T15:16:16Z,CAL5897,"25.093746,121.247581",0,0,234
1551107917,2019-02-25T15:18:37Z,CAL5897,"25.093727,121.247589",0,0,159
1551107958,2019-02-25T15:19:18Z,CAL5897,"25.093723,121.247581",0,0,234
1551108198,2019-02-25T15:23:18Z,CAL5897,"25.093647,121.247551",0,2,5
1551108241,2019-02-25T15:24:01Z,CAL5897,"25.094007,121.24733",0,11,5
1551108263,2019-02-25T15:24:23Z,CAL5897,"25.094217,121.24707",0,11,5
1551108424,2019-02-25T15:27:04Z,CAL5897,"25.094662,121.24691",0,0,342
1551108589,2019-02-25T15:29:49Z,CAL5897,"25.094658,121.246902",0,0,244
1551108615,2019-02-25T15:30:15Z,CAL5897,"25.094461,121.246658",0,16,5
1551108637,2019-02-25T15:30:37Z,CAL5897,"25.093937,121.245995",0,25,227
1551108653,2019-02-25T15:30:53Z,CAL5897,"25.093542,121.245491",0,20,227
1551108677,2019-02-25T15:31:17Z,CAL5897,"25.093094,121.244774",0,15,5
1551108693,2019-02-25T15:31:33Z,CAL5897,"25.093254,121.244408",0,16,5
1551108944,2019-02-25T15:35:44Z,CAL5897,"25.093529,121.244141",0,18,5
1551108954,2019-02-25T15:35:54Z,CAL5897,"25.093843,121.243835",0,25,317
1551108965,2019-02-25T15:36:05Z,CAL5897,"25.09424,121.243469",0,25,320
1551108986,2019-02-25T15:36:26Z,CAL5897,"25.095089,121.242653",0,16,317
1551108996,2019-02-25T15:36:36Z,CAL5897,"25.095695,121.242088",0,17,317
1551109060,2019-02-25T15:37:40Z,CAL5897,"25.095074,121.239075",0,31,216
1551109070,2019-02-25T15:37:50Z,CAL5897,"25.094566,121.238792",0,15,202
1551109088,2019-02-25T15:38:08Z,CAL5897,"25.093529,121.238388",0,28,199
1551109100,2019-02-25T15:38:20Z,CAL5897,"25.092957,121.238174",0,28,199
1551109109,2019-02-25T15:38:29Z,CAL5897,"25.092447,121.237976",0,29,199
1551109119,2019-02-25T15:38:39Z,CAL5897,"25.092041,121.237808",0,20,199
1551109129,2019-02-25T15:38:49Z,CAL5897,"25.091812,121.237732",0,11,5
1551109141,2019-02-25T15:39:01Z,CAL5897,"25.092213,121.237885",0,0,219
1551109185,2019-02-25T15:39:45Z,CAL5897,"25.091789,121.237717",0,0,180
1551109400,2019-02-25T15:43:20Z,CAL5897,"25.091528,121.237617",0,17,5
1551109410,2019-02-25T15:43:30Z,CAL5897,"25.091183,121.237488",0,23,199
1551109421,2019-02-25T15:43:41Z,CAL5897,"25.090759,121.23732",0,24,199
1551109430,2019-02-25T15:43:50Z,CAL5897,"25.090364,121.23716",0,24,199
1551109440,2019-02-25T15:44:00Z,CAL5897,"25.089933,121.237061",0,24,182
1551109446,2019-02-25T15:44:06Z,CAL5897,"25.089729,121.237091",0,23,163
1551109455,2019-02-25T15:44:15Z,CAL5897,"25.089457,121.237396",0,24,115
1551109461,2019-02-25T15:44:21Z,CAL5897,"25.089422,121.237679",0,27,92
1551109471,2019-02-25T15:44:31Z,CAL5897,"25.089491,121.238274",0,29,78
1551109477,2019-02-25T15:44:37Z,CAL5897,"25.089546,121.238579",0,29,78
1551109486,2019-02-25T15:44:46Z,CAL5897,"25.089643,121.23909",0,24,78
1551109497,2019-02-25T15:44:57Z,CAL5897,"25.089596,121.239563",0,21,115
1551109507,2019-02-25T15:45:07Z,CAL5897,"25.089352,121.239777",0,18,5
1551109517,2019-02-25T15:45:17Z,CAL5897,"25.089096,121.239754",0,18,5
1551109527,2019-02-25T15:45:27Z,CAL5897,"25.088825,121.239494",0,22,227
1551109537,2019-02-25T15:45:37Z,CAL5897,"25.088594,121.239197",0,20,227
1551109547,2019-02-25T15:45:47Z,CAL5897,"25.08839,121.238922",0,16,5
1551109604,2019-02-25T15:46:44Z,CAL5897,"25.08815,121.238617",0,16,5
1551109614,2019-02-25T15:46:54Z,CAL5897,"25.087921,121.238327",0,22,227
1551109625,2019-02-25T15:47:05Z,CAL5897,"25.087589,121.238113",0,21,194
1551109635,2019-02-25T15:47:15Z,CAL5897,"25.087257,121.238235",0,20,146
1551109645,2019-02-25T15:47:25Z,CAL5897,"25.087017,121.238426",0,17,5
1551109654,2019-02-25T15:47:34Z,CAL5897,"25.086815,121.238434",0,15,5
1551109665,2019-02-25T15:47:45Z,CAL5897,"25.086571,121.238235",0,21,222
1551109676,2019-02-25T15:47:56Z,CAL5897,"25.086285,121.237892",0,25,227
1551109686,2019-02-25T15:48:06Z,CAL5897,"25.085941,121.237473",0,26,227
1551109696,2019-02-25T15:48:16Z,CAL5897,"25.085655,121.237091",0,24,230
1551109706,2019-02-25T15:48:26Z,CAL5897,"25.085358,121.236725",0,26,227
1551109716,2019-02-25T15:48:36Z,CAL5897,"25.085011,121.236298",0,29,227
1551109727,2019-02-25T15:48:47Z,CAL5897,"25.084614,121.235794",0,28,227
1551109736,2019-02-25T15:48:56Z,CAL5897,"25.084339,121.235443",0,22,230
1551109746,2019-02-25T15:49:06Z,CAL5897,"25.084351,121.235046",0,23,298
1551109758,2019-02-25T15:49:18Z,CAL5897,"25.084627,121.23465",0,24,303
1551109767,2019-02-25T15:49:27Z,CAL5897,"25.084625,121.234184",0,24,247
1551109777,2019-02-25T15:49:37Z,CAL5897,"25.084324,121.233765",0,27,230
1551109783,2019-02-25T15:49:43Z,CAL5897,"25.084139,121.233521",0,29,227
1551109793,2019-02-25T15:49:53Z,CAL5897,"25.083778,121.233078",0,31,227
1551109804,2019-02-25T15:50:04Z,CAL5897,"25.083347,121.232521",0,33,230
1551109814,2019-02-25T15:50:14Z,CAL5897,"25.082897,121.231956",0,15,227
1551109824,2019-02-25T15:50:24Z,CAL5897,"25.082415,121.231346",0,17,227
1551109838,2019-02-25T15:50:38Z,CAL5897,"25.081615,121.230316",0,19,230
1551109849,2019-02-25T15:50:49Z,CAL5897,"25.081007,121.229546",0,20,227
1551109859,2019-02-25T15:50:59Z,CAL5897,"25.080343,121.228699",0,22,230
1551109869,2019-02-25T15:51:09Z,CAL5897,"25.079681,121.227844",0,21,230
1551109879,2019-02-25T15:51:19Z,CAL5897,"25.079086,121.227112",0,20,230
1551109889,2019-02-25T15:51:29Z,CAL5897,"25.078529,121.226395",0,15,227
1551109905,2019-02-25T15:51:45Z,CAL5897,"25.077877,121.225571",0,15,230
1551109921,2019-02-25T15:52:01Z,CAL5897,"25.07712,121.224609",0,18,227
1551109931,2019-02-25T15:52:11Z,CAL5897,"25.076534,121.223854",0,20,230
1551109941,2019-02-25T15:52:21Z,CAL5897,"25.075886,121.223053",0,22,227
1551109955,2019-02-25T15:52:35Z,CAL5897,"25.075012,121.221924",0,18,230
1551109966,2019-02-25T15:52:46Z,CAL5897,"25.074554,121.221352",0,31,230
1551109977,2019-02-25T15:52:57Z,CAL5897,"25.074175,121.220863",0,30,227
1551109987,2019-02-25T15:53:07Z,CAL5897,"25.073765,121.220345",0,34,227
1551109997,2019-02-25T15:53:17Z,CAL5897,"25.073318,121.219765",0,17,230
1551110012,2019-02-25T15:53:32Z,CAL5897,"25.072733,121.21904",0,24,227
1551110022,2019-02-25T15:53:42Z,CAL5897,"25.07246,121.218697",0,21,227
1551110246,2019-02-25T15:57:26Z,CAL5897,"25.072268,121.218445",0,11,5
1551110266,2019-02-25T15:57:46Z,CAL5897,"25.071945,121.218048",0,18,5
1551110590,2019-02-25T16:03:10Z,CAL5897,"25.087978,121.235374",250,146,50
1551110600,2019-02-25T16:03:20Z,CAL5897,"25.093094,121.242218",650,145,50
1551110607,2019-02-25T16:03:27Z,CAL5897,"25.095245,121.245064",775,147,50
