Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550524939,2019-02-18T21:22:19Z,CAL5898,"31.19989,121.769928",3100,152,339
1550524949,2019-02-18T21:22:29Z,CAL5898,"31.206852,121.766861",3350,163,339
1550524963,2019-02-18T21:22:43Z,CAL5898,"31.218338,121.761902",3675,187,340
1550524972,2019-02-18T21:22:52Z,CAL5898,"31.225433,121.759048",3850,199,340
1550524984,2019-02-18T21:23:04Z,CAL5898,"31.237064,121.75444",4125,216,341
1550524993,2019-02-18T21:23:13Z,CAL5898,"31.245024,121.751205",4275,231,340
1550525003,2019-02-18T21:23:23Z,CAL5898,"31.257339,121.746399",4575,248,341
1550525014,2019-02-18T21:23:34Z,CAL5898,"31.269558,121.741592",5025,257,340
1550525024,2019-02-18T21:23:44Z,CAL5898,"31.281101,121.73703",5575,261,341
1550525040,2019-02-18T21:24:00Z,CAL5898,"31.298746,121.73011",6400,267,341
1550525055,2019-02-18T21:24:15Z,CAL5898,"31.317598,121.72522",7175,285,357
1550525076,2019-02-18T21:24:36Z,CAL5898,"31.34491,121.734871",8275,312,30
1550525091,2019-02-18T21:24:51Z,CAL5898,"31.360939,121.753181",9075,325,54
1550525102,2019-02-18T21:25:02Z,CAL5898,"31.368109,121.769768",9575,330,67
1550525111,2019-02-18T21:25:11Z,CAL5898,"31.371181,121.785538",10000,332,80
1550525122,2019-02-18T21:25:22Z,CAL5898,"31.371735,121.80542",10400,338,90
1550525132,2019-02-18T21:25:32Z,CAL5898,"31.371693,121.825142",10675,353,89
1550525148,2019-02-18T21:25:48Z,CAL5898,"31.372763,121.85524",11075,372,86
1550525167,2019-02-18T21:26:07Z,CAL5898,"31.374998,121.897049",11625,397,92
1550525178,2019-02-18T21:26:18Z,CAL5898,"31.371414,121.918472",11900,402,106
1550525187,2019-02-18T21:26:27Z,CAL5898,"31.364058,121.938187",12325,402,115
1550525198,2019-02-18T21:26:38Z,CAL5898,"31.35298,121.956535",12875,398,129
1550525205,2019-02-18T21:26:45Z,CAL5898,"31.344406,121.966553",13225,395,136
1550525215,2019-02-18T21:26:55Z,CAL5898,"31.331331,121.977463",13750,388,147
1550525222,2019-02-18T21:27:02Z,CAL5898,"31.317133,121.9851",14325,382,157
