Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551127284,2019-02-25T20:41:24Z,CAL5898,"31.200851,121.770363",2050,212,341
1551127291,2019-02-25T20:41:31Z,CAL5898,"31.207596,121.767624",2250,220,340
1551127305,2019-02-25T20:41:45Z,CAL5898,"31.221189,121.762192",2625,241,341
1551127329,2019-02-25T20:42:09Z,CAL5898,"31.248888,121.751091",3975,254,340
1551127340,2019-02-25T20:42:20Z,CAL5898,"31.260944,121.746201",4625,260,340
1551127350,2019-02-25T20:42:30Z,CAL5898,"31.271988,121.741653",5150,264,340
1551127365,2019-02-25T20:42:45Z,CAL5898,"31.289993,121.734612",6150,264,341
1551127379,2019-02-25T20:42:59Z,CAL5898,"31.306753,121.727966",6900,272,343
1551127390,2019-02-25T20:43:10Z,CAL5898,"31.319824,121.726196",7425,275,358
1551127411,2019-02-25T20:43:31Z,CAL5898,"31.345158,121.738403",8525,281,40
1551127420,2019-02-25T20:43:40Z,CAL5898,"31.352417,121.747849",8925,284,52
1551127437,2019-02-25T20:43:57Z,CAL5898,"31.360846,121.772293",9775,288,68
1551127446,2019-02-25T20:44:06Z,CAL5898,"31.363127,121.787567",10225,295,81
1551127452,2019-02-25T20:44:12Z,CAL5898,"31.364012,121.796303",10375,302,83
1551127462,2019-02-25T20:44:22Z,CAL5898,"31.365372,121.813606",10650,316,84
1551127475,2019-02-25T20:44:35Z,CAL5898,"31.367249,121.836388",10950,334,83
1551127488,2019-02-25T20:44:48Z,CAL5898,"31.369675,121.859436",11200,354,82
1551127501,2019-02-25T20:45:01Z,CAL5898,"31.37295,121.885727",11700,367,81
1551127507,2019-02-25T20:45:07Z,CAL5898,"31.373978,121.899666",12075,370,85
1551127532,2019-02-25T20:45:32Z,CAL5898,"31.362579,121.946678",13475,379,119
1551127548,2019-02-25T20:45:48Z,CAL5898,"31.344543,121.97097",14350,385,140
1551127558,2019-02-25T20:45:58Z,CAL5898,"31.329437,121.982117",14950,386,148
1551127569,2019-02-25T20:46:09Z,CAL5898,"31.310709,121.989937",15600,392,163
1551127579,2019-02-25T20:46:19Z,CAL5898,"31.292927,121.994881",16225,395,167
1551127589,2019-02-25T20:46:29Z,CAL5898,"31.273979,121.998779",16825,401,170
1551127614,2019-02-25T20:46:54Z,CAL5898,"31.227102,122.012344",18075,413,157
1551127620,2019-02-25T20:47:00Z,CAL5898,"31.21843,122.017174",18250,415,153
1551127631,2019-02-25T20:47:11Z,CAL5898,"31.201584,122.029404",18500,421,145
1551127639,2019-02-25T20:47:19Z,CAL5898,"31.187626,122.042892",18650,427,138
1551127645,2019-02-25T20:47:25Z,CAL5898,"31.178604,122.052345",18700,429,138
1551127652,2019-02-25T20:47:32Z,CAL5898,"31.168818,122.062607",18725,430,137
1551127662,2019-02-25T20:47:42Z,CAL5898,"31.15313,122.079529",18700,430,137
1551127686,2019-02-25T20:48:06Z,CAL5898,"31.120193,122.116432",18675,429,135
1551127755,2019-02-25T20:49:15Z,CAL5898,"31.022923,122.229546",18675,434,126
1551127764,2019-02-25T20:49:24Z,CAL5898,"31.014359,122.246025",18675,436,119
1551127909,2019-02-25T20:51:49Z,CAL5898,"30.951279,122.59127",23225,473,93
1551127972,2019-02-25T20:52:52Z,CAL5898,"30.949814,122.749977",26225,490,89
1551128033,2019-02-25T20:53:53Z,CAL5898,"30.950272,122.918213",28925,504,89
1551128056,2019-02-25T20:54:16Z,CAL5898,"30.94574,122.983002",28975,513,99
1551128082,2019-02-25T20:54:42Z,CAL5898,"30.93075,123.04808",28975,512,108
1551128144,2019-02-25T20:55:44Z,CAL5898,"30.877213,123.207687",28975,501,112
1551128165,2019-02-25T20:56:05Z,CAL5898,"30.861374,123.253136",28975,500,112
1551128256,2019-02-25T20:57:36Z,CAL5898,"30.78183,123.48391",29250,501,111
1551128290,2019-02-25T20:58:10Z,CAL5898,"30.750128,123.565651",30075,514,121
1551128296,2019-02-25T20:58:16Z,CAL5898,"30.742584,123.577019",30200,513,128
1551128307,2019-02-25T20:58:27Z,CAL5898,"30.721619,123.600662",30550,508,139
1551128313,2019-02-25T20:58:33Z,CAL5898,"30.708481,123.611595",30750,504,145
1551128320,2019-02-25T20:58:40Z,CAL5898,"30.694731,123.620529",30925,499,152
1551128327,2019-02-25T20:58:47Z,CAL5898,"30.681473,123.627106",31125,495,156
1551128338,2019-02-25T20:58:58Z,CAL5898,"30.656977,123.634918",31450,482,168
1551128347,2019-02-25T20:59:07Z,CAL5898,"30.637657,123.637665",31625,476,174
1551128353,2019-02-25T20:59:13Z,CAL5898,"30.624483,123.638046",31775,473,179
1551128361,2019-02-25T20:59:21Z,CAL5898,"30.60466,123.638199",31950,476,179
1551128428,2019-02-25T21:00:28Z,CAL5898,"30.458176,123.63707",31975,477,180
1551128491,2019-02-25T21:01:31Z,CAL5898,"30.318169,123.636345",31975,479,180
1551128556,2019-02-25T21:02:36Z,CAL5898,"30.178436,123.636581",31975,481,179
1551128598,2019-02-25T21:03:18Z,CAL5898,"30.08075,123.636848",31975,482,179
1551130007,2019-02-25T21:26:47Z,CAL5898,"27.241104,122.97728",31975,420,205
1551130064,2019-02-25T21:27:44Z,CAL5898,"27.138107,122.923592",32000,420,205
1551130130,2019-02-25T21:28:50Z,CAL5898,"27.020502,122.862274",31975,418,205
1551130193,2019-02-25T21:29:53Z,CAL5898,"26.913574,122.806526",31975,419,204
1551130255,2019-02-25T21:30:55Z,CAL5898,"26.801239,122.748169",31975,421,205
1551130316,2019-02-25T21:31:56Z,CAL5898,"26.695953,122.692459",31975,418,207
1551130331,2019-02-25T21:32:11Z,CAL5898,"26.667892,122.674065",31975,417,211
1551130418,2019-02-25T21:33:38Z,CAL5898,"26.529785,122.565704",32000,419,215
1551130486,2019-02-25T21:34:46Z,CAL5898,"26.421141,122.480125",31975,419,215
1551130552,2019-02-25T21:35:52Z,CAL5898,"26.318447,122.399529",31975,419,215
1551130614,2019-02-25T21:36:54Z,CAL5898,"26.218735,122.321411",31975,418,215
1551130677,2019-02-25T21:37:57Z,CAL5898,"26.123795,122.247467",30075,401,215
1551130738,2019-02-25T21:38:58Z,CAL5898,"26.028893,122.174995",27600,396,214
1551130800,2019-02-25T21:40:00Z,CAL5898,"25.935787,122.103531",25175,392,214
1551130864,2019-02-25T21:41:04Z,CAL5898,"25.843002,122.032608",22825,386,214
1551130925,2019-02-25T21:42:05Z,CAL5898,"25.752182,121.963554",20575,376,214
1551130987,2019-02-25T21:43:07Z,CAL5898,"25.664886,121.896667",18900,365,215
1551131003,2019-02-25T21:43:23Z,CAL5898,"25.645767,121.877296",18525,353,227
1551131012,2019-02-25T21:43:32Z,CAL5898,"25.635572,121.863205",18300,345,233
1551131023,2019-02-25T21:43:43Z,CAL5898,"25.626589,121.848015",18075,339,237
1551131033,2019-02-25T21:43:53Z,CAL5898,"25.618488,121.832832",17850,337,239
1551131069,2019-02-25T21:44:29Z,CAL5898,"25.591673,121.779823",17050,326,241
1551131100,2019-02-25T21:45:00Z,CAL5898,"25.569214,121.735023",16375,321,241
1551131132,2019-02-25T21:45:32Z,CAL5898,"25.546371,121.690468",15700,319,240
1551131162,2019-02-25T21:46:02Z,CAL5898,"25.523666,121.646271",15025,317,240
