Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550157041,2019-02-14T15:10:41Z,CAL5927,"25.093298,121.246971",0,0,180
1550160064,2019-02-14T16:01:04Z,CAL5927,"25.079203,121.228912",0,18,227
1550160989,2019-02-14T16:16:29Z,CAL5927,"25.088608,121.23642",425,144,50
1550160995,2019-02-14T16:16:35Z,CAL5927,"25.091217,121.239929",600,148,50
1550161003,2019-02-14T16:16:43Z,CAL5927,"25.095333,121.245224",950,148,48
1550161010,2019-02-14T16:16:50Z,CAL5927,"25.098083,121.248627",1175,150,47
1550161016,2019-02-14T16:16:56Z,CAL5927,"25.100967,121.252083",1400,154,47
1550161023,2019-02-14T16:17:03Z,CAL5927,"25.104271,121.256104",1575,162,47
1550161029,2019-02-14T16:17:09Z,CAL5927,"25.107513,121.260017",1650,176,47
1550161040,2019-02-14T16:17:20Z,CAL5927,"25.114141,121.268333",1950,195,49
1550161047,2019-02-14T16:17:27Z,CAL5927,"25.117865,121.273048",2175,198,49
1550161053,2019-02-14T16:17:33Z,CAL5927,"25.121775,121.277969",2400,201,48
1550161067,2019-02-14T16:17:47Z,CAL5927,"25.13118,121.289879",3150,202,49
1550161074,2019-02-14T16:17:54Z,CAL5927,"25.134888,121.294762",3350,208,50
1550161085,2019-02-14T16:18:05Z,CAL5927,"25.143702,121.303986",3725,223,39
1550161094,2019-02-14T16:18:14Z,CAL5927,"25.152361,121.308701",4025,227,20
1550161100,2019-02-14T16:18:20Z,CAL5927,"25.158646,121.31012",4175,227,9
1550161125,2019-02-14T16:18:45Z,CAL5927,"25.181643,121.301964",4650,223,320
1550161131,2019-02-14T16:18:51Z,CAL5927,"25.186018,121.296677",4800,220,307
1550161137,2019-02-14T16:18:57Z,CAL5927,"25.18895,121.291397",4900,219,299
1550161146,2019-02-14T16:19:06Z,CAL5927,"25.192749,121.28199",5075,216,291
1550161156,2019-02-14T16:19:16Z,CAL5927,"25.196398,121.27243",5250,220,294
1550161171,2019-02-14T16:19:31Z,CAL5927,"25.204498,121.256775",5550,242,301
1550161178,2019-02-14T16:19:38Z,CAL5927,"25.20845,121.250153",5650,252,303
1550161184,2019-02-14T16:19:44Z,CAL5927,"25.214355,121.240898",5850,264,305
1550161202,2019-02-14T16:20:02Z,CAL5927,"25.227814,121.221008",6250,277,307
1550161214,2019-02-14T16:20:14Z,CAL5927,"25.237793,121.206566",6450,276,307
1550161229,2019-02-14T16:20:29Z,CAL5927,"25.24704,121.193184",6650,276,307
1550161240,2019-02-14T16:20:40Z,CAL5927,"25.256544,121.179565",7050,276,307
1550161251,2019-02-14T16:20:51Z,CAL5927,"25.265808,121.166176",7750,277,307
1550161265,2019-02-14T16:21:05Z,CAL5927,"25.274559,121.151993",8450,277,299
1550161271,2019-02-14T16:21:11Z,CAL5927,"25.277353,121.144585",8775,276,289
1550161278,2019-02-14T16:21:18Z,CAL5927,"25.279402,121.131004",9300,276,272
1550161298,2019-02-14T16:21:38Z,CAL5927,"25.274094,121.107063",10275,276,244
1550161307,2019-02-14T16:21:47Z,CAL5927,"25.267319,121.096138",10600,286,232
1550161319,2019-02-14T16:21:59Z,CAL5927,"25.256638,121.082191",11000,302,229
1550161330,2019-02-14T16:22:10Z,CAL5927,"25.244999,121.06752",11375,319,228
1550161342,2019-02-14T16:22:22Z,CAL5927,"25.232483,121.052094",11775,335,228
1550161355,2019-02-14T16:22:35Z,CAL5927,"25.220001,121.036842",12125,351,227
1550161386,2019-02-14T16:23:06Z,CAL5927,"25.180756,120.992683",14100,375,224
1550161420,2019-02-14T16:23:40Z,CAL5927,"25.138321,120.947266",16325,388,224
1550161453,2019-02-14T16:24:13Z,CAL5927,"25.094915,120.900551",18425,400,224
1550161515,2019-02-14T16:25:15Z,CAL5927,"25.015078,120.814056",22875,395,224
1550161577,2019-02-14T16:26:17Z,CAL5927,"24.932144,120.72464",26575,403,224
1550161637,2019-02-14T16:27:17Z,CAL5927,"24.848648,120.635017",28000,427,224
1550161701,2019-02-14T16:28:21Z,CAL5927,"24.757507,120.537872",28000,434,224
1550161767,2019-02-14T16:29:27Z,CAL5927,"24.648972,120.446678",28000,444,214
1550161833,2019-02-14T16:30:33Z,CAL5927,"24.540897,120.365173",28000,445,214
1550161895,2019-02-14T16:31:35Z,CAL5927,"24.432383,120.283241",27975,445,215
1550161958,2019-02-14T16:32:38Z,CAL5927,"24.326244,120.200325",28000,446,215
1550162018,2019-02-14T16:33:38Z,CAL5927,"24.224388,120.12114",27975,448,215
1550162082,2019-02-14T16:34:42Z,CAL5927,"24.117085,120.038017",28000,449,215
1550162145,2019-02-14T16:35:45Z,CAL5927,"24.008432,119.954277",28000,451,215
1550162208,2019-02-14T16:36:48Z,CAL5927,"23.904007,119.873962",28000,451,215
1550162269,2019-02-14T16:37:49Z,CAL5927,"23.796249,119.791206",28000,451,215
1550162332,2019-02-14T16:38:52Z,CAL5927,"23.691788,119.710999",27975,453,215
1550162387,2019-02-14T16:39:47Z,CAL5927,"23.596865,119.631477",27975,447,225
1550162395,2019-02-14T16:39:55Z,CAL5927,"23.584946,119.616798",27975,446,229
1550162403,2019-02-14T16:40:03Z,CAL5927,"23.576473,119.60463",27975,445,233
1550162411,2019-02-14T16:40:11Z,CAL5927,"23.565948,119.588013",28000,444,236
1550162418,2019-02-14T16:40:18Z,CAL5927,"23.559494,119.577385",28000,444,236
1550162481,2019-02-14T16:41:21Z,CAL5927,"23.490189,119.456093",28000,443,238
1550162514,2019-02-14T16:41:54Z,CAL5927,"23.454208,119.39312",28000,444,238
1550162604,2019-02-14T16:43:24Z,CAL5927,"23.356514,119.224907",28000,445,237
1550162668,2019-02-14T16:44:28Z,CAL5927,"23.285849,119.104462",28000,445,237
1550162730,2019-02-14T16:45:30Z,CAL5927,"23.215834,118.985138",28000,445,237
1550162793,2019-02-14T16:46:33Z,CAL5927,"23.146006,118.865967",28000,445,237
1550162857,2019-02-14T16:47:37Z,CAL5927,"23.075592,118.745728",28000,445,237
1550162919,2019-02-14T16:48:39Z,CAL5927,"23.008396,118.631897",28000,445,237
1550162982,2019-02-14T16:49:42Z,CAL5927,"22.937576,118.511971",28000,446,237
1550163042,2019-02-14T16:50:42Z,CAL5927,"22.870043,118.398796",28000,445,237
1550163049,2019-02-14T16:50:49Z,CAL5927,"22.861771,118.38488",28000,445,237
