Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550589303,2019-02-19T15:15:03Z,CAL5927,"25.092304,121.245789",0,0,5
1550589936,2019-02-19T15:25:36Z,CAL5927,"25.092533,121.245575",0,12,5
1550589959,2019-02-19T15:25:59Z,CAL5927,"25.092808,121.245323",0,12,5
1550589986,2019-02-19T15:26:26Z,CAL5927,"25.093117,121.245171",0,10,5
1550590006,2019-02-19T15:26:46Z,CAL5927,"25.093346,121.245247",0,10,5
1550590137,2019-02-19T15:28:57Z,CAL5927,"25.093449,121.245361",0,0,180
1550590212,2019-02-19T15:30:12Z,CAL5927,"25.093243,121.245102",0,15,5
1550590223,2019-02-19T15:30:23Z,CAL5927,"25.09306,121.244888",0,18,5
1550590232,2019-02-19T15:30:32Z,CAL5927,"25.092831,121.244583",0,22,227
1550590242,2019-02-19T15:30:42Z,CAL5927,"25.092541,121.244209",0,25,230
1550590252,2019-02-19T15:30:52Z,CAL5927,"25.092201,121.243797",0,28,230
1550590264,2019-02-19T15:31:04Z,CAL5927,"25.09182,121.243294",0,31,227
1550590273,2019-02-19T15:31:13Z,CAL5927,"25.0914,121.242767",0,34,227
1550590283,2019-02-19T15:31:23Z,CAL5927,"25.090969,121.24231",0,29,213
1550590289,2019-02-19T15:31:29Z,CAL5927,"25.090679,121.24218",0,32,196
1550590295,2019-02-19T15:31:35Z,CAL5927,"25.090347,121.242081",0,34,196
1550590304,2019-02-19T15:31:44Z,CAL5927,"25.089701,121.241776",0,15,216
1550590316,2019-02-19T15:31:56Z,CAL5927,"25.08919,121.24118",0,17,227
1550590326,2019-02-19T15:32:06Z,CAL5927,"25.088688,121.24054",0,16,227
1550590336,2019-02-19T15:32:16Z,CAL5927,"25.088259,121.239922",0,15,241
1550590346,2019-02-19T15:32:26Z,CAL5927,"25.088165,121.23938",0,24,264
1550590355,2019-02-19T15:32:35Z,CAL5927,"25.088139,121.23909",0,11,5
1550590440,2019-02-19T15:34:00Z,CAL5927,"25.088095,121.238747",0,14,5
1550590459,2019-02-19T15:34:19Z,CAL5927,"25.087875,121.238304",0,18,5
