Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550676970,2019-02-20T15:36:10Z,CAL5927,"25.090988,121.244186",0,0,180
1550677067,2019-02-20T15:37:47Z,CAL5927,"25.091194,121.243996",0,13,5
1550677089,2019-02-20T15:38:09Z,CAL5927,"25.091503,121.243706",0,14,5
1550677114,2019-02-20T15:38:34Z,CAL5927,"25.091881,121.243553",0,11,5
1550677226,2019-02-20T15:40:26Z,CAL5927,"25.092087,121.24369",0,0,89
1550677431,2019-02-20T15:43:51Z,CAL5927,"25.091652,121.243118",0,20,230
1550677442,2019-02-20T15:44:02Z,CAL5927,"25.091389,121.24276",0,24,230
1550677453,2019-02-20T15:44:13Z,CAL5927,"25.091063,121.242393",0,24,219
1550677463,2019-02-20T15:44:23Z,CAL5927,"25.090599,121.242165",0,29,199
1550677474,2019-02-20T15:44:34Z,CAL5927,"25.09005,121.241974",0,27,196
1550677484,2019-02-20T15:44:44Z,CAL5927,"25.089626,121.241707",0,27,222
1550677495,2019-02-20T15:44:55Z,CAL5927,"25.089237,121.241241",0,31,227
1550677509,2019-02-20T15:45:09Z,CAL5927,"25.088665,121.240486",0,30,227
1550677520,2019-02-20T15:45:20Z,CAL5927,"25.088345,121.240105",0,24,230
1550677529,2019-02-20T15:45:29Z,CAL5927,"25.088173,121.239601",0,27,261
1550677535,2019-02-20T15:45:35Z,CAL5927,"25.088139,121.239304",0,30,264
1550677546,2019-02-20T15:45:46Z,CAL5927,"25.08806,121.238701",0,27,253
1550677556,2019-02-20T15:45:56Z,CAL5927,"25.087816,121.238228",0,29,233
1550677565,2019-02-20T15:46:05Z,CAL5927,"25.087406,121.237694",0,32,230
1550677571,2019-02-20T15:46:11Z,CAL5927,"25.087177,121.237389",0,33,230
1550677577,2019-02-20T15:46:17Z,CAL5927,"25.086977,121.237137",0,34,230
1550677596,2019-02-20T15:46:36Z,CAL5927,"25.086023,121.235931",0,17,227
1550677602,2019-02-20T15:46:42Z,CAL5927,"25.085697,121.235519",0,17,227
1550677618,2019-02-20T15:46:58Z,CAL5927,"25.084877,121.234474",0,19,230
1550677628,2019-02-20T15:47:08Z,CAL5927,"25.084305,121.233749",0,20,227
1550677643,2019-02-20T15:47:23Z,CAL5927,"25.083382,121.232567",0,21,230
1550677653,2019-02-20T15:47:33Z,CAL5927,"25.082741,121.23175",0,21,227
1550677665,2019-02-20T15:47:45Z,CAL5927,"25.082062,121.230873",0,22,227
1550677674,2019-02-20T15:47:54Z,CAL5927,"25.081352,121.229988",0,23,227
1550677685,2019-02-20T15:48:05Z,CAL5927,"25.080654,121.229111",0,25,227
1550677694,2019-02-20T15:48:14Z,CAL5927,"25.079899,121.228142",0,23,230
1550677704,2019-02-20T15:48:24Z,CAL5927,"25.079327,121.227402",0,17,227
1550677714,2019-02-20T15:48:34Z,CAL5927,"25.07888,121.226845",0,15,230
1550677725,2019-02-20T15:48:45Z,CAL5927,"25.078377,121.226212",0,17,227
1550677735,2019-02-20T15:48:55Z,CAL5927,"25.077839,121.225525",0,18,230
1550677751,2019-02-20T15:49:11Z,CAL5927,"25.076981,121.224442",0,17,230
1550677761,2019-02-20T15:49:21Z,CAL5927,"25.076488,121.223808",0,18,227
1550677771,2019-02-20T15:49:31Z,CAL5927,"25.075911,121.223083",0,19,230
1550677781,2019-02-20T15:49:41Z,CAL5927,"25.075367,121.222382",0,18,230
1550677791,2019-02-20T15:49:51Z,CAL5927,"25.074816,121.22168",0,19,230
1550677802,2019-02-20T15:50:02Z,CAL5927,"25.0742,121.220901",0,21,227
1550677816,2019-02-20T15:50:16Z,CAL5927,"25.073296,121.219749",0,19,227
1550677828,2019-02-20T15:50:28Z,CAL5927,"25.072733,121.219025",0,17,227
1550677842,2019-02-20T15:50:42Z,CAL5927,"25.072094,121.218239",0,27,227
1550677853,2019-02-20T15:50:53Z,CAL5927,"25.071842,121.217918",0,19,5
1550677863,2019-02-20T15:51:03Z,CAL5927,"25.071728,121.217613",0,17,5
1550677873,2019-02-20T15:51:13Z,CAL5927,"25.071762,121.217407",0,13,5
1550677978,2019-02-20T15:52:58Z,CAL5927,"25.071871,121.217262",0,9,5
1550677997,2019-02-20T15:53:17Z,CAL5927,"25.072245,121.216858",0,24,317
1550678008,2019-02-20T15:53:28Z,CAL5927,"25.072628,121.216499",0,25,317
