Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551194616,2019-02-26T15:23:36Z,CAL5927,"25.091017,121.244156",0,0,5
1551194768,2019-02-26T15:26:08Z,CAL5927,"25.09124,121.243935",0,11,5
1551194789,2019-02-26T15:26:29Z,CAL5927,"25.091482,121.243706",0,12,5
1551194810,2019-02-26T15:26:50Z,CAL5927,"25.091679,121.2435",0,10,5
1551194830,2019-02-26T15:27:10Z,CAL5927,"25.091738,121.243279",0,10,5
1551194856,2019-02-26T15:27:36Z,CAL5927,"25.091633,121.243042",0,2,5
1551195061,2019-02-26T15:31:01Z,CAL5927,"25.091843,121.243355",0,19,5
1551195072,2019-02-26T15:31:12Z,CAL5927,"25.092098,121.243683",0,23,50
1551195082,2019-02-26T15:31:22Z,CAL5927,"25.092436,121.24411",0,28,50
1551195093,2019-02-26T15:31:33Z,CAL5927,"25.092854,121.244484",0,29,25
1551195103,2019-02-26T15:31:43Z,CAL5927,"25.093369,121.244301",0,32,320
1551195113,2019-02-26T15:31:53Z,CAL5927,"25.093914,121.243782",0,17,320
1551195123,2019-02-26T15:32:03Z,CAL5927,"25.094507,121.243225",0,17,320
1551195137,2019-02-26T15:32:17Z,CAL5927,"25.09552,121.242264",0,22,320
1551195144,2019-02-26T15:32:24Z,CAL5927,"25.095932,121.24189",0,17,320
1551195190,2019-02-26T15:33:10Z,CAL5927,"25.095566,121.239609",0,16,230
1551195206,2019-02-26T15:33:26Z,CAL5927,"25.094542,121.23877",0,19,199
1551195219,2019-02-26T15:33:39Z,CAL5927,"25.093542,121.238396",0,16,199
1551195234,2019-02-26T15:33:54Z,CAL5927,"25.092865,121.238136",0,19,5
1551195494,2019-02-26T15:38:14Z,CAL5927,"25.092659,121.238045",0,2,5
1551195515,2019-02-26T15:38:35Z,CAL5927,"25.092237,121.237885",0,22,199
1551195525,2019-02-26T15:38:45Z,CAL5927,"25.091784,121.237717",0,28,199
1551195531,2019-02-26T15:38:51Z,CAL5927,"25.091537,121.237625",0,28,199
1551195541,2019-02-26T15:39:01Z,CAL5927,"25.090965,121.237411",0,33,199
1551195551,2019-02-26T15:39:11Z,CAL5927,"25.090282,121.237137",0,17,199
1551195557,2019-02-26T15:39:17Z,CAL5927,"25.089945,121.237045",0,33,188
1551195567,2019-02-26T15:39:27Z,CAL5927,"25.089443,121.23732",0,30,132
1551195577,2019-02-26T15:39:37Z,CAL5927,"25.089434,121.238014",0,32,75
1551195587,2019-02-26T15:39:47Z,CAL5927,"25.089569,121.238708",0,33,81
1551195593,2019-02-26T15:39:53Z,CAL5927,"25.089619,121.239067",0,33,78
1551195603,2019-02-26T15:40:03Z,CAL5927,"25.089596,121.239639",0,26,112
1551195612,2019-02-26T15:40:12Z,CAL5927,"25.089226,121.239891",0,23,171
1551195623,2019-02-26T15:40:23Z,CAL5927,"25.088909,121.239624",0,24,230
1551195629,2019-02-26T15:40:29Z,CAL5927,"25.088757,121.239418",0,25,230
1551195638,2019-02-26T15:40:38Z,CAL5927,"25.088505,121.239067",0,19,5
1551195756,2019-02-26T15:42:36Z,CAL5927,"25.088293,121.238808",0,18,5
1551195767,2019-02-26T15:42:47Z,CAL5927,"25.088001,121.238419",0,29,230
1551195776,2019-02-26T15:42:56Z,CAL5927,"25.087559,121.237862",0,16,227
1551195782,2019-02-26T15:43:02Z,CAL5927,"25.087303,121.237541",0,17,227
1551195791,2019-02-26T15:43:11Z,CAL5927,"25.086765,121.236862",0,18,227
1551195802,2019-02-26T15:43:22Z,CAL5927,"25.086205,121.236153",0,18,230
1551195812,2019-02-26T15:43:32Z,CAL5927,"25.085644,121.235443",0,19,227
1551195823,2019-02-26T15:43:43Z,CAL5927,"25.085049,121.23468",0,20,227
