Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550606490,2019-02-19T20:01:30Z,CAL5928,"22.629637,113.820938",0,0,245
1550606559,2019-02-19T20:02:39Z,CAL5928,"22.629639,113.820946",0,0,140
1550606718,2019-02-19T20:05:18Z,CAL5928,"22.629639,113.820946",0,0,140
1550606826,2019-02-19T20:07:06Z,CAL5928,"22.627865,113.821907",0,21,157
1550606843,2019-02-19T20:07:23Z,CAL5928,"22.627413,113.821701",0,22,233
1550606853,2019-02-19T20:07:33Z,CAL5928,"22.627274,113.821449",0,14,5
1550606870,2019-02-19T20:07:50Z,CAL5928,"22.627041,113.820953",0,22,241
1550606880,2019-02-19T20:08:00Z,CAL5928,"22.626842,113.820534",0,27,241
1550606889,2019-02-19T20:08:09Z,CAL5928,"22.626675,113.82003",0,24,264
1550606896,2019-02-19T20:08:16Z,CAL5928,"22.626732,113.819809",0,22,295
1550606909,2019-02-19T20:08:29Z,CAL5928,"22.627224,113.819443",0,26,331
1550606929,2019-02-19T20:08:49Z,CAL5928,"22.628252,113.818871",0,32,331
1550606944,2019-02-19T20:09:04Z,CAL5928,"22.629078,113.81842",0,15,331
1550606956,2019-02-19T20:09:16Z,CAL5928,"22.629881,113.817978",0,17,331
1550606970,2019-02-19T20:09:30Z,CAL5928,"22.630943,113.817398",0,19,331
1550606981,2019-02-19T20:09:41Z,CAL5928,"22.631802,113.816925",0,20,331
1550607002,2019-02-19T20:10:02Z,CAL5928,"22.633547,113.815979",0,22,331
1550607015,2019-02-19T20:10:15Z,CAL5928,"22.634897,113.815231",0,24,331
1550607079,2019-02-19T20:11:19Z,CAL5928,"22.640797,113.811989",0,25,331
1550607092,2019-02-19T20:11:32Z,CAL5928,"22.642159,113.811256",0,26,331
1550607099,2019-02-19T20:11:39Z,CAL5928,"22.642799,113.810905",0,26,331
1550607107,2019-02-19T20:11:47Z,CAL5928,"22.643703,113.810394",0,23,331
1550607118,2019-02-19T20:11:58Z,CAL5928,"22.644661,113.809875",0,24,331
1550607138,2019-02-19T20:12:18Z,CAL5928,"22.646406,113.808922",0,15,331
1550607144,2019-02-19T20:12:24Z,CAL5928,"22.646687,113.808769",0,29,334
1550607154,2019-02-19T20:12:34Z,CAL5928,"22.647182,113.808495",0,31,331
1550607164,2019-02-19T20:12:44Z,CAL5928,"22.647549,113.808296",0,18,5
1550607371,2019-02-19T20:16:11Z,CAL5928,"22.647858,113.808136",0,14,5
1550607382,2019-02-19T20:16:22Z,CAL5928,"22.648106,113.807999",0,19,5
1550607393,2019-02-19T20:16:33Z,CAL5928,"22.648432,113.807808",0,23,331
1550607403,2019-02-19T20:16:43Z,CAL5928,"22.648863,113.807579",0,27,334
1550607417,2019-02-19T20:16:57Z,CAL5928,"22.649654,113.807144",0,32,331
1550607427,2019-02-19T20:17:07Z,CAL5928,"22.650225,113.806839",0,15,334
1550607433,2019-02-19T20:17:13Z,CAL5928,"22.650562,113.806648",0,16,334
1550607443,2019-02-19T20:17:23Z,CAL5928,"22.651245,113.806274",0,17,331
1550607451,2019-02-19T20:17:31Z,CAL5928,"22.651854,113.805939",0,18,331
1550607464,2019-02-19T20:17:44Z,CAL5928,"22.652784,113.805428",0,32,331
1550607478,2019-02-19T20:17:58Z,CAL5928,"22.653351,113.805092",0,24,320
1550607490,2019-02-19T20:18:10Z,CAL5928,"22.653505,113.804626",0,23,267
1550607514,2019-02-19T20:18:34Z,CAL5928,"22.653042,113.803604",0,20,236
1550607528,2019-02-19T20:18:48Z,CAL5928,"22.652641,113.803406",0,20,174
1550607558,2019-02-19T20:19:18Z,CAL5928,"22.650736,113.804359",0,44,151
1550607578,2019-02-19T20:19:38Z,CAL5928,"22.642582,113.80883",0,130,151
1550607589,2019-02-19T20:19:49Z,CAL5928,"22.636339,113.812256",0,160,151
1550607604,2019-02-19T20:20:04Z,CAL5928,"22.626204,113.817696",350,162,154
1550607615,2019-02-19T20:20:15Z,CAL5928,"22.619406,113.821159",700,161,155
1550607624,2019-02-19T20:20:24Z,CAL5928,"22.612703,113.824715",1025,161,153
1550607635,2019-02-19T20:20:35Z,CAL5928,"22.605423,113.828743",1375,162,152
1550607650,2019-02-19T20:20:50Z,CAL5928,"22.595078,113.834389",1850,163,153
1550607660,2019-02-19T20:21:00Z,CAL5928,"22.588806,113.837883",2150,164,152
1550607670,2019-02-19T20:21:10Z,CAL5928,"22.58128,113.84201",2500,164,153
1550607680,2019-02-19T20:21:20Z,CAL5928,"22.574524,113.845726",2800,165,153
1550607690,2019-02-19T20:21:30Z,CAL5928,"22.567474,113.849518",3125,167,152
1550607705,2019-02-19T20:21:45Z,CAL5928,"22.556515,113.855537",3375,183,153
1550607716,2019-02-19T20:21:56Z,CAL5928,"22.548182,113.860016",3525,198,153
1550607725,2019-02-19T20:22:05Z,CAL5928,"22.539734,113.864655",3650,208,152
