Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551299516,2019-02-27T20:31:56Z,CAL5928,"22.626789,113.823387",0,0,5
1551299625,2019-02-27T20:33:45Z,CAL5928,"22.626715,113.823204",0,11,5
1551299664,2019-02-27T20:34:24Z,CAL5928,"22.626448,113.822914",0,10,5
1551300042,2019-02-27T20:40:42Z,CAL5928,"22.626598,113.822609",0,17,5
1551300066,2019-02-27T20:41:06Z,CAL5928,"22.627262,113.822235",0,18,5
1551300087,2019-02-27T20:41:27Z,CAL5928,"22.627396,113.821808",0,14,5
1551300098,2019-02-27T20:41:38Z,CAL5928,"22.627293,113.821518",0,19,5
1551300112,2019-02-27T20:41:52Z,CAL5928,"22.627018,113.820915",0,27,241
1551300128,2019-02-27T20:42:08Z,CAL5928,"22.626595,113.820023",0,15,241
1551300137,2019-02-27T20:42:17Z,CAL5928,"22.626297,113.819374",0,17,241
1551300147,2019-02-27T20:42:27Z,CAL5928,"22.625931,113.818611",0,18,241
1551300159,2019-02-27T20:42:39Z,CAL5928,"22.625505,113.817711",0,17,241
1551300168,2019-02-27T20:42:48Z,CAL5928,"22.625214,113.817101",0,33,241
1551300177,2019-02-27T20:42:57Z,CAL5928,"22.625015,113.81665",0,22,250
1551300185,2019-02-27T20:43:05Z,CAL5928,"22.625029,113.816399",0,20,289
1551300217,2019-02-27T20:43:37Z,CAL5928,"22.626308,113.815575",0,30,331
1551300229,2019-02-27T20:43:49Z,CAL5928,"22.627007,113.815193",0,16,331
1551300244,2019-02-27T20:44:04Z,CAL5928,"22.628105,113.81459",0,18,331
1551300255,2019-02-27T20:44:15Z,CAL5928,"22.62895,113.814125",0,20,331
1551300270,2019-02-27T20:44:30Z,CAL5928,"22.630253,113.813416",0,21,331
1551300286,2019-02-27T20:44:46Z,CAL5928,"22.631649,113.812653",0,23,331
1551300295,2019-02-27T20:44:55Z,CAL5928,"22.632534,113.812164",0,23,331
1551300306,2019-02-27T20:45:06Z,CAL5928,"22.633472,113.811646",0,20,331
1551300316,2019-02-27T20:45:16Z,CAL5928,"22.63435,113.811165",0,21,331
1551300322,2019-02-27T20:45:22Z,CAL5928,"22.634781,113.810936",0,22,331
1551300331,2019-02-27T20:45:31Z,CAL5928,"22.6357,113.810425",0,23,331
1551300341,2019-02-27T20:45:41Z,CAL5928,"22.636631,113.809914",0,24,331
1551300352,2019-02-27T20:45:52Z,CAL5928,"22.637621,113.80938",0,22,331
1551300366,2019-02-27T20:46:06Z,CAL5928,"22.63868,113.8088",0,16,331
1551300378,2019-02-27T20:46:18Z,CAL5928,"22.6394,113.808411",0,18,334
1551300388,2019-02-27T20:46:28Z,CAL5928,"22.640167,113.807983",0,19,331
1551300397,2019-02-27T20:46:37Z,CAL5928,"22.640961,113.807541",0,20,331
1551300406,2019-02-27T20:46:46Z,CAL5928,"22.641705,113.807144",0,21,331
1551300418,2019-02-27T20:46:58Z,CAL5928,"22.642717,113.806587",0,23,331
1551300428,2019-02-27T20:47:08Z,CAL5928,"22.643703,113.806053",0,24,331
1551300452,2019-02-27T20:47:32Z,CAL5928,"22.64579,113.804909",0,16,331
1551300460,2019-02-27T20:47:40Z,CAL5928,"22.646267,113.804642",0,16,331
