Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551253795,2019-02-27T07:49:55Z,CAL6705,"35.767387,140.380478",0,12,5
1551253816,2019-02-27T07:50:16Z,CAL6705,"35.7672,140.380707",0,10,5
1551253833,2019-02-27T07:50:33Z,CAL6705,"35.767235,140.380966",0,12,5
1551253979,2019-02-27T07:52:59Z,CAL6705,"35.767307,140.381149",0,0,180
1551254032,2019-02-27T07:53:52Z,CAL6705,"35.767159,140.380859",0,15,5
1551254047,2019-02-27T07:54:07Z,CAL6705,"35.766941,140.380402",0,19,239
1551254054,2019-02-27T07:54:14Z,CAL6705,"35.766808,140.380112",0,22,239
1551254061,2019-02-27T07:54:21Z,CAL6705,"35.766678,140.379822",0,24,239
1551254073,2019-02-27T07:54:33Z,CAL6705,"35.766411,140.379288",0,27,239
1551254083,2019-02-27T07:54:43Z,CAL6705,"35.766144,140.378723",0,28,239
1551254091,2019-02-27T07:54:51Z,CAL6705,"35.765945,140.378311",0,26,239
1551254111,2019-02-27T07:55:11Z,CAL6705,"35.765617,140.377441",0,21,272
1551254125,2019-02-27T07:55:25Z,CAL6705,"35.76598,140.376938",0,25,326
1551254138,2019-02-27T07:55:38Z,CAL6705,"35.766529,140.376541",0,30,329
1551254146,2019-02-27T07:55:46Z,CAL6705,"35.766987,140.376221",0,32,329
1551254159,2019-02-27T07:55:59Z,CAL6705,"35.767727,140.375671",0,16,329
1551254168,2019-02-27T07:56:08Z,CAL6705,"35.768406,140.375183",0,18,329
1551254176,2019-02-27T07:56:16Z,CAL6705,"35.76897,140.374771",0,19,329
1551254189,2019-02-27T07:56:29Z,CAL6705,"35.769913,140.3741",0,21,329
1551254198,2019-02-27T07:56:38Z,CAL6705,"35.770752,140.373489",0,22,329
1551254209,2019-02-27T07:56:49Z,CAL6705,"35.77166,140.372833",0,23,329
1551254219,2019-02-27T07:56:59Z,CAL6705,"35.77256,140.372192",0,21,329
1551254227,2019-02-27T07:57:07Z,CAL6705,"35.773266,140.371674",0,19,329
1551254239,2019-02-27T07:57:19Z,CAL6705,"35.774014,140.371124",0,16,329
1551254248,2019-02-27T07:57:28Z,CAL6705,"35.774609,140.370697",0,31,329
1551254259,2019-02-27T07:57:39Z,CAL6705,"35.774963,140.370361",0,23,312
1551254274,2019-02-27T07:57:54Z,CAL6705,"35.774906,140.369659",0,27,241
1551254288,2019-02-27T07:58:08Z,CAL6705,"35.774471,140.36882",0,26,233
1551254299,2019-02-27T07:58:19Z,CAL6705,"35.774048,140.368591",0,25,174
1551254309,2019-02-27T07:58:29Z,CAL6705,"35.773403,140.369003",0,25,149
1551254315,2019-02-27T07:58:35Z,CAL6705,"35.772457,140.36969",0,48,149
1551254330,2019-02-27T07:58:50Z,CAL6705,"35.767296,140.373398",0,110,149
1551254342,2019-02-27T07:59:02Z,CAL6705,"35.761082,140.377899",0,150,149
1551254375,2019-02-27T07:59:35Z,CAL6705,"35.740311,140.392395",875,155,149
1551254395,2019-02-27T07:59:55Z,CAL6705,"35.727951,140.401321",1550,153,149
1551254406,2019-02-27T08:00:06Z,CAL6705,"35.720974,140.406387",1950,156,149
1551254417,2019-02-27T08:00:17Z,CAL6705,"35.714596,140.410995",2475,158,149
1551254441,2019-02-27T08:00:41Z,CAL6705,"35.698837,140.422729",3750,170,148
1551254452,2019-02-27T08:00:52Z,CAL6705,"35.69014,140.429474",4225,186,147
1551254459,2019-02-27T08:00:59Z,CAL6705,"35.685455,140.432907",4475,192,149
1551254473,2019-02-27T08:01:13Z,CAL6705,"35.675587,140.440109",4925,207,149
1551254492,2019-02-27T08:01:32Z,CAL6705,"35.659199,140.451736",5600,231,149
1551254501,2019-02-27T08:01:41Z,CAL6705,"35.648026,140.460037",6150,245,148
1551254516,2019-02-27T08:01:56Z,CAL6705,"35.635437,140.469238",6750,257,149
1551254525,2019-02-27T08:02:05Z,CAL6705,"35.622803,140.476746",7575,258,158
1551254532,2019-02-27T08:02:12Z,CAL6705,"35.617264,140.478683",7850,258,164
1551254540,2019-02-27T08:02:20Z,CAL6705,"35.608521,140.479828",8300,254,177
1551254561,2019-02-27T08:02:41Z,CAL6705,"35.585228,140.473068",9750,248,198
1551254567,2019-02-27T08:02:47Z,CAL6705,"35.575607,140.469421",10250,254,197
1551254581,2019-02-27T08:03:01Z,CAL6705,"35.560974,140.463074",10750,270,203
1551254589,2019-02-27T08:03:09Z,CAL6705,"35.551483,140.455231",11075,277,219
1551254595,2019-02-27T08:03:15Z,CAL6705,"35.546265,140.4487",11250,284,227
1551254603,2019-02-27T08:03:23Z,CAL6705,"35.540913,140.44046",11500,292,232
1551254609,2019-02-27T08:03:29Z,CAL6705,"35.53677,140.43222",11675,301,240
