Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551320516,2019-02-28T02:21:56Z,CAL6706,"25.097813,121.240936",0,0,2
1551320774,2019-02-28T02:26:14Z,CAL6706,"25.097801,121.240944",0,0,180
1551321055,2019-02-28T02:30:55Z,CAL6706,"25.097797,121.240944",0,0,180
1551321160,2019-02-28T02:32:40Z,CAL6706,"25.09779,121.240936",0,0,211
1551321241,2019-02-28T02:34:01Z,CAL6706,"25.097797,121.240944",0,0,180
1551321441,2019-02-28T02:37:21Z,CAL6706,"25.097797,121.240936",0,0,271
1551321643,2019-02-28T02:40:43Z,CAL6706,"25.09779,121.240936",0,0,180
1551321726,2019-02-28T02:42:06Z,CAL6706,"25.097797,121.240936",0,0,180
1551322659,2019-02-28T02:57:39Z,CAL6706,"25.097534,121.24118",0,13,2
1551322679,2019-02-28T02:57:59Z,CAL6706,"25.097288,121.241425",0,10,2
1551322696,2019-02-28T02:58:16Z,CAL6706,"25.097237,121.241661",0,12,2
1551322716,2019-02-28T02:58:36Z,CAL6706,"25.09734,121.24189",0,2,2
1551323027,2019-02-28T03:03:47Z,CAL6706,"25.097126,121.241608",0,20,227
1551323043,2019-02-28T03:04:03Z,CAL6706,"25.096638,121.240997",0,30,227
1551323054,2019-02-28T03:04:14Z,CAL6706,"25.096138,121.240349",0,16,227
1551323065,2019-02-28T03:04:25Z,CAL6706,"25.095613,121.239685",0,17,230
1551323075,2019-02-28T03:04:35Z,CAL6706,"25.095074,121.239105",0,16,216
1551323088,2019-02-28T03:04:48Z,CAL6706,"25.09409,121.238609",0,18,199
1551323094,2019-02-28T03:04:54Z,CAL6706,"25.09362,121.238426",0,16,199
1551323100,2019-02-28T03:05:00Z,CAL6706,"25.093266,121.238289",0,34,199
1551323114,2019-02-28T03:05:14Z,CAL6706,"25.09267,121.238075",0,16,2
1551323500,2019-02-28T03:11:40Z,CAL6706,"25.092611,121.238045",0,0,180
1551323589,2019-02-28T03:13:09Z,CAL6706,"25.092611,121.238045",0,0,180
1551324003,2019-02-28T03:20:03Z,CAL6706,"25.092402,121.237968",0,14,2
1551324019,2019-02-28T03:20:19Z,CAL6706,"25.092121,121.237862",0,14,2
1551324028,2019-02-28T03:20:28Z,CAL6706,"25.091915,121.237778",0,16,2
1551324039,2019-02-28T03:20:39Z,CAL6706,"25.091629,121.237663",0,21,199
1551324050,2019-02-28T03:20:50Z,CAL6706,"25.09119,121.237503",0,26,199
1551324059,2019-02-28T03:20:59Z,CAL6706,"25.090473,121.237221",0,19,199
1551324069,2019-02-28T03:21:09Z,CAL6706,"25.089821,121.237083",0,31,171
1551324079,2019-02-28T03:21:19Z,CAL6706,"25.089432,121.237579",0,33,109
1551324089,2019-02-28T03:21:29Z,CAL6706,"25.089512,121.238388",0,17,78
1551324095,2019-02-28T03:21:35Z,CAL6706,"25.089592,121.238823",0,16,78
1551324110,2019-02-28T03:21:50Z,CAL6706,"25.089558,121.239624",0,22,129
1551324120,2019-02-28T03:22:00Z,CAL6706,"25.08918,121.239723",0,24,185
1551324131,2019-02-28T03:22:11Z,CAL6706,"25.088791,121.239449",0,28,225
1551324145,2019-02-28T03:22:25Z,CAL6706,"25.088264,121.238785",0,24,230
1551324156,2019-02-28T03:22:36Z,CAL6706,"25.087967,121.238403",0,26,227
1551324166,2019-02-28T03:22:46Z,CAL6706,"25.087658,121.238152",0,22,199
1551324176,2019-02-28T03:22:56Z,CAL6706,"25.08728,121.238235",0,24,149
1551324185,2019-02-28T03:23:05Z,CAL6706,"25.086943,121.238533",0,24,140
1551324196,2019-02-28T03:23:16Z,CAL6706,"25.086582,121.238876",0,26,137
1551324209,2019-02-28T03:23:29Z,CAL6706,"25.08609,121.239342",0,28,137
1551324221,2019-02-28T03:23:41Z,CAL6706,"25.085598,121.239799",0,30,140
1551324231,2019-02-28T03:23:51Z,CAL6706,"25.085106,121.240273",0,34,140
1551324238,2019-02-28T03:23:58Z,CAL6706,"25.084774,121.240601",0,34,137
1551324263,2019-02-28T03:24:23Z,CAL6706,"25.083347,121.241943",0,18,137
1551324269,2019-02-28T03:24:29Z,CAL6706,"25.082998,121.242264",0,17,137
1551324277,2019-02-28T03:24:37Z,CAL6706,"25.082567,121.242683",0,16,140
1551324283,2019-02-28T03:24:43Z,CAL6706,"25.08223,121.243004",0,31,140
1551324335,2019-02-28T03:25:35Z,CAL6706,"25.080692,121.244446",0,27,137
1551324360,2019-02-28T03:26:00Z,CAL6706,"25.079727,121.244324",0,30,225
1551324434,2019-02-28T03:27:14Z,CAL6706,"25.076504,121.240234",0,30,227
1551324442,2019-02-28T03:27:22Z,CAL6706,"25.076191,121.239838",0,34,227
1551324451,2019-02-28T03:27:31Z,CAL6706,"25.075769,121.239304",0,34,227
1551324462,2019-02-28T03:27:42Z,CAL6706,"25.075367,121.238785",0,33,227
1551324468,2019-02-28T03:27:48Z,CAL6706,"25.075058,121.238388",0,15,227
1551324515,2019-02-28T03:28:35Z,CAL6706,"25.073261,121.236115",0,33,227
1551324860,2019-02-28T03:34:20Z,CAL6706,"25.067551,121.227356",0,25,227
1551325127,2019-02-28T03:38:47Z,CAL6706,"25.066166,121.225609",0,18,2
1551325138,2019-02-28T03:38:58Z,CAL6706,"25.065937,121.225304",0,20,230
1551325156,2019-02-28T03:39:16Z,CAL6706,"25.065691,121.224998",0,10,2
1551325272,2019-02-28T03:41:12Z,CAL6706,"25.065668,121.224968",0,2,2
1551325722,2019-02-28T03:48:42Z,CAL6706,"25.062057,121.222595",0,0,244
1551325759,2019-02-28T03:49:19Z,CAL6706,"25.061792,121.222794",0,22,143
1551325771,2019-02-28T03:49:31Z,CAL6706,"25.061386,121.223183",0,24,137
1551325777,2019-02-28T03:49:37Z,CAL6706,"25.061222,121.223389",0,24,126
1551325863,2019-02-28T03:51:03Z,CAL6706,"25.062399,121.225487",0,57,50
1551325883,2019-02-28T03:51:23Z,CAL6706,"25.068707,121.233482",0,140,50
1551325895,2019-02-28T03:51:35Z,CAL6706,"25.073547,121.23999",700,133,51
1551325907,2019-02-28T03:51:47Z,CAL6706,"25.078308,121.246338",1325,130,49
1551325913,2019-02-28T03:51:53Z,CAL6706,"25.080643,121.24939",1625,131,49
1551325919,2019-02-28T03:51:59Z,CAL6706,"25.082977,121.252441",1900,134,50
