Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551156791,2019-02-26T04:53:11Z,CAL834,"13.692119,100.759544",0,17,5
1551156802,2019-02-26T04:53:22Z,CAL834,"13.692009,100.759911",0,20,104
1551156810,2019-02-26T04:53:30Z,CAL834,"13.691933,100.760254",0,24,106
1551156832,2019-02-26T04:53:52Z,CAL834,"13.691345,100.760765",0,22,154
1551156954,2019-02-26T04:55:54Z,CAL834,"13.659073,100.752205",650,160,196
1551156964,2019-02-26T04:56:04Z,CAL834,"13.65184,100.750168",1000,161,194
1551156975,2019-02-26T04:56:15Z,CAL834,"13.643856,100.748047",1375,160,194
1551156989,2019-02-26T04:56:29Z,CAL834,"13.63385,100.745338",1800,163,194
1551157000,2019-02-26T04:56:40Z,CAL834,"13.625467,100.743324",2175,165,192
1551157058,2019-02-26T04:57:38Z,CAL834,"13.579971,100.736435",3825,198,162
1551157068,2019-02-26T04:57:48Z,CAL834,"13.57198,100.741493",3975,212,140
1551157079,2019-02-26T04:57:59Z,CAL834,"13.564065,100.749786",4150,229,133
1551157089,2019-02-26T04:58:09Z,CAL834,"13.556076,100.757935",4350,246,135
1551157105,2019-02-26T04:58:25Z,CAL834,"13.54321,100.770218",4800,260,137
1551157114,2019-02-26T04:58:34Z,CAL834,"13.53392,100.77887",5375,262,137
1551157129,2019-02-26T04:58:49Z,CAL834,"13.520554,100.792076",6275,264,131
1551157139,2019-02-26T04:58:59Z,CAL834,"13.51442,100.803017",6750,269,113
1551157145,2019-02-26T04:59:05Z,CAL834,"13.512532,100.809441",7000,271,102
1551157154,2019-02-26T04:59:14Z,CAL834,"13.511647,100.822205",7350,270,89
1551157165,2019-02-26T04:59:25Z,CAL834,"13.512951,100.83522",7625,270,83
1551157174,2019-02-26T04:59:34Z,CAL834,"13.514191,100.848099",7950,277,84
1551157189,2019-02-26T04:59:49Z,CAL834,"13.515564,100.867844",8850,276,86
1551157206,2019-02-26T05:00:06Z,CAL834,"13.516814,100.888123",9675,278,86
1551157221,2019-02-26T05:00:21Z,CAL834,"13.517885,100.907928",10400,282,86
1551157235,2019-02-26T05:00:35Z,CAL834,"13.518997,100.928741",10800,299,86
1551157250,2019-02-26T05:00:50Z,CAL834,"13.520166,100.950287",11150,318,86
1551157261,2019-02-26T05:01:01Z,CAL834,"13.521057,100.96743",11400,334,86
1551157275,2019-02-26T05:01:15Z,CAL834,"13.522448,100.991386",11700,353,86
1551157291,2019-02-26T05:01:31Z,CAL834,"13.523987,101.018768",12150,371,86
1551157315,2019-02-26T05:01:55Z,CAL834,"13.530991,101.062332",13375,384,74
1551157326,2019-02-26T05:02:06Z,CAL834,"13.536693,101.079903",13950,388,70
1551157337,2019-02-26T05:02:17Z,CAL834,"13.544234,101.098312",14475,394,66
1551157368,2019-02-26T05:02:48Z,CAL834,"13.567932,101.153015",16150,407,65
1551157407,2019-02-26T05:03:27Z,CAL834,"13.59938,101.223434",18125,426,61
1551157419,2019-02-26T05:03:39Z,CAL834,"13.612619,101.244026",18725,430,54
1551157426,2019-02-26T05:03:46Z,CAL834,"13.622131,101.255966",19125,433,50
1551157432,2019-02-26T05:03:52Z,CAL834,"13.629191,101.264458",19375,434,49
1551157498,2019-02-26T05:04:58Z,CAL834,"13.716614,101.370285",22275,460,50
1551157559,2019-02-26T05:05:59Z,CAL834,"13.802307,101.47863",25025,481,52
1551157620,2019-02-26T05:07:00Z,CAL834,"13.889372,101.591057",27425,496,51
1551157680,2019-02-26T05:08:00Z,CAL834,"13.974097,101.704491",29850,504,54
1551157741,2019-02-26T05:09:01Z,CAL834,"14.056778,101.8256",31775,514,54
1551157807,2019-02-26T05:10:07Z,CAL834,"14.133725,101.967628",34000,525,67
1551157868,2019-02-26T05:11:08Z,CAL834,"14.18619,102.108765",36325,512,69
1551157930,2019-02-26T05:12:10Z,CAL834,"14.239517,102.253784",37000,529,69
1551157994,2019-02-26T05:13:14Z,CAL834,"14.293625,102.403992",36975,526,69
1551158060,2019-02-26T05:14:20Z,CAL834,"14.347687,102.554199",36975,523,69
1551158119,2019-02-26T05:15:19Z,CAL834,"14.398865,102.69664",37000,521,69
1551158183,2019-02-26T05:16:23Z,CAL834,"14.451965,102.844582",37000,520,69
1551158248,2019-02-26T05:17:28Z,CAL834,"14.507167,102.998703",36975,519,69
1551158314,2019-02-26T05:18:34Z,CAL834,"14.559911,103.146156",36975,520,69
1551158373,2019-02-26T05:19:33Z,CAL834,"14.609861,103.286377",36975,520,69
1551158438,2019-02-26T05:20:38Z,CAL834,"14.662308,103.433678",36975,520,69
1551158499,2019-02-26T05:21:39Z,CAL834,"14.714951,103.581802",37000,522,69
1551158559,2019-02-26T05:22:39Z,CAL834,"14.764694,103.72226",36975,523,70
1551158623,2019-02-26T05:23:43Z,CAL834,"14.81662,103.869102",37000,524,70
1551158685,2019-02-26T05:24:45Z,CAL834,"14.868942,104.017494",36975,524,70
1551158758,2019-02-26T05:25:58Z,CAL834,"14.927441,104.183548",36975,524,70
