Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551179096,2019-02-26T11:04:56Z,CAL836,"13.685131,100.754227",0,26,104
1551179125,2019-02-26T11:05:25Z,CAL836,"13.684753,100.755737",0,30,104
1551179134,2019-02-26T11:05:34Z,CAL836,"13.684612,100.756287",0,33,104
1551179144,2019-02-26T11:05:44Z,CAL836,"13.684496,100.756828",0,24,98
1551179155,2019-02-26T11:05:55Z,CAL836,"13.684577,100.757195",0,19,73
1551179164,2019-02-26T11:06:04Z,CAL836,"13.684845,100.757362",0,20,16
1551179463,2019-02-26T11:11:03Z,CAL836,"13.692014,100.759796",0,2,90
1551179486,2019-02-26T11:11:26Z,CAL836,"13.691921,100.760132",0,15,101
1551179498,2019-02-26T11:11:38Z,CAL836,"13.691757,100.760513",0,21,123
1551179509,2019-02-26T11:11:49Z,CAL836,"13.691414,100.760887",0,20,132
1551179631,2019-02-26T11:13:51Z,CAL836,"13.690533,100.760719",0,15,194
1551179673,2019-02-26T11:14:33Z,CAL836,"13.671181,100.755638",0,165,194
1551179689,2019-02-26T11:14:49Z,CAL836,"13.659805,100.752724",675,160,194
1551179698,2019-02-26T11:14:58Z,CAL836,"13.652023,100.750687",1075,158,194
1551179705,2019-02-26T11:15:05Z,CAL836,"13.64772,100.749603",1275,159,194
1551179726,2019-02-26T11:15:26Z,CAL836,"13.632111,100.745384",2050,159,194
1551179734,2019-02-26T11:15:34Z,CAL836,"13.625977,100.743729",2275,160,194
1551179756,2019-02-26T11:15:56Z,CAL836,"13.610245,100.739571",2725,167,194
1551179766,2019-02-26T11:16:06Z,CAL836,"13.602859,100.737671",2975,167,194
1551179783,2019-02-26T11:16:23Z,CAL836,"13.590181,100.734802",3375,167,194
1551179808,2019-02-26T11:16:48Z,CAL836,"13.572006,100.743256",3600,195,143
1551179817,2019-02-26T11:16:57Z,CAL836,"13.564065,100.749786",3675,210,140
1551179827,2019-02-26T11:17:07Z,CAL836,"13.557082,100.756004",3800,221,138
1551179837,2019-02-26T11:17:17Z,CAL836,"13.548377,100.763954",3950,234,137
1551179853,2019-02-26T11:17:33Z,CAL836,"13.536163,100.775223",4150,253,138
1551179862,2019-02-26T11:17:42Z,CAL836,"13.527008,100.783554",4325,262,138
1551179872,2019-02-26T11:17:52Z,CAL836,"13.518082,100.793167",4600,268,127
1551179878,2019-02-26T11:17:58Z,CAL836,"13.514832,100.798851",4775,270,117
1551179888,2019-02-26T11:18:08Z,CAL836,"13.511647,100.810982",5125,271,99
1551179913,2019-02-26T11:18:33Z,CAL836,"13.513458,100.844025",6175,269,85
1551179934,2019-02-26T11:18:54Z,CAL836,"13.515092,100.868126",6950,269,86
1551179948,2019-02-26T11:19:08Z,CAL836,"13.516342,100.888588",7450,271,86
1551179963,2019-02-26T11:19:23Z,CAL836,"13.517487,100.908333",7900,276,86
1551179978,2019-02-26T11:19:38Z,CAL836,"13.518723,100.928894",8375,280,86
1551179993,2019-02-26T11:19:53Z,CAL836,"13.519934,100.948647",8850,283,86
1551180008,2019-02-26T11:20:08Z,CAL836,"13.521103,100.968903",9300,287,86
1551180024,2019-02-26T11:20:24Z,CAL836,"13.522293,100.989738",9825,291,86
1551180039,2019-02-26T11:20:39Z,CAL836,"13.523438,101.010429",10450,293,86
1551180053,2019-02-26T11:20:53Z,CAL836,"13.524682,101.031715",10725,308,86
1551180067,2019-02-26T11:21:07Z,CAL836,"13.526498,101.052391",10900,324,82
1551180080,2019-02-26T11:21:20Z,CAL836,"13.531906,101.070145",11075,340,68
1551180089,2019-02-26T11:21:29Z,CAL836,"13.538818,101.085915",11225,352,65
1551180095,2019-02-26T11:21:35Z,CAL836,"13.542023,101.093208",11300,358,65
1551180104,2019-02-26T11:21:44Z,CAL836,"13.549122,101.109344",11475,367,65
1551180120,2019-02-26T11:22:00Z,CAL836,"13.559921,101.134125",11975,374,66
1551180135,2019-02-26T11:22:15Z,CAL836,"13.570862,101.159363",12425,380,66
1551180169,2019-02-26T11:22:49Z,CAL836,"13.595302,101.216125",13600,391,66
1551180206,2019-02-26T11:23:26Z,CAL836,"13.622498,101.279549",14775,401,66
1551180235,2019-02-26T11:23:55Z,CAL836,"13.645346,101.332977",15675,412,66
1551180267,2019-02-26T11:24:27Z,CAL836,"13.669366,101.389786",16900,412,68
1551180287,2019-02-26T11:24:47Z,CAL836,"13.679031,101.421852",17275,421,76
1551180320,2019-02-26T11:25:20Z,CAL836,"13.693201,101.489769",18175,431,78
1551180381,2019-02-26T11:26:21Z,CAL836,"13.717529,101.619225",19875,447,80
1551180445,2019-02-26T11:27:25Z,CAL836,"13.733655,101.750458",21950,449,83
1551180507,2019-02-26T11:28:27Z,CAL836,"13.747435,101.879547",23825,449,85
1551180570,2019-02-26T11:29:30Z,CAL836,"13.758499,102.012131",26525,424,84
1551180631,2019-02-26T11:30:31Z,CAL836,"13.774435,102.136421",28225,419,81
1551180694,2019-02-26T11:31:34Z,CAL836,"13.790771,102.258659",29875,413,82
1551180724,2019-02-26T11:32:04Z,CAL836,"13.801804,102.317665",30325,411,72
1551180737,2019-02-26T11:32:17Z,CAL836,"13.813156,102.340912",30550,405,61
1551180743,2019-02-26T11:32:23Z,CAL836,"13.818649,102.350998",30575,407,60
1551180749,2019-02-26T11:32:29Z,CAL836,"13.824292,102.361061",30575,410,60
1551180815,2019-02-26T11:33:35Z,CAL836,"13.886719,102.477386",31000,435,61
1551180850,2019-02-26T11:34:10Z,CAL836,"13.921121,102.540703",31175,449,60
1551180936,2019-02-26T11:35:36Z,CAL836,"14.012421,102.708435",31800,478,60
1551181001,2019-02-26T11:36:41Z,CAL836,"14.085078,102.836319",32050,493,55
1551181061,2019-02-26T11:37:41Z,CAL836,"14.168965,102.947777",33575,477,52
1551181125,2019-02-26T11:38:45Z,CAL836,"14.25412,103.060989",34650,472,52
1551181189,2019-02-26T11:39:49Z,CAL836,"14.338669,103.173416",35450,472,52
1551181252,2019-02-26T11:40:52Z,CAL836,"14.423401,103.286308",36050,475,52
1551181316,2019-02-26T11:41:56Z,CAL836,"14.508362,103.399582",36725,474,52
1551181376,2019-02-26T11:42:56Z,CAL836,"14.590123,103.508751",37000,482,52
1551181440,2019-02-26T11:44:00Z,CAL836,"14.678009,103.626266",37000,495,52
1551181509,2019-02-26T11:45:09Z,CAL836,"14.773818,103.760422",37000,500,58
1551181570,2019-02-26T11:46:10Z,CAL836,"14.836121,103.891342",37000,508,69
1551181634,2019-02-26T11:47:14Z,CAL836,"14.8862,104.03614",37000,507,70
1551181696,2019-02-26T11:48:16Z,CAL836,"14.936472,104.181633",37000,506,70
1551181759,2019-02-26T11:49:19Z,CAL836,"14.984839,104.322197",37000,506,70
