Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551266348,2019-02-27T11:19:08Z,CAL836,"13.685276,100.753624",0,18,104
1551266359,2019-02-27T11:19:19Z,CAL836,"13.685074,100.75441",0,15,104
1551266384,2019-02-27T11:19:44Z,CAL836,"13.684764,100.755699",0,23,104
1551266404,2019-02-27T11:20:04Z,CAL836,"13.68457,100.756454",0,16,104
1551266439,2019-02-27T11:20:39Z,CAL836,"13.68481,100.757324",0,19,19
1551266723,2019-02-27T11:25:23Z,CAL836,"13.689837,100.758636",0,13,14
1551266837,2019-02-27T11:27:17Z,CAL836,"13.690269,100.758759",0,12,14
1551266894,2019-02-27T11:28:14Z,CAL836,"13.692096,100.759605",0,15,70
1551266978,2019-02-27T11:29:38Z,CAL836,"13.691929,100.76017",0,16,104
1551267039,2019-02-27T11:30:39Z,CAL836,"13.690418,100.760719",0,16,194
1551267097,2019-02-27T11:31:37Z,CAL836,"13.659348,100.752441",700,160,195
1551267107,2019-02-27T11:31:47Z,CAL836,"13.652115,100.750404",1050,163,194
1551267117,2019-02-27T11:31:57Z,CAL836,"13.644196,100.748276",1475,159,194
1551267127,2019-02-27T11:32:07Z,CAL836,"13.637329,100.746475",1850,158,194
1551267137,2019-02-27T11:32:17Z,CAL836,"13.630216,100.744583",2100,162,194
1551267148,2019-02-27T11:32:28Z,CAL836,"13.622767,100.742653",2325,166,194
1551267158,2019-02-27T11:32:38Z,CAL836,"13.614853,100.740601",2600,169,194
1551267168,2019-02-27T11:32:48Z,CAL836,"13.606986,100.738609",2850,171,194
1551267179,2019-02-27T11:32:59Z,CAL836,"13.598923,100.736534",3100,175,193
1551267189,2019-02-27T11:33:09Z,CAL836,"13.590546,100.734634",3350,178,189
1551267198,2019-02-27T11:33:18Z,CAL836,"13.582535,100.735298",3475,185,165
1551267208,2019-02-27T11:33:28Z,CAL836,"13.574865,100.739906",3575,193,145
1551267214,2019-02-27T11:33:34Z,CAL836,"13.571411,100.742592",3650,200,141
1551267223,2019-02-27T11:33:43Z,CAL836,"13.564205,100.749542",3725,212,133
1551267233,2019-02-27T11:33:53Z,CAL836,"13.55927,100.759323",3850,227,108
