Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551281088,2019-02-27T15:24:48Z,CAL837,"25.081409,121.241623",0,10,312
1551281108,2019-02-27T15:25:08Z,CAL837,"25.081226,121.241852",0,11,323
1551281132,2019-02-27T15:25:32Z,CAL837,"25.08094,121.242004",0,10,292
1551281338,2019-02-27T15:28:58Z,CAL837,"25.080208,121.241707",0,19,227
1551281352,2019-02-27T15:29:12Z,CAL837,"25.079865,121.241287",0,22,227
1551281370,2019-02-27T15:29:30Z,CAL837,"25.079319,121.240585",0,27,230
1551281405,2019-02-27T15:30:05Z,CAL837,"25.077839,121.238708",0,15,227
1551281422,2019-02-27T15:30:22Z,CAL837,"25.076992,121.237625",0,18,227
1551281473,2019-02-27T15:31:13Z,CAL837,"25.074406,121.234337",0,28,230
1551281501,2019-02-27T15:31:41Z,CAL837,"25.073326,121.232964",0,27,230
1551281510,2019-02-27T15:31:50Z,CAL837,"25.073078,121.232658",0,26,227
1551281524,2019-02-27T15:32:04Z,CAL837,"25.072651,121.232109",0,25,227
1551281588,2019-02-27T15:33:08Z,CAL837,"25.070673,121.231323",0,28,230
1551281611,2019-02-27T15:33:31Z,CAL837,"25.069799,121.230202",0,31,227
1551281637,2019-02-27T15:33:57Z,CAL837,"25.068542,121.228615",0,17,227
1551281646,2019-02-27T15:34:06Z,CAL837,"25.068113,121.228065",0,18,227
1551281654,2019-02-27T15:34:14Z,CAL837,"25.067688,121.227516",0,19,227
1551281674,2019-02-27T15:34:34Z,CAL837,"25.066389,121.225868",0,21,227
1551281680,2019-02-27T15:34:40Z,CAL837,"25.065948,121.225311",0,22,227
1551281687,2019-02-27T15:34:47Z,CAL837,"25.065548,121.224808",0,22,227
1551281861,2019-02-27T15:37:41Z,CAL837,"25.079041,121.24659",300,170,48
1551281872,2019-02-27T15:37:52Z,CAL837,"25.084991,121.254219",800,163,49
1551281881,2019-02-27T15:38:01Z,CAL837,"25.089516,121.26004",1100,165,49
1551281892,2019-02-27T15:38:12Z,CAL837,"25.095795,121.268211",1375,174,50
1551281899,2019-02-27T15:38:19Z,CAL837,"25.098999,121.27243",1425,182,50
1551281910,2019-02-27T15:38:30Z,CAL837,"25.105947,121.281601",1525,197,50
1551281916,2019-02-27T15:38:36Z,CAL837,"25.109482,121.286217",1600,205,50
1551281923,2019-02-27T15:38:43Z,CAL837,"25.113583,121.291656",1675,214,50
1551281929,2019-02-27T15:38:49Z,CAL837,"25.117355,121.296638",1725,221,50
1551281935,2019-02-27T15:38:55Z,CAL837,"25.12175,121.302238",1825,228,48
1551281942,2019-02-27T15:39:02Z,CAL837,"25.126524,121.306892",1975,232,37
1551281951,2019-02-27T15:39:11Z,CAL837,"25.135345,121.311287",2250,233,18
1551281976,2019-02-27T15:39:36Z,CAL837,"25.158875,121.304573",3050,219,319
1551281982,2019-02-27T15:39:42Z,CAL837,"25.163439,121.299324",3275,215,312
1551281993,2019-02-27T15:39:53Z,CAL837,"25.171143,121.289467",3600,214,310
1551282005,2019-02-27T15:40:05Z,CAL837,"25.179081,121.278954",3850,223,309
1551282011,2019-02-27T15:40:11Z,CAL837,"25.183039,121.273514",3950,230,308
1551282017,2019-02-27T15:40:17Z,CAL837,"25.187256,121.2677",4025,236,308
1551282023,2019-02-27T15:40:23Z,CAL837,"25.191324,121.262115",4125,243,308
1551282029,2019-02-27T15:40:29Z,CAL837,"25.19577,121.256004",4200,250,308
1551282041,2019-02-27T15:40:41Z,CAL837,"25.204638,121.24398",4475,260,309
1551282053,2019-02-27T15:40:53Z,CAL837,"25.214264,121.231133",4925,264,309
1551282073,2019-02-27T15:41:13Z,CAL837,"25.228271,121.212715",5650,263,309
1551282089,2019-02-27T15:41:29Z,CAL837,"25.243231,121.192986",6100,276,309
1551282102,2019-02-27T15:41:42Z,CAL837,"25.253099,121.179924",6525,279,309
1551282114,2019-02-27T15:41:54Z,CAL837,"25.263336,121.166382",7050,277,309
1551282126,2019-02-27T15:42:06Z,CAL837,"25.27293,121.152977",7600,273,306
1551282132,2019-02-27T15:42:12Z,CAL837,"25.276468,121.145775",7825,267,294
1551282139,2019-02-27T15:42:19Z,CAL837,"25.278534,121.138359",8050,263,284
1551282145,2019-02-27T15:42:25Z,CAL837,"25.279312,121.129913",8275,260,271
1551282165,2019-02-27T15:42:45Z,CAL837,"25.271906,121.103691",8975,257,238
1551282172,2019-02-27T15:42:52Z,CAL837,"25.267273,121.097206",9200,259,230
1551282186,2019-02-27T15:43:06Z,CAL837,"25.255463,121.082458",9650,263,228
1551282200,2019-02-27T15:43:20Z,CAL837,"25.245438,121.069794",10025,268,229
1551282211,2019-02-27T15:43:31Z,CAL837,"25.235317,121.056847",10325,273,229
1551282223,2019-02-27T15:43:43Z,CAL837,"25.224976,121.043602",10500,283,229
1551282236,2019-02-27T15:43:56Z,CAL837,"25.214693,121.030418",10650,294,229
1551282247,2019-02-27T15:44:07Z,CAL837,"25.203461,121.016388",10800,305,227
1551282260,2019-02-27T15:44:20Z,CAL837,"25.191101,121.003014",10950,316,223
1551282271,2019-02-27T15:44:31Z,CAL837,"25.178009,120.989128",11100,326,223
1551282282,2019-02-27T15:44:42Z,CAL837,"25.164322,120.97448",11250,336,224
1551282295,2019-02-27T15:44:55Z,CAL837,"25.15123,120.960442",11400,345,224
1551282307,2019-02-27T15:45:07Z,CAL837,"25.136948,120.945076",11675,350,224
1551282320,2019-02-27T15:45:20Z,CAL837,"25.12252,120.929573",12050,352,224
1551282350,2019-02-27T15:45:50Z,CAL837,"25.087374,120.891739",12950,356,224
1551282383,2019-02-27T15:46:23Z,CAL837,"25.04771,120.848984",14225,352,224
1551282416,2019-02-27T15:46:56Z,CAL837,"25.008886,120.807167",15125,357,224
1551282448,2019-02-27T15:47:28Z,CAL837,"24.972576,120.768044",15900,362,224
1551282480,2019-02-27T15:48:00Z,CAL837,"24.93268,120.725235",16800,364,224
1551282513,2019-02-27T15:48:33Z,CAL837,"24.89246,120.682121",17750,364,224
1551282543,2019-02-27T15:49:03Z,CAL837,"24.85531,120.642265",18400,370,224
1551282605,2019-02-27T15:50:05Z,CAL837,"24.779984,120.561623",20100,370,224
1551282669,2019-02-27T15:51:09Z,CAL837,"24.701269,120.476746",21950,381,225
1551282730,2019-02-27T15:52:10Z,CAL837,"24.622549,120.386734",23750,388,226
1551282792,2019-02-27T15:53:12Z,CAL837,"24.547972,120.302574",25525,390,225
1551282815,2019-02-27T15:53:35Z,CAL837,"24.516403,120.266975",26050,393,225
1551282903,2019-02-27T15:55:03Z,CAL837,"24.405853,120.142822",28650,386,225
1551282966,2019-02-27T15:56:06Z,CAL837,"24.325592,120.052734",29775,395,225
1551283027,2019-02-27T15:57:07Z,CAL837,"24.249294,119.96759",31450,381,225
1551283092,2019-02-27T15:58:12Z,CAL837,"24.172394,119.881592",32850,372,225
1551283154,2019-02-27T15:59:14Z,CAL837,"24.095856,119.796143",33775,373,225
1551283214,2019-02-27T16:00:14Z,CAL837,"24.022247,119.714203",34475,376,225
1551283276,2019-02-27T16:01:16Z,CAL837,"23.944609,119.627846",35150,379,225
1551283341,2019-02-27T16:02:21Z,CAL837,"23.866104,119.540504",35625,387,225
1551283403,2019-02-27T16:03:23Z,CAL837,"23.789474,119.455925",36175,391,225
1551283467,2019-02-27T16:04:27Z,CAL837,"23.705612,119.363304",36875,391,225
1551283530,2019-02-27T16:05:30Z,CAL837,"23.624842,119.274208",37450,390,225
1551283591,2019-02-27T16:06:31Z,CAL837,"23.548124,119.189743",37875,391,225
1551283656,2019-02-27T16:07:36Z,CAL837,"23.467026,119.100334",38000,398,225
1551283717,2019-02-27T16:08:37Z,CAL837,"23.383421,119.008736",38000,410,225
1551283778,2019-02-27T16:09:38Z,CAL837,"23.302002,118.919411",38000,420,225
1551283841,2019-02-27T16:10:41Z,CAL837,"23.213928,118.823235",38000,426,225
1551283904,2019-02-27T16:11:44Z,CAL837,"23.125242,118.726555",38000,428,225
1551283964,2019-02-27T16:12:44Z,CAL837,"23.040894,118.634712",38000,430,225
1551284029,2019-02-27T16:13:49Z,CAL837,"22.94577,118.543083",38000,445,216
1551284089,2019-02-27T16:14:49Z,CAL837,"22.836945,118.473206",38000,457,209
1551284152,2019-02-27T16:15:52Z,CAL837,"22.718445,118.402153",38000,457,208
1551284214,2019-02-27T16:16:54Z,CAL837,"22.603392,118.334351",38000,459,208
1551284278,2019-02-27T16:17:58Z,CAL837,"22.483055,118.263756",38000,458,208
1551284339,2019-02-27T16:18:59Z,CAL837,"22.372787,118.199059",38000,456,208
1551284402,2019-02-27T16:20:02Z,CAL837,"22.253227,118.12912",38000,455,208
1551284465,2019-02-27T16:21:05Z,CAL837,"22.134518,118.059792",38000,458,208
1551284526,2019-02-27T16:22:06Z,CAL837,"22.022234,117.994331",38000,460,208
1551284560,2019-02-27T16:22:40Z,CAL837,"21.959564,117.957855",38000,462,208
1551284650,2019-02-27T16:24:10Z,CAL837,"21.789093,117.858932",38000,461,208
1551284708,2019-02-27T16:25:08Z,CAL837,"21.677515,117.794342",38000,464,208
1551284773,2019-02-27T16:26:13Z,CAL837,"21.555315,117.723793",38000,465,208
1551284837,2019-02-27T16:27:17Z,CAL837,"21.433914,117.653587",38000,467,208
1551284897,2019-02-27T16:28:17Z,CAL837,"21.319885,117.586967",38000,464,210
1551284962,2019-02-27T16:29:22Z,CAL837,"21.209711,117.495216",38000,444,224
1551285033,2019-02-27T16:30:33Z,CAL837,"21.122194,117.377113",38000,430,238
1551285043,2019-02-27T16:30:43Z,CAL837,"21.112045,117.358803",38000,428,239
1551285130,2019-02-27T16:32:10Z,CAL837,"21.040495,117.194466",38000,423,245
1551285197,2019-02-27T16:33:17Z,CAL837,"20.986633,117.065605",38000,423,245
1551285275,2019-02-27T16:34:35Z,CAL837,"20.924423,116.916206",38000,424,246
1551285482,2019-02-27T16:38:02Z,CAL837,"20.75848,116.520744",38000,423,245
1551285545,2019-02-27T16:39:05Z,CAL837,"20.707718,116.399803",38000,426,245
1551285574,2019-02-27T16:39:34Z,CAL837,"20.684183,116.34417",38000,426,245
1551285650,2019-02-27T16:40:50Z,CAL837,"20.621758,116.196953",38000,427,245
1551285719,2019-02-27T16:41:59Z,CAL837,"20.567059,116.067711",38000,426,245
1551285819,2019-02-27T16:43:39Z,CAL837,"20.487501,115.880844",38000,419,245
1551285878,2019-02-27T16:44:38Z,CAL837,"20.43782,115.764214",38000,425,245
1551285948,2019-02-27T16:45:48Z,CAL837,"20.380896,115.63105",38000,427,245
1551286014,2019-02-27T16:46:54Z,CAL837,"20.328432,115.508659",38000,427,245
1551286073,2019-02-27T16:47:53Z,CAL837,"20.278713,115.393097",38000,422,245
1551286136,2019-02-27T16:48:56Z,CAL837,"20.22789,115.274834",38000,423,245
1551286203,2019-02-27T16:50:03Z,CAL837,"20.173874,115.149765",38000,422,245
1551286264,2019-02-27T16:51:04Z,CAL837,"20.12281,115.031799",38000,422,245
1551286297,2019-02-27T16:51:37Z,CAL837,"20.096695,114.971725",38000,424,245
1551286354,2019-02-27T16:52:34Z,CAL837,"20.049955,114.863907",38000,428,245
1551286444,2019-02-27T16:54:04Z,CAL837,"19.97493,114.691818",38000,428,245
1551286504,2019-02-27T16:55:04Z,CAL837,"19.922636,114.571625",38000,429,245
1551286569,2019-02-27T16:56:09Z,CAL837,"19.870171,114.451721",38000,429,245
1551286628,2019-02-27T16:57:08Z,CAL837,"19.82036,114.338264",38000,429,245
1551286641,2019-02-27T16:57:21Z,CAL837,"19.809082,114.312645",38000,429,245
1551287266,2019-02-27T17:07:46Z,CAL837,"19.184317,113.154236",38000,439,238
1551288771,2019-02-27T17:32:51Z,CAL837,"17.581512,110.367111",38000,453,235
1551288842,2019-02-27T17:34:02Z,CAL837,"17.496798,110.236671",38000,455,235
1551288934,2019-02-27T17:35:34Z,CAL837,"17.388889,110.06839",38000,449,236
1551288943,2019-02-27T17:35:43Z,CAL837,"17.379547,110.05381",38000,447,236
1551289031,2019-02-27T17:37:11Z,CAL837,"17.277008,109.894165",38000,444,236
1551289067,2019-02-27T17:37:47Z,CAL837,"17.235626,109.829933",38000,444,236
