Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551367062,2019-02-28T15:17:42Z,CAL837,"25.084694,121.238098",0,0,180
1551367125,2019-02-28T15:18:45Z,CAL837,"25.084953,121.238083",0,9,160
1551367144,2019-02-28T15:19:04Z,CAL837,"25.085186,121.238045",0,9,137
1551367169,2019-02-28T15:19:29Z,CAL837,"25.085419,121.237801",0,10,140
1551367188,2019-02-28T15:19:48Z,CAL837,"25.085535,121.237579",0,10,171
1551367214,2019-02-28T15:20:14Z,CAL837,"25.085825,121.237434",0,10,216
1551367243,2019-02-28T15:20:43Z,CAL837,"25.085381,121.237846",0,0,89
1551367322,2019-02-28T15:22:02Z,CAL837,"25.085966,121.237511",0,0,89
1551367366,2019-02-28T15:22:46Z,CAL837,"25.085781,121.237259",0,14,230
1551367388,2019-02-28T15:23:08Z,CAL837,"25.0853,121.236664",0,22,227
1551367398,2019-02-28T15:23:18Z,CAL837,"25.084988,121.236252",0,25,227
1551367415,2019-02-28T15:23:35Z,CAL837,"25.084452,121.235596",0,26,227
1551367430,2019-02-28T15:23:50Z,CAL837,"25.084373,121.234932",0,24,300
1551367440,2019-02-28T15:24:00Z,CAL837,"25.084673,121.234627",0,25,303
1551367450,2019-02-28T15:24:10Z,CAL837,"25.084545,121.233978",0,29,230
1551367461,2019-02-28T15:24:21Z,CAL837,"25.084139,121.233521",0,30,227
1551367473,2019-02-28T15:24:33Z,CAL837,"25.083731,121.233002",0,33,227
1551367483,2019-02-28T15:24:43Z,CAL837,"25.083242,121.232384",0,15,230
1551367492,2019-02-28T15:24:52Z,CAL837,"25.082766,121.231789",0,16,230
1551367498,2019-02-28T15:24:58Z,CAL837,"25.082474,121.2314",0,16,227
1551367508,2019-02-28T15:25:08Z,CAL837,"25.081938,121.230721",0,17,230
1551367514,2019-02-28T15:25:14Z,CAL837,"25.081625,121.230331",0,18,227
1551367525,2019-02-28T15:25:25Z,CAL837,"25.08103,121.229568",0,20,230
1551367535,2019-02-28T15:25:35Z,CAL837,"25.080334,121.228699",0,22,230
1551367546,2019-02-28T15:25:46Z,CAL837,"25.079517,121.227654",0,23,227
1551367557,2019-02-28T15:25:57Z,CAL837,"25.078785,121.226723",0,23,227
1551367577,2019-02-28T15:26:17Z,CAL837,"25.077518,121.225105",0,18,230
1551367593,2019-02-28T15:26:33Z,CAL837,"25.076609,121.223946",0,20,230
1551367604,2019-02-28T15:26:44Z,CAL837,"25.075886,121.223038",0,22,230
1551367625,2019-02-28T15:27:05Z,CAL837,"25.074474,121.221237",0,21,227
1551367685,2019-02-28T15:28:05Z,CAL837,"25.071648,121.217636",0,19,233
1551367696,2019-02-28T15:28:16Z,CAL837,"25.071638,121.217392",0,16,261
1551367706,2019-02-28T15:28:26Z,CAL837,"25.071859,121.217186",0,15,303
1551367721,2019-02-28T15:28:41Z,CAL837,"25.072083,121.217018",0,10,317
1551367762,2019-02-28T15:29:22Z,CAL837,"25.072311,121.216797",0,20,317
1551367772,2019-02-28T15:29:32Z,CAL837,"25.072651,121.216469",0,25,320
1551367783,2019-02-28T15:29:43Z,CAL837,"25.072977,121.216255",0,19,329
1551367793,2019-02-28T15:29:53Z,CAL837,"25.073261,121.216339",0,16,8
1551367803,2019-02-28T15:30:03Z,CAL837,"25.073399,121.21656",0,14,39
1551367819,2019-02-28T15:30:19Z,CAL837,"25.073536,121.216797",0,2,50
1551367886,2019-02-28T15:31:26Z,CAL837,"25.07378,121.217094",0,16,50
1551367905,2019-02-28T15:31:45Z,CAL837,"25.077818,121.222237",0,98,50
1551367916,2019-02-28T15:31:56Z,CAL837,"25.081543,121.226967",0,130,47
1551367926,2019-02-28T15:32:06Z,CAL837,"25.08609,121.232758",0,158,49
1551367936,2019-02-28T15:32:16Z,CAL837,"25.091217,121.239418",425,154,50
1551367946,2019-02-28T15:32:26Z,CAL837,"25.095613,121.245171",875,148,50
1551367956,2019-02-28T15:32:36Z,CAL837,"25.099943,121.251076",1200,148,51
1551367968,2019-02-28T15:32:48Z,CAL837,"25.104675,121.257629",1325,162,51
1551367982,2019-02-28T15:33:02Z,CAL837,"25.112558,121.268486",1625,177,50
1551367993,2019-02-28T15:33:13Z,CAL837,"25.117813,121.275429",1850,186,50
1551368003,2019-02-28T15:33:23Z,CAL837,"25.124289,121.283829",2125,193,49
1551368013,2019-02-28T15:33:33Z,CAL837,"25.130173,121.291405",2375,199,49
1551368024,2019-02-28T15:33:44Z,CAL837,"25.137091,121.299477",2600,208,42
1551368031,2019-02-28T15:33:51Z,CAL837,"25.142771,121.303055",2750,212,29
1551368051,2019-02-28T15:34:11Z,CAL837,"25.162399,121.300758",3425,212,332
1551368057,2019-02-28T15:34:17Z,CAL837,"25.166382,121.297508",3600,215,320
1551368065,2019-02-28T15:34:25Z,CAL837,"25.172516,121.290588",3775,220,312
1551368088,2019-02-28T15:34:48Z,CAL837,"25.189041,121.268562",4150,250,308
1551368118,2019-02-28T15:35:18Z,CAL837,"25.210457,121.238533",4625,267,308
1551368126,2019-02-28T15:35:26Z,CAL837,"25.217102,121.229401",4750,267,308
1551368133,2019-02-28T15:35:33Z,CAL837,"25.222887,121.221489",4925,266,308
1551368148,2019-02-28T15:35:48Z,CAL837,"25.235037,121.205215",5525,264,309
1551368190,2019-02-28T15:36:30Z,CAL837,"25.242533,121.19516",7100,275,308
1551368251,2019-02-28T15:37:31Z,CAL837,"25.259033,121.087547",9525,262,227
1551368264,2019-02-28T15:37:44Z,CAL837,"25.249374,121.075401",9975,264,229
1551368275,2019-02-28T15:37:55Z,CAL837,"25.24011,121.063377",10300,268,229
1551368287,2019-02-28T15:38:07Z,CAL837,"25.230522,121.050888",10450,281,229
1551368303,2019-02-28T15:38:23Z,CAL837,"25.216461,121.032715",10675,300,229
1551368314,2019-02-28T15:38:34Z,CAL837,"25.204514,121.017555",10850,311,228
1551368328,2019-02-28T15:38:48Z,CAL837,"25.191696,121.003471",11000,321,224
1551368339,2019-02-28T15:38:59Z,CAL837,"25.178741,120.989784",11250,331,223
1551368349,2019-02-28T15:39:09Z,CAL837,"25.167303,120.977608",11575,335,224
1551368379,2019-02-28T15:39:39Z,CAL837,"25.133926,120.941856",12550,342,224
1551368413,2019-02-28T15:40:13Z,CAL837,"25.095886,120.900879",13700,345,224
1551368444,2019-02-28T15:40:44Z,CAL837,"25.058836,120.860909",14800,348,224
1551368479,2019-02-28T15:41:19Z,CAL837,"25.019547,120.818565",15925,351,224
1551368511,2019-02-28T15:41:51Z,CAL837,"24.981171,120.777283",16725,359,224
1551368543,2019-02-28T15:42:23Z,CAL837,"24.943771,120.737099",17575,366,224
1551368575,2019-02-28T15:42:55Z,CAL837,"24.904495,120.695091",18925,357,224
1551368639,2019-02-28T15:43:59Z,CAL837,"24.827379,120.612267",20325,371,224
1551368699,2019-02-28T15:44:59Z,CAL837,"24.751282,120.530853",21475,386,224
1551368761,2019-02-28T15:46:01Z,CAL837,"24.670637,120.441818",22650,395,226
1551368825,2019-02-28T15:47:05Z,CAL837,"24.588985,120.348801",23800,404,225
1551368888,2019-02-28T15:48:08Z,CAL837,"24.50654,120.255882",25075,405,225
1551368948,2019-02-28T15:49:08Z,CAL837,"24.428427,120.168251",26300,399,225
1551369012,2019-02-28T15:50:12Z,CAL837,"24.345005,120.074402",27025,412,225
1551369075,2019-02-28T15:51:15Z,CAL837,"24.261063,119.980621",28675,408,225
1551369138,2019-02-28T15:52:18Z,CAL837,"24.177979,119.887749",30100,406,225
1551369202,2019-02-28T15:53:22Z,CAL837,"24.094391,119.794312",30975,420,225
1551369265,2019-02-28T15:54:25Z,CAL837,"24.005905,119.695946",32125,424,225
1551369328,2019-02-28T15:55:28Z,CAL837,"23.920715,119.601288",33100,427,225
1551369388,2019-02-28T15:56:28Z,CAL837,"23.83563,119.50705",34275,424,225
1551369451,2019-02-28T15:57:31Z,CAL837,"23.749275,119.411385",35100,427,225
1551369515,2019-02-28T15:58:35Z,CAL837,"23.659803,119.31266",35975,428,225
1551369579,2019-02-28T15:59:39Z,CAL837,"23.571396,119.215187",36500,433,225
1551369638,2019-02-28T16:00:38Z,CAL837,"23.486298,119.121712",37300,429,225
1551369702,2019-02-28T16:01:42Z,CAL837,"23.398458,119.025627",38000,425,224
1551369723,2019-02-28T16:02:03Z,CAL837,"23.36834,118.99897",38000,435,215
1551369733,2019-02-28T16:02:13Z,CAL837,"23.350021,118.985878",38000,438,212
