Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549031749,2019-02-01T14:35:49Z,SIA21,"40.689514,-74.175217",0,0,320
1549031826,2019-02-01T14:37:06Z,SIA21,"40.689308,-74.175323",0,10,30
1549031844,2019-02-01T14:37:24Z,SIA21,"40.689098,-74.175377",0,9,47
1549031861,2019-02-01T14:37:41Z,SIA21,"40.688896,-74.175461",0,10,78
1549031881,2019-02-01T14:38:01Z,SIA21,"40.688747,-74.175705",0,2,115
1549031919,2019-02-01T14:38:39Z,SIA21,"40.688633,-74.175461",0,9,118
1549031939,2019-02-01T14:38:59Z,SIA21,"40.688541,-74.175232",0,9,115
1549032169,2019-02-01T14:42:49Z,SIA21,"40.688393,-74.174866",0,14,115
1549032177,2019-02-01T14:42:57Z,SIA21,"40.688301,-74.174622",0,16,115
1549032190,2019-02-01T14:43:10Z,SIA21,"40.688164,-74.174271",0,19,115
1549032209,2019-02-01T14:43:29Z,SIA21,"40.687878,-74.173309",0,24,104
1549032221,2019-02-01T14:43:41Z,SIA21,"40.688286,-74.172836",0,22,41
1549032231,2019-02-01T14:43:51Z,SIA21,"40.688671,-74.172615",0,20,28
1549032243,2019-02-01T14:44:03Z,SIA21,"40.689068,-74.172363",0,21,25
1549032264,2019-02-01T14:44:24Z,SIA21,"40.689762,-74.171928",0,19,25
1549032286,2019-02-01T14:44:46Z,SIA21,"40.690311,-74.17157",0,17,25
1549032301,2019-02-01T14:45:01Z,SIA21,"40.690636,-74.171356",0,17,25
1549032314,2019-02-01T14:45:14Z,SIA21,"40.691044,-74.171104",0,18,25
1549032338,2019-02-01T14:45:38Z,SIA21,"40.691746,-74.170654",0,19,25
1549032372,2019-02-01T14:46:12Z,SIA21,"40.69281,-74.169983",0,20,25
1549032384,2019-02-01T14:46:24Z,SIA21,"40.693176,-74.169739",0,21,25
1549032396,2019-02-01T14:46:36Z,SIA21,"40.693657,-74.169449",0,22,25
1549032406,2019-02-01T14:46:46Z,SIA21,"40.693943,-74.169266",0,19,25
1549032416,2019-02-01T14:46:56Z,SIA21,"40.694267,-74.16906",0,17,25
1549032429,2019-02-01T14:47:09Z,SIA21,"40.694569,-74.168869",0,15,25
1549032489,2019-02-01T14:48:09Z,SIA21,"40.694778,-74.168732",0,0,34
1549032506,2019-02-01T14:48:26Z,SIA21,"40.695011,-74.168579",0,14,25
1549032520,2019-02-01T14:48:40Z,SIA21,"40.695271,-74.168411",0,15,25
1549032535,2019-02-01T14:48:55Z,SIA21,"40.695606,-74.168221",0,14,25
1549032633,2019-02-01T14:50:33Z,SIA21,"40.695816,-74.168076",0,9,25
1549032656,2019-02-01T14:50:56Z,SIA21,"40.696106,-74.167892",0,12,25
1549032681,2019-02-01T14:51:21Z,SIA21,"40.696339,-74.167732",0,2,25
1549032957,2019-02-01T14:55:57Z,SIA21,"40.696575,-74.167587",0,9,25
1549032983,2019-02-01T14:56:23Z,SIA21,"40.696815,-74.167435",0,2,25
1549033076,2019-02-01T14:57:56Z,SIA21,"40.697056,-74.167282",0,11,25
1549033091,2019-02-01T14:58:11Z,SIA21,"40.697292,-74.167137",0,13,25
1549033110,2019-02-01T14:58:30Z,SIA21,"40.697731,-74.166855",0,15,25
1549033128,2019-02-01T14:58:48Z,SIA21,"40.698097,-74.166626",0,13,25
1549033146,2019-02-01T14:59:06Z,SIA21,"40.698383,-74.166443",0,11,25
1549033171,2019-02-01T14:59:31Z,SIA21,"40.698601,-74.166306",0,2,25
1549033225,2019-02-01T15:00:25Z,SIA21,"40.698898,-74.166107",0,10,25
1549033248,2019-02-01T15:00:48Z,SIA21,"40.699215,-74.165909",0,12,25
1549033263,2019-02-01T15:01:03Z,SIA21,"40.699448,-74.165764",0,2,25
1549033299,2019-02-01T15:01:39Z,SIA21,"40.699692,-74.165611",0,2,25
1549033352,2019-02-01T15:02:32Z,SIA21,"40.699928,-74.165451",0,9,25
