Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549204619,2019-02-03T14:36:59Z,SIA21,"40.689514,-74.175217",0,0,240
1549204685,2019-02-03T14:38:05Z,SIA21,"40.689159,-74.175369",0,11,36
1549204741,2019-02-03T14:39:01Z,SIA21,"40.688683,-74.175583",0,9,120
1549204760,2019-02-03T14:39:20Z,SIA21,"40.688587,-74.175323",0,10,118
1549204778,2019-02-03T14:39:38Z,SIA21,"40.688496,-74.175072",0,10,115
1549204799,2019-02-03T14:39:59Z,SIA21,"40.688423,-74.174866",0,0,113
1549204849,2019-02-03T14:40:49Z,SIA21,"40.688423,-74.174866",0,0,180
1549204909,2019-02-03T14:41:49Z,SIA21,"40.688416,-74.174866",0,0,180
1549205043,2019-02-03T14:44:03Z,SIA21,"40.688324,-74.174622",0,13,115
1549205052,2019-02-03T14:44:12Z,SIA21,"40.688202,-74.174301",0,17,115
1549205137,2019-02-03T14:45:37Z,SIA21,"40.689777,-74.171906",0,31,25
1549205145,2019-02-03T14:45:45Z,SIA21,"40.690292,-74.17157",0,31,25
1549205159,2019-02-03T14:45:59Z,SIA21,"40.690987,-74.17115",0,32,25
1549205173,2019-02-03T14:46:13Z,SIA21,"40.691929,-74.17054",0,32,25
1549205180,2019-02-03T14:46:20Z,SIA21,"40.692272,-74.170319",0,32,25
1549205190,2019-02-03T14:46:30Z,SIA21,"40.692802,-74.169983",0,33,25
1549205196,2019-02-03T14:46:36Z,SIA21,"40.693211,-74.169724",0,33,25
1549205208,2019-02-03T14:46:48Z,SIA21,"40.693966,-74.169235",0,15,25
1549205216,2019-02-03T14:46:56Z,SIA21,"40.694344,-74.169006",0,15,25
1549205226,2019-02-03T14:47:06Z,SIA21,"40.695129,-74.168495",0,15,25
1549205232,2019-02-03T14:47:12Z,SIA21,"40.695538,-74.168251",0,16,25
1549205245,2019-02-03T14:47:25Z,SIA21,"40.696335,-74.16774",0,16,25
1549205251,2019-02-03T14:47:31Z,SIA21,"40.69677,-74.167465",0,16,25
1549205259,2019-02-03T14:47:39Z,SIA21,"40.697388,-74.167061",0,17,25
