Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549722777,2019-02-09T14:32:57Z,SIA21,"40.689514,-74.175201",0,0,120
1549722843,2019-02-09T14:34:03Z,SIA21,"40.689495,-74.175224",0,0,229
1549722881,2019-02-09T14:34:41Z,SIA21,"40.689262,-74.175316",0,9,28
1549722899,2019-02-09T14:34:59Z,SIA21,"40.689034,-74.175323",0,10,59
1549722924,2019-02-09T14:35:24Z,SIA21,"40.688816,-74.175629",0,10,98
1549722945,2019-02-09T14:35:45Z,SIA21,"40.688763,-74.17585",0,0,250
1549722979,2019-02-09T14:36:19Z,SIA21,"40.68861,-74.175476",0,10,118
1549722993,2019-02-09T14:36:33Z,SIA21,"40.688519,-74.175224",0,11,115
1549723008,2019-02-09T14:36:48Z,SIA21,"40.688427,-74.174988",0,9,115
1549723176,2019-02-09T14:39:36Z,SIA21,"40.688335,-74.174988",0,0,203
1549723192,2019-02-09T14:39:52Z,SIA21,"40.688244,-74.174774",0,10,115
1549723209,2019-02-09T14:40:09Z,SIA21,"40.688145,-74.174538",0,12,115
1549723238,2019-02-09T14:40:38Z,SIA21,"40.687832,-74.173744",0,15,115
1549723262,2019-02-09T14:41:02Z,SIA21,"40.687592,-74.173294",0,13,154
1549723293,2019-02-09T14:41:33Z,SIA21,"40.687038,-74.173645",0,18,202
1549723306,2019-02-09T14:41:46Z,SIA21,"40.686668,-74.173897",0,20,205
1549723314,2019-02-09T14:41:54Z,SIA21,"40.686333,-74.174103",0,21,205
1549723321,2019-02-09T14:42:01Z,SIA21,"40.686115,-74.17424",0,22,205
1549723332,2019-02-09T14:42:12Z,SIA21,"40.68568,-74.174515",0,24,205
1549723340,2019-02-09T14:42:20Z,SIA21,"40.685429,-74.174683",0,24,205
1549723351,2019-02-09T14:42:31Z,SIA21,"40.684898,-74.175003",0,25,205
1549723357,2019-02-09T14:42:37Z,SIA21,"40.684639,-74.175186",0,26,205
