Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548955448,2019-01-31T17:24:08Z,SIA22,"1.354294,103.995743",200,180,22
1548955456,2019-01-31T17:24:16Z,SIA22,"1.359238,103.997795",500,177,22
1548955467,2019-01-31T17:24:27Z,SIA22,"1.367984,104.001366",1100,170,22
1548955474,2019-01-31T17:24:34Z,SIA22,"1.372513,104.003242",1400,167,23
1548955480,2019-01-31T17:24:40Z,SIA22,"1.376782,104.005058",1700,165,23
1548955492,2019-01-31T17:24:52Z,SIA22,"1.385348,104.008797",1975,173,23
1548955504,2019-01-31T17:25:04Z,SIA22,"1.394943,104.01297",2050,190,23
1548955514,2019-01-31T17:25:14Z,SIA22,"1.404621,104.01709",2175,204,22
1548955522,2019-01-31T17:25:22Z,SIA22,"1.4103,104.019455",2250,212,22
1548955533,2019-01-31T17:25:33Z,SIA22,"1.421539,104.024094",2450,223,22
1548955539,2019-01-31T17:25:39Z,SIA22,"1.427307,104.026512",2600,227,22
1548955546,2019-01-31T17:25:46Z,SIA22,"1.43325,104.028976",2775,229,22
1548955557,2019-01-31T17:25:57Z,SIA22,"1.445068,104.033867",3250,228,22
1548955563,2019-01-31T17:26:03Z,SIA22,"1.45108,104.036407",3500,227,22
1548955574,2019-01-31T17:26:14Z,SIA22,"1.462601,104.041367",3925,230,23
1548955581,2019-01-31T17:26:21Z,SIA22,"1.469002,104.044174",4100,232,23
1548955592,2019-01-31T17:26:32Z,SIA22,"1.480591,104.049469",4400,239,28
1548955599,2019-01-31T17:26:39Z,SIA22,"1.486459,104.053505",4575,242,41
1548955605,2019-01-31T17:26:45Z,SIA22,"1.490882,104.058472",4750,244,54
1548955613,2019-01-31T17:26:53Z,SIA22,"1.495258,104.067566",5025,249,73
1548955619,2019-01-31T17:26:59Z,SIA22,"1.496521,104.074326",5200,252,85
1548955627,2019-01-31T17:27:07Z,SIA22,"1.496375,104.081535",5300,260,95
1548955634,2019-01-31T17:27:14Z,SIA22,"1.49382,104.092667",5400,272,107
1548955641,2019-01-31T17:27:21Z,SIA22,"1.491301,104.099434",5500,278,112
1548955649,2019-01-31T17:27:29Z,SIA22,"1.486459,104.110237",5750,281,115
1548955655,2019-01-31T17:27:35Z,SIA22,"1.482968,104.117577",5975,281,115
1548955670,2019-01-31T17:27:50Z,SIA22,"1.474503,104.134842",6500,283,115
1548955683,2019-01-31T17:28:03Z,SIA22,"1.467453,104.149223",6925,284,115
1548955695,2019-01-31T17:28:15Z,SIA22,"1.46039,104.164078",7250,292,115
1548955707,2019-01-31T17:28:27Z,SIA22,"1.453262,104.178696",7450,302,116
1548955718,2019-01-31T17:28:38Z,SIA22,"1.44568,104.193199",7625,310,118
1548955731,2019-01-31T17:28:51Z,SIA22,"1.438092,104.206978",7800,320,119
1548955743,2019-01-31T17:29:03Z,SIA22,"1.427582,104.225479",8000,332,119
1548955756,2019-01-31T17:29:16Z,SIA22,"1.41826,104.241928",8200,341,119
1548955767,2019-01-31T17:29:27Z,SIA22,"1.408768,104.258949",8400,351,118
1548955780,2019-01-31T17:29:40Z,SIA22,"1.399453,104.275978",8600,360,118
1548955790,2019-01-31T17:29:50Z,SIA22,"1.390091,104.293633",8775,369,117
1548955803,2019-01-31T17:30:03Z,SIA22,"1.380249,104.312347",9000,376,117
1548955816,2019-01-31T17:30:16Z,SIA22,"1.370451,104.331001",9400,377,117
1548955827,2019-01-31T17:30:27Z,SIA22,"1.360675,104.349609",9775,379,117
1548955839,2019-01-31T17:30:39Z,SIA22,"1.351273,104.367416",10100,382,117
1548955852,2019-01-31T17:30:52Z,SIA22,"1.340658,104.387688",10450,385,116
1548955861,2019-01-31T17:31:01Z,SIA22,"1.334839,104.401985",10675,387,107
1548955867,2019-01-31T17:31:07Z,SIA22,"1.332185,104.413254",10850,388,99
1548955874,2019-01-31T17:31:14Z,SIA22,"1.330975,104.423866",11000,389,93
1548955884,2019-01-31T17:31:24Z,SIA22,"1.330902,104.440926",11250,392,89
1548955893,2019-01-31T17:31:33Z,SIA22,"1.331131,104.457169",11500,393,89
1548955905,2019-01-31T17:31:45Z,SIA22,"1.331534,104.483772",11950,395,88
1548955917,2019-01-31T17:31:57Z,SIA22,"1.332139,104.50631",12275,396,88
1548955951,2019-01-31T17:32:31Z,SIA22,"1.334047,104.56749",13125,401,88
1548955985,2019-01-31T17:33:05Z,SIA22,"1.335723,104.628014",14075,403,88
1548956019,2019-01-31T17:33:39Z,SIA22,"1.337166,104.690376",14800,409,88
1548956052,2019-01-31T17:34:12Z,SIA22,"1.338593,104.753799",15500,415,88
1548956083,2019-01-31T17:34:43Z,SIA22,"1.340057,104.816414",16875,401,88
1548956117,2019-01-31T17:35:17Z,SIA22,"1.341522,104.878563",17525,408,88
1548956147,2019-01-31T17:35:47Z,SIA22,"1.342892,104.93544",18200,411,88
1548956210,2019-01-31T17:36:50Z,SIA22,"1.345639,105.055771",19550,417,88
1548956239,2019-01-31T17:37:19Z,SIA22,"1.34697,105.112625",20150,419,88
1548956329,2019-01-31T17:38:49Z,SIA22,"1.351181,105.288033",21600,433,88
1548956390,2019-01-31T17:39:50Z,SIA22,"1.354065,105.410744",22575,440,88
1548956453,2019-01-31T17:40:53Z,SIA22,"1.357224,105.539978",23550,447,88
1548956504,2019-01-31T17:41:44Z,SIA22,"1.359744,105.646095",24500,448,88
1548956551,2019-01-31T17:42:31Z,SIA22,"1.371941,105.744873",25050,458,68
1548956563,2019-01-31T17:42:43Z,SIA22,"1.382309,105.766029",25250,458,60
1548956573,2019-01-31T17:42:53Z,SIA22,"1.394165,105.783768",25450,457,52
1548956582,2019-01-31T17:43:02Z,SIA22,"1.407786,105.799667",25675,456,46
1548956588,2019-01-31T17:43:08Z,SIA22,"1.415039,105.806763",25775,455,43
1548956598,2019-01-31T17:43:18Z,SIA22,"1.432388,105.821014",25975,455,36
1548956608,2019-01-31T17:43:28Z,SIA22,"1.450661,105.832626",26100,455,29
1548956619,2019-01-31T17:43:39Z,SIA22,"1.46998,105.842522",26225,458,26
1548956673,2019-01-31T17:44:33Z,SIA22,"1.573512,105.896599",26875,464,28
1548956762,2019-01-31T17:46:02Z,SIA22,"1.744173,105.985153",28175,467,27
1548956770,2019-01-31T17:46:10Z,SIA22,"1.755718,105.991165",28250,467,27
1548956966,2019-01-31T17:49:26Z,SIA22,"2.140705,106.190346",30275,484,27
1548957028,2019-01-31T17:50:28Z,SIA22,"2.265839,106.255157",30900,487,27
1548957069,2019-01-31T17:51:09Z,SIA22,"2.351074,106.299263",31325,489,27
1548957145,2019-01-31T17:52:25Z,SIA22,"2.505478,106.379219",32000,492,27
1548957231,2019-01-31T17:53:51Z,SIA22,"2.68103,106.470085",32000,513,27
1548957349,2019-01-31T17:55:49Z,SIA22,"2.937378,106.60276",32000,519,27
1548957424,2019-01-31T17:57:04Z,SIA22,"3.097275,106.685623",32000,517,27
1548957492,2019-01-31T17:58:12Z,SIA22,"3.240372,106.759689",32000,519,27
1548957554,2019-01-31T17:59:14Z,SIA22,"3.376248,106.830109",32000,521,27
1548963871,2019-01-31T19:44:31Z,SIA22,"15.391287,116.007874",32000,524,47
1548963960,2019-01-31T19:46:00Z,SIA22,"15.539978,116.173195",32000,526,47
1548964022,2019-01-31T19:47:02Z,SIA22,"15.64076,116.285378",32000,527,47
1548964031,2019-01-31T19:47:11Z,SIA22,"15.655655,116.30204",32000,527,47
1548964402,2019-01-31T19:53:22Z,SIA22,"16.273132,116.993744",32000,528,47
1548964463,2019-01-31T19:54:23Z,SIA22,"16.374702,117.108124",32000,529,47
1548964524,2019-01-31T19:55:24Z,SIA22,"16.477203,117.223831",32000,527,47
1548964569,2019-01-31T19:56:09Z,SIA22,"16.54974,117.305832",32000,528,47
1548964659,2019-01-31T19:57:39Z,SIA22,"16.69973,117.475632",32000,531,47
1548964722,2019-01-31T19:58:42Z,SIA22,"16.804184,117.594185",32000,530,47
1548964785,2019-01-31T19:59:45Z,SIA22,"16.91011,117.7146",32000,530,47
1548964846,2019-01-31T20:00:46Z,SIA22,"17.009674,117.82798",32000,531,47
1548964906,2019-01-31T20:01:46Z,SIA22,"17.110601,117.943039",32000,534,47
1548964970,2019-01-31T20:02:50Z,SIA22,"17.217087,118.064766",32000,531,47
1548965033,2019-01-31T20:03:53Z,SIA22,"17.32288,118.185913",32000,533,47
1548965094,2019-01-31T20:04:54Z,SIA22,"17.423153,118.30088",32000,535,47
1548965157,2019-01-31T20:05:57Z,SIA22,"17.529694,118.423271",32000,537,47
1548965220,2019-01-31T20:07:00Z,SIA22,"17.634825,118.544296",32000,536,47
1548965235,2019-01-31T20:07:15Z,SIA22,"17.660889,118.574333",32000,536,47
1548965332,2019-01-31T20:08:52Z,SIA22,"17.822199,118.76059",32000,535,47
1548965392,2019-01-31T20:09:52Z,SIA22,"17.923031,118.877174",32000,537,47
1548965456,2019-01-31T20:10:56Z,SIA22,"18.029076,119.000175",32000,536,47
1548965517,2019-01-31T20:11:57Z,SIA22,"18.129593,119.116905",32000,535,47
1548965580,2019-01-31T20:13:00Z,SIA22,"18.235245,119.239868",32000,536,48
1548965641,2019-01-31T20:14:01Z,SIA22,"18.33581,119.357117",32000,534,48
1548965704,2019-01-31T20:15:04Z,SIA22,"18.44125,119.480316",32000,534,48
1548965764,2019-01-31T20:16:04Z,SIA22,"18.540918,119.596916",32000,538,48
1548965829,2019-01-31T20:17:09Z,SIA22,"18.647003,119.721352",32000,536,48
1548965891,2019-01-31T20:18:11Z,SIA22,"18.751707,119.844414",32000,533,48
1548965955,2019-01-31T20:19:15Z,SIA22,"18.856821,119.968155",32375,539,48
1548966016,2019-01-31T20:20:16Z,SIA22,"18.958166,120.087761",33025,541,48
1548966079,2019-01-31T20:21:19Z,SIA22,"19.06366,120.212448",33750,538,48
1548966140,2019-01-31T20:22:20Z,SIA22,"19.164093,120.331436",34225,541,48
1548966203,2019-01-31T20:23:23Z,SIA22,"19.270706,120.457977",34975,539,48
1548966267,2019-01-31T20:24:27Z,SIA22,"19.375534,120.582703",35600,539,48
1548966328,2019-01-31T20:25:28Z,SIA22,"19.476379,120.702965",36000,539,48
1548966389,2019-01-31T20:26:29Z,SIA22,"19.576309,120.822289",36000,539,48
1548966451,2019-01-31T20:27:31Z,SIA22,"19.681915,120.94873",36000,541,48
1548966515,2019-01-31T20:28:35Z,SIA22,"19.787292,121.075073",36000,542,48
1548966576,2019-01-31T20:29:36Z,SIA22,"19.887817,121.195976",36000,542,48
1548966639,2019-01-31T20:30:39Z,SIA22,"19.992874,121.322464",36000,544,48
1548966699,2019-01-31T20:31:39Z,SIA22,"20.09404,121.444687",36000,546,48
1548966761,2019-01-31T20:32:41Z,SIA22,"20.196487,121.568672",36000,544,48
