Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549040462,2019-02-01T17:01:02Z,SIA22,"1.378464,104.005424",1700,170,20
1549040475,2019-02-01T17:01:15Z,SIA22,"1.387802,104.008873",1950,183,20
1549040484,2019-02-01T17:01:24Z,SIA22,"1.397731,104.012634",2075,197,21
1549040490,2019-02-01T17:01:30Z,SIA22,"1.402526,104.01458",2125,204,22
1549040497,2019-02-01T17:01:37Z,SIA22,"1.408578,104.017036",2200,212,22
1549040503,2019-02-01T17:01:43Z,SIA22,"1.413895,104.019302",2275,219,23
1549040509,2019-02-01T17:01:49Z,SIA22,"1.419797,104.021774",2350,227,23
1549040515,2019-02-01T17:01:55Z,SIA22,"1.425659,104.024231",2425,233,23
1549040526,2019-02-01T17:02:06Z,SIA22,"1.437881,104.029541",2625,245,23
1549040532,2019-02-01T17:02:12Z,SIA22,"1.444199,104.032242",2800,248,23
1549040539,2019-02-01T17:02:19Z,SIA22,"1.450882,104.03508",3000,250,23
1549040545,2019-02-01T17:02:25Z,SIA22,"1.457428,104.037872",3200,252,24
1549040552,2019-02-01T17:02:32Z,SIA22,"1.463649,104.041283",3425,253,34
1549040562,2019-02-01T17:02:42Z,SIA22,"1.471527,104.048721",3725,255,50
1549040570,2019-02-01T17:02:50Z,SIA22,"1.476837,104.057709",4050,258,67
1549040578,2019-02-01T17:02:58Z,SIA22,"1.479721,104.06813",4350,262,82
1549040586,2019-02-01T17:03:06Z,SIA22,"1.480133,104.075256",4525,267,91
1549040592,2019-02-01T17:03:12Z,SIA22,"1.479263,104.082748",4625,274,101
1549040601,2019-02-01T17:03:21Z,SIA22,"1.475372,104.094063",4775,284,112
1549040608,2019-02-01T17:03:28Z,SIA22,"1.470585,104.105072",5100,283,113
1549040615,2019-02-01T17:03:35Z,SIA22,"1.467327,104.112366",5350,282,114
1549040632,2019-02-01T17:03:52Z,SIA22,"1.457178,104.134239",5750,296,115
1549040645,2019-02-01T17:04:05Z,SIA22,"1.449692,104.149788",5925,308,115
1549040657,2019-02-01T17:04:17Z,SIA22,"1.442047,104.165237",6100,320,116
1549040670,2019-02-01T17:04:30Z,SIA22,"1.434368,104.180695",6250,330,116
1549040682,2019-02-01T17:04:42Z,SIA22,"1.425848,104.198074",6425,342,115
1549040693,2019-02-01T17:04:53Z,SIA22,"1.417562,104.2155",6550,353,115
1549040705,2019-02-01T17:05:05Z,SIA22,"1.408903,104.23407",6875,356,114
1549040717,2019-02-01T17:05:17Z,SIA22,"1.400617,104.25206",7450,353,114
1549040734,2019-02-01T17:05:34Z,SIA22,"1.390562,104.273895",8025,353,114
1549040744,2019-02-01T17:05:44Z,SIA22,"1.382172,104.292099",8450,353,114
1549040758,2019-02-01T17:05:58Z,SIA22,"1.373886,104.310112",8850,356,114
1549040769,2019-02-01T17:06:09Z,SIA22,"1.365563,104.328163",9175,359,114
1549040782,2019-02-01T17:06:22Z,SIA22,"1.357184,104.346344",9525,361,114
1549040793,2019-02-01T17:06:33Z,SIA22,"1.348479,104.365143",9875,364,114
1549040804,2019-02-01T17:06:44Z,SIA22,"1.340286,104.382874",10325,363,114
1549040818,2019-02-01T17:06:58Z,SIA22,"1.332418,104.402557",10725,365,106
1549040824,2019-02-01T17:07:04Z,SIA22,"1.330353,104.412018",10925,365,98
1549040832,2019-02-01T17:07:12Z,SIA22,"1.329575,104.427094",11225,365,88
1549040838,2019-02-01T17:07:18Z,SIA22,"1.330032,104.437759",11450,365,87
1549040844,2019-02-01T17:07:24Z,SIA22,"1.330556,104.44783",11650,365,87
1549040850,2019-02-01T17:07:30Z,SIA22,"1.331068,104.458099",11850,365,87
1549040863,2019-02-01T17:07:43Z,SIA22,"1.331906,104.478516",12175,367,88
1549040895,2019-02-01T17:08:15Z,SIA22,"1.333303,104.535149",13000,376,88
1549040928,2019-02-01T17:08:48Z,SIA22,"1.334564,104.59343",13700,385,88
1549040961,2019-02-01T17:09:21Z,SIA22,"1.336049,104.653961",14050,404,88
1549040995,2019-02-01T17:09:55Z,SIA22,"1.337585,104.716324",14800,410,88
1549041029,2019-02-01T17:10:29Z,SIA22,"1.339122,104.778503",15650,411,88
1549041061,2019-02-01T17:11:01Z,SIA22,"1.340704,104.842957",16350,417,88
1549041094,2019-02-01T17:11:34Z,SIA22,"1.342209,104.906677",17025,422,88
1549041127,2019-02-01T17:12:07Z,SIA22,"1.34373,104.971336",17550,430,88
1549041160,2019-02-01T17:12:40Z,SIA22,"1.345406,105.038818",18250,434,88
1549041221,2019-02-01T17:13:41Z,SIA22,"1.348297,105.161179",19225,444,88
1549041298,2019-02-01T17:14:58Z,SIA22,"1.352156,105.321663",20625,451,88
1549041358,2019-02-01T17:15:58Z,SIA22,"1.355136,105.447105",21725,454,88
1549041422,2019-02-01T17:17:02Z,SIA22,"1.358322,105.581314",22700,462,88
1549041487,2019-02-01T17:18:07Z,SIA22,"1.364502,105.716499",23825,462,78
1549041498,2019-02-01T17:18:18Z,SIA22,"1.372238,105.742386",24000,463,69
1549041535,2019-02-01T17:18:55Z,SIA22,"1.416352,105.807144",24350,470,43
1549041549,2019-02-01T17:19:09Z,SIA22,"1.441177,105.826736",24450,473,33
1549041556,2019-02-01T17:19:16Z,SIA22,"1.454338,105.834564",24500,474,28
1549041562,2019-02-01T17:19:22Z,SIA22,"1.465302,105.840141",24550,474,26
1549041568,2019-02-01T17:19:28Z,SIA22,"1.477707,105.846008",24700,472,25
1549041634,2019-02-01T17:20:34Z,SIA22,"1.606797,105.913841",25525,480,28
