Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549385872,2019-02-05T16:57:52Z,SIA22,"1.329666,103.985352",0,14,22
1549385970,2019-02-05T16:59:30Z,SIA22,"1.357929,103.997391",350,181,24
1549385981,2019-02-05T16:59:41Z,SIA22,"1.36696,104.001366",900,175,23
1549385987,2019-02-05T16:59:47Z,SIA22,"1.371569,104.003304",1250,171,22
1549385993,2019-02-05T16:59:53Z,SIA22,"1.37558,104.004959",1525,168,22
1549386000,2019-02-05T17:00:00Z,SIA22,"1.380157,104.006775",1800,169,21
1549386011,2019-02-05T17:00:11Z,SIA22,"1.389313,104.010269",2000,183,21
1549386017,2019-02-05T17:00:17Z,SIA22,"1.394348,104.012222",2025,192,21
1549386024,2019-02-05T17:00:24Z,SIA22,"1.399429,104.014275",2100,200,22
1549386037,2019-02-05T17:00:37Z,SIA22,"1.410049,104.018646",2250,214,22
1549386047,2019-02-05T17:00:47Z,SIA22,"1.421566,104.023529",2475,226,23
1549386053,2019-02-05T17:00:53Z,SIA22,"1.427719,104.026146",2625,229,23
1549386060,2019-02-05T17:01:00Z,SIA22,"1.433623,104.028687",2825,231,23
1549386067,2019-02-05T17:01:07Z,SIA22,"1.439529,104.031265",3050,231,23
1549386076,2019-02-05T17:01:16Z,SIA22,"1.451406,104.036453",3350,238,23
1549386085,2019-02-05T17:01:25Z,SIA22,"1.457428,104.039085",3525,241,24
1549386093,2019-02-05T17:01:33Z,SIA22,"1.466628,104.044083",3900,240,34
1549386100,2019-02-05T17:01:40Z,SIA22,"1.471802,104.048485",4150,242,43
1549386108,2019-02-05T17:01:48Z,SIA22,"1.477982,104.05687",4350,253,61
1549386114,2019-02-05T17:01:54Z,SIA22,"1.480591,104.063339",4425,262,73
1549386121,2019-02-05T17:02:01Z,SIA22,"1.481918,104.070923",4500,272,85
1549386130,2019-02-05T17:02:10Z,SIA22,"1.480687,104.082153",4650,283,105
1549386137,2019-02-05T17:02:17Z,SIA22,"1.47789,104.089363",4825,287,115
1549386145,2019-02-05T17:02:25Z,SIA22,"1.472075,104.100006",5100,291,119
1549386151,2019-02-05T17:02:31Z,SIA22,"1.467792,104.107491",5350,290,118
1549386159,2019-02-05T17:02:39Z,SIA22,"1.462143,104.118225",5700,290,116
1549386170,2019-02-05T17:02:50Z,SIA22,"1.455176,104.132629",6200,289,114
1549386185,2019-02-05T17:03:05Z,SIA22,"1.448639,104.146896",6700,286,114
1549386195,2019-02-05T17:03:15Z,SIA22,"1.442368,104.161003",7200,285,113
1549386207,2019-02-05T17:03:27Z,SIA22,"1.435857,104.175392",7650,286,114
1549386218,2019-02-05T17:03:38Z,SIA22,"1.428874,104.190781",8050,288,114
1549386231,2019-02-05T17:03:51Z,SIA22,"1.422134,104.205505",8425,292,114
1549386244,2019-02-05T17:04:04Z,SIA22,"1.415176,104.220734",8800,295,114
1549386256,2019-02-05T17:04:16Z,SIA22,"1.408356,104.235626",9125,298,114
1549386269,2019-02-05T17:04:29Z,SIA22,"1.401077,104.251411",9500,301,114
1549386280,2019-02-05T17:04:40Z,SIA22,"1.394146,104.266411",9925,301,114
1549386292,2019-02-05T17:04:52Z,SIA22,"1.386932,104.28199",10275,306,114
