Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549472112,2019-02-06T16:55:12Z,SIA22,"1.37764,103.989456",375,173,21
1549472118,2019-02-06T16:55:18Z,SIA22,"1.382172,103.991272",650,171,21
1549472129,2019-02-06T16:55:29Z,SIA22,"1.390915,103.994766",1225,164,21
1549472135,2019-02-06T16:55:35Z,SIA22,"1.395035,103.996399",1475,162,21
1549472141,2019-02-06T16:55:41Z,SIA22,"1.399453,103.998146",1700,165,22
1549472148,2019-02-06T16:55:48Z,SIA22,"1.403876,103.999947",1800,171,22
1549472159,2019-02-06T16:55:59Z,SIA22,"1.412979,104.003609",1900,187,22
1549472166,2019-02-06T16:56:06Z,SIA22,"1.417795,104.00563",1975,193,22
1549472172,2019-02-06T16:56:12Z,SIA22,"1.422821,104.007751",2075,198,23
1549472185,2019-02-06T16:56:25Z,SIA22,"1.433902,104.012497",2250,211,23
1549472191,2019-02-06T16:56:31Z,SIA22,"1.439072,104.014969",2350,216,27
1549472199,2019-02-06T16:56:39Z,SIA22,"1.446854,104.020134",2475,228,39
1549472205,2019-02-06T16:56:45Z,SIA22,"1.451477,104.024605",2600,233,48
1549472211,2019-02-06T16:56:51Z,SIA22,"1.455595,104.029823",2725,238,55
1549472219,2019-02-06T16:56:59Z,SIA22,"1.460495,104.038757",2975,245,66
1549472226,2019-02-06T16:57:06Z,SIA22,"1.462784,104.045464",3125,249,74
1549472233,2019-02-06T16:57:13Z,SIA22,"1.463882,104.051895",3200,257,85
1549472254,2019-02-06T16:57:34Z,SIA22,"1.458755,104.077583",3575,278,108
1549472263,2019-02-06T16:57:43Z,SIA22,"1.454711,104.088829",3900,280,109
1549472275,2019-02-06T16:57:55Z,SIA22,"1.449171,104.103508",4350,280,111
1549472281,2019-02-06T16:58:01Z,SIA22,"1.446238,104.110893",4575,282,111
1549472293,2019-02-06T16:58:13Z,SIA22,"1.440326,104.125343",4900,290,112
1549472299,2019-02-06T16:58:19Z,SIA22,"1.437195,104.133072",5000,296,112
1549472312,2019-02-06T16:58:32Z,SIA22,"1.430786,104.148438",5175,307,112
1549472322,2019-02-06T16:58:42Z,SIA22,"1.423893,104.164932",5375,319,112
1549472335,2019-02-06T16:58:55Z,SIA22,"1.41719,104.181694",5575,330,111
1549472348,2019-02-06T16:59:08Z,SIA22,"1.41037,104.198853",5775,340,111
1549472359,2019-02-06T16:59:19Z,SIA22,"1.40332,104.216957",5975,349,111
1549472373,2019-02-06T16:59:33Z,SIA22,"1.395996,104.236046",6200,358,110
1549472382,2019-02-06T16:59:42Z,SIA22,"1.388886,104.25457",6450,365,111
1549472396,2019-02-06T16:59:56Z,SIA22,"1.381484,104.273514",6775,369,110
1549472409,2019-02-06T17:00:09Z,SIA22,"1.374023,104.292702",7225,369,111
1549472418,2019-02-06T17:00:18Z,SIA22,"1.366379,104.312157",7625,370,111
1549472431,2019-02-06T17:00:31Z,SIA22,"1.358813,104.331474",8025,371,111
1549472445,2019-02-06T17:00:45Z,SIA22,"1.351458,104.350273",8325,375,111
1549472457,2019-02-06T17:00:57Z,SIA22,"1.343544,104.370354",8675,378,111
1549472468,2019-02-06T17:01:08Z,SIA22,"1.335817,104.390198",9050,379,110
1549472479,2019-02-06T17:01:19Z,SIA22,"1.330444,104.410248",9450,381,98
1549472486,2019-02-06T17:01:26Z,SIA22,"1.329483,104.42128",9625,384,91
1549472508,2019-02-06T17:01:48Z,SIA22,"1.331068,104.458954",10225,389,87
1549472521,2019-02-06T17:02:01Z,SIA22,"1.331906,104.480927",10550,392,88
1549472530,2019-02-06T17:02:10Z,SIA22,"1.332504,104.501396",11025,389,88
1549472545,2019-02-06T17:02:25Z,SIA22,"1.332977,104.524017",11500,387,88
