Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550077183,2019-02-13T16:59:43Z,SIA22,"1.378691,103.989906",450,172,22
1550077193,2019-02-13T16:59:53Z,SIA22,"1.387573,103.993599",1000,165,22
1550077208,2019-02-13T17:00:08Z,SIA22,"1.398056,103.997887",1650,161,22
1550077220,2019-02-13T17:00:20Z,SIA22,"1.406891,104.001793",1825,180,29
1550077226,2019-02-13T17:00:26Z,SIA22,"1.410859,104.00473",1875,185,39
1550077232,2019-02-13T17:00:32Z,SIA22,"1.414215,104.009056",1950,194,59
1550077239,2019-02-13T17:00:39Z,SIA22,"1.416305,104.014153",2025,201,74
1550077247,2019-02-13T17:00:47Z,SIA22,"1.417465,104.022278",2100,214,86
1550077256,2019-02-13T17:00:56Z,SIA22,"1.417557,104.030983",2250,225,91
1550077265,2019-02-13T17:01:05Z,SIA22,"1.417053,104.040665",2425,232,95
1550077273,2019-02-13T17:01:13Z,SIA22,"1.415141,104.050331",2700,238,105
1550077280,2019-02-13T17:01:20Z,SIA22,"1.41275,104.057381",2875,244,110
1550077286,2019-02-13T17:01:26Z,SIA22,"1.410233,104.063667",3000,249,112
1550077292,2019-02-13T17:01:32Z,SIA22,"1.40744,104.070183",3150,253,113
1550077299,2019-02-13T17:01:39Z,SIA22,"1.404465,104.076935",3375,254,113
1550077308,2019-02-13T17:01:48Z,SIA22,"1.400208,104.086662",3750,254,113
1550077314,2019-02-13T17:01:54Z,SIA22,"1.397265,104.093422",4000,255,114
1550077329,2019-02-13T17:02:09Z,SIA22,"1.388839,104.109283",4500,260,121
1550077335,2019-02-13T17:02:15Z,SIA22,"1.384872,104.115616",4750,261,122
1550077347,2019-02-13T17:02:27Z,SIA22,"1.377319,104.127533",5150,262,122
1550077359,2019-02-13T17:02:39Z,SIA22,"1.369537,104.13987",5550,264,122
1550077370,2019-02-13T17:02:50Z,SIA22,"1.361572,104.15239",5875,267,122
1550077388,2019-02-13T17:03:08Z,SIA22,"1.351179,104.168999",6175,280,121
1550077398,2019-02-13T17:03:18Z,SIA22,"1.343079,104.182213",6600,280,121
1550077410,2019-02-13T17:03:30Z,SIA22,"1.335251,104.195969",7025,282,114
1550077416,2019-02-13T17:03:36Z,SIA22,"1.332604,104.203285",7275,280,105
1550077422,2019-02-13T17:03:42Z,SIA22,"1.33136,104.211098",7500,281,94
1550077428,2019-02-13T17:03:48Z,SIA22,"1.331115,104.218819",7625,285,90
1550077449,2019-02-13T17:04:09Z,SIA22,"1.331543,104.24778",7900,307,89
1550077463,2019-02-13T17:04:23Z,SIA22,"1.331635,104.265099",8100,317,90
1550077474,2019-02-13T17:04:34Z,SIA22,"1.331487,104.283081",8500,319,90
1550077487,2019-02-13T17:04:47Z,SIA22,"1.331268,104.30085",8900,321,90
1550077499,2019-02-13T17:04:59Z,SIA22,"1.331039,104.319511",9300,323,90
1550077511,2019-02-13T17:05:11Z,SIA22,"1.330811,104.337669",9500,333,90
1550077524,2019-02-13T17:05:24Z,SIA22,"1.330627,104.356148",9650,343,90
1550077534,2019-02-13T17:05:34Z,SIA22,"1.330353,104.375938",9850,351,90
1550077546,2019-02-13T17:05:46Z,SIA22,"1.330091,104.394836",10175,353,90
1550077558,2019-02-13T17:05:58Z,SIA22,"1.329904,104.415108",10575,355,90
1550077572,2019-02-13T17:06:12Z,SIA22,"1.329941,104.434593",10900,358,89
1550077584,2019-02-13T17:06:24Z,SIA22,"1.330416,104.455261",11275,360,88
1550077595,2019-02-13T17:06:35Z,SIA22,"1.331085,104.474998",11500,367,87
1550077607,2019-02-13T17:06:47Z,SIA22,"1.331818,104.495346",11625,376,87
