Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550163893,2019-02-14T17:04:53Z,SIA22,"1.355136,103.996155",275,175,23
1550163900,2019-02-14T17:05:00Z,SIA22,"1.359467,103.998024",525,173,23
1550163906,2019-02-14T17:05:06Z,SIA22,"1.365784,104.00161",975,170,39
1550163913,2019-02-14T17:05:13Z,SIA22,"1.368942,104.00515",1250,171,55
1550163923,2019-02-14T17:05:23Z,SIA22,"1.371941,104.011543",1625,171,69
1550163929,2019-02-14T17:05:29Z,SIA22,"1.37357,104.016281",1850,173,71
1550163938,2019-02-14T17:05:38Z,SIA22,"1.375671,104.023209",2000,182,73
1550163948,2019-02-14T17:05:48Z,SIA22,"1.377993,104.031006",2125,192,73
1550163958,2019-02-14T17:05:58Z,SIA22,"1.381027,104.041275",2300,203,73
1550163964,2019-02-14T17:06:04Z,SIA22,"1.382695,104.046921",2400,209,73
1550163971,2019-02-14T17:06:11Z,SIA22,"1.384323,104.052444",2500,215,73
1550163980,2019-02-14T17:06:20Z,SIA22,"1.386978,104.061478",2650,225,73
1550163992,2019-02-14T17:06:32Z,SIA22,"1.390732,104.074234",2950,232,73
1550163998,2019-02-14T17:06:38Z,SIA22,"1.392564,104.080353",3150,234,73
1550164009,2019-02-14T17:06:49Z,SIA22,"1.396408,104.092949",3500,238,73
1550164016,2019-02-14T17:06:56Z,SIA22,"1.398331,104.09951",3700,241,73
1550164029,2019-02-14T17:07:09Z,SIA22,"1.401627,104.11245",4075,246,79
1550164037,2019-02-14T17:07:17Z,SIA22,"1.403038,104.123116",4325,252,85
1550164061,2019-02-14T17:07:41Z,SIA22,"1.399127,104.152145",4825,273,104
1550164067,2019-02-14T17:07:47Z,SIA22,"1.397186,104.159378",5050,273,105
1550164083,2019-02-14T17:08:03Z,SIA22,"1.391679,104.178047",5525,277,106
1550164096,2019-02-14T17:08:16Z,SIA22,"1.387257,104.192444",5850,283,106
1550164107,2019-02-14T17:08:27Z,SIA22,"1.382695,104.207832",6225,287,106
1550164118,2019-02-14T17:08:38Z,SIA22,"1.378464,104.222969",6675,286,105
1550164132,2019-02-14T17:08:52Z,SIA22,"1.374252,104.238419",7100,287,105
1550164142,2019-02-14T17:09:02Z,SIA22,"1.369949,104.253967",7550,287,105
1550164156,2019-02-14T17:09:16Z,SIA22,"1.36561,104.269539",8075,282,105
1550164166,2019-02-14T17:09:26Z,SIA22,"1.361664,104.28437",8525,282,104
1550164178,2019-02-14T17:09:38Z,SIA22,"1.357773,104.299355",8925,284,104
1550164190,2019-02-14T17:09:50Z,SIA22,"1.35379,104.314537",9250,288,104
1550164202,2019-02-14T17:10:02Z,SIA22,"1.349625,104.33036",9575,292,104
1550164215,2019-02-14T17:10:15Z,SIA22,"1.345127,104.347153",9975,294,104
1550164227,2019-02-14T17:10:27Z,SIA22,"1.34103,104.362732",10250,299,104
1550164238,2019-02-14T17:10:38Z,SIA22,"1.336794,104.378876",10400,309,104
1550164251,2019-02-14T17:10:51Z,SIA22,"1.332321,104.396324",10550,320,103
1550164264,2019-02-14T17:11:04Z,SIA22,"1.329625,104.414253",10700,330,92
1550164272,2019-02-14T17:11:12Z,SIA22,"1.329765,104.428741",10800,338,87
1550164278,2019-02-14T17:11:18Z,SIA22,"1.330184,104.438072",10875,344,87
1550164284,2019-02-14T17:11:24Z,SIA22,"1.330649,104.447685",10925,348,87
1550164298,2019-02-14T17:11:38Z,SIA22,"1.331543,104.471924",11100,360,88
1550164313,2019-02-14T17:11:53Z,SIA22,"1.332139,104.492622",11300,367,88
1550164322,2019-02-14T17:12:02Z,SIA22,"1.332604,104.513649",11600,371,88
1550164334,2019-02-14T17:12:14Z,SIA22,"1.333054,104.532631",11900,373,88
1550164347,2019-02-14T17:12:27Z,SIA22,"1.333535,104.554947",12225,377,88
1550164379,2019-02-14T17:12:59Z,SIA22,"1.334792,104.607979",13100,380,88
1550164410,2019-02-14T17:13:30Z,SIA22,"1.336212,104.665955",13925,387,88
1550164445,2019-02-14T17:14:05Z,SIA22,"1.337679,104.726418",14725,394,88
1550164479,2019-02-14T17:14:39Z,SIA22,"1.339142,104.787735",15075,412,88
1550164512,2019-02-14T17:15:12Z,SIA22,"1.340744,104.85305",15725,420,88
1550164544,2019-02-14T17:15:44Z,SIA22,"1.342287,104.917778",16450,426,88
1550164576,2019-02-14T17:16:16Z,SIA22,"1.343765,104.980042",17275,426,88
1550164610,2019-02-14T17:16:50Z,SIA22,"1.345453,105.047859",18075,428,88
1550164673,2019-02-14T17:17:53Z,SIA22,"1.348479,105.174248",19325,434,88
1550164743,2019-02-14T17:19:03Z,SIA22,"1.35183,105.314659",20725,440,88
1550164763,2019-02-14T17:19:23Z,SIA22,"1.352783,105.355583",21050,443,88
1550164815,2019-02-14T17:20:15Z,SIA22,"1.35704,105.461349",22475,433,80
1550164843,2019-02-14T17:20:43Z,SIA22,"1.376038,105.511795",23125,432,61
1550164854,2019-02-14T17:20:54Z,SIA22,"1.389631,105.530457",23600,424,50
1550164861,2019-02-14T17:21:01Z,SIA22,"1.398755,105.540588",23775,424,46
