Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550769434,2019-02-21T17:17:14Z,SIA22,"1.345581,103.985466",0,19,112
1550769618,2019-02-21T17:20:18Z,SIA22,"1.335223,103.985451",0,19,202
1550769747,2019-02-21T17:22:27Z,SIA22,"1.329765,103.983521",0,18,191
1550769778,2019-02-21T17:22:58Z,SIA22,"1.329014,103.984779",0,29,109
1550769855,2019-02-21T17:24:15Z,SIA22,"1.355368,103.996201",225,183,23
1550769861,2019-02-21T17:24:21Z,SIA22,"1.36007,103.998192",525,178,22
1550769867,2019-02-21T17:24:27Z,SIA22,"1.364685,104.000031",850,173,21
1550769873,2019-02-21T17:24:33Z,SIA22,"1.369125,104.001793",1175,171,21
1550769879,2019-02-21T17:24:39Z,SIA22,"1.373749,104.003609",1475,168,21
1550769885,2019-02-21T17:24:45Z,SIA22,"1.378143,104.00547",1750,167,24
1550769891,2019-02-21T17:24:51Z,SIA22,"1.382182,104.007523",1950,171,28
1550769897,2019-02-21T17:24:57Z,SIA22,"1.386372,104.009987",2050,178,30
1550769903,2019-02-21T17:25:03Z,SIA22,"1.390981,104.01268",2150,184,30
1550769910,2019-02-21T17:25:10Z,SIA22,"1.395355,104.015297",2225,190,32
1550769918,2019-02-21T17:25:18Z,SIA22,"1.400803,104.019547",2350,198,43
1550769925,2019-02-21T17:25:25Z,SIA22,"1.405243,104.02475",2475,204,51
1550769934,2019-02-21T17:25:34Z,SIA22,"1.408951,104.032379",2600,218,71
1550769940,2019-02-21T17:25:40Z,SIA22,"1.410187,104.038429",2700,226,83
1550769965,2019-02-21T17:26:05Z,SIA22,"1.406021,104.065666",3075,258,108
1550769973,2019-02-21T17:26:13Z,SIA22,"1.402496,104.075813",3200,268,109
1550769985,2019-02-21T17:26:25Z,SIA22,"1.397369,104.090759",3525,273,107
1550769991,2019-02-21T17:26:31Z,SIA22,"1.395031,104.098251",3775,272,107
1550769998,2019-02-21T17:26:38Z,SIA22,"1.392796,104.105591",4050,270,106
1550770008,2019-02-21T17:26:48Z,SIA22,"1.388979,104.119514",4625,265,104
1550770017,2019-02-21T17:26:57Z,SIA22,"1.387117,104.127045",4875,265,103
1550770033,2019-02-21T17:27:13Z,SIA22,"1.382355,104.148994",5325,275,101
1550770045,2019-02-21T17:27:25Z,SIA22,"1.379608,104.16394",5575,284,99
1550770057,2019-02-21T17:27:37Z,SIA22,"1.376876,104.179794",5750,296,99
1550770068,2019-02-21T17:27:48Z,SIA22,"1.37384,104.19648",5875,308,100
1550770080,2019-02-21T17:28:00Z,SIA22,"1.37059,104.214027",6025,321,100
1550770093,2019-02-21T17:28:13Z,SIA22,"1.367193,104.231606",6175,332,101
1550770105,2019-02-21T17:28:25Z,SIA22,"1.363358,104.250435",6350,342,101
1550770116,2019-02-21T17:28:36Z,SIA22,"1.359238,104.269661",6525,352,102
1550770129,2019-02-21T17:28:49Z,SIA22,"1.354903,104.289001",6750,359,102
1550770141,2019-02-21T17:29:01Z,SIA22,"1.350667,104.308083",7175,359,102
1550770152,2019-02-21T17:29:12Z,SIA22,"1.346512,104.328033",7575,361,101
1550770166,2019-02-21T17:29:26Z,SIA22,"1.342575,104.348099",7875,365,101
1550770176,2019-02-21T17:29:36Z,SIA22,"1.338409,104.368118",8225,369,102
1550770190,2019-02-21T17:29:50Z,SIA22,"1.334047,104.388115",8625,370,102
1550770201,2019-02-21T17:30:01Z,SIA22,"1.330582,104.408386",9000,371,96
1550770207,2019-02-21T17:30:07Z,SIA22,"1.329997,104.419174",9200,370,90
1550770214,2019-02-21T17:30:14Z,SIA22,"1.330124,104.429428",9425,370,88
1550770220,2019-02-21T17:30:20Z,SIA22,"1.330536,104.439018",9625,369,87
1550770228,2019-02-21T17:30:28Z,SIA22,"1.331254,104.453842",9975,367,87
1550770242,2019-02-21T17:30:42Z,SIA22,"1.331953,104.474915",10375,369,88
1550770252,2019-02-21T17:30:52Z,SIA22,"1.332465,104.495842",10700,372,88
1550770266,2019-02-21T17:31:06Z,SIA22,"1.332916,104.516708",10975,376,88
1550770277,2019-02-21T17:31:17Z,SIA22,"1.333396,104.537659",11250,379,88
1550770291,2019-02-21T17:31:31Z,SIA22,"1.333815,104.558876",11575,382,88
1550770303,2019-02-21T17:31:43Z,SIA22,"1.334327,104.580658",11925,383,88
1550770314,2019-02-21T17:31:54Z,SIA22,"1.334839,104.601715",12225,386,88
1550770346,2019-02-21T17:32:26Z,SIA22,"1.336304,104.660461",12975,393,88
1550770380,2019-02-21T17:33:00Z,SIA22,"1.337769,104.720657",13300,397,88
1550770410,2019-02-21T17:33:30Z,SIA22,"1.339168,104.777557",14025,403,88
1550770443,2019-02-21T17:34:03Z,SIA22,"1.340698,104.839317",15150,398,88
1550770477,2019-02-21T17:34:37Z,SIA22,"1.342101,104.89959",16400,389,88
1550770506,2019-02-21T17:35:06Z,SIA22,"1.343399,104.953415",17275,388,88
1550770541,2019-02-21T17:35:41Z,SIA22,"1.34491,105.013748",18025,392,88
1550770602,2019-02-21T17:36:42Z,SIA22,"1.347641,105.129547",19275,405,88
1550770667,2019-02-21T17:37:47Z,SIA22,"1.35054,105.251022",20575,416,88
1550770726,2019-02-21T17:38:46Z,SIA22,"1.353241,105.363678",21725,423,88
1550770791,2019-02-21T17:39:51Z,SIA22,"1.356308,105.493286",23025,431,88
1550770851,2019-02-21T17:40:51Z,SIA22,"1.359146,105.61367",24500,428,88
1550770911,2019-02-21T17:41:51Z,SIA22,"1.364914,105.73172",25725,426,77
1550770920,2019-02-21T17:42:00Z,SIA22,"1.370638,105.750229",25950,426,69
1550770926,2019-02-21T17:42:06Z,SIA22,"1.375168,105.76059",26050,425,64
1550770932,2019-02-21T17:42:12Z,SIA22,"1.379855,105.76931",26150,425,60
1550770939,2019-02-21T17:42:19Z,SIA22,"1.387299,105.780975",26275,425,55
1550770946,2019-02-21T17:42:26Z,SIA22,"1.394531,105.790283",26375,425,51
1550770953,2019-02-21T17:42:33Z,SIA22,"1.406708,105.803322",26475,427,44
1550770960,2019-02-21T17:42:40Z,SIA22,"1.416026,105.811409",26550,427,39
1550770969,2019-02-21T17:42:49Z,SIA22,"1.430504,105.821777",26675,429,32
1550770975,2019-02-21T17:42:55Z,SIA22,"1.440885,105.827698",26775,429,28
1550770981,2019-02-21T17:43:01Z,SIA22,"1.452164,105.833344",26875,430,25
1550770988,2019-02-21T17:43:08Z,SIA22,"1.463556,105.838783",26975,430,25
1550771054,2019-02-21T17:44:14Z,SIA22,"1.580774,105.900391",27925,435,27
1550771116,2019-02-21T17:45:16Z,SIA22,"1.694362,105.95916",28500,445,27
1550771158,2019-02-21T17:45:58Z,SIA22,"1.771592,105.999123",28900,450,27
1550771271,2019-02-21T17:47:51Z,SIA22,"1.986191,106.110146",29850,467,27
1550771314,2019-02-21T17:48:34Z,SIA22,"2.068502,106.152695",30300,472,27
1550771352,2019-02-21T17:49:12Z,SIA22,"2.143498,106.191528",30525,478,27
1550771439,2019-02-21T17:50:39Z,SIA22,"2.318298,106.282066",31075,491,27
1550771455,2019-02-21T17:50:55Z,SIA22,"2.350283,106.298645",31150,493,27
1550771558,2019-02-21T17:52:38Z,SIA22,"2.560867,106.407661",32100,498,27
1550771565,2019-02-21T17:52:45Z,SIA22,"2.575177,106.415092",32150,498,27
1550771625,2019-02-21T17:53:45Z,SIA22,"2.698975,106.479118",33050,491,27
1550771717,2019-02-21T17:55:17Z,SIA22,"2.880466,106.573067",34300,479,27
1550771772,2019-02-21T17:56:12Z,SIA22,"2.988328,106.628944",34700,480,27
1550771856,2019-02-21T17:57:36Z,SIA22,"3.157126,106.716408",35000,485,27
1550771922,2019-02-21T17:58:42Z,SIA22,"3.289893,106.785172",35000,495,27
1550779297,2019-02-21T20:01:37Z,SIA22,"16.837572,117.631889",35000,532,47
1550779361,2019-02-21T20:02:41Z,SIA22,"16.942932,117.751656",35025,530,47
1550779422,2019-02-21T20:03:42Z,SIA22,"17.043938,117.866722",35000,533,47
1550779485,2019-02-21T20:04:45Z,SIA22,"17.150682,117.988602",35000,535,47
1550779549,2019-02-21T20:05:49Z,SIA22,"17.256866,118.109962",35000,533,47
1550779610,2019-02-21T20:06:50Z,SIA22,"17.358492,118.226379",35000,535,47
1550779673,2019-02-21T20:07:53Z,SIA22,"17.46524,118.348869",35000,535,47
1550779734,2019-02-21T20:08:54Z,SIA22,"17.565695,118.464401",35000,535,47
1550779794,2019-02-21T20:09:54Z,SIA22,"17.66629,118.580208",35000,538,47
1550779858,2019-02-21T20:10:58Z,SIA22,"17.773087,118.703453",35000,538,47
1550779919,2019-02-21T20:11:59Z,SIA22,"17.874756,118.821014",35000,537,47
1550779982,2019-02-21T20:13:02Z,SIA22,"17.981323,118.944397",35000,538,47
1550780046,2019-02-21T20:14:06Z,SIA22,"18.088303,119.06852",35000,542,47
1550780107,2019-02-21T20:15:07Z,SIA22,"18.190338,119.187241",35000,540,48
1550780168,2019-02-21T20:16:08Z,SIA22,"18.292557,119.306274",35000,543,48
1550780231,2019-02-21T20:17:11Z,SIA22,"18.399811,119.431488",35000,545,48
1550780292,2019-02-21T20:18:12Z,SIA22,"18.502512,119.551575",35000,544,48
1550780356,2019-02-21T20:19:16Z,SIA22,"18.609444,119.676872",35000,543,48
1550780417,2019-02-21T20:20:17Z,SIA22,"18.711044,119.796196",35000,541,48
1550780480,2019-02-21T20:21:20Z,SIA22,"18.817066,119.920967",35000,543,48
