Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549664041,2019-02-08T22:14:01Z,DAL200,"33.640068,-84.426201",0,0,0
1549664601,2019-02-08T22:23:21Z,DAL200,"33.640057,-84.426186",0,0,148
1549664903,2019-02-08T22:28:23Z,DAL200,"33.640068,-84.426186",0,0,299
1549664964,2019-02-08T22:29:24Z,DAL200,"33.640068,-84.426193",0,0,89
1549665091,2019-02-08T22:31:31Z,DAL200,"33.640079,-84.426193",0,0,329
1549665195,2019-02-08T22:33:15Z,DAL200,"33.640057,-84.426186",0,0,89
1549665351,2019-02-08T22:35:51Z,DAL200,"33.640068,-84.426193",0,0,51
1549665883,2019-02-08T22:44:43Z,DAL200,"33.640068,-84.426193",0,0,89
1549666084,2019-02-08T22:48:04Z,DAL200,"33.640068,-84.426201",0,0,271
1549668351,2019-02-08T23:25:51Z,DAL200,"33.640068,-84.426186",0,0,89
1549668462,2019-02-08T23:27:42Z,DAL200,"33.640068,-84.426399",0,10,90
1549668480,2019-02-08T23:28:00Z,DAL200,"33.640057,-84.426666",0,10,95
1549668495,2019-02-08T23:28:15Z,DAL200,"33.640034,-84.426895",0,10,115
1549668511,2019-02-08T23:28:31Z,DAL200,"33.640068,-84.427101",0,9,143
1549668531,2019-02-08T23:28:51Z,DAL200,"33.64024,-84.427322",0,9,177
1549668667,2019-02-08T23:31:07Z,DAL200,"33.640377,-84.427338",0,0,42
1549668756,2019-02-08T23:32:36Z,DAL200,"33.640079,-84.427345",0,14,180
1549668769,2019-02-08T23:32:49Z,DAL200,"33.639656,-84.427338",0,22,180
1549668775,2019-02-08T23:32:55Z,DAL200,"33.63937,-84.427345",0,25,180
1549668781,2019-02-08T23:33:01Z,DAL200,"33.639076,-84.427345",0,26,180
1549668790,2019-02-08T23:33:10Z,DAL200,"33.638611,-84.427345",0,27,180
1549668796,2019-02-08T23:33:16Z,DAL200,"33.638294,-84.427338",0,27,180
1549668808,2019-02-08T23:33:28Z,DAL200,"33.637608,-84.427338",0,29,180
1549668815,2019-02-08T23:33:35Z,DAL200,"33.637276,-84.427338",0,27,180
1549668826,2019-02-08T23:33:46Z,DAL200,"33.636738,-84.427269",0,21,163
1549668833,2019-02-08T23:33:53Z,DAL200,"33.6366,-84.427017",0,23,126
1549668839,2019-02-08T23:33:59Z,DAL200,"33.636551,-84.426613",0,27,98
1549668853,2019-02-08T23:34:13Z,DAL200,"33.636551,-84.425629",0,33,90
1549668859,2019-02-08T23:34:19Z,DAL200,"33.636551,-84.425095",0,15,90
1549668865,2019-02-08T23:34:25Z,DAL200,"33.636551,-84.424538",0,16,90
1549668874,2019-02-08T23:34:34Z,DAL200,"33.636555,-84.423615",0,18,90
1549668881,2019-02-08T23:34:41Z,DAL200,"33.636555,-84.422981",0,19,90
1549668887,2019-02-08T23:34:47Z,DAL200,"33.636551,-84.422279",0,20,90
1549668899,2019-02-08T23:34:59Z,DAL200,"33.636543,-84.420792",0,22,90
1549668905,2019-02-08T23:35:05Z,DAL200,"33.636551,-84.420021",0,23,90
1549668917,2019-02-08T23:35:17Z,DAL200,"33.636551,-84.418419",0,24,90
1549668926,2019-02-08T23:35:26Z,DAL200,"33.636555,-84.417267",0,22,90
1549668932,2019-02-08T23:35:32Z,DAL200,"33.636551,-84.416542",0,22,90
1549668943,2019-02-08T23:35:43Z,DAL200,"33.636555,-84.415024",0,23,90
1549668949,2019-02-08T23:35:49Z,DAL200,"33.636555,-84.414185",0,23,90
1549668958,2019-02-08T23:35:58Z,DAL200,"33.636555,-84.413101",0,22,90
1549668965,2019-02-08T23:36:05Z,DAL200,"33.636562,-84.412338",0,22,90
1549668976,2019-02-08T23:36:16Z,DAL200,"33.636551,-84.410904",0,20,90
1549668982,2019-02-08T23:36:22Z,DAL200,"33.636555,-84.410233",0,18,90
1549668989,2019-02-08T23:36:29Z,DAL200,"33.636551,-84.409622",0,19,90
1549669000,2019-02-08T23:36:40Z,DAL200,"33.636562,-84.408447",0,16,90
1549669007,2019-02-08T23:36:47Z,DAL200,"33.636566,-84.40799",0,27,90
1549669013,2019-02-08T23:36:53Z,DAL200,"33.636482,-84.407669",0,24,106
1549669021,2019-02-08T23:37:01Z,DAL200,"33.636135,-84.407455",0,23,157
1549669030,2019-02-08T23:37:10Z,DAL200,"33.635876,-84.40744",0,14,174
1549669040,2019-02-08T23:37:20Z,DAL200,"33.635674,-84.40744",0,17,180
1549669046,2019-02-08T23:37:26Z,DAL200,"33.635422,-84.40744",0,23,180
1549669052,2019-02-08T23:37:32Z,DAL200,"33.635143,-84.40744",0,28,180
1549669058,2019-02-08T23:37:38Z,DAL200,"33.634861,-84.407455",0,21,182
1549669069,2019-02-08T23:37:49Z,DAL200,"33.634712,-84.407715",0,13,233
1549669077,2019-02-08T23:37:57Z,DAL200,"33.634712,-84.407928",0,14,258
1549669088,2019-02-08T23:38:08Z,DAL200,"33.634712,-84.408203",0,14,267
1549669100,2019-02-08T23:38:20Z,DAL200,"33.634712,-84.408615",0,20,270
1549669106,2019-02-08T23:38:26Z,DAL200,"33.634712,-84.409195",0,20,270
1549669114,2019-02-08T23:38:34Z,DAL200,"33.634712,-84.411751",0,63,270
1549669120,2019-02-08T23:38:40Z,DAL200,"33.634724,-84.413895",0,86,270
1549669127,2019-02-08T23:38:47Z,DAL200,"33.634735,-84.418556",575,116,269
1549669133,2019-02-08T23:38:53Z,DAL200,"33.634735,-84.422897",575,136,269
1549669139,2019-02-08T23:38:59Z,DAL200,"33.634735,-84.428528",575,162,270
1549669165,2019-02-08T23:39:25Z,DAL200,"33.634132,-84.456421",1500,192,267
1549669175,2019-02-08T23:39:35Z,DAL200,"33.633316,-84.465858",1975,191,265
1549669183,2019-02-08T23:39:43Z,DAL200,"33.632309,-84.47242",2200,193,259
1549669195,2019-02-08T23:39:55Z,DAL200,"33.628963,-84.485664",2475,211,249
1549669205,2019-02-08T23:40:05Z,DAL200,"33.62384,-84.499496",2675,232,244
1549669212,2019-02-08T23:40:12Z,DAL200,"33.621143,-84.505981",2775,237,243
1549669221,2019-02-08T23:40:21Z,DAL200,"33.616394,-84.51725",2950,247,243
1549669230,2019-02-08T23:40:30Z,DAL200,"33.610291,-84.531502",3200,266,242
1549669239,2019-02-08T23:40:39Z,DAL200,"33.605713,-84.542374",3450,274,243
1549669245,2019-02-08T23:40:45Z,DAL200,"33.603333,-84.548035",3575,277,243
1549669255,2019-02-08T23:40:55Z,DAL200,"33.596924,-84.561821",4025,284,239
1549669261,2019-02-08T23:41:01Z,DAL200,"33.589737,-84.5718",4475,288,226
1549669272,2019-02-08T23:41:12Z,DAL200,"33.578083,-84.581055",4975,294,209
1549669281,2019-02-08T23:41:21Z,DAL200,"33.566399,-84.585175",5325,300,193
1549669287,2019-02-08T23:41:27Z,DAL200,"33.557831,-84.586029",5650,301,184
1549669293,2019-02-08T23:41:33Z,DAL200,"33.549133,-84.586205",6050,301,180
1549669314,2019-02-08T23:41:54Z,DAL200,"33.519196,-84.585251",7325,294,177
1549669326,2019-02-08T23:42:06Z,DAL200,"33.502949,-84.584473",8025,290,177
1549669335,2019-02-08T23:42:15Z,DAL200,"33.49054,-84.582039",8475,294,167
1549669341,2019-02-08T23:42:21Z,DAL200,"33.482849,-84.578575",8675,300,157
1549669347,2019-02-08T23:42:27Z,DAL200,"33.475388,-84.573311",8850,308,146
1549669353,2019-02-08T23:42:33Z,DAL200,"33.469528,-84.567154",9025,313,138
1549669362,2019-02-08T23:42:42Z,DAL200,"33.462982,-84.557266",9275,320,125
1549669369,2019-02-08T23:42:49Z,DAL200,"33.457188,-84.542656",9450,327,112
1549669377,2019-02-08T23:42:57Z,DAL200,"33.455154,-84.531776",9525,335,101
1549669384,2019-02-08T23:43:04Z,DAL200,"33.454254,-84.515244",9650,345,92
1549669390,2019-02-08T23:43:10Z,DAL200,"33.454147,-84.504089",9750,352,90
1549669411,2019-02-08T23:43:31Z,DAL200,"33.454971,-84.460526",10250,372,88
1549669423,2019-02-08T23:43:43Z,DAL200,"33.455463,-84.435539",10575,382,88
1549669437,2019-02-08T23:43:57Z,DAL200,"33.455742,-84.409698",10875,392,89
1549669449,2019-02-08T23:44:09Z,DAL200,"33.455887,-84.383568",11175,402,89
1549669461,2019-02-08T23:44:21Z,DAL200,"33.456757,-84.356049",11675,404,86
1549669471,2019-02-08T23:44:31Z,DAL200,"33.459457,-84.330009",12200,406,81
1549669479,2019-02-08T23:44:39Z,DAL200,"33.461422,-84.316818",12450,408,79
1549669485,2019-02-08T23:44:45Z,DAL200,"33.465286,-84.297028",12700,413,75
1549669492,2019-02-08T23:44:52Z,DAL200,"33.468521,-84.283371",12850,417,73
1549669526,2019-02-08T23:45:26Z,DAL200,"33.487583,-84.208862",14150,426,72
1549669560,2019-02-08T23:46:00Z,DAL200,"33.507511,-84.132515",15150,443,72
1549669592,2019-02-08T23:46:32Z,DAL200,"33.527435,-84.054253",16350,452,73
1549669624,2019-02-08T23:47:04Z,DAL200,"33.547485,-83.973381",17050,473,73
1549669657,2019-02-08T23:47:37Z,DAL200,"33.568863,-83.887566",17925,488,73
1549669691,2019-02-08T23:48:11Z,DAL200,"33.592793,-83.804054",19200,490,68
1549669753,2019-02-08T23:49:13Z,DAL200,"33.650894,-83.642784",20950,509,69
