Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550100150,2019-02-13T23:22:30Z,DAL200,"33.640263,-84.423347",0,0,42
1550100739,2019-02-13T23:32:19Z,DAL200,"33.639973,-84.423584",0,0,215
1550100749,2019-02-13T23:32:29Z,DAL200,"33.640263,-84.423347",0,0,118
1550100913,2019-02-13T23:35:13Z,DAL200,"33.639999,-84.423332",0,10,171
1550100933,2019-02-13T23:35:33Z,DAL200,"33.639751,-84.423325",0,11,5
1550100954,2019-02-13T23:35:54Z,DAL200,"33.639496,-84.423363",0,11,2
1550100975,2019-02-13T23:36:15Z,DAL200,"33.639244,-84.42337",0,11,188
1550100994,2019-02-13T23:36:34Z,DAL200,"33.63903,-84.423363",0,10,173
1550101018,2019-02-13T23:36:58Z,DAL200,"33.638821,-84.423363",0,2,180
1550101144,2019-02-13T23:39:04Z,DAL200,"33.639301,-84.422798",0,21,90
1550101157,2019-02-13T23:39:17Z,DAL200,"33.639004,-84.422432",0,25,154
1550101163,2019-02-13T23:39:23Z,DAL200,"33.638638,-84.422363",0,28,171
1550101169,2019-02-13T23:39:29Z,DAL200,"33.638287,-84.422333",0,31,177
1550101177,2019-02-13T23:39:37Z,DAL200,"33.637871,-84.422333",0,22,180
1550101307,2019-02-13T23:41:47Z,DAL200,"33.637554,-84.422333",0,15,180
1550101313,2019-02-13T23:41:53Z,DAL200,"33.637321,-84.422333",0,22,180
1550101319,2019-02-13T23:41:59Z,DAL200,"33.636993,-84.422333",0,30,180
1550101325,2019-02-13T23:42:05Z,DAL200,"33.636646,-84.422333",0,34,180
1550101332,2019-02-13T23:42:12Z,DAL200,"33.636223,-84.422348",0,32,180
1550101347,2019-02-13T23:42:27Z,DAL200,"33.635796,-84.421951",0,26,101
1550101353,2019-02-13T23:42:33Z,DAL200,"33.635818,-84.421562",0,28,90
1550101363,2019-02-13T23:42:43Z,DAL200,"33.635822,-84.420906",0,31,90
1550101372,2019-02-13T23:42:52Z,DAL200,"33.635822,-84.420235",0,33,90
1550101381,2019-02-13T23:43:01Z,DAL200,"33.635818,-84.419342",0,16,90
1550101388,2019-02-13T23:43:08Z,DAL200,"33.635822,-84.418663",0,17,90
1550101395,2019-02-13T23:43:15Z,DAL200,"33.635818,-84.418144",0,17,90
1550101407,2019-02-13T23:43:27Z,DAL200,"33.635822,-84.417023",0,17,90
1550101413,2019-02-13T23:43:33Z,DAL200,"33.635822,-84.416481",0,17,90
