Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550355357,2019-02-16T22:15:57Z,DAL200,"33.641212,-84.424843",0,0,51
1550359082,2019-02-16T23:18:02Z,DAL200,"33.641209,-84.424835",0,0,331
1550359480,2019-02-16T23:24:40Z,DAL200,"33.641186,-84.424896",0,0,223
1550359548,2019-02-16T23:25:48Z,DAL200,"33.641357,-84.424652",0,9,222
1550359579,2019-02-16T23:26:19Z,DAL200,"33.641628,-84.42437",0,14,208
1550359590,2019-02-16T23:26:30Z,DAL200,"33.64183,-84.424202",0,15,188
1550359602,2019-02-16T23:26:42Z,DAL200,"33.642056,-84.424149",0,13,180
1550359616,2019-02-16T23:26:56Z,DAL200,"33.6423,-84.424156",0,14,180
1550359808,2019-02-16T23:30:08Z,DAL200,"33.642078,-84.423882",0,16,140
1550359817,2019-02-16T23:30:17Z,DAL200,"33.642025,-84.423569",0,20,90
1550359824,2019-02-16T23:30:24Z,DAL200,"33.642033,-84.423294",0,22,90
1550359832,2019-02-16T23:30:32Z,DAL200,"33.641998,-84.422821",0,25,106
1550359841,2019-02-16T23:30:41Z,DAL200,"33.64172,-84.422462",0,26,149
1550359847,2019-02-16T23:30:47Z,DAL200,"33.641441,-84.422394",0,24,171
1550359855,2019-02-16T23:30:55Z,DAL200,"33.641121,-84.422348",0,23,180
1550359865,2019-02-16T23:31:05Z,DAL200,"33.640755,-84.422379",0,20,180
1550359875,2019-02-16T23:31:15Z,DAL200,"33.640423,-84.422379",0,21,180
1550359886,2019-02-16T23:31:26Z,DAL200,"33.640137,-84.422394",0,10,182
1550359941,2019-02-16T23:32:21Z,DAL200,"33.640137,-84.422394",0,0,182
1550359989,2019-02-16T23:33:09Z,DAL200,"33.63987,-84.422424",0,16,188
1550359998,2019-02-16T23:33:18Z,DAL200,"33.639603,-84.422539",0,21,202
1550360004,2019-02-16T23:33:24Z,DAL200,"33.639393,-84.422691",0,23,213
1550360010,2019-02-16T23:33:30Z,DAL200,"33.639172,-84.422905",0,26,216
1550360016,2019-02-16T23:33:36Z,DAL200,"33.638947,-84.423119",0,28,219
1550360022,2019-02-16T23:33:42Z,DAL200,"33.638695,-84.423363",0,29,216
1550360028,2019-02-16T23:33:48Z,DAL200,"33.638443,-84.423622",0,30,222
1550360034,2019-02-16T23:33:54Z,DAL200,"33.638241,-84.423912",0,28,230
1550360041,2019-02-16T23:34:01Z,DAL200,"33.63802,-84.424118",0,24,210
1550360051,2019-02-16T23:34:11Z,DAL200,"33.637634,-84.424149",0,23,180
1550360058,2019-02-16T23:34:18Z,DAL200,"33.63723,-84.424156",0,25,180
1550360065,2019-02-16T23:34:25Z,DAL200,"33.636959,-84.424149",0,27,180
1550360072,2019-02-16T23:34:32Z,DAL200,"33.636585,-84.424149",0,31,180
1550360081,2019-02-16T23:34:41Z,DAL200,"33.63604,-84.424095",0,30,165
1550360089,2019-02-16T23:34:49Z,DAL200,"33.635796,-84.423508",0,16,98
1550360096,2019-02-16T23:34:56Z,DAL200,"33.635807,-84.422981",0,16,90
1550360104,2019-02-16T23:35:04Z,DAL200,"33.635818,-84.422218",0,17,90
1550360110,2019-02-16T23:35:10Z,DAL200,"33.635864,-84.421707",0,16,78
1550360117,2019-02-16T23:35:17Z,DAL200,"33.635891,-84.421104",0,16,90
1550360125,2019-02-16T23:35:25Z,DAL200,"33.635841,-84.420319",0,17,95
1550360131,2019-02-16T23:35:31Z,DAL200,"33.635811,-84.419731",0,18,92
1550360137,2019-02-16T23:35:37Z,DAL200,"33.635811,-84.419159",0,18,90
1550360144,2019-02-16T23:35:44Z,DAL200,"33.635822,-84.418358",0,16,87
1550360156,2019-02-16T23:35:56Z,DAL200,"33.636169,-84.4179",0,30,30
1550360162,2019-02-16T23:36:02Z,DAL200,"33.636402,-84.417671",0,28,39
1550360168,2019-02-16T23:36:08Z,DAL200,"33.636532,-84.417267",0,27,73
1550360174,2019-02-16T23:36:14Z,DAL200,"33.636551,-84.416756",0,28,90
1550360181,2019-02-16T23:36:21Z,DAL200,"33.636551,-84.416496",0,29,90
1550360190,2019-02-16T23:36:30Z,DAL200,"33.636539,-84.415695",0,32,90
1550360204,2019-02-16T23:36:44Z,DAL200,"33.636543,-84.414711",0,15,90
1550360216,2019-02-16T23:36:56Z,DAL200,"33.636551,-84.413666",0,17,90
1550360228,2019-02-16T23:37:08Z,DAL200,"33.636543,-84.412514",0,18,90
1550360241,2019-02-16T23:37:21Z,DAL200,"33.636539,-84.411224",0,20,90
