Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550445454,2019-02-17T23:17:34Z,DAL200,"33.641159,-84.424911",0,0,231
1550445521,2019-02-17T23:18:41Z,DAL200,"33.641335,-84.424683",0,11,222
1550445536,2019-02-17T23:18:56Z,DAL200,"33.641556,-84.424438",0,13,202
1550445551,2019-02-17T23:19:11Z,DAL200,"33.641846,-84.424278",0,14,188
1550445563,2019-02-17T23:19:23Z,DAL200,"33.642105,-84.42424",0,13,185
1550445578,2019-02-17T23:19:38Z,DAL200,"33.642391,-84.424217",0,13,185
1550445590,2019-02-17T23:19:50Z,DAL200,"33.642593,-84.424194",0,10,180
1550445740,2019-02-17T23:22:20Z,DAL200,"33.642265,-84.424118",0,16,165
1550445752,2019-02-17T23:22:32Z,DAL200,"33.641998,-84.423767",0,21,126
1550445758,2019-02-17T23:22:38Z,DAL200,"33.641964,-84.423454",0,23,101
1550445764,2019-02-17T23:22:44Z,DAL200,"33.641964,-84.423134",0,25,92
1550445770,2019-02-17T23:22:50Z,DAL200,"33.641941,-84.422775",0,25,95
1550445776,2019-02-17T23:22:56Z,DAL200,"33.641762,-84.422493",0,26,129
1550445782,2019-02-17T23:23:02Z,DAL200,"33.641487,-84.422424",0,25,163
1550445788,2019-02-17T23:23:08Z,DAL200,"33.641232,-84.422409",0,23,174
1550445798,2019-02-17T23:23:18Z,DAL200,"33.640789,-84.422394",0,22,180
1550445810,2019-02-17T23:23:30Z,DAL200,"33.640312,-84.422394",0,25,180
1550445821,2019-02-17T23:23:41Z,DAL200,"33.63953,-84.422432",0,15,182
1550445830,2019-02-17T23:23:50Z,DAL200,"33.638855,-84.422409",0,16,177
1550445842,2019-02-17T23:24:02Z,DAL200,"33.63802,-84.422333",0,15,180
1550445848,2019-02-17T23:24:08Z,DAL200,"33.637596,-84.422325",0,33,180
1550445860,2019-02-17T23:24:20Z,DAL200,"33.636902,-84.422318",0,33,180
1550445866,2019-02-17T23:24:26Z,DAL200,"33.636429,-84.422325",0,32,180
1550445875,2019-02-17T23:24:35Z,DAL200,"33.635948,-84.422394",0,26,194
1550445882,2019-02-17T23:24:42Z,DAL200,"33.635822,-84.422714",0,25,244
1550445889,2019-02-17T23:24:49Z,DAL200,"33.635807,-84.423195",0,27,267
1550445899,2019-02-17T23:24:59Z,DAL200,"33.635818,-84.423866",0,28,270
1550445905,2019-02-17T23:25:05Z,DAL200,"33.635811,-84.424225",0,27,270
1550445912,2019-02-17T23:25:12Z,DAL200,"33.635807,-84.424599",0,25,270
1550445921,2019-02-17T23:25:21Z,DAL200,"33.635811,-84.425095",0,24,270
1550445933,2019-02-17T23:25:33Z,DAL200,"33.635818,-84.425751",0,23,270
1550445947,2019-02-17T23:25:47Z,DAL200,"33.635811,-84.426468",0,21,270
1550445953,2019-02-17T23:25:53Z,DAL200,"33.635807,-84.426697",0,21,270
1550445971,2019-02-17T23:26:11Z,DAL200,"33.635807,-84.427597",0,24,270
1550445978,2019-02-17T23:26:18Z,DAL200,"33.635818,-84.427917",0,26,270
1550445988,2019-02-17T23:26:28Z,DAL200,"33.635807,-84.428642",0,30,270
1550445995,2019-02-17T23:26:35Z,DAL200,"33.635811,-84.429176",0,32,270
1550446002,2019-02-17T23:26:42Z,DAL200,"33.635807,-84.429688",0,34,270
1550446010,2019-02-17T23:26:50Z,DAL200,"33.635807,-84.430344",0,33,270
1550446020,2019-02-17T23:27:00Z,DAL200,"33.635807,-84.431107",0,33,270
1550446029,2019-02-17T23:27:09Z,DAL200,"33.635807,-84.431808",0,33,270
1550446038,2019-02-17T23:27:18Z,DAL200,"33.635807,-84.432549",0,32,270
1550446068,2019-02-17T23:27:48Z,DAL200,"33.635807,-84.434906",0,15,270
1550446074,2019-02-17T23:27:54Z,DAL200,"33.635811,-84.435425",0,15,270
1550446080,2019-02-17T23:28:00Z,DAL200,"33.635807,-84.435898",0,34,270
1550446086,2019-02-17T23:28:06Z,DAL200,"33.635807,-84.436409",0,34,270
1550446092,2019-02-17T23:28:12Z,DAL200,"33.635807,-84.436928",0,15,270
1550446098,2019-02-17T23:28:18Z,DAL200,"33.635807,-84.437401",0,34,270
1550446105,2019-02-17T23:28:25Z,DAL200,"33.635818,-84.437881",0,31,270
1550446116,2019-02-17T23:28:36Z,DAL200,"33.635807,-84.438385",0,16,270
1550446126,2019-02-17T23:28:46Z,DAL200,"33.635811,-84.438721",0,17,270
1550446134,2019-02-17T23:28:54Z,DAL200,"33.635811,-84.438988",0,15,270
1550446146,2019-02-17T23:29:06Z,DAL200,"33.635818,-84.43927",0,14,270
1550446165,2019-02-17T23:29:25Z,DAL200,"33.635807,-84.439705",0,13,270
1550446179,2019-02-17T23:29:39Z,DAL200,"33.635807,-84.440102",0,14,270
1550446191,2019-02-17T23:29:51Z,DAL200,"33.635811,-84.440369",0,11,270
1550446209,2019-02-17T23:30:09Z,DAL200,"33.635807,-84.44059",0,0,270
1550446314,2019-02-17T23:31:54Z,DAL200,"33.635807,-84.440804",0,9,270
1550446333,2019-02-17T23:32:13Z,DAL200,"33.635807,-84.441116",0,12,270
1550446344,2019-02-17T23:32:24Z,DAL200,"33.635811,-84.441391",0,14,270
1550446357,2019-02-17T23:32:37Z,DAL200,"33.635807,-84.441719",0,14,270
1550446503,2019-02-17T23:35:03Z,DAL200,"33.635807,-84.442001",0,2,270
1550446525,2019-02-17T23:35:25Z,DAL200,"33.635807,-84.442352",0,11,270
1550446537,2019-02-17T23:35:37Z,DAL200,"33.635811,-84.442589",0,11,270
1550446562,2019-02-17T23:36:02Z,DAL200,"33.635807,-84.442795",0,0,180
1550446641,2019-02-17T23:37:21Z,DAL200,"33.635811,-84.443031",0,10,270
1550446655,2019-02-17T23:37:35Z,DAL200,"33.635807,-84.443268",0,11,270
1550446675,2019-02-17T23:37:55Z,DAL200,"33.635807,-84.44371",0,12,270
1550446694,2019-02-17T23:38:14Z,DAL200,"33.635807,-84.443962",0,2,270
1550446752,2019-02-17T23:39:12Z,DAL200,"33.635799,-84.444199",0,14,270
1550446761,2019-02-17T23:39:21Z,DAL200,"33.635807,-84.444519",0,19,270
1550446770,2019-02-17T23:39:30Z,DAL200,"33.635807,-84.445007",0,26,270
1550446780,2019-02-17T23:39:40Z,DAL200,"33.635807,-84.445511",0,22,270
1550446786,2019-02-17T23:39:46Z,DAL200,"33.635807,-84.445755",0,19,270
1550446797,2019-02-17T23:39:57Z,DAL200,"33.635807,-84.446167",0,14,270
1550446809,2019-02-17T23:40:09Z,DAL200,"33.635811,-84.446381",0,10,270
1550446843,2019-02-17T23:40:43Z,DAL200,"33.635811,-84.446609",0,9,270
1550446853,2019-02-17T23:40:53Z,DAL200,"33.635807,-84.446884",0,15,270
1550446866,2019-02-17T23:41:06Z,DAL200,"33.635799,-84.44735",0,20,267
1550446872,2019-02-17T23:41:12Z,DAL200,"33.635693,-84.447624",0,23,244
