Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550791303,2019-02-21T23:21:43Z,DAL200,"33.64024,-84.426231",0,0,223
1550791486,2019-02-21T23:24:46Z,DAL200,"33.640034,-84.426361",0,10,90
1550791510,2019-02-21T23:25:10Z,DAL200,"33.640057,-84.426628",0,2,98
1550791527,2019-02-21T23:25:27Z,DAL200,"33.640057,-84.426834",0,9,112
1550791547,2019-02-21T23:25:47Z,DAL200,"33.640091,-84.42704",0,9,135
1550791568,2019-02-21T23:26:08Z,DAL200,"33.640217,-84.427254",0,2,163
1550791593,2019-02-21T23:26:33Z,DAL200,"33.640057,-84.426651",0,2,182
1550791627,2019-02-21T23:27:07Z,DAL200,"33.640377,-84.427338",0,0,118
1550791734,2019-02-21T23:28:54Z,DAL200,"33.639839,-84.427322",0,26,177
1550791745,2019-02-21T23:29:05Z,DAL200,"33.63916,-84.427315",0,30,180
1550791751,2019-02-21T23:29:11Z,DAL200,"33.638798,-84.427338",0,29,182
1550791757,2019-02-21T23:29:17Z,DAL200,"33.638474,-84.42733",0,26,180
1550791764,2019-02-21T23:29:24Z,DAL200,"33.638203,-84.427322",0,22,180
1550791775,2019-02-21T23:29:35Z,DAL200,"33.637665,-84.427322",0,25,180
1550791790,2019-02-21T23:29:50Z,DAL200,"33.636948,-84.427315",0,24,180
1550791797,2019-02-21T23:29:57Z,DAL200,"33.636681,-84.427483",0,26,210
1550791805,2019-02-21T23:30:05Z,DAL200,"33.636402,-84.427689",0,22,202
1550791817,2019-02-21T23:30:17Z,DAL200,"33.635948,-84.427856",0,23,208
1550791825,2019-02-21T23:30:25Z,DAL200,"33.635818,-84.428215",0,21,250
1550791832,2019-02-21T23:30:32Z,DAL200,"33.635822,-84.428513",0,22,264
1550791838,2019-02-21T23:30:38Z,DAL200,"33.635811,-84.42881",0,25,270
1550791845,2019-02-21T23:30:45Z,DAL200,"33.635818,-84.42923",0,26,270
1550791860,2019-02-21T23:31:00Z,DAL200,"33.635818,-84.430092",0,23,270
1550791872,2019-02-21T23:31:12Z,DAL200,"33.635822,-84.430672",0,23,270
1550791878,2019-02-21T23:31:18Z,DAL200,"33.635822,-84.431",0,23,270
1550791884,2019-02-21T23:31:24Z,DAL200,"33.635818,-84.431305",0,24,270
1550791890,2019-02-21T23:31:30Z,DAL200,"33.635822,-84.431641",0,24,270
1550791900,2019-02-21T23:31:40Z,DAL200,"33.635818,-84.432281",0,26,270
1550791907,2019-02-21T23:31:47Z,DAL200,"33.635818,-84.432709",0,26,270
1550791914,2019-02-21T23:31:54Z,DAL200,"33.635818,-84.433067",0,27,270
1550791927,2019-02-21T23:32:07Z,DAL200,"33.635818,-84.433907",0,25,270
1550791934,2019-02-21T23:32:14Z,DAL200,"33.635818,-84.434311",0,25,270
1550791940,2019-02-21T23:32:20Z,DAL200,"33.635818,-84.434654",0,24,270
1550791946,2019-02-21T23:32:26Z,DAL200,"33.635811,-84.434952",0,23,270
1550791953,2019-02-21T23:32:33Z,DAL200,"33.635818,-84.435257",0,20,270
1550791959,2019-02-21T23:32:39Z,DAL200,"33.635811,-84.435478",0,19,270
1550791971,2019-02-21T23:32:51Z,DAL200,"33.635818,-84.435867",0,16,270
1550791983,2019-02-21T23:33:03Z,DAL200,"33.635818,-84.436226",0,14,270
1550791992,2019-02-21T23:33:12Z,DAL200,"33.635818,-84.436501",0,15,270
1550792003,2019-02-21T23:33:23Z,DAL200,"33.635818,-84.436829",0,15,270
1550792016,2019-02-21T23:33:36Z,DAL200,"33.635822,-84.437202",0,15,270
1550792027,2019-02-21T23:33:47Z,DAL200,"33.635811,-84.437485",0,13,270
1550792040,2019-02-21T23:34:00Z,DAL200,"33.635818,-84.437798",0,14,270
1550792052,2019-02-21T23:34:12Z,DAL200,"33.635818,-84.438072",0,10,270
1550792084,2019-02-21T23:34:44Z,DAL200,"33.635818,-84.438301",0,2,270
1550792121,2019-02-21T23:35:21Z,DAL200,"33.635822,-84.43869",0,11,270
1550792133,2019-02-21T23:35:33Z,DAL200,"33.635822,-84.438911",0,11,270
1550792145,2019-02-21T23:35:45Z,DAL200,"33.635818,-84.439117",0,11,270
1550792158,2019-02-21T23:35:58Z,DAL200,"33.635818,-84.439384",0,13,270
1550792170,2019-02-21T23:36:10Z,DAL200,"33.635818,-84.439674",0,12,270
1550792189,2019-02-21T23:36:29Z,DAL200,"33.635818,-84.440018",0,12,270
1550792201,2019-02-21T23:36:41Z,DAL200,"33.635807,-84.440262",0,11,270
1550792216,2019-02-21T23:36:56Z,DAL200,"33.635807,-84.440521",0,10,270
1550792258,2019-02-21T23:37:38Z,DAL200,"33.635818,-84.440735",0,2,270
1550792277,2019-02-21T23:37:57Z,DAL200,"33.635807,-84.441086",0,16,270
1550792291,2019-02-21T23:38:11Z,DAL200,"33.635807,-84.441574",0,15,270
1550792303,2019-02-21T23:38:23Z,DAL200,"33.635807,-84.441895",0,12,270
1550792334,2019-02-21T23:38:54Z,DAL200,"33.635818,-84.442406",0,9,270
1550792391,2019-02-21T23:39:51Z,DAL200,"33.635818,-84.442665",0,2,270
1550792406,2019-02-21T23:40:06Z,DAL200,"33.635822,-84.442879",0,11,270
1550792419,2019-02-21T23:40:19Z,DAL200,"33.635818,-84.443192",0,12,270
1550792432,2019-02-21T23:40:32Z,DAL200,"33.635822,-84.443451",0,12,270
1550792444,2019-02-21T23:40:44Z,DAL200,"33.635818,-84.443733",0,16,270
1550792450,2019-02-21T23:40:50Z,DAL200,"33.635818,-84.443962",0,19,270
1550792456,2019-02-21T23:40:56Z,DAL200,"33.635818,-84.444221",0,22,270
1550792472,2019-02-21T23:41:12Z,DAL200,"33.635807,-84.445122",0,28,270
