Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549046906,2019-02-01T18:48:26Z,DAL201,"-26.130133,28.234732",0,0,334
1549046990,2019-02-01T18:49:50Z,DAL201,"-26.130363,28.234734",0,2,14
1549047023,2019-02-01T18:50:23Z,DAL201,"-26.130604,28.234669",0,2,25
1549047059,2019-02-01T18:50:59Z,DAL201,"-26.130831,28.23456",0,2,33
1549047099,2019-02-01T18:51:39Z,DAL201,"-26.131096,28.234344",0,2,28
1549047126,2019-02-01T18:52:06Z,DAL201,"-26.131313,28.234203",0,9,16
1549047254,2019-02-01T18:54:14Z,DAL201,"-26.13139,28.234163",0,12,14
1549047294,2019-02-01T18:54:54Z,DAL201,"-26.131245,28.235823",0,21,95
1549047304,2019-02-01T18:55:04Z,DAL201,"-26.131279,28.236107",0,12,98
1549047343,2019-02-01T18:55:43Z,DAL201,"-26.131296,28.236328",0,16,95
1549047349,2019-02-01T18:55:49Z,DAL201,"-26.131325,28.236574",0,22,98
1549047355,2019-02-01T18:55:55Z,DAL201,"-26.131481,28.236832",0,25,129
1549047361,2019-02-01T18:56:01Z,DAL201,"-26.131783,28.236832",0,26,174
1549047372,2019-02-01T18:56:12Z,DAL201,"-26.132366,28.236685",0,28,194
1549047379,2019-02-01T18:56:19Z,DAL201,"-26.132692,28.23658",0,23,194
1549047388,2019-02-01T18:56:28Z,DAL201,"-26.133007,28.236496",0,19,194
1549047403,2019-02-01T18:56:43Z,DAL201,"-26.133425,28.236368",0,17,196
1549047409,2019-02-01T18:56:49Z,DAL201,"-26.133636,28.236301",0,21,194
1549047420,2019-02-01T18:57:00Z,DAL201,"-26.134197,28.236134",0,31,196
1549047428,2019-02-01T18:57:08Z,DAL201,"-26.134729,28.23596",0,17,196
1549047442,2019-02-01T18:57:22Z,DAL201,"-26.136246,28.235498",0,26,196
1549047448,2019-02-01T18:57:28Z,DAL201,"-26.137012,28.235266",0,26,196
1549047454,2019-02-01T18:57:34Z,DAL201,"-26.137743,28.235035",0,27,196
1549047460,2019-02-01T18:57:40Z,DAL201,"-26.1385,28.234798",0,26,196
1549047467,2019-02-01T18:57:47Z,DAL201,"-26.139187,28.234587",0,23,196
1549047473,2019-02-01T18:57:53Z,DAL201,"-26.139713,28.234423",0,20,196
1549047479,2019-02-01T18:57:59Z,DAL201,"-26.140274,28.234241",0,18,196
1549047485,2019-02-01T18:58:05Z,DAL201,"-26.140734,28.234097",0,17,196
1549047491,2019-02-01T18:58:11Z,DAL201,"-26.141178,28.233957",0,15,196
1549047497,2019-02-01T18:58:17Z,DAL201,"-26.141596,28.233833",0,15,196
1549047506,2019-02-01T18:58:26Z,DAL201,"-26.1422,28.233648",0,32,196
1549047515,2019-02-01T18:58:35Z,DAL201,"-26.142725,28.233477",0,30,196
1549047521,2019-02-01T18:58:41Z,DAL201,"-26.143063,28.233372",0,29,196
1549047527,2019-02-01T18:58:47Z,DAL201,"-26.143387,28.233257",0,29,196
1549047533,2019-02-01T18:58:53Z,DAL201,"-26.14369,28.23316",0,29,196
1549047539,2019-02-01T18:58:59Z,DAL201,"-26.144028,28.233049",0,26,196
1549047549,2019-02-01T18:59:09Z,DAL201,"-26.144405,28.232946",0,23,191
1549047558,2019-02-01T18:59:18Z,DAL201,"-26.144749,28.232971",0,19,180
1549047567,2019-02-01T18:59:27Z,DAL201,"-26.145157,28.23287",0,28,191
1549047575,2019-02-01T18:59:35Z,DAL201,"-26.145653,28.232895",0,31,168
1549047581,2019-02-01T18:59:41Z,DAL201,"-26.145948,28.2332",0,30,132
