Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549133479,2019-02-02T18:51:19Z,DAL201,"-26.130123,28.23472",0,0,5
1549133686,2019-02-02T18:54:46Z,DAL201,"-26.130135,28.234734",0,0,347
1549133926,2019-02-02T18:58:46Z,DAL201,"-26.130144,28.234732",0,0,192
1549133982,2019-02-02T18:59:42Z,DAL201,"-26.130377,28.234732",0,9,19
1549134000,2019-02-02T19:00:00Z,DAL201,"-26.130581,28.234655",0,10,36
1549134025,2019-02-02T19:00:25Z,DAL201,"-26.130798,28.234461",0,9,28
1549134048,2019-02-02T19:00:48Z,DAL201,"-26.131041,28.234322",0,9,22
1549134072,2019-02-02T19:01:12Z,DAL201,"-26.131296,28.234203",0,9,16
1549134096,2019-02-02T19:01:36Z,DAL201,"-26.131565,28.234098",0,10,5
1549134130,2019-02-02T19:02:10Z,DAL201,"-26.131784,28.234085",0,0,180
1549134345,2019-02-02T19:05:45Z,DAL201,"-26.131552,28.234097",0,14,5
1549134354,2019-02-02T19:05:54Z,DAL201,"-26.13133,28.234137",0,17,8
1549134363,2019-02-02T19:06:03Z,DAL201,"-26.131119,28.234409",0,21,53
1549134369,2019-02-02T19:06:09Z,DAL201,"-26.13113,28.234682",0,21,84
1549134376,2019-02-02T19:06:16Z,DAL201,"-26.131153,28.234928",0,19,95
1549134385,2019-02-02T19:06:25Z,DAL201,"-26.131187,28.235252",0,20,95
1549134391,2019-02-02T19:06:31Z,DAL201,"-26.13121,28.235523",0,23,95
1549134405,2019-02-02T19:06:45Z,DAL201,"-26.131285,28.236263",0,22,95
1549134411,2019-02-02T19:06:51Z,DAL201,"-26.131308,28.236526",0,20,95
1549134418,2019-02-02T19:06:58Z,DAL201,"-26.131365,28.236752",0,20,104
1549134427,2019-02-02T19:07:07Z,DAL201,"-26.131645,28.23691",0,22,157
1549134435,2019-02-02T19:07:15Z,DAL201,"-26.131977,28.236807",0,22,194
1549134442,2019-02-02T19:07:22Z,DAL201,"-26.132229,28.236729",0,23,196
1549134451,2019-02-02T19:07:31Z,DAL201,"-26.13261,28.236607",0,22,196
1549134462,2019-02-02T19:07:42Z,DAL201,"-26.132982,28.236488",0,17,196
1549134472,2019-02-02T19:07:52Z,DAL201,"-26.133204,28.236422",0,15,196
1549134481,2019-02-02T19:08:01Z,DAL201,"-26.13343,28.236353",0,17,196
1549134499,2019-02-02T19:08:19Z,DAL201,"-26.134083,28.236145",0,21,196
1549134505,2019-02-02T19:08:25Z,DAL201,"-26.134289,28.23608",0,19,196
1549134516,2019-02-02T19:08:36Z,DAL201,"-26.134621,28.235991",0,19,194
1549134523,2019-02-02T19:08:43Z,DAL201,"-26.134869,28.235907",0,21,196
1549134532,2019-02-02T19:08:52Z,DAL201,"-26.135277,28.235775",0,25,196
1549134539,2019-02-02T19:08:59Z,DAL201,"-26.135548,28.235693",0,25,196
1549134547,2019-02-02T19:09:07Z,DAL201,"-26.135937,28.235577",0,24,196
1549134554,2019-02-02T19:09:14Z,DAL201,"-26.136196,28.235497",0,23,196
1549134560,2019-02-02T19:09:20Z,DAL201,"-26.13644,28.235418",0,22,196
1549134566,2019-02-02T19:09:26Z,DAL201,"-26.136681,28.235342",0,21,196
1549134577,2019-02-02T19:09:37Z,DAL201,"-26.137127,28.235207",0,21,196
1549134583,2019-02-02T19:09:43Z,DAL201,"-26.13736,28.235126",0,23,196
1549134590,2019-02-02T19:09:50Z,DAL201,"-26.137653,28.235044",0,26,194
1549134596,2019-02-02T19:09:56Z,DAL201,"-26.137962,28.234955",0,27,196
1549134602,2019-02-02T19:10:02Z,DAL201,"-26.138256,28.234863",0,28,194
1549134609,2019-02-02T19:10:09Z,DAL201,"-26.138594,28.234758",0,29,196
1549134622,2019-02-02T19:10:22Z,DAL201,"-26.139267,28.234539",0,24,196
1549134629,2019-02-02T19:10:29Z,DAL201,"-26.139587,28.234449",0,23,196
1549134639,2019-02-02T19:10:39Z,DAL201,"-26.139942,28.234335",0,22,196
1549134645,2019-02-02T19:10:45Z,DAL201,"-26.140171,28.234255",0,21,196
1549134656,2019-02-02T19:10:56Z,DAL201,"-26.140652,28.234112",0,23,196
1549134662,2019-02-02T19:11:02Z,DAL201,"-26.140903,28.234034",0,25,196
1549134668,2019-02-02T19:11:08Z,DAL201,"-26.141199,28.233938",0,26,196
1549134674,2019-02-02T19:11:14Z,DAL201,"-26.141502,28.233847",0,27,196
