Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549392640,2019-02-05T18:50:40Z,DAL201,"-26.130201,28.23547",0,0,134
1549392690,2019-02-05T18:51:30Z,DAL201,"-26.130527,28.235418",0,9,5
1549392712,2019-02-05T18:51:52Z,DAL201,"-26.130749,28.235418",0,9,22
1549392737,2019-02-05T18:52:17Z,DAL201,"-26.13097,28.235369",0,2,56
1549392787,2019-02-05T18:53:07Z,DAL201,"-26.131165,28.235006",0,2,98
1549392970,2019-02-05T18:56:10Z,DAL201,"-26.131191,28.235365",0,15,95
1549392986,2019-02-05T18:56:26Z,DAL201,"-26.131268,28.23608",0,26,95
1549393009,2019-02-05T18:56:49Z,DAL201,"-26.13192,28.23682",0,28,182
1549393024,2019-02-05T18:57:04Z,DAL201,"-26.132925,28.236513",0,34,196
1549393045,2019-02-05T18:57:25Z,DAL201,"-26.134356,28.236065",0,16,196
1549393057,2019-02-05T18:57:37Z,DAL201,"-26.1353,28.235775",0,18,196
1549393067,2019-02-05T18:57:47Z,DAL201,"-26.136177,28.235512",0,19,194
1549393084,2019-02-05T18:58:04Z,DAL201,"-26.13772,28.235035",0,20,196
1549393094,2019-02-05T18:58:14Z,DAL201,"-26.138628,28.234758",0,20,196
1549393102,2019-02-05T18:58:22Z,DAL201,"-26.139427,28.234501",0,19,196
1549393110,2019-02-05T18:58:30Z,DAL201,"-26.139999,28.23432",0,18,196
1549393120,2019-02-05T18:58:40Z,DAL201,"-26.140839,28.234058",0,18,196
1549393144,2019-02-05T18:59:04Z,DAL201,"-26.143038,28.233385",0,20,196
1549393151,2019-02-05T18:59:11Z,DAL201,"-26.143644,28.233187",0,19,196
1549393158,2019-02-05T18:59:18Z,DAL201,"-26.144238,28.233002",0,16,196
1549393173,2019-02-05T18:59:33Z,DAL201,"-26.145103,28.232777",0,30,188
1549393199,2019-02-05T18:59:59Z,DAL201,"-26.146133,28.233793",0,31,106
1549393208,2019-02-05T19:00:08Z,DAL201,"-26.14625,28.234295",0,26,104
1549393263,2019-02-05T19:01:03Z,DAL201,"-26.145018,28.234797",0,31,14
1549393274,2019-02-05T19:01:14Z,DAL201,"-26.141521,28.235861",0,86,16
1549393342,2019-02-05T19:02:22Z,DAL201,"-26.083126,28.253561",6500,231,15
1549393354,2019-02-05T19:02:34Z,DAL201,"-26.071655,28.257147",6800,235,16
1549393365,2019-02-05T19:02:45Z,DAL201,"-26.059244,28.260956",7050,243,13
1549393392,2019-02-05T19:03:12Z,DAL201,"-26.029541,28.25041",7450,268,319
1549393410,2019-02-05T19:03:30Z,DAL201,"-26.018417,28.23048",7775,280,296
1549393416,2019-02-05T19:03:36Z,DAL201,"-26.014833,28.221712",7950,284,294
1549393427,2019-02-05T19:03:47Z,DAL201,"-26.009033,28.206879",8250,289,293
1549393438,2019-02-05T19:03:58Z,DAL201,"-26.002625,28.190348",8375,303,293
1549393450,2019-02-05T19:04:10Z,DAL201,"-25.99626,28.174068",8525,316,293
1549393461,2019-02-05T19:04:21Z,DAL201,"-25.989044,28.156111",8700,328,293
1549393477,2019-02-05T19:04:37Z,DAL201,"-25.975962,28.13229",8900,345,307
1549393483,2019-02-05T19:04:43Z,DAL201,"-25.969757,28.125051",8975,350,314
1549393494,2019-02-05T19:04:54Z,DAL201,"-25.955063,28.112873",9175,358,327
1549393505,2019-02-05T19:05:05Z,DAL201,"-25.939419,28.103714",9400,367,332
1549393515,2019-02-05T19:05:15Z,DAL201,"-25.922987,28.094418",9675,373,333
1549393531,2019-02-05T19:05:31Z,DAL201,"-25.8978,28.080843",10200,380,334
1549393548,2019-02-05T19:05:48Z,DAL201,"-25.8715,28.066423",10725,386,333
1549393563,2019-02-05T19:06:03Z,DAL201,"-25.846128,28.052374",11275,392,333
1549393574,2019-02-05T19:06:14Z,DAL201,"-25.828079,28.042349",11675,394,333
1549393589,2019-02-05T19:06:29Z,DAL201,"-25.803627,28.026434",12300,398,325
1549393596,2019-02-05T19:06:36Z,DAL201,"-25.794548,28.017572",12625,396,317
1549393602,2019-02-05T19:06:42Z,DAL201,"-25.78668,28.008192",12875,396,312
1549393610,2019-02-05T19:06:50Z,DAL201,"-25.775391,27.993164",13175,400,309
1549393646,2019-02-05T19:07:26Z,DAL201,"-25.731766,27.940268",14225,409,314
1549393677,2019-02-05T19:07:57Z,DAL201,"-25.692366,27.890659",15300,414,306
1549393685,2019-02-05T19:08:05Z,DAL201,"-25.68273,27.875061",15600,414,303
1549393718,2019-02-05T19:08:38Z,DAL201,"-25.64884,27.818523",16425,422,303
1549393750,2019-02-05T19:09:10Z,DAL201,"-25.616301,27.758615",17150,434,299
1549393781,2019-02-05T19:09:41Z,DAL201,"-25.585482,27.69902",18525,426,299
1549393841,2019-02-05T19:10:41Z,DAL201,"-25.521927,27.578634",19850,446,300
1549393903,2019-02-05T19:11:43Z,DAL201,"-25.457371,27.457994",21750,447,300
1549393954,2019-02-05T19:12:34Z,DAL201,"-25.406256,27.362228",22825,455,300
1549394043,2019-02-05T19:14:03Z,DAL201,"-25.307373,27.178345",24950,464,300
1549394107,2019-02-05T19:15:07Z,DAL201,"-25.238113,27.050119",26200,472,300
1549394169,2019-02-05T19:16:09Z,DAL201,"-25.16835,26.92103",27400,478,300
1549394231,2019-02-05T19:17:11Z,DAL201,"-25.097214,26.789551",28450,487,300
