Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549478846,2019-02-06T18:47:26Z,DAL201,"-26.130123,28.23472",0,0,310
1549479007,2019-02-06T18:50:07Z,DAL201,"-26.130146,28.23472",0,0,134
1549479264,2019-02-06T18:54:24Z,DAL201,"-26.130135,28.23472",0,0,180
1549479400,2019-02-06T18:56:40Z,DAL201,"-26.130135,28.23472",0,0,180
1549479500,2019-02-06T18:58:20Z,DAL201,"-26.130144,28.234718",0,0,315
1549479954,2019-02-06T19:05:54Z,DAL201,"-26.130363,28.234707",0,10,14
1549479972,2019-02-06T19:06:12Z,DAL201,"-26.130581,28.234669",0,10,22
1549480001,2019-02-06T19:06:41Z,DAL201,"-26.130877,28.23452",0,11,33
1549480020,2019-02-06T19:07:00Z,DAL201,"-26.131084,28.234371",0,11,33
1549480043,2019-02-06T19:07:23Z,DAL201,"-26.131296,28.23419",0,11,16
1549480063,2019-02-06T19:07:43Z,DAL201,"-26.131506,28.234123",0,2,5
1549480244,2019-02-06T19:10:44Z,DAL201,"-26.131519,28.234125",0,0,134
1549480378,2019-02-06T19:12:58Z,DAL201,"-26.131353,28.23415",0,14,11
1549480393,2019-02-06T19:13:13Z,DAL201,"-26.131144,28.234547",0,21,84
1549480399,2019-02-06T19:13:19Z,DAL201,"-26.131153,28.234825",0,23,95
1549480405,2019-02-06T19:13:25Z,DAL201,"-26.131168,28.235075",0,24,95
1549480411,2019-02-06T19:13:31Z,DAL201,"-26.13121,28.235394",0,25,95
1549480417,2019-02-06T19:13:37Z,DAL201,"-26.131245,28.235731",0,27,95
1549480426,2019-02-06T19:13:46Z,DAL201,"-26.131302,28.236263",0,26,101
1549480433,2019-02-06T19:13:53Z,DAL201,"-26.131336,28.236586",0,24,104
1549480442,2019-02-06T19:14:02Z,DAL201,"-26.131634,28.236845",0,26,165
1549480450,2019-02-06T19:14:10Z,DAL201,"-26.132,28.236807",0,25,194
1549480463,2019-02-06T19:14:23Z,DAL201,"-26.132584,28.236612",0,25,194
1549480472,2019-02-06T19:14:32Z,DAL201,"-26.132938,28.236496",0,21,196
1549480484,2019-02-06T19:14:44Z,DAL201,"-26.133356,28.236368",0,21,196
1549480490,2019-02-06T19:14:50Z,DAL201,"-26.133577,28.236303",0,22,196
1549480502,2019-02-06T19:15:02Z,DAL201,"-26.134066,28.236156",0,25,194
1549480517,2019-02-06T19:15:17Z,DAL201,"-26.134823,28.23592",0,30,196
1549480529,2019-02-06T19:15:29Z,DAL201,"-26.135536,28.235693",0,34,194
1549480541,2019-02-06T19:15:41Z,DAL201,"-26.136276,28.23547",0,31,196
