Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549911068,2019-02-11T18:51:08Z,DAL201,"-26.130272,28.236183",0,0,189
1549911182,2019-02-11T18:53:02Z,DAL201,"-26.13026,28.236172",0,0,270
1549911582,2019-02-11T18:59:42Z,DAL201,"-26.13026,28.23617",0,0,270
1549911686,2019-02-11T19:01:26Z,DAL201,"-26.130493,28.236156",0,9,5
1549911713,2019-02-11T19:01:53Z,DAL201,"-26.13076,28.236145",0,9,14
1549911738,2019-02-11T19:02:18Z,DAL201,"-26.130993,28.236134",0,2,191
1549911768,2019-02-11T19:02:48Z,DAL201,"-26.131203,28.235907",0,9,84
1549911967,2019-02-11T19:06:07Z,DAL201,"-26.131273,28.236145",0,18,95
1549911977,2019-02-11T19:06:17Z,DAL201,"-26.131313,28.236483",0,18,98
1549911983,2019-02-11T19:06:23Z,DAL201,"-26.131382,28.236704",0,20,106
1549911993,2019-02-11T19:06:33Z,DAL201,"-26.131645,28.236897",0,22,149
1549912007,2019-02-11T19:06:47Z,DAL201,"-26.132238,28.236738",0,22,194
1549912013,2019-02-11T19:06:53Z,DAL201,"-26.132483,28.23666",0,22,196
1549912022,2019-02-11T19:07:02Z,DAL201,"-26.132801,28.236561",0,19,196
1549912034,2019-02-11T19:07:14Z,DAL201,"-26.133144,28.236456",0,17,196
1549912045,2019-02-11T19:07:25Z,DAL201,"-26.133484,28.236355",0,19,194
1549912052,2019-02-11T19:07:32Z,DAL201,"-26.133739,28.236263",0,22,196
1549912058,2019-02-11T19:07:38Z,DAL201,"-26.134031,28.23617",0,24,196
1549912064,2019-02-11T19:07:44Z,DAL201,"-26.1343,28.236094",0,25,196
1549912071,2019-02-11T19:07:51Z,DAL201,"-26.134613,28.235998",0,27,194
1549912082,2019-02-11T19:08:02Z,DAL201,"-26.13533,28.235769",0,34,196
1549912088,2019-02-11T19:08:08Z,DAL201,"-26.135765,28.235655",0,15,194
1549912095,2019-02-11T19:08:15Z,DAL201,"-26.136183,28.235523",0,34,196
