Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549322341,2019-02-04T23:19:01Z,QTR44SG,"25.264194,51.617279",0,2,154
1549322658,2019-02-04T23:24:18Z,QTR44SG,"25.264889,51.617706",0,16,67
1549323015,2019-02-04T23:30:15Z,QTR44SG,"25.265051,51.618149",0,13,67
1549323035,2019-02-04T23:30:35Z,QTR44SG,"25.265316,51.61887",0,23,67
1549323048,2019-02-04T23:30:48Z,QTR44SG,"25.265419,51.619225",0,11,75
1549323090,2019-02-04T23:31:30Z,QTR44SG,"25.264355,51.61977",0,20,157
1549323098,2019-02-04T23:31:38Z,QTR44SG,"25.264046,51.6199",0,19,157
1549323110,2019-02-04T23:31:50Z,QTR44SG,"25.263666,51.620068",0,20,157
1549323444,2019-02-04T23:37:24Z,QTR44SG,"25.262226,51.620712",0,17,157
1549323466,2019-02-04T23:37:46Z,QTR44SG,"25.261538,51.620998",0,22,157
1549323472,2019-02-04T23:37:52Z,QTR44SG,"25.261269,51.621128",0,21,157
1549323491,2019-02-04T23:38:11Z,QTR44SG,"25.261036,51.621231",0,2,157
1549323514,2019-02-04T23:38:34Z,QTR44SG,"25.260723,51.621361",0,13,157
1549323534,2019-02-04T23:38:54Z,QTR44SG,"25.260258,51.621563",0,16,157
1549323545,2019-02-04T23:39:05Z,QTR44SG,"25.259983,51.621693",0,16,157
1549323555,2019-02-04T23:39:15Z,QTR44SG,"25.259743,51.621792",0,15,157
1549323573,2019-02-04T23:39:33Z,QTR44SG,"25.25956,51.622021",0,11,123
1549323587,2019-02-04T23:39:47Z,QTR44SG,"25.25964,51.62225",0,13,81
1549323602,2019-02-04T23:40:02Z,QTR44SG,"25.259768,51.622593",0,15,70
1549323613,2019-02-04T23:40:13Z,QTR44SG,"25.259861,51.622837",0,12,67
1549323634,2019-02-04T23:40:34Z,QTR44SG,"25.259932,51.623047",0,2,67
1549323671,2019-02-04T23:41:11Z,QTR44SG,"25.26004,51.623344",0,10,67
1549323688,2019-02-04T23:41:28Z,QTR44SG,"25.260164,51.62368",0,14,67
1549323706,2019-02-04T23:41:46Z,QTR44SG,"25.260338,51.624161",0,17,67
