Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549408149,2019-02-05T23:09:09Z,QTR44SG,"25.260544,51.609142",0,0,149
1549408342,2019-02-05T23:12:22Z,QTR44SG,"25.260761,51.609001",0,9,146
1549408371,2019-02-05T23:12:51Z,QTR44SG,"25.260979,51.60881",0,9,154
1549408399,2019-02-05T23:13:19Z,QTR44SG,"25.261189,51.608677",0,9,182
1549408420,2019-02-05T23:13:40Z,QTR44SG,"25.261396,51.608639",0,9,210
1549408447,2019-02-05T23:14:07Z,QTR44SG,"25.26162,51.608746",0,2,241
1549408664,2019-02-05T23:17:44Z,QTR44SG,"25.261539,51.608517",0,11,247
1549408681,2019-02-05T23:18:01Z,QTR44SG,"25.261456,51.608276",0,11,247
1549408711,2019-02-05T23:18:31Z,QTR44SG,"25.261368,51.608021",0,10,247
1549408724,2019-02-05T23:18:44Z,QTR44SG,"25.26128,51.607796",0,14,247
1549408736,2019-02-05T23:18:56Z,QTR44SG,"25.261152,51.607449",0,20,247
1549408742,2019-02-05T23:19:02Z,QTR44SG,"25.261072,51.607227",0,22,247
1549408748,2019-02-05T23:19:08Z,QTR44SG,"25.260967,51.606941",0,24,247
1549408760,2019-02-05T23:19:20Z,QTR44SG,"25.260803,51.606476",0,20,253
1549408769,2019-02-05T23:19:29Z,QTR44SG,"25.260885,51.60619",0,21,298
1549408775,2019-02-05T23:19:35Z,QTR44SG,"25.261105,51.605999",0,23,329
1549408782,2019-02-05T23:19:42Z,QTR44SG,"25.261333,51.6059",0,24,340
1549408793,2019-02-05T23:19:53Z,QTR44SG,"25.26185,51.605671",0,26,337
1549408799,2019-02-05T23:19:59Z,QTR44SG,"25.262123,51.605556",0,26,337
1549408807,2019-02-05T23:20:07Z,QTR44SG,"25.262512,51.605389",0,28,337
1549408814,2019-02-05T23:20:14Z,QTR44SG,"25.262821,51.605251",0,28,337
1549408820,2019-02-05T23:20:20Z,QTR44SG,"25.263142,51.60511",0,29,337
1549408826,2019-02-05T23:20:26Z,QTR44SG,"25.263433,51.604984",0,30,337
1549408836,2019-02-05T23:20:36Z,QTR44SG,"25.263931,51.604767",0,31,337
1549408842,2019-02-05T23:20:42Z,QTR44SG,"25.264275,51.604614",0,32,337
1549408854,2019-02-05T23:20:54Z,QTR44SG,"25.264971,51.604313",0,32,337
1549408860,2019-02-05T23:21:00Z,QTR44SG,"25.265272,51.604168",0,28,337
1549408871,2019-02-05T23:21:11Z,QTR44SG,"25.265879,51.603909",0,30,337
1549408877,2019-02-05T23:21:17Z,QTR44SG,"25.266203,51.603767",0,30,337
1549408884,2019-02-05T23:21:24Z,QTR44SG,"25.266552,51.603611",0,31,337
1549408890,2019-02-05T23:21:30Z,QTR44SG,"25.266895,51.603458",0,32,337
1549408902,2019-02-05T23:21:42Z,QTR44SG,"25.267616,51.603138",0,34,337
1549408913,2019-02-05T23:21:53Z,QTR44SG,"25.268349,51.602821",0,15,337
1549408919,2019-02-05T23:21:59Z,QTR44SG,"25.268742,51.602654",0,15,337
1549408928,2019-02-05T23:22:08Z,QTR44SG,"25.269207,51.602432",0,26,337
1549408934,2019-02-05T23:22:14Z,QTR44SG,"25.269424,51.602352",0,20,340
1549408943,2019-02-05T23:22:23Z,QTR44SG,"25.269695,51.60247",0,19,22
1549408952,2019-02-05T23:22:32Z,QTR44SG,"25.269848,51.602734",0,19,53
1549408962,2019-02-05T23:22:42Z,QTR44SG,"25.269962,51.603031",0,20,70
1549408974,2019-02-05T23:22:54Z,QTR44SG,"25.270149,51.603546",0,26,67
1549408980,2019-02-05T23:23:00Z,QTR44SG,"25.270277,51.603897",0,29,67
1549408989,2019-02-05T23:23:09Z,QTR44SG,"25.270475,51.604454",0,33,67
1549409001,2019-02-05T23:23:21Z,QTR44SG,"25.270777,51.605259",0,15,67
1549409013,2019-02-05T23:23:33Z,QTR44SG,"25.271095,51.60614",0,17,67
1549409019,2019-02-05T23:23:39Z,QTR44SG,"25.27129,51.60667",0,18,67
1549409028,2019-02-05T23:23:48Z,QTR44SG,"25.271564,51.60741",0,17,67
1549409040,2019-02-05T23:24:00Z,QTR44SG,"25.271906,51.608395",0,18,70
1549409049,2019-02-05T23:24:09Z,QTR44SG,"25.272182,51.609127",0,19,67
1549409057,2019-02-05T23:24:17Z,QTR44SG,"25.272465,51.609921",0,19,67
1549409064,2019-02-05T23:24:24Z,QTR44SG,"25.272686,51.6105",0,20,67
1549409071,2019-02-05T23:24:31Z,QTR44SG,"25.272881,51.61105",0,20,67
1549409082,2019-02-05T23:24:42Z,QTR44SG,"25.273293,51.612167",0,20,67
1549409088,2019-02-05T23:24:48Z,QTR44SG,"25.273499,51.612728",0,20,67
1549409094,2019-02-05T23:24:54Z,QTR44SG,"25.273653,51.613174",0,18,67
1549409100,2019-02-05T23:25:00Z,QTR44SG,"25.273842,51.613693",0,17,67
1549409107,2019-02-05T23:25:07Z,QTR44SG,"25.274014,51.614143",0,15,67
1549409113,2019-02-05T23:25:13Z,QTR44SG,"25.274164,51.614548",0,33,67
1549409119,2019-02-05T23:25:19Z,QTR44SG,"25.274277,51.614902",0,28,70
1549409128,2019-02-05T23:25:28Z,QTR44SG,"25.274258,51.615299",0,23,112
1549409137,2019-02-05T23:25:37Z,QTR44SG,"25.273911,51.615536",0,25,154
1549409145,2019-02-05T23:25:45Z,QTR44SG,"25.273489,51.615726",0,27,157
1549409151,2019-02-05T23:25:51Z,QTR44SG,"25.273199,51.615856",0,29,157
1549409158,2019-02-05T23:25:58Z,QTR44SG,"25.272892,51.615993",0,30,157
1549409164,2019-02-05T23:26:04Z,QTR44SG,"25.272572,51.616135",0,31,157
1549409175,2019-02-05T23:26:15Z,QTR44SG,"25.271873,51.61644",0,33,157
1549409181,2019-02-05T23:26:21Z,QTR44SG,"25.2715,51.616608",0,34,157
1549409187,2019-02-05T23:26:27Z,QTR44SG,"25.271139,51.616764",0,15,157
1549409193,2019-02-05T23:26:33Z,QTR44SG,"25.270729,51.616947",0,16,157
1549409205,2019-02-05T23:26:45Z,QTR44SG,"25.269882,51.617321",0,17,157
1549409211,2019-02-05T23:26:51Z,QTR44SG,"25.269447,51.617519",0,18,157
1549409224,2019-02-05T23:27:04Z,QTR44SG,"25.268427,51.617966",0,19,157
1549409232,2019-02-05T23:27:12Z,QTR44SG,"25.267765,51.618259",0,19,157
1549409241,2019-02-05T23:27:21Z,QTR44SG,"25.266987,51.618603",0,20,157
1549409253,2019-02-05T23:27:33Z,QTR44SG,"25.265947,51.619057",0,21,157
1549409267,2019-02-05T23:27:47Z,QTR44SG,"25.264679,51.619614",0,22,157
1549409274,2019-02-05T23:27:54Z,QTR44SG,"25.264034,51.6199",0,23,157
1549409304,2019-02-05T23:28:24Z,QTR44SG,"25.261177,51.62114",0,20,157
1549409319,2019-02-05T23:28:39Z,QTR44SG,"25.260117,51.62162",0,32,157
1549409330,2019-02-05T23:28:50Z,QTR44SG,"25.259663,51.621918",0,23,129
1549409337,2019-02-05T23:28:57Z,QTR44SG,"25.25964,51.622231",0,24,84
1549409346,2019-02-05T23:29:06Z,QTR44SG,"25.259777,51.62262",0,26,67
1549409356,2019-02-05T23:29:16Z,QTR44SG,"25.259972,51.623165",0,30,67
1549409367,2019-02-05T23:29:27Z,QTR44SG,"25.260233,51.623875",0,32,67
1549409376,2019-02-05T23:29:36Z,QTR44SG,"25.26042,51.624355",0,28,59
1549409385,2019-02-05T23:29:45Z,QTR44SG,"25.260803,51.624458",0,23,348
1549409397,2019-02-05T23:29:57Z,QTR44SG,"25.261385,51.624172",0,34,337
1549409421,2019-02-05T23:30:21Z,QTR44SG,"25.268463,51.621056",0,115,337
1549409428,2019-02-05T23:30:28Z,QTR44SG,"25.271919,51.61953",0,135,337
1549409442,2019-02-05T23:30:42Z,QTR44SG,"25.282551,51.614849",0,175,337
1549409449,2019-02-05T23:30:49Z,QTR44SG,"25.287552,51.612652",0,187,338
1549409455,2019-02-05T23:30:55Z,QTR44SG,"25.291992,51.610615",250,184,337
1549409468,2019-02-05T23:31:08Z,QTR44SG,"25.30188,51.606037",800,184,337
1549409480,2019-02-05T23:31:20Z,QTR44SG,"25.311264,51.601612",1300,184,337
1549409486,2019-02-05T23:31:26Z,QTR44SG,"25.316299,51.599377",1425,188,338
1549409496,2019-02-05T23:31:36Z,QTR44SG,"25.326187,51.596668",1575,198,350
1549409518,2019-02-05T23:31:58Z,QTR44SG,"25.344202,51.606308",2225,206,42
1549409524,2019-02-05T23:32:04Z,QTR44SG,"25.347656,51.61153",2400,209,52
1549409532,2019-02-05T23:32:12Z,QTR44SG,"25.352188,51.620483",2575,223,61
1549409539,2019-02-05T23:32:19Z,QTR44SG,"25.355118,51.62674",2675,229,63
1549409546,2019-02-05T23:32:26Z,QTR44SG,"25.358139,51.633503",2825,235,63
